Rank,Heat,Lane,Name,Nationality,150m,Time
51.0,10.0,5.0,Adriano Niz,Portugal,1:24.12,1:52.46
52.0,9.0,1.0,Martín Kutscher,Uruguay,1:23.56,1:52.57
53.0,9.0,8.0,Miguel Molina,Philippines,1:23.71,1:52.67
54.0,9.0,3.0,Crox Acuña,Venezuela,1:23.47,1:52.70
55.0,10.0,2.0,Namgyun Lim,South Korea,1:23.75,1:53.01
56.0,8.0,1.0,Jason Dunford,Kenya,1:22.80,1:53.09
57.0,7.0,5.0,Ahmed Mathlouthi,Tunisia,1:23.79,1:53.27
58.0,9.0,5.0,Daniel William Bego,Malaysia,1:25.14,1:53.32
59.0,8.0,3.0,Vitaly Khan,Kazakhstan,1:22.51,1:53.37
60.0,9.0,2.0,Giancarlo Zolezzi Seoane,Chile,1:24.30,1:53.90
61.0,8.0,7.0,Alexandre Bakhtiarov,Cyprus,1:25.11,1:54.25
62.0,8.0,2.0,Mario Montoya,Costa Rica,1:24.98,1:54.70
63.0,8.0,5.0,Salvador Mallat Arcaya,Chile,1:25.23,1:54.71
64.0,7.0,3.0,Igor Čerenšek,Croatia,1:26.77,1:55.04
65.0,10.0,8.0,Zhirong Bryan Tay,Singapore,1:26.89,1:55.70
66.0,8.0,4.0,Mikael Koloyan,Armenia,1:24.79,1:55.99
67.0,7.0,2.0,Timur Irgashev,Uzbekistan,1:26.78,1:56.39
68.0,5.0,2.0,Emanuele Nicolini,San Marino,1:26.83,1:56.61
69.0,6.0,6.0,Kevin Soow Choy Yeap,Malaysia,1:28.25,1:56.65
70.0,6.0,3.0,Mohammad Bidaryan,Iran,1:26.90,1:56.68
71.0,7.0,7.0,Vyacheslav Titarenko,Kazakhstan,1:27.19,1:56.74
72.0,6.0,4.0,Kieran Locke,Virgin Islands,1:26.70,1:57.03
73.0,7.0,4.0,Vasilii Danilov,Kyrgyzstan,1:25.35,1:57.38
74.0,6.0,8.0,Youssef Hafdi,Morocco,1:27.41,1:58.10
75.0,6.0,5.0,Ju Wei Sng,Singapore,1:28.21,1:58.29
76.0,4.0,8.0,Diego Castillo Granados,Panama,1:28.56,1:58.64
77.0,5.0,5.0,Ibrahim Nazarov,Uzbekistan,1:26.51,1:58.76
78.0,5.0,6.0,Wing Cheung Victor Wong,Macau,1:28.38,1:58.88
79.0,4.0,2.0,Christopher Duenas,Guam,1:28.46,1:58.99
80.0,6.0,2.0,Sebastian Jahnsen,Peru,1:28.62,1:59.04
81.0,8.0,8.0,Oscar Jahnsen,Peru,1:28.51,1:59.22
82.0,6.0,1.0,Albert Cristiadi Sutanto,Indonesia,1:29.20,1:59.32
83.0,4.0,6.0,Morgan Locke,Virgin Islands,1:28.68,1:59.42
84.0,6.0,7.0,Srdjan Vujasin,Bosnia and Herzegovina,1:27.65,1:59.44
85.0,7.0,8.0,Waleed Al-Qahtani,Kuwait,1:28.81,1:59.70
86.0,5.0,8.0,Pál Joensen,Faroe Islands,1:28.29,1:59.82
87.0,4.0,5.0,Brian Howard Ho,Indonesia,1:29.04,2:00.09
88.0,4.0,7.0,Fernando Medrano Medina,Nicaragua,1:29.12,2:00.48
89.0,5.0,3.0,Amar Muralidharan,India,1:28.83,2:00.66
90.0,5.0,1.0,Steven Mangroo,Seychelles,1:29.57,2:00.76
91.0,4.0,3.0,Colin Bensadon,Gibraltar,1:29.01,2:01.20
92.0,5.0,4.0,Anas Abuyousuf,Qatar,1:29.69,2:01.40
93.0,3.0,4.0,Loai Tashkandi,Saudi Arabia,1:30.57,2:01.49
94.0,3.0,5.0,Heshan Unamboowe,Sri Lanka,1:31.22,2:02.85
95.0,3.0,3.0,Neil Agius,Malta,1:31.21,2:03.21
96.0,3.0,2.0,Marcelo Alba,Bolivia,1:32.04,2:03.31
97.0,3.0,6.0,Heimanu Sichan,Tahiti,1:32.24,2:03.65
98.0,4.0,1.0,Daniel Lee,Sri Lanka,1:31.17,2:03.76
99.0,7.0,6.0,Emile−Rony Bakale,Congo,1:29.06,2:03.82
100.0,4.0,4.0,Anas Hamadeh,Jordan,1:31.38,2:05.37
101.0,2.0,1.0,Eros Qama,Albania,1:32.62,2:05.80
102.0,3.0,7.0,Oliver Quick,Gibraltar,1:33.34,2:05.95
103.0,5.0,7.0,Rashid Iunusov,Kyrgyzstan,1:32.50,2:06.59
104.0,2.0,3.0,Carlos Shimizu,Guam,1:33.42,2:06.81
105.0,1.0,5.0,Otiko Kpliboh,Nigeria,1:32.78,2:07.28
106.0,3.0,1.0,Malbor Oshafi,Albania,1:33.80,2:07.51
107.0,3.0,8.0,Zane Jordan,Zambia,1:34.05,2:09.74
108.0,2.0,5.0,Yannick Roberts,Guyana,1:36.91,2:10.75
109.0,2.0,4.0,Eli Ebenezer Wong,Northern Mariana Islands,1:38.95,2:12.32
110.0,2.0,6.0,Jamaal Sobers,Guyana,1:41.04,2:16.87
111.0,1.0,7.0,Seraj Mouloud,Libya,1:40.36,2:18.73
112.0,2.0,7.0,Sergey Krovyakov,Turkmenistan,1:40.48,2:19.06
113.0,2.0,2.0,Cooper Theodore Graf,Northern Mariana Islands,1:46.31,2:22.69
114.0,1.0,4.0,Isao Misech,Palau,1:46.16,2:28.81
115.0,2.0,8.0,Ibrahim Shameel,Maldives,1:51.67,2:32.36
116.0,1.0,3.0,Okai Opanka Adu,Ghana,2:00.78,2:48.43
117.0,1.0,2.0,Bernard Blewudzi,Ghana,2:01.44,2:51.98
999.0,12.0,4.0,Ryk Neethling,South Africa,999,999
