Matrix,Recording date,Title,Accompaniment,Paramount Issue No.,Sandra Lieb Classification,JSP 77933,Document DOCD
1824.0,1924/08,Shave 'Em Dry Blues,two unknown guitars,12222.0,Eight-Bar Blues,B,5581.0
1825.0,1924/08,Farewell Daddy Blues,unknown guitar,12222.0,Twelve-Bar Blues,B,5581.0
1922.0,1924/10,Booze And Blues,Her Georgia Jazz Band,12242.0,Twelve-Bar Blues,B,5582.0
1923.0,1924/10,Toad Frog Blues,Her Georgia Jazz Band,12242.0,Twelve-Bar Blues,B,5582.0
1924.0,1924/10,Jealous Hearted Blues,Her Georgia Jazz Band,12252.0,Twelve-Bar Blues,B,5582.0
1925.0,1924/10,See See Rider Blues,Her Georgia Jazz Band,12252.0,Mixture of Blues and Popular Song Forms,B,5582.0
1926.0,1924/10,Jelly Bean Blues,Her Georgia Jazz Band,12238.0,Mixture of Blues and Popular Song Forms,B,5582.0
1927.0,1924/10,Countin' The Blues,Her Georgia Jazz Band,12238.0,Twelve-Bar Blues,B,5582.0
10001.0,1924/11,Cell Bound Blues,Her Georgia Jazz Band,12257.0,Mixture of Blues and Popular Song Forms,B,5582.0
2136.0,1925/05,Army Camp Harmony Blues,Her Georgia Jazz Band,12284.0,Twelve-Bar Blues,B,5582.0
2137.0,1925/05,Explaining The Blues,Her Georgia Jazz Band,12284.0,Twelve-Bar Blues,B,5582.0
2138.0,1925/05,Louisiana Hoo Doo Blues,Her Georgia Jazz Band,12290.0,Twelve-Bar Blues,B,5582.0
2138.0,1925/05,Goodbye Daddy Blues,Her Georgia Jazz Band,12290.0,Mixture of Blues and Popular Song Forms,B,5582.0
2209.0,1925/05,Stormy Seas Blues,Her Georgia Band,12295.0,Twelve-Bar Blues,B,5582.0
2210.0,1925/08,Rough And Tumble Blues,Her Georgia Band,12311.0,Twelve-Bar Blues,B,5582.0
2211.0,1925/08,Night Time Blues,Her Georgia Band,12303.0,Twelve-Bar Blues,B,5582.0
2212.0,1925/08,Levee Camp Moan,Her Georgia Band,12295.0,Non-blues,B,5582.0
2213.0,1925/08,Four Day Honorary Scat,Her Georgia Band,12303.0,Non-blues,B,5582.0
2214.0,1925/08,Memphis Bound Blues,Her Georgia Band,12311.0,Twelve-Bar Blues,B,5582.0
2369.0,1925/12,Slave To The Blues,Her Georgia Band,12332.0,Twelve-Bar Blues,C,5583.0
2370.0,1925/12,Yonder Come The Blues,Her Georgia Band,12357.0,Non-blues,C,5583.0
2371.0,1925/12,Titanic Man Blues,Her Georgia Band,12374.0,Mixture of Blues and Popular Song Forms,C,5583.0
2372.0,1925/12,Chain Gang Blues,Her Georgia Band,12338.0,Twelve-Bar Blues,C,5583.0
2373.0,1925/12,Bessemer Bound Blues,Her Georgia Jazz Band,12332.0,Twelve-Bar Blues,C,5583.0
2374.0,1925/12,Oh My Babe Blues,Her Georgia Band,12374.0,Non-blues,C,5583.0
2375.0,1925/12,Wringing And Twisting Blues,Her Georgia Band,12338.0,Non-blues,C,5583.0
2369.0,1925/12,Stack O'Lee Blues,Her Georgia Band,12357.0,Ballad,C,5583.0
2448.0,1926/03,Broken Hearted Blues,Her Georgia Band,12364.0,Twelve-Bar Blues,C,5583.0
2451.0,1926/03,Jealousy Blues,Her Georgia Band,12364.0,Non-blues,C,5583.0
2452.0,1926/03,Seeking Blues,Her Georgia Band,12352.0,Mixture of Blues and Popular Song Forms,C,5583.0
2466.0,1926/03,Mountain Jack Blues,Jimmy Blythe (piano),12352.0,Twelve-Bar Blues,C,5583.0
2627.0,1926/06,Down In The Basement,Her Georgia Band,12395.0,Non-blues,C,5583.0
2628.0,1926/06,Sissy Blues,Her Georgia Band,12384.0,Twelve-Bar Blues,C,5583.0
2629.0,1926/06,Broken Soul Blues,Her Georgia Band,12384.0,Non-blues,C,5583.0
2631.0,1926/06,Trust No Man,Lillian Henderson (piano),12395.0,Non-blues,C,5583.0
405.0,1926/11,Morning Hour Blues,Jimmy Blythe (piano) Blind Blake (guitar),12455.0,Twelve-Bar Blues,D,5584.0
407.0,1926/11,Weepin' Woman Blues,Her Georgia Boys,12455.0,Twelve-Bar Blues,D,5584.0
408.0,1926/11,Soon This Morning,Her Georgia Band,12438.0,Twelve-Bar Blues,D,5584.0
4019.0,1926/12,Little Low Mamma Blues,Blind Blake (guitar) poss Leroy Picket (violin),12419.0,Twelve-Bar Blues,D,5584.0
4020.0,1926/12,Grievin Hearted Blues,Blind Blake (guitar) poss Leroy Picket (violin),12419.0,Mixture of Blues and Popular Song Forms,D,5584.0
4021.0,1926/12,Don't Fish In My Sea,Jimmy Blythe (piano),12438.0,Twelve-Bar Blues,D,5584.0
4082.0,1927/08,Big Boy Blues,Her Georgia Band,12548.0,Twelve-Bar Blues,D,5584.0
4083.0,1927/08,Blues Oh Blues,Her Georgia Band,12566.0,Non-Blues,D,5584.0
4090.0,1927/08,Damper Down Blues,Her Georgia Band,12548.0,Twelve-Bar Blues,D,5584.0
4091.0,1927/08,Gone Daddy Blues,Her Georgia Band,12526.0,Mixture of Blues and Popular Song Forms,D,5584.0
4092.0,1927/08,Oh Papa Blues,Her Georgia Band,12566.0,Non-blues,D,5584.0
4707.0,1927/08,Misery Blues,Her Georgia Band,12508.0,Non-blues,D,5584.0
4708.0,1927/08,Dead Drunk Blues,Her Georgia Band,12508.0,Twelve-Bar Blues,D,5584.0
4709.0,1927/08,Slow Driving Moan,Her Georgia Band,12526.0,Mixture of Blues and Popular Song Forms,D,5584.0
20228.0,1927/12,Blues The World Forgot — Part 1,Her Georgia Band,12647.0,Comedy,D,5584.0
20229.0,1927/12,Ma Rainey's Black Bottom,Her Georgia Band,12590.0,Non-blues,D,5584.0
20230.0,1927/12,Blues The World Forgot — Part 2,Her Georgia Band,12647.0,Comedy,D,5584.0
20231.0,1927/12,Hellish Rag,Her Georgia Band,12612.0,Non-blues,D,5584.0
20232.0,1927/12,Georgia Cake Walk,Her Georgia Band,12590.0,Comedy,D,5584.0
20233.0,1927/12,New Bo-Weavil Blues,Her Georgia Band,12603.0,Mixture of Blues and Popular Song Forms,D,5584.0
20232.0,1927/12,Moonshine Blues,Her Georgia Band,12603.0,Mixture of Blues and Popular Song Forms,D,5584.0
20233.0,1927/12,Ice Bag Papa,Her Georgia Band,12612.0,Non-blues,D,5584.0
20661.0,1928/06,Black Cat Hoot Owl Blues,Her Tub Jug Washboard Band,12687.0,Twelve-Bar Blues,E,5156.0
20662.0,1928/06,Log Camp Blues,Her Tub Jug Washboard Band,12804.0,Twelve-Bar Blues,E,5156.0
20663.0,1928/06,Hear Me Talking To You,Her Tub Jug Washboard Band,12668.0,Twelve-Bar Blues,E,5156.0
20664.0,1928/06,Hustlin' Blues,Her Tub Jug Washboard Band,12804.0,Twelve-Bar Blues,E,5156.0
20665.0,1928/06,Prove It On Me Blues,Her Tub Jug Washboard Band,12668.0,Non-blues,E,5156.0
20666.0,1928/06,Victim Of The Blues,Her Tub Jug Washboard Band,12687.0,Twelve-Bar Blues,E,5156.0
20667.0,1928/06,Traveling Blues,Her Tub Jug Washboard Band,12707.0,Twelve-Bar Blues,E,5156.0
20668.0,1928/06,Deep Moaning Blues Blues,Her Tub Jug Washboard Band,12707.0,Twelve-Bar Blues,E,5156.0
20878.0,1928/09,Daddy Goodbye Blues,Georgia Tom Dorsey (piano) Tampa Red (guitar),12963.0,Eight-Bar Blues,E,5156.0
20879.0,1928/09,Sleep Talking Blues,Georgia Tom Dorsey (piano) Tampa Red (guitar),12760.0,Twelve-Bar Blues,E,5156.0
20880.0,1928/09,Tough Luck Blues,Georgia Tom Dorsey (piano) Tampa Red (guitar),12735.0,Twelve-Bar Blues,E,5156.0
20881.0,1928/09,Blame It On The Blues,Georgia Tom Dorsey (piano) Tampa Red (guitar),12760.0,Twelve-Bar Blues,E,5156.0
20882.0,1928/09,Sweet Rough Man,Georgia Tom Dorsey (piano) Tampa Red (guitar),12926.0,Twelve-Bar Blues,E,5156.0
20883.0,1928/09,Runaway Blues,Georgia Tom Dorsey (piano) Tampa Red (guitar),12902.0,Twelve-Bar Blues,E,5156.0
20885.0,1928/09,Screech Owl Blues,Eddie Miller (piano),12735.0,Twelve-Bar Blues,E,5156.0
20886.0,1928/09,Black Dust Blues,Eddie Miller (piano),12926.0,Twelve-Bar Blues,E,5156.0
20897.0,1928/09,Leaving This Morning,Georgia Tom Dorsey (piano) Tampa Red (guitar),12902.0,Twelve-Bar Blues,E,5156.0
20898.0,1928/09,Black Eye Blues,Georgia Tom Dorsey (piano) Tampa Red (guitar),12963.0,Twelve-Bar Blues,E,5156.0
20921.0,1928/10,Ma And Pa Poorhouse Blues,Papa Charlie Jackson (duet & Banjo),12718.0,Twelve-Bar Blues,E,5156.0
20144.0,1928/10,Big Feeling Blues,Papa Charlie Jackson (duet & Banjo),12718.0,Twelve-Bar Blues,E,5156.0
