Region,Citation,Court of Appeals,Established,Judges,Meeting places,Chief judge
Middle District of North Carolina,M.D.N.C.,4th,1927.0,4.0,3.0,"James A. Beaty, Jr."
Western District of North Carolina,W.D.N.C.,4th,1790.0,5.0,5.0,"Robert James Conrad, Jr."
District of North Dakota,D.N.D.,8th,1890.0,2.0,4.0,Ralph R. Erickson
District of the Northern Mariana Islands,D.N. Mar. I.,9th,1977.0,1.0,1.0,Ramona Villagomez Manglona
Northern District of Ohio,N.D. Ohio,6th,1803.0,12.0,5.0,"Solomon Oliver, Jr."
Southern District of Ohio,S.D. Ohio,6th,1803.0,8.0,5.0,Susan J. Dlott
Eastern District of Oklahoma,E.D. Ok. or E.D. Okla.,10th,1906.0,2.0,8.0,James H. Payne
Northern District of Oklahoma,N.D. Ok. or N.D. Okla.,10th,1925.0,4.0,5.0,Gregory Kent Frizzell
Western District of Oklahoma,W.D. Ok. or W.D. Okla.,10th,1906.0,7.0,10.0,Vicki Miles-LaGrange
District of Oregon,D. Or. or D. Ore.,9th,1859.0,6.0,7.0,Ann L. Aiken
Eastern District of Pennsylvania,E.D. Pa.,3rd,1789.0,22.0,5.0,Petrese B. Tucker
Middle District of Pennsylvania,M.D. Pa.,3rd,1901.0,6.0,5.0,Yvette Kane
Western District of Pennsylvania,W.D. Pa.,3rd,1789.0,10.0,3.0,Joy Flowers Conti
District of Puerto Rico,D.P.R.,1st,1966.0,7.0,3.0,Aida Delgado-Colon
District of Rhode Island,D.R.I.,1st,1790.0,3.0,1.0,Mary M. Lisi
District of South Carolina,D.S.C.,4th,1789.0,10.0,11.0,Terry L. Wooten
District of South Dakota,D.S.D.,8th,1889.0,3.0,5.0,Jeffrey L. Viken
Eastern District of Tennessee,E.D. Tenn.,6th,1797.0,5.0,4.0,Thomas A. Varlan
Middle District of Tennessee,M.D. Tenn.,6th,1839.0,4.0,3.0,"William Joseph Haynes, Jr."
Western District of Tennessee,W.D. Tenn.,6th,1797.0,5.0,3.0,J. Daniel Breen
Eastern District of Texas,E.D. Tex.,5th,1845.0,8.0,7.0,Leonard Davis
Northern District of Texas,N.D. Tex.,5th,1879.0,12.0,7.0,Sidney A. Fitzwater
Southern District of Texas,S.D. Tex.,5th,1902.0,19.0,7.0,Ricardo Hinojosa
Western District of Texas,W.D. Tex.,5th,1845.0,13.0,8.0,"Samuel Frederick Biery, Jr."
District of Utah,D. Utah,10th,1894.0,5.0,4.0,Ted Stewart
District of Vermont,D. Vt.,2nd,1791.0,2.0,7.0,Christina Reiss
District of the Virgin Islands,D.V.I.,3rd,1936.0,2.0,2.0,Curtis V. Gomez
Eastern District of Virginia,E.D. Va.,4th,1789.0,11.0,4.0,Rebecca Beach Smith
Western District of Virginia,W.D. Va.,4th,1789.0,4.0,7.0,Glen E. Conrad
Eastern District of Washington,E.D. Wash.,9th,1890.0,4.0,4.0,Rosanna M. Peterson
Western District of Washington,W.D. Wash.,9th,1890.0,8.0,3.0,Marsha J. Pechman
Northern District of West Virginia,N.D. W. Va.,4th,1864.0,3.0,5.0,John Preston Bailey
Southern District of West Virginia,S.D. W. Va.,4th,1864.0,5.0,6.0,Joseph Robert Goodwin
Eastern District of Wisconsin,E.D. Wis.,7th,1848.0,5.0,3.0,William C. Griesbach
Western District of Wisconsin,W.D. Wis.,7th,1848.0,2.0,5.0,William M. Conley
