County,Per capita income,Median household income,Median family income,Population,Number of households
Stafford,"$23,171","$39,375","$51,414",4437.0,1907.0
Sumner,"$23,114","$49,582","$62,429",24132.0,9454.0
Lincoln,"$23,084","$41,071","$50,547",3241.0,1423.0
Wabaunsee,"$23,072","$52,133","$61,823",7053.0,2737.0
Comanche,"$22,974","$34,808","$50,938",1891.0,824.0
Rawlins,"$22,895","$39,797","$50,750",2519.0,1176.0
Harvey,"$22,890","$46,604","$59,788",34684.0,13411.0
Morton,"$22,862","$42,273","$55,145",3233.0,1250.0
Kingman,"$22,861","$44,510","$55,152",7858.0,3227.0
Logan,"$22,856","$39,375","$57,000",2756.0,1219.0
Gove,"$22,775","$41,295","$47,561",2695.0,1154.0
Osage,"$22,697","$48,594","$57,124",16295.0,6552.0
Ottawa,"$22,665","$50,814","$59,750",6091.0,2456.0
Sherman,"$22,651","$41,570","$49,135",6010.0,2608.0
Gray,"$22,606","$52,824","$59,867",6006.0,2153.0
Osborne,"$22,536","$34,797","$47,250",3858.0,1742.0
Nemaha,"$22,484","$46,134","$57,083",10178.0,4115.0
Linn,"$22,472","$44,379","$53,167",9656.0,4020.0
Harper,"$22,467","$38,168","$46,335",6034.0,2545.0
Jewell,"$22,443","$37,759","$47,431",3077.0,1450.0
Franklin,"$22,294","$49,459","$58,941",25992.0,10104.0
Reno,"$22,149","$41,431","$49,490",64511.0,25794.0
Trego,"$22,095","$39,655","$51,250",3001.0,1358.0
Dickinson,"$22,009","$46,457","$56,779",19754.0,8073.0
Decatur,"$21,966","$35,383","$44,338",2961.0,1378.0
Haskell,"$21,966","$45,859","$60,216",4256.0,1510.0
Chase,"$21,890","$40,372","$54,554",2790.0,1150.0
Phillips,"$21,870","$44,381","$54,193",5642.0,2432.0
Doniphan,"$21,704","$43,410","$53,226",7945.0,3136.0
Ellsworth,"$21,704","$42,200","$54,071",6497.0,2463.0
Stevens,"$21,633","$50,517","$54,832",5724.0,2044.0
Chautauqua,"$21,613","$35,848","$49,043",3669.0,1612.0
Greenwood,"$21,325","$37,180","$49,336",6689.0,2988.0
Marshall,"$21,295","$43,125","$56,261",10117.0,4300.0
Marion,"$21,166","$45,713","$55,861",12660.0,5005.0
Montgomery,"$21,037","$40,603","$51,264",35471.0,14382.0
Labette,"$21,021","$39,049","$48,924",21607.0,8822.0
Atchison,"$20,995","$44,175","$52,908",16924.0,6241.0
Finney,"$20,976","$50,454","$56,747",36776.0,12359.0
Elk,"$20,958","$33,455","$40,463",2882.0,1284.0
Kearny,"$20,888","$46,435","$50,029",3977.0,1400.0
Hodgeman,"$20,859","$41,127","$54,688",1916.0,803.0
Cowley,"$20,720","$40,749","$51,655",36311.0,13940.0
Geary,"$20,709","$45,559","$50,195",34362.0,12690.0
Washington,"$20,577","$39,698","$51,673",5799.0,2474.0
Anderson,"$20,558","$40,428","$47,018",8102.0,3260.0
Wichita,"$20,375","$44,318","$50,492",2234.0,891.0
Allen,"$20,195","$41,546","$51,855",13371.0,5475.0
Hamilton,"$20,190","$36,297","$37,813",2690.0,1060.0
Cherokee,"$20,075","$38,154","$48,319",21603.0,8625.0
Riley,"$19,999","$39,257","$56,683",71115.0,25796.0
Crawford,"$19,753","$35,286","$49,297",39134.0,15729.0
Brown,"$19,555","$37,525","$46,646",9984.0,4094.0
Cheyenne,"$19,460","$31,186","$47,386",2726.0,1260.0
Kiowa,"$19,430","$37,292","$44,222",2553.0,1014.0
Ford,"$19,348","$46,621","$52,211",33848.0,11145.0
Rice,"$19,316","$43,164","$51,011",10083.0,3906.0
Stanton,"$19,196","$49,612","$51,520",2235.0,825.0
Norton,"$19,080","$32,016","$56,773",5671.0,2163.0
Wyandotte,"$18,827","$38,503","$47,653",157505.0,58399.0
Wilson,"$18,708","$39,301","$48,207",9409.0,3933.0
Cloud,"$18,690","$35,838","$44,679",9533.0,3910.0
Neosho,"$18,683","$36,702","$48,652",16512.0,6645.0
Bourbon,"$18,596","$38,045","$48,003",15173.0,5986.0
Lyon,"$18,245","$36,921","$48,766",33690.0,13303.0
Seward,"$18,083","$41,373","$46,434",22952.0,7460.0
Pawnee,"$17,927","$40,048","$48,364",6973.0,2665.0
