Municipality,Coakley votes,Coakley %,Brown votes,Brown %,Kennedy votes,Kennedy %,Total vote,Turnout %
Easton,3350.0,35.9%,5931.0,63.5%,59.0,0.6%,9340.0,61%
Edgartown,1002.0,55.8%,771.0,42.9%,24.0,1.3%,1797.0,57%
Egremont,445.0,71.8%,172.0,27.7%,3.0,0.5%,620.0,65%
Erving,296.0,57.8%,208.0,40.6%,8.0,1.6%,512.0,47%
Essex,685.0,39.7%,1023.0,59.3%,17.0,1.0%,1725.0,63%
Everett,4245.0,52.0%,3798.0,46.5%,123.0,1.5%,8166.0,44%
Fairhaven,2834.0,47.6%,3045.0,51.2%,69.0,1.2%,5948.0,54%
Fall River,10341.0,56.9%,7489.0,41.2%,343.0,1.9%,18173.0,38%
Falmouth,7133.0,46.6%,8041.0,52.5%,128.0,0.8%,15302.0,59%
Fitchburg,3783.0,40.0%,5574.0,58.9%,104.0,1.1%,9461.0,46%
Florida,144.0,52.9%,125.0,46.0%,3.0,1.1%,272.0,49%
Foxborough,2465.0,33.6%,4821.0,65.7%,57.0,0.8%,7343.0,65%
Framingham,10329.0,52.6%,9149.0,46.6%,160.0,0.8%,19638.0,58%
Franklin,4470.0,33.3%,8828.0,65.8%,110.0,0.8%,13408.0,67%
Freetown,1189.0,34.5%,2220.0,64.5%,34.0,1.0%,3443.0,55%
Gardner,2441.0,42.0%,3271.0,56.2%,105.0,1.8%,5817.0,52%
Georgetown,1239.0,34.7%,2311.0,64.6%,25.0,0.7%,3575.0,61%
Gill,398.0,62.2%,226.0,35.3%,16.0,2.5%,640.0,60%
Gloucester,5553.0,49.6%,5522.0,49.3%,121.0,1.1%,11196.0,56%
Goshen,244.0,53.0%,204.0,44.3%,12.0,2.6%,460.0,64%
Gosnold,18.0,38.3%,29.0,61.7%,0.0,0.0%,47.0,34%
Grafton,2442.0,35.5%,4372.0,63.6%,59.0,0.9%,6873.0,60%
Granby,1044.0,40.4%,1512.0,58.5%,27.0,1.0%,2583.0,57%
Granville,207.0,30.2%,472.0,68.9%,6.0,0.9%,685.0,60%
Great Barrington,2025.0,76.7%,591.0,22.4%,25.0,0.9%,2641.0,57%
Greenfield,3835.0,64.6%,1992.0,33.6%,109.0,1.8%,5936.0,53%
Groton,2132.0,44.2%,2663.0,55.2%,29.0,0.6%,4824.0,67%
Groveland,991.0,33.0%,1980.0,66.0%,28.0,0.9%,2999.0,62%
Hadley,1407.0,59.3%,936.0,39.5%,29.0,1.2%,2372.0,63%
Halifax,992.0,31.2%,2147.0,67.5%,42.0,1.3%,3181.0,57%
Hamilton,1381.0,37.1%,2319.0,62.2%,27.0,0.7%,3727.0,65%
Hampden,754.0,32.9%,1511.0,65.9%,27.0,1.2%,2292.0,65%
Hancock,158.0,57.0%,118.0,42.6%,1.0,0.4%,277.0,54%
Hanover,1895.0,28.4%,4731.0,71.0%,35.0,0.5%,6661.0,71%
Hanson,1254.0,28.8%,3067.0,70.4%,35.0,0.8%,4356.0,65%
Hardwick,377.0,38.6%,586.0,60.0%,14.0,1.4%,977.0,55%
Harvard,1568.0,54.1%,1305.0,45.1%,23.0,0.8%,2896.0,71%
Harwich,2635.0,41.9%,3597.0,57.2%,51.0,0.8%,6283.0,62%
Hatfield,875.0,56.2%,652.0,41.9%,29.0,1.9%,1556.0,62%
Haverhill,7259.0,39.2%,11069.0,59.7%,202.0,1.1%,18530.0,45%
Hawley,63.0,48.1%,63.0,48.1%,5.0,3.8%,131.0,58%
Heath,203.0,61.9%,123.0,37.5%,2.0,0.6%,328.0,62%
Hingham,4416.0,39.2%,6800.0,60.3%,53.0,0.5%,11269.0,72%
Hinsdale,415.0,58.5%,285.0,40.1%,10.0,1.4%,710.0,50%
Holbrook,1527.0,38.5%,2402.0,60.5%,41.0,1.0%,3970.0,57%
Holden,2864.0,34.4%,5396.0,64.7%,74.0,0.9%,8334.0,68%
Holland,299.0,31.9%,631.0,67.3%,8.0,0.9%,938.0,51%
Holliston,2921.0,43.7%,3725.0,55.8%,35.0,0.5%,6681.0,68%
Holyoke,4869.0,55.3%,3771.0,42.8%,169.0,1.9%,8809.0,36%
Hopedale,997.0,37.7%,1619.0,61.2%,30.0,1.1%,2646.0,67%
Hopkinton,2600.0,38.5%,4123.0,61.0%,35.0,0.5%,6758.0,71%
Hubbardston,607.0,30.0%,1388.0,68.5%,30.0,1.5%,2025.0,67%
Hudson,3068.0,41.8%,4181.0,57.0%,90.0,1.2%,7339.0,58%
Hull,2037.0,45.4%,2409.0,53.7%,44.0,1.0%,4490.0,58%
Huntington,346.0,41.2%,467.0,55.7%,26.0,3.1%,839.0,60%
Ipswich,2604.0,41.6%,3604.0,57.6%,45.0,0.7%,6253.0,62%
Kingston,1701.0,32.0%,3576.0,67.4%,31.0,0.6%,5308.0,63%
Lakeville,1259.0,27.7%,3248.0,71.4%,44.0,1.0%,4551.0,62%
Lancaster,1012.0,34.9%,1860.0,64.2%,25.0,0.9%,2897.0,63%
Lanesborough,654.0,61.5%,399.0,37.5%,11.0,1.0%,1064.0,48%
Lawrence,6449.0,65.3%,3331.0,33.7%,98.0,1.0%,9878.0,28%
Lee,1272.0,63.9%,704.0,35.3%,16.0,0.8%,1992.0,50%
Leicester,1320.0,32.6%,2682.0,66.1%,53.0,1.3%,1992.0,56%
Lenox,1532.0,71.7%,594.0,27.8%,12.0,0.6%,2138.0,57%
Leominster,4707.0,36.3%,8127.0,62.6%,141.0,1.1%,12975.0,47%
Leverett,779.0,81.9%,164.0,17.2%,8.0,0.8%,951.0,68%
Lexington,9375.0,65.0%,4953.0,34.4%,85.0,0.6%,14413.0,68%
Leyden,211.0,64.1%,116.0,35.3%,2.0,0.6%,329.0,57%
Lincoln,1928.0,67.9%,899.0,31.6%,14.0,0.5%,2841.0,66%
Littleton,1859.0,43.5%,2389.0,55.9%,22.0,0.5%,4270.0,69%
Longmeadow,3158.0,42.7%,4196.0,56.7%,47.0,0.6%,7401.0,63%
Lowell,9547.0,46.8%,10548.0,51.7%,302.0,1.5%,20397.0,38%
Ludlow,2768.0,39.5%,4159.0,59.3%,86.0,1.2%,7013.0,51%
Lunenburg,1530.0,34.3%,2890.0,64.8%,43.0,1.0%,4463.0,62%
Lynn,9791.0,52.7%,8595.0,46.2%,203.0,1.1%,18589.0,38%
Lynnfield,1620.0,28.6%,4010.0,70.8%,37.0,0.7%,5667.0,64%
Malden,7794.0,56.0%,5945.0,42.7%,186.0,1.3%,13925.0,48%
Manchester,1189.0,44.1%,1494.0,55.4%,12.0,0.4%,2695.0,70%
Mansfield,3045.0,33.8%,5909.0,65.5%,65.0,0.7%,9019.0,63%
Marblehead,4657.0,46.5%,5285.0,52.8%,64.0,0.6%,10006.0,69%
Marion,1002.0,42.6%,1332.0,56.7%,17.0,0.7%,2351.0,64%
Marlborough,5037.0,42.0%,6817.0,56.9%,128.0,1.1%,11982.0,59%
Marshfield,3895.0,33.4%,7677.0,65.8%,91.0,0.8%,11663.0,66%
Mashpee,2313.0,37.3%,3835.0,61.8%,60.0,1.0%,6208.0,61%
Mattapoisett,1317.0,41.4%,1834.0,57.7%,27.0,0.8%,3178.0,65%
Maynard,2231.0,51.1%,2131.0,48.8%,2.0,0.0%,4364.0,60%
Medfield,2276.0,37.0%,3842.0,62.4%,40.0,0.6%,6158.0,74%
Medford,11415.0,57.1%,8381.0,41.9%,206.0,1.0%,20002.0,57%
Medway,2044.0,35.7%,3641.0,63.6%,38.0,0.7%,5723.0,64%
Melrose,5861.0,48.7%,6085.0,50.6%,91.0,0.8%,12037.0,64%
Mendon,792.0,30.9%,1750.0,68.3%,19.0,0.7%,2561.0,62%
Merrimac,1042.0,38.2%,1651.0,60.5%,37.0,1.4%,2730.0,62%
Methuen,4837.0,34.2%,9171.0,64.9%,117.0,0.8%,14125.0,49%
Middleborough,2615.0,29.6%,6158.0,69.6%,76.0,0.9%,8849.0,57%
Middlefield,126.0,51.9%,113.0,46.5%,4.0,1.6%,243.0,68%
Middleton,1081.0,30.7%,2412.0,68.6%,23.0,0.7%,3516.0,64%
Milford,3561.0,39.2%,5432.0,59.8%,88.0,1.0%,9081.0,55%
Millbury,1655.0,34.3%,3125.0,64.7%,49.0,1.0%,4829.0,56%
Millis,1383.0,36.0%,2430.0,63.2%,31.0,0.8%,3844.0,72%
Millville,323.0,28.4%,799.0,70.3%,14.0,1.2%,1136.0,59%
Milton,6436.0,50.0%,6347.0,49.3%,86.0,0.7%,12869.0,70%
Monroe,20.0,50.0%,19.0,47.5%,1.0,2.5%,40.0,56%
Monson,1258.0,38.8%,1933.0,59.6%,53.0,1.6%,3244.0,57%
Montague,1895.0,64.7%,985.0,33.6%,51.0,1.7%,2931.0,51%
Monterey,296.0,73.8%,102.0,25.4%,3.0,0.7%,401.0,57%
Montgomery,123.0,31.2%,267.0,67.8%,4.0,1.0%,394.0,67%
Mount Washington,62.0,73.8%,21.0,25.0%,1.0,1.2%,84.0,66%
Nahant,877.0,49.5%,880.0,49.7%,13.0,0.7%,1770.0,69%
Nantucket,2139.0,50.6%,2032.0,48.0%,58.0,1.4%,4229.0,55%
Natick,7208.0,50.5%,6954.0,48.7%,125.0,0.9%,14287.0,64%
Needham,7654.0,52.4%,6894.0,47.2%,59.0,0.4%,14607.0,71%
New Ashford,68.0,62.4%,39.0,35.8%,2.0,1.8%,109.0,62%
New Bedford,11754.0,59.0%,7828.0,39.3%,339.0,1.7%,19921.0,35%
New Braintree,169.0,36.8%,285.0,62.1%,5.0,1.1%,459.0,65%
Newbury,1414.0,40.4%,2048.0,58.5%,36.0,1.0%,3498.0,68%
Newburyport,4266.0,50.2%,4174.0,49.1%,57.0,0.7%,8497.0,65%
New Marlborough,366.0,61.1%,227.0,37.9%,6.0,1.0%,599.0,53%
New Salem,259.0,55.6%,195.0,41.8%,12.0,2.6%,466.0,60%
Newton,23456.0,67.0%,11352.0,32.4%,217.0,0.6%,35025.0,63%
Norfolk,1394.0,29.5%,3308.0,69.9%,28.0,0.6%,4730.0,75%
North Adams,2854.0,74.1%,965.0,25.0%,34.0,0.9%,3853.0,42%
Northampton,9415.0,78.7%,2447.0,20.4%,105.0,0.9%,11967.0,61%
North Andover,3826.0,35.0%,7018.0,64.2%,80.0,0.7%,10924.0,60%
North Attleborough,3018.0,27.7%,7778.0,71.5%,85.0,0.8%,10881.0,59%
Northborough,2486.0,39.1%,3816.0,60.0%,61.0,1.0%,6363.0,65%
Northbridge,1638.0,28.7%,3987.0,69.9%,76.0,1.3%,5701.0,56%
North Brookfield,528.0,29.8%,1225.0,69.2%,17.0,1.0%,1770.0,55%
Northfield,744.0,58.4%,508.0,39.8%,23.0,1.8%,1275.0,60%
North Reading,2135.0,32.5%,4373.0,66.6%,54.0,0.8%,6562.0,64%
Norton,2209.0,33.0%,4424.0,66.1%,57.0,0.9%,6690.0,59%
Norwell,1680.0,32.3%,3485.0,67.1%,32.0,0.6%,5197.0,70%
Norwood,4532.0,40.4%,6568.0,58.6%,117.0,1.0%,11217.0,57%
Oak Bluffs,1177.0,60.9%,732.0,37.8%,25.0,1.3%,1934.0,58%
Oakham,281.0,29.9%,645.0,68.6%,14.0,1.5%,940.0,71%
Orange,869.0,37.3%,1416.0,60.9%,42.0,1.8%,2327.0,48%
Orleans,1705.0,46.2%,1961.0,53.1%,26.0,0.7%,3692.0,68%
Otis,265.0,47.8%,283.0,51.1%,6.0,1.1%,554.0,51%
Oxford,1439.0,30.9%,3151.0,67.7%,61.0,1.3%,4651.0,54%
Palmer,1622.0,38.3%,2524.0,59.6%,91.0,2.1%,4237.0,51%
Paxton,687.0,33.7%,1331.0,65.4%,18.0,0.9%,2036.0,65%
Peabody,7619.0,39.6%,11440.0,59.4%,191.0,1.0%,19250.0,57%
Pelham,596.0,82.2%,126.0,17.4%,3.0,0.4%,725.0,63%
Pembroke,2424.0,31.9%,5134.0,67.6%,41.0,0.5%,7599.0,61%
Pepperell,1607.0,32.6%,3279.0,66.6%,38.0,0.8%,4924.0,61%
Peru,162.0,55.9%,125.0,43.1%,3.0,1.0%,290.0,49%
Petersham,306.0,45.6%,357.0,53.2%,8.0,1.2%,671.0,71%
Phillipston,235.0,33.0%,467.0,65.6%,10.0,1.4%,712.0,60%
Pittsfield,8990.0,69.5%,3803.0,29.4%,149.0,1.2%,12942.0,45%
Plainfield,213.0,69.2%,91.0,29.5%,4.0,1.3%,308.0,69%
Plainville,971.0,28.0%,2469.0,71.2%,30.0,0.9%,3470.0,63%
Plymouth,7989.0,35.6%,14276.0,63.6%,176.0,0.8%,22441.0,60%
Plympton,444.0,31.5%,951.0,67.5%,14.0,1.0%,1409.0,70%
Princeton,681.0,36.6%,1165.0,62.6%,16.0,0.9%,1862.0,68%
Provincetown,1344.0,84.1%,238.0,14.9%,16.0,1.0%,1598.0,55%
Quincy,13330.0,45.6%,15607.0,53.3%,325.0,1.1%,29262.0,47%
Randolph,5996.0,61.2%,3699.0,37.8%,100.0,1.0%,9795.0,50%
Raynham,1687.0,31.8%,3574.0,67.3%,48.0,0.9%,5309.0,58%
Reading,4659.0,42.5%,6225.0,56.8%,81.0,0.7%,10965.0,66%
Rehoboth,1538.0,33.0%,3080.0,66.1%,44.0,0.9%,4662.0,56%
Revere,5021.0,45.8%,5785.0,52.8%,150.0,1.4%,10956.0,46%
Richmond,499.0,68.6%,220.0,30.3%,8.0,1.1%,727.0,63%
Rochester,776.0,31.3%,1671.0,67.5%,30.0,1.2%,2477.0,63%
Rockland,2231.0,33.9%,4253.0,64.7%,89.0,1.4%,6573.0,56%
Rockport,1879.0,52.5%,1667.0,46.6%,34.0,0.9%,3580.0,64%
Rowe,97.0,50.5%,89.0,46.4%,6.0,3.1%,192.0,63%
Rowley,893.0,32.3%,1845.0,66.8%,26.0,0.9%,2764.0,66%
Royalston,213.0,40.6%,298.0,56.9%,13.0,2.5%,524.0,59%
Russell,195.0,33.3%,379.0,64.8%,11.0,1.9%,585.0,57%
Rutland,1029.0,30.6%,2307.0,68.6%,25.0,0.7%,3361.0,64%
Salem,6650.0,53.1%,5726.0,45.7%,154.0,1.2%,12530.0,50%
Salisbury,1061.0,35.0%,1927.0,63.6%,42.0,1.4%,3030.0,51%
Sandisfield,150.0,50.0%,146.0,48.7%,4.0,1.3%,300.0,52%
Sandwich,3416.0,33.8%,6625.0,65.6%,61.0,0.6%,10102.0,65%
Saugus,3587.0,35.9%,6315.0,63.2%,96.0,1.0%,9998.0,58%
Savoy,131.0,54.8%,104.0,43.5%,4.0,1.7%,239.0,46%
Scituate,3474.0,38.1%,5584.0,61.2%,61.0,0.7%,9119.0,69%
Seekonk,1911.0,37.6%,3133.0,61.7%,36.0,0.7%,5080.0,53%
Sharon,4461.0,55.4%,3536.0,43.9%,61.0,0.8%,8058.0,66%
Sheffield,822.0,63.9%,448.0,34.8%,16.0,1.2%,1286.0,57%
Shelburne,588.0,68.4%,263.0,30.6%,9.0,1.0%,860.0,62%
Sherborn,1061.0,45.2%,1269.0,54.1%,17.0,0.7%,2347.0,77%
Shirley,868.0,35.7%,1525.0,62.7%,38.0,1.6%,2431.0,62%
Shrewsbury,5242.0,39.7%,7867.0,59.5%,104.0,0.8%,13213.0,60%
Shutesbury,771.0,82.5%,158.0,16.9%,5.0,0.5%,934.0,65%
Somerset,3553.0,48.5%,3706.0,50.5%,73.0,1.0%,7332.0,54%
Somerville,16965.0,74.8%,5462.0,24.1%,261.0,1.2%,22688.0,54%
Southampton,1052.0,40.2%,1533.0,58.5%,34.0,1.3%,2619.0,65%
Southborough,1845.0,40.4%,2689.0,58.9%,33.0,0.7%,4567.0,69%
Southbridge,1748.0,42.5%,2271.0,55.2%,98.0,2.4%,4117.0,34%
South Hadley,3227.0,47.7%,3434.0,50.8%,102.0,1.5%,6763.0,59%
Southwick,1074.0,29.8%,2469.0,68.6%,56.0,1.6%,3599.0,53%
Spencer,1237.0,30.8%,2727.0,67.9%,53.0,1.3%,4017.0,52%
Springfield,17610.0,61.4%,10630.0,37.1%,432.0,1.5%,28672.0,32%
Sterling,1174.0,31.0%,2569.0,67.8%,44.0,1.2%,3787.0,67%
Stockbridge,672.0,74.1%,224.0,24.7%,11.0,1.2%,907.0,61%
Stoneham,3634.0,39.6%,5473.0,59.6%,75.0,0.8%,9182.0,61%
Stoughton,4466.0,43.9%,5616.0,55.2%,84.0,0.8%,10166.0,58%
Stow,1595.0,46.8%,1789.0,52.5%,24.0,0.7%,3408.0,73%
Sturbridge,1350.0,35.1%,2454.0,63.8%,44.0,1.1%,3848.0,60%
Sudbury,4291.0,51.0%,4078.0,48.5%,41.0,0.5%,8410.0,71%
Sunderland,842.0,66.6%,410.0,32.4%,12.0,0.9%,1264.0,53%
Sutton,1136.0,27.6%,2931.0,71.3%,43.0,1.0%,1264.0,62%
Swampscott,3121.0,48.7%,3222.0,50.2%,72.0,1.1%,6415.0,63%
Swansea,2449.0,42.1%,3297.0,56.7%,73.0,1.3%,5819.0,51%
Taunton,6586.0,41.8%,8925.0,56.7%,228.0,1.4%,15739.0,48%
Templeton,886.0,32.3%,1814.0,66.1%,44.0,1.6%,2744.0,55%
Tewksbury,3381.0,31.2%,7353.0,67.9%,90.0,0.8%,10824.0,54%
Tisbury,1172.0,66.2%,579.0,32.7%,19.0,1.1%,1770.0,58%
Tolland,56.0,25.7%,158.0,72.5%,4.0,1.8%,218.0,64%
Topsfield,1117.0,35.7%,1993.0,63.6%,22.0,0.7%,3132.0,75%
Townsend,1092.0,29.2%,2618.0,69.9%,36.0,1.0%,3746.0,59%
Truro,673.0,62.5%,396.0,36.8%,7.0,0.7%,1076.0,64%
Tyngsborough,1452.0,31.0%,3186.0,68.0%,45.0,1.0%,4683.0,59%
Tyringham,131.0,61.2%,82.0,38.3%,1.0,0.5%,214.0,68%
Upton,1138.0,34.5%,2125.0,64.5%,32.0,1.0%,3295.0,67%
Uxbridge,1651.0,30.6%,3690.0,68.3%,58.0,1.1%,5399.0,56%
Wakefield,4411.0,39.0%,6815.0,60.3%,82.0,0.7%,11308.0,67%
Wales,244.0,34.9%,441.0,63.0%,15.0,2.1%,700.0,55%
Walpole,3565.0,31.7%,7604.0,67.7%,64.0,0.6%,11233.0,69%
Waltham,8523.0,49.5%,8546.0,49.6%,157.0,0.9%,17226.0,49%
Ware,1127.0,37.7%,1785.0,59.7%,80.0,2.7%,2992.0,47%
Wareham,3128.0,39.8%,4628.0,58.9%,101.0,1.3%,7857.0,52%
Warren,594.0,36.7%,986.0,60.9%,38.0,2.3%,1618.0,52%
Warwick,207.0,61.8%,123.0,36.7%,5.0,1.5%,335.0,60%
Washington,160.0,63.0%,91.0,35.8%,3.0,1.2%,254.0,60%
Watertown,7301.0,61.2%,4520.0,37.9%,100.0,0.8%,11921.0,55%
Wayland,3597.0,54.9%,2915.0,44.5%,38.0,0.6%,6550.0,65%
Webster,1541.0,33.6%,2977.0,64.8%,74.0,1.6%,4592.0,40%
Wellesley,5934.0,49.8%,5922.0,49.7%,48.0,0.4%,11904.0,68%
Wellfleet,1075.0,63.4%,596.0,35.1%,25.0,1.5%,1696.0,64%
Wendell,338.0,79.7%,79.0,18.6%,7.0,1.7%,424.0,61%
Wenham,674.0,36.0%,1184.0,63.3%,12.0,0.6%,1870.0,66%
Westborough,3009.0,43.6%,3831.0,55.5%,60.0,0.9%,6900.0,60%
West Boylston,1133.0,35.2%,2044.0,63.6%,38.0,1.2%,3215.0,66%
West Bridgewater,842.0,27.4%,2211.0,71.9%,21.0,0.7%,3074.0,61%
West Brookfield,523.0,36.1%,907.0,62.6%,18.0,1.2%,1448.0,55%
Westfield,4542.0,36.4%,7772.0,62.2%,172.0,1.4%,12486.0,53%
Westford,3887.0,39.4%,5930.0,60.1%,57.0,0.6%,9874.0,66%
Westhampton,414.0,48.5%,429.0,50.3%,10.0,1.2%,853.0,69%
Westminster,1021.0,31.4%,2202.0,67.8%,26.0,0.8%,3249.0,60%
West Newbury,906.0,41.2%,1281.0,58.3%,12.0,0.5%,2199.0,68%
Weston,2424.0,46.2%,2794.0,53.2%,30.0,0.6%,5248.0,67%
Westport,2898.0,46.9%,3203.0,51.8%,77.0,1.2%,6178.0,54%
West Springfield,3145.0,37.5%,5102.0,60.9%,131.0,1.6%,8378.0,50%
West Stockbridge,473.0,73.6%,165.0,25.7%,5.0,0.8%,643.0,62%
West Tisbury,1033.0,74.2%,347.0,24.9%,13.0,0.9%,1393.0,61%
