Franchise or Game,Console,Main Developer,Main Genre,First Release,Latest Release
The Conduit,Wii,High Voltage Software,First Person Shooter,2009.0,2011.0
ToeJam & Earl,"Mega Drive/Genesis , Xbox",ToeJam & Earl Productions,Action-adventure game,1991.0,2002.0
Total War,Microsoft Windows,Creative Assembly,Turn-based strategy,2006.0,2011.0
Toy Commander,Dreamcast,No Cliché,"Strategy , racing",1999.0,2000.0
Valkyria Chronicles,"PlayStation 3 , PlayStation Portable",Overworks,Tactical role-playing game,2008.0,2011.0
Vectorman,Mega Drive/Genesis,BlueSky Software,Platform game,1995.0,1996.0
Virtua Cop,"Arcade , Sega Saturn , PC",Sega-AM2,Rail shooter,1994.0,2002.0
Virtua Striker,"Arcade , Dreamcast , Nintendo GameCube","Sega-AM2 , Amusement Vision",Sports game,1994.0,2006.0
Virtual On,"Arcade , Sega Saturn , Dreamcast , PlayStation 2","Hitmaker , Sega",Action game,1995.0,2003.0
World Club Champion Football,Arcade,Sega,Sports game,2002.0,2010.0
World Series Baseball,"Mega Drive/Genesis , Sega 32X , Dreamcast , Xbox","BlueSky Software , Visual Concepts",Sports game,1994.0,2003.0
Yakuza,"PlayStation 2 , PlayStation 3",Sega,Action-adventure game,2005.0,2012.0
