Year,Country,Course,Location,Total score,To par [a ]
1936.0,England,Royal Liverpool,"Hoylake , England",287,−1
1937.0,England,Carnoustie,"Carnoustie , Scotland",290,+6
1938.0,England,Royal St George's,"Sandwich , England",295,+15
1939.0,England,St Andrews,"St Andrews , Scotland",290,+2
1940.0,—,—,—,—,—
1941.0,—,—,—,—,—
1942.0,—,—,—,—,—
1943.0,—,—,—,—,—
1944.0,—,—,—,—,—
1945.0,—,—,—,—,—
1946.0,United States,St Andrews,"St Andrews , Scotland",290,+2
1947.0,Northern Ireland,Royal Liverpool,"Hoylake , England",293,+5
1948.0,England,Muirfield,"Gullane , Scotland",284,E
1949.0,South Africa,Royal St George's,"Sandwich , England",283,–5
1950.0,South Africa,Royal Troon,"Troon , Scotland",279,−9
1951.0,England,Royal Portrush,"County Antrim , Northern Ireland",285,−3
1952.0,South Africa,Royal Lytham & St Annes,"Lytham St Annes , England",287,–1
1953.0,United States,Carnoustie,"Carnoustie , Scotland",282,−6
1954.0,Australia,Royal Birkdale,"Southport , England",283,−3
1955.0,Australia,St Andrews,"St Andrews , Scotland",281,−7
1956.0,Australia,Royal Liverpool,"Hoylake , England",286,−2
1957.0,South Africa,St Andrews,"St Andrews , Scotland",279,−9
1958.0,Australia,Royal Lytham & St Annes,"Lytham St Annes , England",274,−10
1959.0,South Africa,Muirfield,"Gullane , Scotland",284,E
1960.0,Australia,St Andrews,"St Andrews , Scotland",278,−10
1961.0,United States,Royal Birkdale,"Southport , England",284,−4
1962.0,United States,Royal Troon,"Troon , Scotland",276,−12
1963.0,New Zealand,Royal Lytham & St Annes,"Lytham St Annes , England",277,−7
1964.0,United States,St Andrews,"St Andrews , Scotland",279,−9
1965.0,Australia,Royal Birkdale,"Southport , England",285,−7
1966.0,United States,Muirfield,"Gullane , Scotland",282,−2
1967.0,Argentina,Royal Liverpool,"Hoylake , England",278,−10
1968.0,South Africa,Carnoustie,"Carnoustie , Scotland",289,+1
1969.0,England,Royal Lytham & St Annes,"Lytham St Annes , England",280,−4
1970.0,United States,St Andrews,"St Andrews , Scotland",283,−5
1971.0,United States,Royal Birkdale,"Southport , England",278,−14
1972.0,United States,Muirfield,"Gullane , Scotland",278,−6
1973.0,United States,Royal Troon,"Troon , Scotland",276,−12
1974.0,South Africa,Royal Lytham & St Annes,"Lytham St Annes , England",282,−2
1975.0,United States,Carnoustie,"Carnoustie , Scotland",279,−5
1976.0,United States,Royal Birkdale,"Southport , England",279,−9
1977.0,United States,Turnberry,"South Ayrshire , Scotland",283,−5
1978.0,United States,St Andrews,"St Andrews , Scotland",281,−7
1979.0,Spain,Royal Lytham & St Annes,"Lytham St Annes , England",283,−1
1980.0,United States,Muirfield,"Gullane , Scotland",271,−13
1981.0,United States,Royal St George's,"Sandwich , England",276,−4
1982.0,United States,Royal Troon,"Troon , Scotland",284,−4
1983.0,United States,Royal Birkdale,"Southport , England",275,−9
1984.0,Spain,St Andrews,"St Andrews , Scotland",276,−12
1985.0,Scotland,Royal St George's,"Sandwich , England",282,+2
1986.0,Australia,Turnberry,"South Ayrshire , Scotland",280,E
1987.0,England,Muirfield,"Gullane , Scotland",279,−5
1988.0,Spain,Royal Lytham & St Annes,"Lytham St Annes , England",273,−11
1989.0,United States,Royal Troon,"Troon , Scotland",275,−13
1990.0,England,St Andrews,"St Andrews , Scotland",270,−18
1991.0,Australia,Royal Birkdale,"Southport , England",272,−8
1992.0,England,Muirfield,"Gullane , Scotland",272,−12
1993.0,Australia,Royal St George's,"Sandwich , England",267,−13
1994.0,Zimbabwe,Turnberry,"South Ayrshire , Scotland",270,−18
1995.0,United States,St Andrews,"St Andrews , Scotland",282,−6
1996.0,United States,Royal Lytham & St Annes,"Lytham St Annes , England",271,−13
1997.0,United States,Royal Troon,"Troon , Scotland",272,−12
1998.0,United States,Royal Birkdale,"Southport , England",280,E
1999.0,Scotland,Carnoustie,"Carnoustie , Scotland",290,+6
2000.0,United States,St Andrews,"St Andrews , Scotland",269,−19
2001.0,United States,Royal Lytham & St Annes,"Lytham St Annes , England",274,−10
2002.0,South Africa,Muirfield,"Gullane , Scotland",278,−6
2003.0,United States,Royal St George's,"Sandwich , England",283,−1
2004.0,United States,Royal Troon,"Troon , Scotland",274,−10
2005.0,United States,St Andrews,"St Andrews , Scotland",274,−14
2006.0,United States,Royal Liverpool,"Hoylake , England",270,−18
2007.0,Ireland,Carnoustie,"Carnoustie , Scotland",277,−7
2008.0,Ireland,Royal Birkdale,"Southport , England",283,+3
2009.0,United States,Turnberry,"South Ayrshire , Scotland",278,−2
2010.0,South Africa,St Andrews,"St Andrews , Scotland",272,−16
2011.0,Northern Ireland,Royal St George's,"Sandwich , England",275,−5
2012.0,South Africa,Royal Lytham & St Annes,"Lytham St Annes , England",273,−7
2013.0,United States,Muirfield,"Gullane , Scotland",281,−3
