Year,Song name,Film name,Co-singer,Music director,Lyricist,Language
1978.0,"""Nathaniyan Jo Dali""",Main Tulsi Tere Aangan Ki,Anuradha Paudwal,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1978.0,"""Bachpan Mohe Peechhe Bulaye""",Madhumalti,Solo,Ravindra Jain,Ravindra Jain,Hindi
1978.0,"""Duniya Se Door Ek Nai Duniya""",Madhumalti,Suresh Wadkar,Ravindra Jain,Ravindra Jain,Hindi
1978.0,"""Ek Phool Aur Ek Moti Se −1, −2""",Hamara Sansar,Mahendra Kapoor,Ravindra Jain,Ravindra Jain,Hindi
1978.0,"""Paisa Do Paisa Aana Do Aana Dete Jaana Re""",Hamara Sansar,Chandrani Mukherjee,Ravindra Jain,Ravindra Jain,Hindi
1978.0,"""Jag Janani Maha Maya""",Aakhri Kasam,Solo,Ravindra Jain,Ravindra Jain,Hindi
1978.0,"""Humse Chhupa Na Jee Ka""",Aakhri Kasam,Suman Kalyanpur,Ravindra Jain,Ravindra Jain,Hindi
1978.0,"""Wafa Jo Na Ki To Jafa Bhi Na Kije""",Muqaddar Ka Sikandar,Solo,Kalyanji-Anandji,Anjaan,Hindi
1978.0,"""Madhuban Khushboo Deta Hai""",Saajan Bina Suhagan,K. J. Yesudas & Anuradha Paudwal,Usha Khanna,Amit Khanna,Hindi
1977.0,"""He Dayamayi Sankat""",Solah Shukrawar,Solo,Ravindra Jain,Ravindra Jain,Hindi
1977.0,"""Aaj Tak Jo Kaha Tune Kaha""",Shyam Tere Kitne Naam,Solo,Ravindra Jain,Ravindra Jain,Hindi
1977.0,"""Shyam Baba Shyam Baba""",Shyam Tere Kitne Naam,Mahendra Kapoor,Ravindra Jain,Ravindra Jain,Hindi
1977.0,"""Jangal Jangal Doloon Main""",Safed Haathi,Ravindra Jain & Nirmala Misra,Ravindra Jain,Ravindra Jain,Hindi
1977.0,"""Kanha Ki Zid Par Nachegi Radha""",Paheli,Chandrani Mukherjee,Ravindra Jain,Ravindra Jain,Hindi
1977.0,"""Saheli Ho Paheli Poochho""",Paheli,Suresh Wadkar & Chandrani Mukherjee,Ravindra Jain,Ravindra Jain,Hindi
1977.0,"""Tan Bhigey Man Bhigey""",Paheli,Solo,Ravindra Jain,Ravindra Jain,Hindi
1977.0,"""Khushiyan Hi Khushiyan Ho""",Dulhan Wahi Jo Piya Man Bhaaye,K. J. Yesudas & Banasree Sengupta,Ravindra Jain,Ravindra Jain,Hindi
1977.0,"""Aaj Ki Raat Peene De Saaqi""",Do Chehre,"Mohammad Rafi , Manna Dey & Minoo Parshottam",Sonik Omi,Bharat Vyas,Hindi
1977.0,"""O Meri Pyari Jalebi""",Daku Aur Mahatma,Amit Kumar,Ravindra Jain,Ravindra Jain,Hindi
1977.0,"""Hansti Aankhon Ko Jisne Ansoo Diye""",Daku Aur Mahatma,Mahendra Kapoor & Jaspal Singh,Ravindra Jain,Ravindra Jain,Hindi
1977.0,"""Suman Saman Tum Apna Khila Khila Man Rakhna""",Kotwal Saab,Solo,Ravindra Jain,Ravindra Jain,Hindi
1976.0,"""Is Mulaqat Ka Bas Maza Lijiye""",Jaaneman,Mohammad Rafi & Mukesh,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1976.0,"""Sun Ke Teri Pukar"", ""Akela Chal Chala Chal""",Fakira,Solo,Ravindra Jain,Ravindra Jain,Hindi
1976.0,"""Jam Ke Naacho O Zara Jam Ke Naacho Pyar Karo""",Raeeszada,Jaspal Singh,Ravindra Jain,Ravindra Jain,Hindi
1976.0,"""Jeet Gaye Hum Jeet Gaye Hain""",Raeeszada,Mahendra Kapoor,Ravindra Jain,Ravindra Jain,Hindi
1976.0,"""Hum Unki Aarzoo Mein Kuch Aise Kho Gaye Hain""",Noor-E-Elahi,Anwar,Babloo Dheeraj,Qamar Shaad,Hindi
1976.0,"""Koi Hamein Basale Apne Dilo Jigar Mein""",Noor-E-Elahi,Solo,Babloo Dheeraj,Qaisar- Ul- Jafri,Hindi
1975.0,"""Mohe Chhota Mila Bhartaar""",Geet Gata Chal,Chetan & Jaspal Singh,Ravindra Jain,Ravindra Jain,Hindi
1975.0,"""Chal Chal Kahin Akele Mein""",Salaakhen,Sulakshana Pandit,Ravindra Jain,Ravindra Jain,Hindi
1975.0,"""Bhabhi Ki Unglee Mein""",Tapasya,Chandrani Mukherjee,Ravindra Jain,M G Hashmat,Hindi
1974.0,"""Teri Meri Dosti Zindabad""",Raakh Aur Chingari,Usha Mangeshkar,Ravindra Jain,Ravindra Jain,Hindi
1973.0,"""Ja Re Ja O Deewane Tu Kya Jaane Anjaane""",Kuchche Dhaage,Lata Mangeshkar,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1973.0,"""Hazaar Dil Mein Ho To Aise Nikle Armaan""",Bhima Mera Haathi,Mukesh,Vedpal Verma,Vedpal Verma,Hindi
1973.0,"""Dulhan Bhai Gori Aa Ha Aa Ha""",Bhima Mera Haathi,Usha Mangeshkar,Vedpal Verma,Vedpal Verma,Hindi
1973.0,"""Raam Raam Raam Hare Seetaram Chal Dheere Dheere""",Bhima Mera Haathi,Manna Dey,Vedpal Verma,Vedpal Verma,Hindi
1973.0,"""Rajkunwar Ne Raja Banke Haathi Pe Ki Sawari""",Bhima Mera Haathi,Sulakshana Pandit,Vedpal Verma,Vedpal Verma,Hindi
1973.0,"""Meri Jawani Mujhko Sataye""",Kora Badan,Solo,Vedpal Verma,Babu Singh Maan,Hindi
1973.0,"""Ganga Tere Pyar Mein Jage Re""",Ganga,Mohammad Rafi,N. Dutta,Aziz Kashmiri,Hindi
1973.0,"""Panchhi Pinjare Mein Roye""",Hum Sab Chor Hain,Suman Kalyanpur,Usha Khanna,Asad Bhopali,Hindi
1973.0,"""Pujan Karo Mata Laxmi Ka""",Seetaram Radheshyam,Nila Joshi,N. Dutta,Madan,Hindi
1972.0,"""Koi Hansta Hai Yahan Aur Koi Rota""",Shri Krishna Bhakti,Solo,Kamal Kant,Pujari,Hindi
1972.0,"""Idhar Bhi Ishwar Udhar Bhi Ishwar""",Hari Darshan,Kamal Barot & Sushma Shreshtha,Kalyanji-Anandji,Pradeep,Hindi
1972.0,"""Tan Bhi Jale Man Bhi Jale""",Parivartan,Manna Dey,Chand Pardesi,Neeraj,Hindi
1972.0,"""Yeh Bheegi Fizayen""",Kaanch Aur Heera,Mohammad Rafi,Ravindra Jain,Ravindra Jain,Hindi
1971.0,"""Taare Kitne Neel Gagan Pe""",Aap Aye Bahaar Ayee,Mohammad Rafi,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1971.0,"""Mehboob Ki Mehndi Hathon Mein""",Mehboob Ki Mehndi,Lata Mangeshkar,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1971.0,"""Dekho Dil Ka Chor Aaya""",Gehra Raaz,Solo,Salil Chowdhury,Asad Bhopali,Hindi
1971.0,"""Mil Ja Ab To Mil Ja""",Gehra Raaz,Solo,Salil Chowdhury,Akhtar Romani,Hindi
1971.0,"""Are Ghar Ko Mat Godam Bana""",Chhoti Bahu,Solo,Kalyanji-Anandji,Indeevar,Hindi
1971.0,"""Apna To Faisla Hai Ladki Pasand Hai""",Ladki Pasand Hai,Mohammad Rafi,Sonik Omi,G. L. Rawal,Hindi
1971.0,"""Tu Karde Nazar Se Mastana""",Ladki Pasand Hai,Mukesh,Sonik Omi,G. L. Rawal,Hindi
1971.0,"""Gham-E-Duniya Se Tum Daman Bacha Jaate""",Ladki Pasand Hai,Solo,Sonik Omi,G. L. Rawal,Hindi
1971.0,"""Jai Lotaram""",Narad Leela,Solo,N. Dutta,Madan,Hindi
1971.0,"""Do Dilon Mein Humesha Mohabbat""",Achha Bura,Sulakshana Pandit,Raj Kamal,Asad Bhopali,Hindi
1971.0,"""Yeh Roza Yeh Roze Ki Shaan Allah Allah""",Shan-E-Khuda,Mohammad Rafi,Iqbal Qureshi,Kaifi Azmi,Hindi
1971.0,"""Sanma O Mere Pyar Ka""",Dost Aur Dushman,Mohammad Rafi,Raj Kamal,Asad Bhopali,Hindi
