Map Key,Commune,Canton,District,Population
55.0,Luxembourg,Luxembourg,Luxembourg,94034.0
56.0,Mamer,Capellen,Luxembourg,7687.0
57.0,Manternach,Grevenmacher,Grevenmacher,1741.0
58.0,Mersch,Mersch,Luxembourg,7848.0
59.0,Mertert,Grevenmacher,Grevenmacher,3730.0
60.0,Mertzig,Diekirch,Diekirch,1748.0
61.0,Mompach,Echternach,Grevenmacher,1055.0
62.0,Mondercange,Esch-sur-Alzette,Luxembourg,6227.0
63.0,Mondorf-les-Bains,Remich,Grevenmacher,4608.0
64.0,Niederanven,Luxembourg,Luxembourg,5459.0
65.0,Nommern,Mersch,Luxembourg,1144.0
66.0,Parc Hosingen,Clervaux,Diekirch,3083.0
67.0,Pétange,Esch-sur-Alzette,Luxembourg,15971.0
68.0,Préizerdaul,Redange,Diekirch,1398.0
69.0,Putscheid,Vianden,Diekirch,974.0
70.0,Rambrouch,Redange,Diekirch,3903.0
71.0,Reckange-sur-Mess,Esch-sur-Alzette,Luxembourg,2098.0
72.0,Redange,Redange,Diekirch,2554.0
73.0,Reisdorf,Diekirch,Diekirch,1058.0
74.0,Remich,Remich,Grevenmacher,3345.0
75.0,Roeser,Esch-sur-Alzette,Luxembourg,5269.0
76.0,Rosport,Echternach,Grevenmacher,2073.0
77.0,Rumelange,Esch-sur-Alzette,Luxembourg,5066.0
78.0,Saeul,Redange,Diekirch,697.0
79.0,Sandweiler,Luxembourg,Luxembourg,3194.0
80.0,Sanem,Esch-sur-Alzette,Luxembourg,14545.0
81.0,Schengen,Remich,Grevenmacher,1553.0
82.0,Schieren,Diekirch,Diekirch,1486.0
83.0,Schifflange,Esch-sur-Alzette,Luxembourg,8653.0
84.0,Schuttrange,Luxembourg,Luxembourg,3592.0
85.0,Septfontaines,Capellen,Luxembourg,792.0
86.0,Stadtbredimus,Remich,Grevenmacher,1496.0
87.0,Steinfort,Capellen,Luxembourg,4545.0
88.0,Steinsel,Luxembourg,Luxembourg,4754.0
89.0,Strassen,Luxembourg,Luxembourg,7385.0
90.0,Tandel,Vianden,Diekirch,1747.0
91.0,Troisvierges,Clervaux,Diekirch,2972.0
92.0,Tuntange,Mersch,Luxembourg,1288.0
93.0,Useldange,Redange,Diekirch,1508.0
94.0,Vallée de l'Ernz,Diekirch,Diekirch,2375.0
95.0,Vianden,Vianden,Diekirch,1692.0
96.0,Vichten,Redange,Diekirch,1027.0
97.0,Wahl,Redange,Diekirch,846.0
98.0,Waldbillig,Echternach,Grevenmacher,1438.0
99.0,Waldbredimus,Remich,Grevenmacher,963.0
100.0,Walferdange,Luxembourg,Luxembourg,7348.0
101.0,Weiler-la-Tour,Luxembourg,Luxembourg,1888.0
102.0,Weiswampach,Clervaux,Diekirch,1350.0
103.0,Wiltz,Wiltz,Diekirch,4977.0
104.0,Wincrange,Clervaux,Diekirch,3778.0
105.0,Winseler,Wiltz,Diekirch,1116.0
