Team,Lost,Tied,Pct.,Years,Total Games,Conference
North Carolina State,541.0,55.0,0.5069,121.0,1153.0,ACC
Rutgers,608.0,42.0,0.5067,143.0,1275.0,The American
North Texas,466.0,33.0,0.5066,97.0,978.0,C-USA
Cincinnati,557.0,51.0,0.5055,125.0,1178.0,The American
Oklahoma State,528.0,48.0,0.5045,111.0,1114.0,Big 12
Baylor,544.0,44.0,0.5022,111.0,1137.0,Big 12
San Jose State,461.0,38.0,0.5016,95.0,963.0,Mountain West
Kentucky,582.0,44.0,0.4992,122.0,1206.0,SEC
Vanderbilt,578.0,50.0,0.4979,123.0,1201.0,SEC
Ohio,530.0,48.0,0.4973,117.0,1102.0,MAC
Kansas,580.0,58.0,0.4971,123.0,1211.0,Big 12
Utah State,505.0,31.0,0.4961,115.0,1033.0,Mountain West
Akron,505.0,36.0,0.4922,112.0,1030.0,MAC
Louisiana-Lafayette,524.0,34.0,0.4882,111.0,1057.0,Sun Belt
Washington State,526.0,45.0,0.4879,117.0,1071.0,Pac-12
Connecticut,517.0,38.0,0.4876,114.0,1046.0,The American
Duke,490.0,31.0,0.4873,100.0,986.0,ACC
SMU,499.0,54.0,0.4853,96.0,1022.0,The American
Wyoming,532.0,28.0,0.4844,116.0,1059.0,Mountain West
Mississippi State 10,549.0,39.0,0.4841,113.0,1102.0,SEC
Arkansas State,457.0,37.0,0.4832,98.0,920.0,Sun Belt
Oregon State,551.0,50.0,0.482,116.0,1112.0,Pac-12
Memphis,487.0,33.0,0.4766,97.0,962.0,The American
Colorado State,544.0,33.0,0.4702,114.0,1058.0,Mountain West
Iowa State,602.0,46.0,0.4579,121.0,1153.0,Big 12
Tulane,600.0,38.0,0.4551,119.0,1136.0,C-USA
New Mexico,553.0,31.0,0.4539,114.0,1041.0,Mountain West
Eastern Michigan,545.0,47.0,0.447,121.0,1028.0,MAC
Temple,544.0,52.0,0.4461,114.0,1029.0,The American
UAB,137.0,2.0,0.4458,22.0,249.0,C-USA
Kansas State,614.0,42.0,0.444,117.0,1142.0,Big 12
Northwestern,635.0,44.0,0.4418,125.0,1177.0,Big Ten
Rice,570.0,32.0,0.4392,101.0,1045.0,C-USA
Idaho,569.0,26.0,0.4377,114.0,1035.0,Independent
Louisiana-Monroe,374.0,8.0,0.4324,62.0,666.0,Sun Belt
Florida Atlantic,83.0,0.0,0.4236,12.0,144.0,C-USA
Indiana,636.0,44.0,0.4192,125.0,1133.0,Big Ten
New Mexico State,586.0,30.0,0.4159,116.0,1029.0,Independent
Buffalo,490.0,28.0,0.4153,99.0,862.0,MAC
Wake Forest,616.0,33.0,0.4111,111.0,1074.0,ACC
UTEP,542.0,30.0,0.41,95.0,944.0,C-USA
UNLV,301.0,4.0,0.4082,45.0,512.0,Mountain West
Kent State,508.0,28.0,0.3951,90.0,863.0,MAC
FIU,88.0,0.0,0.3231,11.0,130.0,C-USA
Georgia State 1,23.0,0.0,0.303,3.0,33.0,Sun Belt
