County,Per capita income,Median household income,Median family income,Population,Number of households
Tama,"$23,041","$46,288","$55,011",17767.0,6947.0
Jackson,"$23,008","$42,489","$54,210",19848.0,8289.0
Jones,"$22,873","$47,955","$59,167",20638.0,8181.0
Mitchell,"$22,820","$48,506","$63,356",10776.0,4395.0
Monona,"$22,774","$41,398","$51,098",9243.0,4050.0
Hancock,"$22,713","$47,318","$55,922",11341.0,4741.0
Winnebago,"$22,684","$41,871","$58,700",10866.0,4597.0
Webster,"$22,653","$40,806","$54,129",38013.0,15580.0
Delaware,"$22,578","$47,078","$59,802",17764.0,7062.0
Des Moines,"$22,555","$41,937","$53,946",40325.0,17003.0
Franklin,"$22,507","$44,863","$52,917",10680.0,4332.0
Chickasaw,"$22,447","$41,372","$50,530",12439.0,5204.0
Howard,"$22,417","$46,068","$55,582",9566.0,3944.0
Marshall,"$22,407","$45,232","$55,716",40648.0,15538.0
Shelby,"$22,389","$44,085","$55,523",12167.0,5085.0
Wapello,"$22,376","$40,093","$49,309",35625.0,14552.0
Clayton,"$22,303","$45,873","$53,905",18129.0,7599.0
Keokuk,"$22,088","$42,698","$53,456",10511.0,4408.0
Woodbury,"$22,069","$44,343","$55,957",102172.0,39052.0
Davis,"$21,970","$46,597","$52,855",8753.0,3201.0
Ringgold,"$21,858","$42,336","$51,269",5131.0,2047.0
Cass,"$21,787","$40,820","$48,884",13956.0,5980.0
Lyon,"$21,613","$49,506","$57,348",11581.0,4442.0
Mahaska,"$21,568","$45,025","$57,877",22381.0,8975.0
Fayette,"$21,566","$41,055","$52,627",20880.0,8634.0
Floyd,"$21,416","$39,467","$52,808",16303.0,6886.0
Allamakee,"$21,349","$46,623","$55,926",14330.0,5845.0
Taylor,"$21,335","$40,300","$48,156",6317.0,2679.0
Sioux,"$21,333","$51,557","$60,043",33704.0,11584.0
Lee,"$21,324","$42,444","$50,630",35862.0,14610.0
Montgomery,"$21,301","$38,624","$50,595",10740.0,4558.0
Buena Vista,"$21,256","$43,182","$53,382",20260.0,7522.0
Monroe,"$21,228","$43,245","$53,052",7970.0,3213.0
Page,"$21,204","$40,778","$52,791",15932.0,6393.0
Crawford,"$21,181","$44,377","$53,794",17096.0,6413.0
Union,"$20,435","$40,879","$50,546",12534.0,5271.0
Louisa,"$20,367","$50,457","$54,923",11387.0,4346.0
Van Buren,"$20,209","$40,073","$50,064",7570.0,3108.0
Appanoose,"$20,084","$34,689","$41,250",12887.0,5627.0
Lucas,"$19,967","$43,005","$56,647",8898.0,3689.0
Wayne,"$18,795","$35,425","$44,784",6403.0,2652.0
Decatur,"$18,195","$37,138","$48,015",8457.0,3223.0
