Year,Men's singles,Women's singles,Men's doubles,Women's doubles,Mixed doubles
1973.0,Stane Koprivšek,Lučka Križman,Stane Koprivšek Jani Čaleta,Marta Amf Lučka Križman,Stane Koprivšek Vita Bohinc
1974.0,Gregor Berden,Vita Bohinc,Stane Koprivšek Jani Čaleta,Marta Amf Vita Bohinc,Gregor Berden Marta Amf
1975.0,Gregor Berden,Lučka Križman,Stane Koprivšek Jani Čaleta,Marta Amf Lučka Križman,Gregor Berden Marta Amf
1976.0,Gregor Berden,Marta Amf,Stane Koprivšek Jani Čaleta,Marta Amf Lučka Križman,Gregor Berden Marta Amf
1977.0,Gregor Berden,Lučka Križman,Stane Koprivšek Jani Čaleta,Marta Amf Lučka Križman,Gregor Berden Marta Amf
1978.0,Miha Šepec,Lučka Križman,Stane Koprivšek Jani Čaleta,Mateja Strmole Maja Atanasijević,Miha Šepec Tanja Kovač
1979.0,Gregor Berden,Vita Miklič,Slavko Županič Gregor Zore,Mariča Pohar Marta Kovač,Gregor Berden Marta Kovač
1980.0,Stane Koprivšek,Vita Miklič,Stane Koprivšek Jani Čaleta,Lučka Križman Marta Kovač,Stane Koprivšek Lučka Križman
1981.0,Gregor Berden,Tanja Kovač,Gregor Berden Miha Vilar,Maja Atanasijević Marta Kovač,Gregor Berden Marta Kovač
1982.0,Miha Šepec,Tanja Kovač,Stane Koprivšek Jani Čaleta,Tanja Kovač Vita Miklič,Gregor Berden Marta Kovač
1983.0,Miha Šepec,Marta Kovač,Gregor Berden Miha Vilar,Maja Atanasijević Marta Kovač,Gregor Berden Marta Kovač
1984.0,Miha Šepec,Vita Miklič,Gregor Berden Miha Vilar,Tanja Šepec Vita Miklič,Miha Šepec Tanja Šepec
1985.0,Miha Šepec,Marta Kovač,Bojan Erjavec Miha Vilar,Maja Nagode Marta Kovač,Miha Šepec Vita Miklič
1986.0,Miha Šepec,Tanja Šepec,Stane Koprivšek Jani Čaleta,Maja Nagode Marta Kovač,Miha Šepec Tanja Šepec
1987.0,Miha Šepec,Tanja Šepec,Bojan Erjavec Miha Vilar,Maja Nagode Marta Kovač,Gregor Berden Marta Kovač
1988.0,Aleš Babnik,Maja Nagode,Stane Koprivšek Bojan Erjavec,Maja Nagode Marta Kovač,Miha Villar Maja Nagode
1989.0,Sašo Zrnec,Maja Nagode,Bojan Strah Miha Vilar,Maja Nagode Marta Kovač,Bojan Strah Marta Kovač
1990.0,Sašo Zrnec,Maja Nagode,Bojan Strah Miha Vilar,Maja Nagode Marta Kovač,Miha Šepec Tanja Šepec
1991.0,Sašo Zrnec,Maja Nagode,Stane Koprivšek Bojan Erjavec,Maja Nagode Janja Čarman,Miha Villar Maja Nagode
1992.0,Sašo Zrnec,Maja Pohar,Stane Koprivšek Bojan Erjavec,Maja Pohar Urša Jovan,Andrej Pohar Maja Pohar
1993.0,Miha Košnik,Mateja Slatnar,Bojan Strah Miha Vilar,Mateja Slatnar Darja Kranjc,Andrej Pohar Maja Pohar
1994.0,Sašo Zrnec,Maja Pohar,Jaka Pelhan Miho Šepec,Maja Pohar Urša Jovan,Andrej Pohar Maja Pohar
1995.0,Andrej Pohar,Maja Pohar,Aleš Babnik Mišo Mattias,Maja Pohar Urša Jovan,Andrej Pohar Maja Pohar
1996.0,Andrej Pohar,Maja Pohar,Andrej Pohar Simon Hawlina,Mateja Slatnar Darja Kranjc,Andrej Pohar Maja Pohar
1997.0,Andrej Pohar,Darja Kranjc,Andrej Pohar Simon Hawlina,Darja Kranjc Urša Jovan,Simon Hawlina Tina Pelhan
1998.0,Andrej Pohar,Maja Pohar,Andrej Pohar Simon Hawlina,Darja Kranjc Mateja Slatnar,Andrej Pohar Maja Pohar
1999.0,Andrej Pohar,Maja Pohar,Andrej Pohar Simon Hawlina,Tinka Pelhan Nina Pulko,Andrej Pohar Maja Pohar
2000.0,Andrej Pohar,Maja Pohar,Andrej Pohar Simon Hawlina,Maja Pohar Tinka Pelhan,Andrej Pohar Maja Pohar
2001.0,Andrej Pohar,Maja Pohar,Andrej Pohar Aleš Murn,Maja Pohar Tinka Pelhan,Andrej Pohar Maja Pohar
2002.0,Andrej Pohar,Maja Pohar,Miha Horvat Denis Pešehonov,Maja Pohar Maja Tvrdy,Andrej Pohar Maja Pohar
2003.0,Andrej Pohar,Maja Pohar,Andrej Pohar Aleš Murn,Maja Kersnik Maja Tvrdy,Aleš Murn Maja Pohar
2004.0,Andrej Pohar,Maja Tvrdy,Andrej Pohar Aleš Murn,Maja Kersnik Maja Tvrdy,Andrej Pohar Maja Pohar
2005.0,Luka Petrič,Maja Kersnik,Andrej Pohar Miha Šepec,Maja Pohar Ana Kovač,Andrej Pohar Maja Pohar
2006.0,Luka Petrič,Maja Tvrdy,Miha Horvat Denis Pešehonov,Maja Pohar Ana Kovač,Luka Petrič Maja Tvrdy
2007.0,Luka Petrič,Maja Tvrdy,Andrej Pohar Miha Šepec,Maja Pohar Maja Kersnik,Andrej Pohar Maja Pohar
2008.0,Aleš Murn,Maja Tvrdy,Aleš Murn Dušan Skerbiš jr.,Nika Švaljek Taja Borštnar,Aleš Murn Špela Silvester
2009.0,Iztok Utroša,Maja Tvrdy,Aleš Murn Miha Šepec,Maja Tvrdy Matevž Bajuk,Aleš Murn Špela Silvester
2010.0,Luka Petrič,Špela Silvester,Miha Horvat Iztok Utroša,Maja Kersnik Špela Silvester,Aleš Murn Špela Silvester
2011.0,Luka Petrič,Maja Tvrdy,Miha Horvat Luka Petrič,Tina Kodrič Urška Polc,Luka Petrič Tina Kodrič
2012.0,Luka Petrič,Maja Tvrdy,Miha Horvat Iztok Utroša,Tina Kodrič Urška Polc,Luka Petrič Tina Kodrič
