Rank,Heat (Lane),Name,Nationality,Time
58.0,10 (6),Alexia Pamela Benitez Quijada,El Salvador,00: 58.84
59.0,10 (2),Charlotte Johannsen,Denmark,00: 58.85
60.0,10 (7),Chui Bin Mylene Ong,Singapore,00: 59.01
61.0,10 (3),Ximena Vilar,Venezuela,00: 59.10
62.0,10 (4),Nicole Marmol Gilbert,Ecuador,00: 59.25
63.0,11 (1),Pannika Prachgosin,Thailand,00: 59.48
64.0,7 (1),Sharntelle McLean,Trinidad and Tobago,00: 59.51
65.0,11 (2),Cecilia Elizabeth Biagioli,Argentina,00: 59.52
66.0,10 (1),Shu Yong Ho,Singapore,00: 59.55
67.0,8 (3),Anna-Liza Mopio-Jane,Papua New Guinea,00: 59.84
68.0,9 (7),Irina Shlemova,Uzbekistan,00: 59.90
69.0,9 (1),Raffaella Rodoni Palma,Chile,1:00.08
70.0,8 (5),Kimberly Eeson,Zimbabwe,1:00.09
70.0,8 (8),Ellen Hight,Zambia,1:00.09
72.0,7 (5),Marianella Quesada Barrantes,Costa Rica,1:00.10
73.0,6 (5),Felicia Leksono,Indonesia,1:00.49
74.0,8 (4),Cheok Mei Ma,Macau,1:00.52
75.0,7 (8),Marie Laura Meza Peraza,Costa Rica,1:00.69
76.0,7 (6),Elena Popovska,Macedonia,1:00.73
77.0,8 (6),Nancy Suryaatmadja,Indonesia,1:00.80
78.0,9 (5),Khadija Ciss,Senegal,1:01.05
79.0,3 (6),Kshipra Mahajan,India,1:01.51
80.0,6 (1),Ximene Vaz Gomez,Mozambique,1:01.55
80.0,6 (8),Davina Mangion,Malta,1:01.55
82.0,6 (2),Tuesday Watts,Grenada,1:01.60
83.0,4 (8),Jessica Teixeira Vieira,Mozambique,1:01.78
84.0,7 (4),Ngozi Monu,Nigeria,1:01.88
85.0,5 (3),Emma Hunter,Samoa,1:01.89
86.0,6 (7),Jonay Briedenhann,Namibia,1:02.04
87.0,6 (4),Maria Alejandra Torres,Peru,1:02.17
88.0,6 (6),Nilshaira Isenia,Netherlands Antilles,1:02.18
89.0,5 (2),Parita Parekh,India,1:02.27
90.0,8 (2),Miriam Hatamleh,Jordan,1:02.29
91.0,8 (7),Rachel Ah Koy,Fiji,1:02.41
92.0,7 (2),Fiorella Gomez−Sanchez,Peru,1:02.52
93.0,5 (5),Tojohanitra Andriamanjatoprimamama,Madagascar,1:02.60
94.0,5 (4),Nicole Ellsworth,Papua New Guinea,1:02.89
95.0,6 (3),Matana Wellman,Zambia,1:02.99
96.0,4 (1),Mona Simonsen,Faroe Islands,1:03.01
97.0,3 (5),Dashtserengiin Saintsetseg,Mongolia,1:03.04
98.0,4 (4),Shannon Austin,Seychelles,1:03.09
99.0,5 (6),Marike Meyer,Namibia,1:03.46
100.0,7 (3),Sook Fun Chai,Malaysia,1:03.69
101.0,5 (1),Rovena Marku,Albania,1:03.72
102.0,4 (2),Dalia Massiel Torrez Zamora,Nicaragua,1:03.84
103.0,4 (7),Karen Torrez,Bolivia,1:04.04
104.0,7 (7),Razan Taha,Jordan,1:04.06
105.0,3 (4),Binta Zahra Diop,Senegal,1:04.09
106.0,4 (5),Ekaterina Mamatkulova,Uzbekistan,1:04.17
107.0,4 (6),Dohi Eliane Droubry,Ivory Coast,1:04.47
108.0,2 (4),Kiran Khan,Pakistan,1:04.69
109.0,2 (5),Rachel Lannen,Guam,1:05.23
110.0,5 (8),Uche Monu,Nigeria,1:05.34
111.0,4 (3),Anouchka Diane Etiennette,Mauritius,1:05.65
112.0,5 (7),Prisca Rose,Mauritius,1:05.70
113.0,3 (1),Stephanie Anne Maitland,Seychelles,1:06.12
114.0,3 (8),Batjargalyn Telmen,Mongolia,1:06.28
115.0,2 (7),Sarah Elizabeth Johnson,Northern Mariana Islands,1:06.56
116.0,2 (2),Pina Ercolano,Kenya,1:06.58
117.0,3 (3),Herinantenaina Ravoajanahary,Madagascar,1:06.90
118.0,2 (6),Hussain Aminath Rouya,Maldives,1:07.11
119.0,2 (8),April Chang,Samoa,1:07.61
120.0,3 (2),Sameera Albitar,Brunei,1:09.07
121.0,1 (4),Olivia Aya Nakitanda,Uganda,1:09.76
122.0,2 (1),Julianne Kirchner,Marshall Islands,1:10.62
123.0,1 (3),Amber Sikosang Yobech,Palau,1:10.65
124.0,1 (2),Maria Gibbons,Palau,1:14.76
125.0,1 (1),Ruth Magdalena Moshi,Tanzania,1:15.87
126.0,1 (5),Olga Hachatryan,Turkmenistan,1:16.91
127.0,1 (7),Aminath Inas Ismail,Maldives,1:22.74
128.0,2 (3),Nahed Akhlif,Libya,1:25.88
999.0,1 (6),Katerina Izmailova,Tajikistan,999
999.0,3 (7),Ana Roxiero,Angola,999
999.0,9 (2),Chanelle van Wyk,South Africa,999
999.0,13 (6),Maria Fuster Martinez,Spain,999
999.0,15 (1),Soraya Abdourahmane,Mauritania,999
999.0,17 (3),Petra Dallmann,Germany,999
999.0,9 (8),Sharon Paolo Fajardo Sierra,Honduras,999
