Party Name,States contested,Seats contested,Seats won,No. of Votes,% of Votes,% in Seats contested,Forfeited in seats
Gondvana Gantantra Party,5.0,31.0,0.0,720189.0,0.18%,3.59%,29.0
Nagaland Peoples Front,2.0,3.0,1.0,715366.0,0.18%,31.77%,2.0
Janata Party,12.0,58.0,0.0,517683.0,0.13%,1.20%,57.0
Haryana Vikas Party,1.0,9.0,0.0,506122.0,0.13%,6.88%,8.0
Jammu & Kashmir National Conference,1.0,6.0,2.0,493067.0,0.13%,22.02%,2.0
Bharipa Bahujan Mahasabha,1.0,16.0,0.0,428566.0,0.11%,3.65%,15.0
All India Majlis-e-Ittehadul Muslimeen,1.0,2.0,1.0,417248.0,0.11%,21.29%,1.0
Shiromani Akali Dal (Simranjit Singh Mann),1.0,6.0,0.0,387682.0,0.10%,7.72%,5.0
Republican Party of India (Athvale),5.0,7.0,1.0,367510.0,0.09%,6.31%,6.0
National Loktantrik Party,6.0,18.0,1.0,367049.0,0.09%,2.81%,17.0
Kerala Congress,1.0,1.0,1.0,353905.0,0.09%,48.52%,0.0
Kannada Nadu Party,1.0,21.0,0.0,349183.0,0.09%,1.90%,21.0
Samajwadi Janata Party (Rashtriya),7.0,10.0,1.0,337386.0,0.09%,5.32%,9.0
Peasants and Workers Party of India,1.0,3.0,0.0,319572.0,0.08%,14.74%,2.0
Republican Party of India,8.0,18.0,0.0,295545.0,0.08%,2.17%,17.0
Suheldev Bhartiya Samaj Party,2.0,14.0,0.0,275267.0,0.07%,2.83%,14.0
Jammu & Kashmir Peoples Democratic Party,1.0,3.0,1.0,267457.0,0.07%,39.29%,0.0
Peoples Republican Party,2.0,2.0,0.0,261219.0,0.07%,16.26%,1.0
Indian Federal Democratic Party,1.0,1.0,1.0,256411.0,0.07%,34.38%,0.0
Kerala Congress (Mani),1.0,1.0,0.0,209880.0,0.05%,28.14%,0.0
Rashtriya Samanta Dal,4.0,21.0,0.0,209694.0,0.05%,1.44%,21.0
Samata Party,13.0,40.0,0.0,201276.0,0.05%,0.75%,40.0
Lok Bhalai Party,1.0,1.0,0.0,187787.0,0.05%,21.59%,0.0
Mizo National Front,1.0,1.0,1.0,182864.0,0.05%,52.46%,0.0
Bharatiya Navshakti Party,2.0,4.0,1.0,171080.0,0.04%,9.25%,3.0
All Jharkhand Students Union,1.0,5.0,0.0,157930.0,0.04%,5.21%,5.0
Sikkim Democratic Front,1.0,1.0,1.0,153409.0,0.04%,69.84%,0.0
Marxist Co-ordination Committee,1.0,1.0,0.0,147470.0,0.04%,15.66%,1.0
Rashtriya Samaj Paksha,2.0,13.0,0.0,146571.0,0.04%,1.49%,13.0
Rashtriya Parivartan Dal,1.0,3.0,0.0,139145.0,0.04%,5.98%,2.0
Jharkhand Disom Party,3.0,7.0,0.0,135685.0,0.03%,2.59%,7.0
Pyramid Party of India,1.0,13.0,0.0,130362.0,0.03%,1.11%,13.0
Ekta Shakti,1.0,3.0,0.0,126924.0,0.03%,5.04%,3.0
Autonomous State Demand Committee,1.0,1.0,0.0,101808.0,0.03%,25.36%,0.0
Akhil Bharatiya Sena,1.0,1.0,0.0,92210.0,0.02%,26.50%,0.0
Akhil Bharatiya Hindu Mahasabha,12.0,33.0,0.0,88214.0,0.02%,0.38%,33.0
Federal Party of Manipur,1.0,1.0,0.0,88179.0,0.02%,21.18%,0.0
Bihar People's Party,1.0,1.0,0.0,86418.0,0.02%,12.97%,1.0
Party of Democratic Socialism,1.0,2.0,0.0,81999.0,0.02%,4.93%,2.0
Samata Samaj Party,4.0,6.0,0.0,78791.0,0.02%,1.94%,6.0
Manipur Peoples Party,1.0,1.0,0.0,77055.0,0.02%,12.45%,1.0
Arunachal Congress,1.0,1.0,0.0,76527.0,0.02%,34.54%,0.0
Jharkhand Party,3.0,8.0,0.0,74364.0,0.02%,1.39%,8.0
Jammu & Kashmir National Panthers Party,3.0,7.0,0.0,70078.0,0.02%,2.00%,7.0
Indian Justice Party,7.0,29.0,0.0,67914.0,0.02%,0.34%,29.0
Jharkhand Party (Naren),1.0,3.0,0.0,67782.0,0.02%,2.82%,3.0
"United Minorities Front, Assam",1.0,2.0,0.0,64657.0,0.02%,4.17%,2.0
Labour Party (Secular),3.0,20.0,0.0,63989.0,0.02%,0.42%,20.0
Rashtriya Swabhimaan Party,4.0,31.0,0.0,58296.0,0.01%,0.27%,31.0
Pragatisheel Manav Samaj Party,1.0,6.0,0.0,54746.0,0.01%,1.31%,6.0
Lok Rajya Party,1.0,8.0,0.0,54097.0,0.01%,0.91%,8.0
Bahujan Kisan Dal,1.0,9.0,0.0,52669.0,0.01%,0.88%,9.0
Majlis Bachao Tehreek,1.0,1.0,0.0,47560.0,0.01%,4.82%,1.0
Peoples Democratic Party,1.0,1.0,0.0,45720.0,0.01%,6.26%,1.0
Uttarakhand Kranti Dal,1.0,4.0,0.0,43899.0,0.01%,2.02%,4.0
Marxist Communist Party of India,1.0,4.0,0.0,38766.0,0.01%,1.05%,4.0
Amra Bangalee,3.0,7.0,0.0,38107.0,0.01%,0.71%,7.0
Vidharba Rajya Party,1.0,2.0,0.0,36974.0,0.01%,2.57%,2.0
Urs Samyukta Paksha,1.0,3.0,0.0,33128.0,0.01%,1.29%,3.0
Ambedkarist Republican Party,1.0,7.0,0.0,31467.0,0.01%,0.62%,7.0
Prabuddha Republican Party,1.0,7.0,0.0,29792.0,0.01%,0.51%,7.0
Rashtrawadi Communist Party,1.0,1.0,0.0,28757.0,0.01%,5.03%,1.0
Rashtriya Samajik Nayak Paksha,1.0,1.0,0.0,27594.0,0.01%,4.04%,1.0
Sampurna Vikas Dal,1.0,3.0,0.0,27135.0,0.01%,1.04%,3.0
Tamil Desiyak Katchi,1.0,2.0,0.0,25348.0,0.01%,1.82%,2.0
Kosi Vikas Party,1.0,2.0,0.0,25258.0,0.01%,1.93%,2.0
Chhattisgarhi Samaj Party,1.0,3.0,0.0,24696.0,0.01%,1.21%,3.0
Bharatiya Manavata Vikas Party,1.0,2.0,0.0,24176.0,0.01%,1.33%,2.0
Loktantrik Samajwadi Party,3.0,3.0,0.0,22811.0,0.01%,1.12%,3.0
Savarn Samaj Party,2.0,7.0,0.0,21246.0,0.01%,0.46%,7.0
Ambedkar Samaj Party,1.0,9.0,0.0,20767.0,0.01%,0.36%,9.0
Indian National League,1.0,4.0,0.0,20159.0,0.01%,0.53%,4.0
Bharatiya Gaon Taj Dal,2.0,11.0,0.0,19909.0,0.01%,0.21%,11.0
Akhil Bharatiya Congress Dal (Ambedkar),1.0,2.0,0.0,19548.0,0.01%,1.36%,2.0
Socialist Party (Lohia),1.0,1.0,0.0,18628.0,0.00%,1.98%,1.0
Shivrajya Party,1.0,4.0,0.0,18374.0,0.00%,0.64%,4.0
Samajwadi Jan Parishad,1.0,2.0,0.0,17717.0,0.00%,1.50%,2.0
Hindustan Janta Party,1.0,4.0,0.0,17410.0,0.00%,0.48%,4.0
Revolutionary Communist Party of India,1.0,1.0,0.0,16691.0,0.00%,2.50%,1.0
Bharatiya Republican Paksha,4.0,10.0,0.0,16546.0,0.00%,0.21%,10.0
Rashtriya Vikas Party,3.0,5.0,0.0,15159.0,0.00%,0.33%,5.0
Trinamool Gana Parishad,1.0,1.0,0.0,14933.0,0.00%,1.69%,1.0
Manuvadi Party,1.0,5.0,0.0,14233.0,0.00%,0.47%,5.0
Bharat Kranti Rakshak Party,1.0,7.0,0.0,12547.0,0.00%,0.27%,7.0
Rashtriya Hamara Dal,1.0,1.0,0.0,12346.0,0.00%,1.92%,1.0
Parivartan Samaj Party,2.0,5.0,0.0,12273.0,0.00%,0.32%,5.0
Bharatiya Eklavya Party,1.0,2.0,0.0,12197.0,0.00%,0.88%,2.0
Proutist Sarva Samaj Party,3.0,4.0,0.0,11561.0,0.00%,0.41%,4.0
Bharatiya Rashtravadi Paksha,1.0,1.0,0.0,11459.0,0.00%,2.54%,1.0
Paschim Banga Rajya Muslim League,1.0,1.0,0.0,10446.0,0.00%,1.04%,1.0
Rajasthan Vikas Party,1.0,2.0,0.0,10032.0,0.00%,0.70%,2.0
Lokpriya Samaj Party,2.0,3.0,0.0,9913.0,0.00%,0.40%,3.0
Akhil Bharatiya Jan Sangh,5.0,7.0,0.0,9707.0,0.00%,0.23%,7.0
Rashtriya Krantikari Samajwadi Party,1.0,5.0,0.0,9145.0,0.00%,0.28%,5.0
Vidharbha Janata Congress,1.0,2.0,0.0,9097.0,0.00%,0.63%,2.0
Shoshit Samaj Dal,2.0,4.0,0.0,8862.0,0.00%,0.31%,4.0
Jai Hind Party,2.0,3.0,0.0,8645.0,0.00%,0.29%,3.0
Bharatiya Minorities Suraksha Mahasangh,1.0,3.0,0.0,8200.0,0.00%,0.38%,3.0
Akhil Bharatiya Desh Bhakt Morcha,1.0,1.0,0.0,7696.0,0.00%,1.35%,1.0
Maharashtrawadi Gomantak Party,1.0,2.0,0.0,7584.0,0.00%,1.37%,2.0
Rashtriya Sawarn Dal,2.0,2.0,0.0,7374.0,0.00%,0.34%,2.0
Navbharat Nirman Party,2.0,7.0,0.0,7169.0,0.00%,0.11%,7.0
Krantikari Samyavadi Party,1.0,1.0,0.0,6948.0,0.00%,1.00%,1.0
Democratic Bharatiya Samaj Party,1.0,2.0,0.0,6717.0,0.00%,0.45%,2.0
Youth and Students Party,1.0,1.0,0.0,6580.0,0.00%,0.84%,1.0
Ephraim Union,1.0,1.0,0.0,6512.0,0.00%,1.87%,1.0
United Goans Democratic Party,1.0,1.0,0.0,5881.0,0.00%,1.98%,1.0
Pichhra Samaj Party,1.0,1.0,0.0,5672.0,0.00%,0.80%,1.0
Momin Conference,1.0,1.0,0.0,5113.0,0.00%,0.72%,1.0
Labour Party of India (V.V. Prasad),1.0,1.0,0.0,4977.0,0.00%,0.42%,1.0
All India Minorities Front,1.0,1.0,0.0,4874.0,0.00%,0.70%,1.0
Republican Party of India (Khobragade),1.0,1.0,0.0,4790.0,0.00%,0.72%,1.0
Bahujan Vikas Party,1.0,2.0,0.0,4533.0,0.00%,0.32%,2.0
Naari Shakti Party,1.0,1.0,0.0,4649.0,0.00%,0.42%,1.0
Bharatiya Ekta Dal,1.0,1.0,0.0,4312.0,0.00%,0.62%,1.0
Shikshit Berozgar Sena,1.0,1.0,0.0,4303.0,0.00%,0.60%,1.0
Yuva Gantantra Party,1.0,1.0,0.0,4140.0,0.00%,0.58%,1.0
Rashtravadi Janata Party,1.0,1.0,0.0,3737.0,0.00%,0.24%,1.0
Kranti Kari Jai Hind Sena,1.0,3.0,0.0,3393.0,0.00%,0.12%,3.0
Mudiraj Rashtriya Samithi,1.0,1.0,0.0,3345.0,0.00%,0.33%,1.0
Sikkim Sangram Parishad,1.0,1.0,0.0,3216.0,0.00%,1.46%,1.0
Janata Vikas Party,1.0,1.0,0.0,3173.0,0.00%,0.55%,1.0
National Students Party,1.0,1.0,0.0,3069.0,0.00%,0.37%,1.0
Secular Party of India,1.0,2.0,0.0,3041.0,0.00%,0.21%,2.0
Vikas Party,1.0,2.0,0.0,2998.0,0.00%,0.23%,2.0
Social Action Party,1.0,1.0,0.0,2987.0,0.00%,0.46%,1.0
Akhil Bharatiya Rashtriya Azad Hind Party,1.0,1.0,0.0,2801.0,0.00%,0.48%,1.0
Loktantrik Chetna Party,1.0,1.0,0.0,2776.0,0.00%,0.53%,1.0
Sikkim Himali Rajya Parishad,1.0,1.0,0.0,2765.0,0.00%,1.26%,1.0
Janmangal Paksh,1.0,1.0,0.0,2684.0,0.00%,0.41%,1.0
Sanatan Samaj Party,1.0,1.0,0.0,2679.0,0.00%,0.56%,1.0
Rashtriya Lok Seva Morcha,1.0,1.0,0.0,2476.0,0.00%,0.32%,1.0
Lok Sewa Dal,1.0,1.0,0.0,2646.0,0.00%,0.39%,1.0
Jana Unnayan Mancha,1.0,1.0,0.0,2592.0,0.00%,0.31%,1.0
Republican Party of India (Democratic),1.0,1.0,0.0,2370.0,0.00%,0.29%,1.0
Bharatiya Lok Kalyan Dal,1.0,1.0,0.0,2242.0,0.00%,0.33%,1.0
Panchayat Raj Party,1.0,1.0,0.0,2165.0,0.00%,0.24%,1.0
Bharatiya Backward Party,1.0,2.0,0.0,2162.0,0.00%,0.14%,2.0
All Kerala M.G.R. Dravida Munnetra Party,1.0,1.0,0.0,2158.0,0.00%,0.28%,1.0
Akhil Bharatiya Rajarya Sabha,1.0,2.0,0.0,2080.0,0.00%,0.17%,2.0
Bharat ki Lok Jimmedar Party,1.0,1.0,0.0,2055.0,0.00%,0.33%,1.0
Rashtriya Garima Party,1.0,1.0,0.0,2043.0,0.00%,0.24%,1.0
Rashtriya Garib Dal,1.0,1.0,0.0,1977.0,0.00%,0.24%,1.0
Ekta Kranti Dal U.P.,1.0,2.0,0.0,1939.0,0.00%,0.15%,2.0
Bharatiya Labour Party,1.0,1.0,0.0,1758.0,0.00%,0.25%,1.0
Phule Bharti Lok Party,1.0,1.0,0.0,1690.0,0.00%,0.22%,1.0
Mool Bharati (S) Party,1.0,1.0,0.0,1675.0,0.00%,0.19%,1.0
Bharatiya Nagrik Party,1.0,2.0,0.0,1580.0,0.00%,0.13%,2.0
Jammu & Kashmir Awami League,1.0,1.0,0.0,1519.0,0.00%,0.78%,1.0
Hind Morcha,1.0,1.0,0.0,1459.0,0.00%,0.09%,1.0
Jharkhand People's Party,1.0,1.0,0.0,1449.0,0.00%,0.21%,1.0
Maharashtra Rajiv Congress,1.0,1.0,0.0,1399.0,0.00%,0.15%,1.0
Janhit Samaj Party,1.0,1.0,0.0,1310.0,0.00%,0.15%,1.0
Vijeta Party,1.0,1.0,0.0,1304.0,0.00%,0.14%,1.0
Socialistic Democratic Party,1.0,1.0,0.0,1265.0,0.00%,0.65%,1.0
Jansatta Party,1.0,1.0,0.0,1189.0,0.00%,0.14%,1.0
Federal Congress of India,1.0,1.0,0.0,1037.0,0.00%,0.13%,1.0
Nidaya Malik (N) Party,1.0,1.0,0.0,1030.0,0.00%,0.17%,1.0
Indian Bahujan Samajwadi Party,1.0,1.0,0.0,972.0,0.00%,0.14%,1.0
Desh Bhakt Party,1.0,3.0,0.0,912.0,0.00%,0.06%,3.0
Ambedkar National Congress,1.0,1.0,0.0,825.0,0.00%,0.10%,1.0
NTR Telugu Desam Party (Lakshmi Parvathi),1.0,1.0,0.0,759.0,0.00%,0.09%,1.0
Akhil Bharatiya Loktantra Party,1.0,1.0,0.0,754.0,0.00%,0.11%,1.0
Jebamani Janata,1.0,1.0,0.0,734.0,0.00%,0.08%,1.0
Niswarth Sewa Party,1.0,1.0,0.0,730.0,0.00%,0.09%,1.0
Jan Chetna Party,1.0,1.0,0.0,671.0,0.00%,0.09%,1.0
Hindu Ekta Andolan Party,1.0,1.0,0.0,620.0,0.00%,0.08%,1.0
Krantikari Manuwadi Morcha,1.0,1.0,0.0,597.0,0.00%,0.10%,1.0
Bharatiya Prajatantra Party,1.0,1.0,0.0,573.0,0.00%,0.05%,1.0
Bharatiya Muhabbat Party (All India),1.0,1.0,0.0,566.0,0.00%,0.08%,1.0
Manav Jagriti Manch,1.0,1.0,0.0,552.0,0.00%,0.04%,1.0
Bharatiya Janvadi Party,1.0,1.0,0.0,543.0,0.00%,0.07%,1.0
Bharatiya Surajya Manch,1.0,1.0,0.0,515.0,0.00%,0.19%,1.0
Rashtriya Janadhikar Party,1.0,1.0,0.0,487.0,0.00%,0.03%,1.0
Praja Party,1.0,1.0,0.0,485.0,0.00%,0.06%,1.0
Bharti Sarvadarshi Parishad,1.0,1.0,0.0,427.0,0.00%,0.07%,1.0
Shoshit Samaj Party,1.0,1.0,0.0,395.0,0.00%,0.07%,1.0
Rashtriya Sakar Party,1.0,1.0,0.0,379.0,0.00%,0.06%,1.0
Bharatiya Sarvkalayan Kranti Dal,1.0,1.0,0.0,365.0,0.00%,0.06%,1.0
Awami Party,1.0,1.0,0.0,327.0,0.00%,0.04%,1.0
Swaraj Dal,1.0,1.0,0.0,298.0,0.00%,0.19%,1.0
Akhand Bharati,1.0,1.0,0.0,138.0,0.00%,0.05%,1.0
Parmarth Party,1.0,1.0,0.0,126.0,0.00%,0.05%,1.0
Independents,32.0,2385.0,5.0,16549900.0,4.25%,4.64%,2370.0
