Outcome,Date,Tournament,Surface,Partner,Opponents in the final,Score in the final
Runner-up,1984.0,"French Open, Paris",Clay,Tomáš Šmíd,Henri Leconte Yannick Noah,"4–6, 6–2, 6–3, 3–6, 2–6"
Winner,1984.0,"Washington, D.C. , U.S.",Clay,Ferdi Taygan,Drew Gitlin Blaine Willenborg,"7–6, 6–1"
Winner,1984.0,"Bordeaux , France",Clay,Blaine Willenborg,Loïc Courteau Guy Forget,"6–1, 6–4"
Winner,1984.0,"Barcelona , Spain",Clay,Tomáš Šmíd,Martín Jaite Víctor Pecci,"6–2, 6–0"
Winner,1984.0,"Basel , Switzerland",Hard (i),Tomáš Šmíd,Stefan Edberg Tim Wilkison,"7–6, 6–2"
Runner-up,1984.0,"Wembley , England",Carpet,Tomáš Šmíd,Andrés Gómez Ivan Lendl,"2–6, 2–6"
Winner,1984.0,"Treviso , Italy",Clay,Tim Wilkison,Jan Gunnarsson Sherwood Stewart,"6–2, 6–3"
Runner-up,1984.0,"Toulouse , France",Hard (i),Tim Wilkison,Jan Gunnarsson Michael Mortensen,"4–6, 2–6"
Runner-up,1984.0,"Masters , New York",Carpet,Tomáš Šmíd,Peter Fleming John McEnroe,"2–6, 2–6"
Winner,1985.0,"Memphis , U.S.",Carpet,Tomáš Šmíd,Kevin Curren Steve Denton,"1–6, 6–3, 6–4"
Winner,1985.0,"Rotterdam , Netherlands",Carpet,Tomáš Šmíd,Vitas Gerulaitis Paul McNamee,"6–4, 6–4"
Winner,1985.0,"Monte Carlo , Monaco",Clay,Tomáš Šmíd,Shlomo Glickstein Shahar Perkiss,"6–2, 6–3"
Winner,1985.0,"Nice , France",Clay,Claudio Panatta,Loïc Courteau Guy Forget,"3–6, 6–3, 8–6"
Runner-up,1985.0,"Indianapolis , U.S.",Clay,Kim Warwick,Ken Flach Robert Seguso,"4–6, 4–6"
Runner-up,1985.0,"Toulouse , France",Hard (i),Tomáš Šmíd,Ricardo Acuña Jakob Hlasek,"6–3, 2–6, 7–9"
Winner,1986.0,"Nice , France",Clay,Jakob Hlasek,Gary Donnelly Colin Dowdeswell,"6–3, 4–6, 11–9"
Winner,1986.0,"Saint Vincent , Italy",Clay,Libor Pimek,Bud Cox Michael Fancutt,"6–3, 6–3"
Runner-up,1986.0,"Toulouse , France",Hard (i),Jakob Hlasek,Miloslav Mečíř Tomáš Šmíd,"2–6, 6–3, 4–6"
