Name A[› ],Dam or A[› ] Reservoir,GNIS Feature ID # Link A[› ] B[› ],Elevation A[› ],Borough or A[› ] Census area
Cheimoviski Lake,Reservoir,1417212.0,feet (m),Valdez-Cordova (CA)
Chena River Lakes Dam,Dam,1417302.0,feet (m),Fairbanks North Star
Chester Creek Dam,Dam,1417219.0,feet (m),Anchorage
Chester Lake,Reservoir,1417287.0,feet (m),P. of Wales-O. Ketchikan (CA)
Chester Lake Dam,Dam,1417286.0,feet (m),P. of Wales-O. Ketchikan (CA)
Chester Lake,Reservoir,1421006.0,feet (m),P. of Wales-O. Ketchikan (CA)
Chester Lake Dam,Dam,1417193.0,feet (m),P. of Wales-O. Ketchikan (CA)
Chiniak Satellite Tracking Station Dam,Dam,1417304.0,feet (m),Kodiak Island
Columbia Wards Fisheries Incorporated Dam,Dam,1417348.0,feet (m),Lake and Peninsula
Connell Lake,Reservoir,1421171.0,feet (m),Ketchikan Gateway
Lake Connell Dam,Dam,1417184.0,feet (m),Ketchikan Gateway
Cooper Lake,Reservoir,1417170.0,feet (m),Kenai Peninsula
Cooper Lake Dam,Dam,1417169.0,feet (m),Kenai Peninsula
Corner Bay Dam,Dam,1417353.0,feet (m),Sitka
Country Gardens Nursery Dam,Dam,1417391.0,feet (m),Anchorage
Crab Bay Dam Number 3,Dam,1417389.0,feet (m),Valdez-Cordova (CA)
Craig Water Supply Dam,Dam,1417395.0,feet (m),P. of Wales-O. Ketchikan (CA)
Crystal Lake,Reservoir,1417175.0,feet (m),Wrangell-Petersburg (CA)
Crystal Lake Dam,Dam,1417174.0,feet (m),Wrangell-Petersburg (CA)
Lake Demarie Dam,Dam,1417341.0,feet (m),Aleutians West (CA)
Lower Dewey Lake Forebay,Reservoir,1417267.0,feet (m),Skagway
Lower Dewey Lake Forebay Dam,Dam,1417266.0,feet (m),Skagway
Lower Dewey Lake Number 1 Dam,Dam,1417182.0,feet (m),Skagway
Lower Dewey Reservoir,Reservoir,1417183.0,feet (m),Skagway
Upper Dewey Lake Dam,Dam,1417247.0,feet (m),Skagway
Upper Dewey Reservoir,Reservoir,1417248.0,feet (m),Skagway
Douglas Island Reservoir Dam,Dam,1417291.0,feet (m),Juneau
Eklutna Dam,Dam,1417227.0,feet (m),Matanuska-Susitna
Eklutna Lake,Reservoir,1401730.0,feet (m),Anchorage
Lower Eklutna Dam,Dam,1417311.0,feet (m),Anchorage
Ellamar Dam Number 1,Dam,1417384.0,feet (m),Valdez-Cordova (CA)
Ellamar Dam Number 2,Dam,1417385.0,feet (m),Valdez-Cordova (CA)
Engstrom Dam,Dam,1417359.0,feet (m),Yukon-Koyukuk (CA)
Excursion Cannery Water Supply,Reservoir,1417299.0,feet (m),Hoonah-Angoon (CA)
Excursion Inlet Cannery Dam,Dam,1417298.0,feet (m),Hoonah-Angoon (CA)
Eyak Lake Dam,Dam,1417253.0,feet (m),Valdez-Cordova (CA)
False Pass Dam,Dam,1417345.0,feet (m),Aleutians East
Fawn Lake,Reservoir,1417234.0,feet (m),Ketchikan Gateway
Fawn Lake,Reservoir,1417236.0,feet (m),Ketchikan Gateway
North Fawn Lake Dam,Dam,1417235.0,feet (m),Ketchikan Gateway
South Fawn Lake Dam,Dam,1417233.0,feet (m),Ketchikan Gateway
Fish Creek Dam,Dam,1417314.0,feet (m),Kenai Peninsula
Gregory Lake Dam,Dam,1417232.0,feet (m),Anchorage
Haines Army Depot Water Supply Dam,Dam,1417382.0,feet (m),Haines
Old Harbor City Dam,Dam,1417387.0,feet (m),Kodiak Island
Hayden Lake Dam,Dam,1417213.0,feet (m),Valdez-Cordova (CA)
Lake Hayden,Reservoir,1417214.0,feet (m),Valdez-Cordova (CA)
Hess Creek Dam,Dam,1417196.0,feet (m),Yukon-Koyukuk (CA)
Lake 'O' the Hills,Reservoir,1417229.0,feet (m),Anchorage
Lake 'O' the Hills Dam,Dam,1417228.0,feet (m),Anchorage
Humpback Creek Number 1 Dam,Dam,1417295.0,feet (m),Valdez-Cordova (CA)
Humpback Creek Number 2 Dam,Dam,1417296.0,feet (m),Valdez-Cordova (CA)
Humpback Creek Number 3 Dam,Dam,1417255.0,feet (m),Valdez-Cordova (CA)
Hydaburg Dam,Dam,1417338.0,feet (m),P. of Wales-O. Ketchikan (CA)
Independence Mine Dam,Dam,1417360.0,feet (m),Matanuska-Susitna
Indian River Dam,Dam,1417223.0,feet (m),Sitka
Isatkoak Dam,Dam,1417256.0,feet (m),North Slope
Isatkoak Reservoir,Reservoir,1417257.0,feet (m),North Slope
Itasigrook Dam,Dam,1417260.0,feet (m),North Slope
Jerome Lake,Reservoir,1417294.0,feet (m),Kenai Peninsula
Jerome Lake Dam,Dam,1417293.0,feet (m),Kenai Peninsula
Jim Edwards Dam,Dam,1417386.0,feet (m),Valdez-Cordova (CA)
City of Kake Dam,Dam,1417363.0,feet (m),Wrangell-Petersburg (CA)
Old Kake Dam,Dam,1417394.0,feet (m),Wrangell-Petersburg (CA)
Karluk Lagoon Dam,Dam,1417372.0,feet (m),Kodiak Island
Old Karluk Dam,Dam,1417373.0,feet (m),Kodiak Island
Kennel Creek Dam,Dam,1417352.0,feet (m),Sitka
Ketchikan Debris Control Dam,Dam,1417362.0,feet (m),Ketchikan Gateway
Ketchikan Diversion Dam,Dam,1417361.0,feet (m),Ketchikan Gateway
Ketchikan Lakes Dam,Dam,1417176.0,feet (m),Ketchikan Gateway
Lower and Upper Ketchikan Lakes,Reservoir,1417177.0,feet (m),Ketchikan Gateway
Big Kitoi Dam,Dam,1417221.0,feet (m),Kodiak Island
Big Kitoi Lake,Reservoir,1417222.0,feet (m),Kodiak Island
Klawock Dam,Dam,1417365.0,feet (m),P. of Wales-O. Ketchikan (CA)
Klukwan Dam,Dam,1417383.0,feet (m),Haines
Kotzebue Water Supply Dam,Dam,1417272.0,feet (m),Northwest Arctic
Larson Bay Cannery Dam,Dam,1417306.0,feet (m),Kodiak Island
Lake Leone Dam,Dam,1417327.0,feet (m),Aleutians West (CA)
Long Lake,Reservoir,1417246.0,feet (m),Juneau
Lost Lake,Reservoir,1417380.0,feet (m),Valdez-Cordova (CA)
Lost Lake Dam,Dam,1417379.0,feet (m),Valdez-Cordova (CA)
Louie Nelson Homestead Dam,Dam,1417377.0,feet (m),Haines
Lowell Creek Dam,Dam,1417268.0,feet (m),Kenai Peninsula
Meals Lake,Reservoir,1417198.0,feet (m),Valdez-Cordova (CA)
Meals Lake Dam,Dam,1417197.0,feet (m),Valdez-Cordova (CA)
Memory Lake Estates Dam Number 1,Dam,1417339.0,feet (m),Matanuska-Susitna
Memory Lake Estates Dam Number 2,Dam,1417358.0,feet (m),Matanuska-Susitna
Middle Stream Lower Dam,Dam,1417333.0,feet (m),Aleutians West (CA)
Middle Stream Middle Dam,Dam,1417334.0,feet (m),Aleutians West (CA)
Middle Stream Upper Dam,Dam,1417335.0,feet (m),Aleutians West (CA)
Mitchell Creek Dam,Dam,1417330.0,feet (m),Aleutians West (CA)
Monashka Creek Dam,Dam,1417284.0,feet (m),Kodiak Island
Monashka Reservoir,Reservoir,1417285.0,feet (m),Kodiak Island
Moose Creek Reservoir,Reservoir,1417303.0,feet (m),Fairbanks North Star
Mountain Point Community Reservoir,Reservoir,1417224.0,feet (m),Sitka
NASA Tracking Station Dam Number 1,Dam,1417317.0,feet (m),Fairbanks North Star
NASA Tracking Station Dam Number 2,Dam,1417378.0,feet (m),Fairbanks North Star
Nerravak Lagoon,Reservoir,1417261.0,feet (m),North Slope
New England Fish Company Dam Sand Point,Dam,1417340.0,feet (m),Aleutians East
North Lake Dam Nw Side,Dam,1417324.0,feet (m),Aleutians West (CA)
North Lake Dam Se Side,Dam,1417325.0,feet (m),Aleutians West (CA)
North Stream Lower Dam,Dam,1417332.0,feet (m),Aleutians West (CA)
Nugget Creek,Reservoir,1417252.0,feet (m),Juneau
Nugget Creek Dam,Dam,1417251.0,feet (m),Juneau
Nurses Creek Dam,Dam,1417346.0,feet (m),Aleutians West (CA)
Lake Ospery,Reservoir,1417265.0,feet (m),Sitka
Lake Ospery Dam,Dam,1417264.0,feet (m),Sitka
Otter Lake Dam,Dam,1417289.0,feet (m),Anchorage
City of Ouzinkie Dam,Dam,1417305.0,feet (m),Kodiak Island
City of Ouzinkie Lower Dam,Dam,1417370.0,feet (m),Kodiak Island
Pedersen Dam,Dam,1417396.0,feet (m),Kenai Peninsula
Pelican Creek Dam,Dam,1417237.0,feet (m),Hoonah-Angoon (CA)
Pelican Reservoir,Reservoir,1417238.0,feet (m),Hoonah-Angoon (CA)
Peter Pan Seafoods Chignik Dam,Dam,1417344.0,feet (m),Lake and Peninsula
Petersburg Dam,Dam,1417194.0,feet (m),Wrangell-Petersburg (CA)
Petersburg Lower Reservoir,Reservoir,1417259.0,feet (m),Wrangell-Petersburg (CA)
Petersburg Lower Reservoir Dam,Dam,1417258.0,feet (m),Wrangell-Petersburg (CA)
Petersburg Reservoir,Reservoir,1417195.0,feet (m),Wrangell-Petersburg (CA)
Pillar Creek 2 Main Dam Dike C,Dam,1417203.0,feet (m),Kodiak Island
Pillar Creek Dam Number 2 Dike A,Dam,1417278.0,feet (m),Kodiak Island
Pillar Creek Dam Number 3,Dam,1417392.0,feet (m),Kodiak Island
Pillar Creek Lower Reservoir,Reservoir,1417393.0,feet (m),Kodiak Island
Pillar Creek Number 1 Upper Dam A,Dam,1417201.0,feet (m),Kodiak Island
Pillar Creek Number 1 Upper Dam B,Dam,1417282.0,feet (m),Kodiak Island
Pillar Creek Number 2 Dike B Dam,Dam,1417280.0,feet (m),Kodiak Island
Pillar Creek Reservoir,Reservoir,1407982.0,feet (m),Kodiak Island
Pillar Creek Upper Reservoir,Reservoir,1417202.0,feet (m),Kodiak Island
City of Port Alexander Dam,Dam,1417322.0,feet (m),Sitka
Port Alexander Cold Storage Dam,Dam,1417357.0,feet (m),Sitka
Port Graham Dam Number 1,Dam,1417381.0,feet (m),Kenai Peninsula
Port Graham Dam Number 2,Dam,1417315.0,feet (m),Kenai Peninsula
Port Lions Dam,Dam,1417307.0,feet (m),Kodiak Island
Port Wakefield Dam,Dam,1417388.0,feet (m),Kodiak Island
Port William Dam,Dam,1417318.0,feet (m),Kodiak Island
Purple Lake,Reservoir,1417263.0,feet (m),P. of Wales-O. Ketchikan (CA)
Purple Lake Dam,Dam,1417262.0,feet (m),P. of Wales-O. Ketchikan (CA)
Upper Rainbow Lake,Reservoir,1417271.0,feet (m),Matanuska-Susitna
Lower Reservoir,Reservoir,1405772.0,feet (m),Kodiak Island
Middle Reservoir,Reservoir,1417204.0,feet (m),Kodiak Island
Upper Reservoir,Reservoir,1417206.0,feet (m),Kodiak Island
Upper Reservoir,Reservoir,1417283.0,feet (m),Kodiak Island
Upper Reservoir Dam,Dam,1417205.0,feet (m),Kodiak Island
Rowan Bay Dam,Dam,1417350.0,feet (m),Wrangell-Petersburg (CA)
Roycroft Lake Dam,Dam,1417297.0,feet (m),Kenai Peninsula
Salmon Creek Dam,Dam,1409010.0,feet (m),Juneau
Salmon Creek Reservoir,Reservoir,1419165.0,feet (m),Juneau
Salt Chuck Mine Dam,Dam,1417368.0,feet (m),P. of Wales-O. Ketchikan (CA)
San Juan Lake,Reservoir,1417200.0,feet (m),Valdez-Cordova (CA)
Sandra Lake,Reservoir,1417275.0,feet (m),Valdez-Cordova (CA)
Sandra Lake Dam,Dam,1417274.0,feet (m),Valdez-Cordova (CA)
Saxman Dam,Dam,1417364.0,feet (m),Ketchikan Gateway
Saxman Lower Reservoir Dam,Dam,1417300.0,feet (m),Ketchikan Gateway
Saxman Reservoir,Reservoir,1419165.0,feet (m),Ketchikan Gateway
Seldovia Reservoir,Reservoir,1417210.0,feet (m),Kenai Peninsula
Seldovia Upper Dam,Dam,1417209.0,feet (m),Kenai Peninsula
Sheldon Jackson College Dam,Dam,1417369.0,feet (m),Sitka
Sherwood Estates Dam,Dam,1417270.0,feet (m),Matanuska-Susitna
Ship Creek Dam,Dam,1417230.0,feet (m),Anchorage
Ship Creek Reservoir,Reservoir,1417231.0,feet (m),Anchorage
Shotter Creek Dam,Dam,1417225.0,feet (m),Hoonah-Angoon (CA)
Lower Silvis Lake,Reservoir,1423451.0,feet (m),Ketchikan Gateway
Lower Silvis Lake Dam,Dam,1417180.0,feet (m),Ketchikan Gateway
Upper Silvis Lake,Reservoir,1415517.0,feet (m),Ketchikan Gateway
Upper Silvis Lake Dam,Dam,1417178.0,feet (m),Ketchikan Gateway
Site Lake,Reservoir,1417226.0,feet (m),Hoonah-Angoon (CA)
Sixmile Lake,Reservoir,1419252.0,feet (m),Anchorage
Slate Creek Dam,Dam,1417397.0,feet (m),Valdez-Cordova (CA)
Snettisham Dam,Dam,1417245.0,feet (m),Juneau
Solomon Gulch Dam A,Dam,1417329.0,feet (m),Valdez-Cordova (CA)
Solomon Gulch Dam B,Dam,1417342.0,feet (m),Valdez-Cordova (CA)
Solomon Gulch Lake,Reservoir,1417343.0,feet (m),Valdez-Cordova (CA)
Solomon Lake,Reservoir,1417216.0,feet (m),Valdez-Cordova (CA)
Solomon Lake Dam,Dam,1417215.0,feet (m),Valdez-Cordova (CA)
Squaw Harbor Dam,Dam,1417323.0,feet (m),Aleutians East
Stovers Dam,Dam,1417316.0,feet (m),Kodiak Island
Switzer Creek Number 2 Dam,Dam,1417292.0,feet (m),Juneau
Taku Cannery Dam,Dam,1417356.0,feet (m),Juneau
Tatitlek Dam,Dam,1417390.0,feet (m),Valdez-Cordova (CA)
Tatitlek Supply Dam,Dam,1417366.0,feet (m),Valdez-Cordova (CA)
Tease Lake Dam,Dam,1417374.0,feet (m),Juneau
Tease Reservoir,Reservoir,1417375.0,feet (m),Juneau
Tenakee Spring School Dam,Dam,1417355.0,feet (m),Hoonah-Angoon (CA)
Tenakee Springs Dam,Dam,1417354.0,feet (m),Hoonah-Angoon (CA)
Tin City Dam,Dam,1417320.0,feet (m),Nome (CA)
Tuxkan Dam,Dam,1417367.0,feet (m),P. of Wales-O. Ketchikan (CA)
Uyak Cannery Dam,Dam,1417312.0,feet (m),Kodiak Island
Vortac Lake,Reservoir,1417273.0,feet (m),Northwest Arctic
Waterfall Dam,Dam,1417249.0,feet (m),P. of Wales-O. Ketchikan (CA)
Waterfall Reservoir,Reservoir,1417250.0,feet (m),P. of Wales-O. Ketchikan (CA)
Weare Dike,Dam,1411813.0,feet (m),Wade Hampton (CA)
West Gables Cannery Dam,Dam,1417211.0,feet (m),Valdez-Cordova (CA)
Westchester Lagoon,Reservoir,1417220.0,feet (m),Anchorage
Whitman Lake,Reservoir,1415754.0,feet (m),Ketchikan Gateway
Whitman Lake Dam,Dam,1417187.0,feet (m),Ketchikan Gateway
Wrangell Lower Dam,Dam,1417191.0,feet (m),Wrangell-Petersburg (CA)
Wrangell Lower Reservoir,Reservoir,1417192.0,feet (m),Wrangell-Petersburg (CA)
Wrangell Upper Dam,Dam,1417189.0,feet (m),Wrangell-Petersburg (CA)
Wrangell Upper Reservoir,Reservoir,1417190.0,feet (m),Wrangell-Petersburg (CA)
Zachar Bay Fisheries Dam,Dam,1417376.0,feet (m),Kodiak Island
