Dep.,Chief town,Arrondissement,Population (1999),Area (Square km),Pop density,Cantons,Communes
10,Nogent-sur-Seine,Nogent-sur-Seine,"51,441",1277.0,40.0,6.0,82.0
10,Troyes,Troyes,"210,294",3534.0,60.0,22.0,247.0
11,Carcassonne,Carcassonne,"141,890",2668.0,53.0,18.0,207.0
11,Limoux,Limoux,"41,489",1781.0,23.0,8.0,149.0
11,Narbonne,Narbonne,"126,391",1690.0,75.0,9.0,82.0
12,Millau,Millau,"67,612",3467.0,19.0,15.0,101.0
12,Rodez,Rodez,"132,566",3974.0,33.0,23.0,139.0
12,Villefranche-de-Rouergue,Villefranche-de-Rouergue,"63,630",1293.0,49.0,8.0,64.0
13,Aix-en-Provence,Aix-en-Provence,"381,986",1532.0,249.0,10.0,44.0
13,Arles,Arles,"180,948",2284.0,79.0,9.0,36.0
13,Istres,Istres,"292,703",599.0,488.0,8.0,18.0
13,Marseille,Marseille,"980,082",672.0,1459.0,30.0,21.0
14,Bayeux,Bayeux,"63,022",952.0,66.0,6.0,126.0
14,Caen,Caen,"389,973",1990.0,196.0,24.0,287.0
14,Lisieux,Lisieux,"140,504",1650.0,85.0,13.0,204.0
14,Vire,Vire,"54,886",956.0,57.0,6.0,88.0
15,Aurillac,Aurillac,"82,116",1937.0,42.0,12.0,96.0
15,Mauriac,Mauriac,"28,649",1278.0,22.0,6.0,55.0
15,Saint-Flour,Saint-Flour,"40,013",2511.0,16.0,9.0,109.0
16,Angoulême,Angoulême,"219,826",3320.0,66.0,21.0,245.0
16,Cognac,Cognac,"83,083",1240.0,67.0,8.0,96.0
16,Confolens,Confolens,"36,719",1396.0,26.0,6.0,63.0
17,Jonzac,Jonzac,"51,675",1530.0,34.0,7.0,114.0
17,Rochefort,Rochefort,"161,340",1528.0,106.0,13.0,79.0
17,La Rochelle,La Rochelle,"184,728",818.0,226.0,15.0,57.0
17,Saintes,Saintes,"108,989",1546.0,70.0,9.0,107.0
17,Saint-Jean-d'Angély,Saint-Jean-d'Angély,"50,292",1442.0,35.0,7.0,115.0
18,Bourges,Bourges,"174,031",2798.0,62.0,16.0,131.0
18,Saint-Amand-Montrond,Saint-Amand-Montrond,"67,344",2670.0,25.0,11.0,116.0
18,Vierzon,Vierzon,"73,053",1767.0,41.0,8.0,43.0
19,Brive-la-Gaillarde,Brive-la-Gaillarde,"121,150",1526.0,79.0,15.0,99.0
19,Tulle,Tulle,"76,997",2564.0,30.0,14.0,118.0
19,Ussel,Ussel,"34,429",1766.0,19.0,8.0,69.0
2A,Ajaccio,Ajaccio,"84,921",2195.0,39.0,14.0,80.0
2A,Sartène,Sartène,"33,672",1819.0,19.0,8.0,44.0
2B,Bastia,Bastia,"92,640",1382.0,67.0,16.0,94.0
2B,Calvi,Calvi,"17,875",861.0,21.0,4.0,33.0
2B,Corte,Corte,"31,088",2423.0,13.0,10.0,109.0
21,Beaune,Beaune,"92,131",2118.0,43.0,10.0,194.0
21,Dijon,Dijon,"350,448",3049.0,115.0,21.0,259.0
21,Montbard,Montbard,"64,176",3596.0,18.0,12.0,254.0
22,Dinan,Dinan,"112,076",1755.0,64.0,12.0,101.0
22,Guingamp,Guingamp,"84,588",1966.0,43.0,12.0,90.0
22,Lannion,Lannion,"93,105",904.0,103.0,7.0,60.0
22,Saint-Brieuc,Saint-Brieuc,"252,604",2252.0,112.0,21.0,122.0
23,Aubusson,Aubusson,"39,993",2539.0,16.0,12.0,118.0
23,Guéret,Guéret,"84,477",3027.0,28.0,15.0,142.0
24,Bergerac,Bergerac,"103,105",2182.0,47.0,14.0,159.0
24,Nontron,Nontron,"41,782",1621.0,26.0,8.0,80.0
24,Périgueux,Périgueux,"173,821",3337.0,52.0,18.0,196.0
24,Sarlat-la-Canéda,Sarlat-la-Canéda,"69,585",1921.0,36.0,10.0,122.0
25,Besançon,Besançon,"246,872",2497.0,99.0,17.0,316.0
25,Montbéliard,Montbéliard,"183,248",1444.0,127.0,13.0,193.0
25,Pontarlier,Pontarlier,"68,942",1293.0,53.0,5.0,85.0
26,Die,Die,"37,733",2287.0,16.0,9.0,104.0
26,Nyons,Nyons,"62,025",1722.0,36.0,7.0,101.0
26,Valence,Valence,"338,020",2521.0,134.0,20.0,164.0
27,Les Andelys,Les Andelys,"135,740",1419.0,96.0,10.0,156.0
27,Bernay,Bernay,"131,050",2060.0,64.0,15.0,239.0
27,Évreux,Évreux,"274,264",2561.0,107.0,18.0,280.0
28,Chartres,Chartres,"194,340",2130.0,91.0,11.0,162.0
28,Châteaudun,Châteaudun,"56,886",1439.0,40.0,5.0,80.0
28,Dreux,Dreux,"120,298",1501.0,80.0,9.0,109.0
28,Nogent-le-Rotrou,Nogent-le-Rotrou,"36,141",811.0,45.0,4.0,52.0
29,Brest,Brest,"353,541",1408.0,251.0,20.0,80.0
29,Châteaulin,Châteaulin,"81,534",1804.0,45.0,7.0,61.0
29,Morlaix,Morlaix,"121,331",1319.0,92.0,10.0,60.0
29,Quimper,Quimper,"296,012",2202.0,134.0,17.0,82.0
30,Alès,Alès,"133,761",1322.0,101.0,12.0,101.0
30,Nîmes,Nîmes,"457,769",3133.0,146.0,24.0,177.0
30,Le Vigan,Le Vigan,"31,595",1398.0,23.0,10.0,75.0
31,Muret,Muret,"154,872",1639.0,94.0,11.0,126.0
31,Saint-Gaudens,Saint-Gaudens,"71,959",2140.0,34.0,11.0,236.0
31,Toulouse,Toulouse,"819,507",2531.0,324.0,31.0,226.0
32,Auch,Auch,"73,410",2134.0,34.0,12.0,154.0
32,Condom,Condom,"62,242",2437.0,26.0,11.0,159.0
32,Mirande,Mirande,"36,683",1686.0,22.0,8.0,150.0
33,Arcachon,Arcachon,"129,731",1494.0,87.0,4.0,17.0
33,Blaye,Blaye,"54,136",696.0,78.0,4.0,55.0
33,Bordeaux,Bordeaux,860 263,1522.0,565.0,25.0,82.0
33,Langon,Langon,"79,439",2306.0,34.0,13.0,169.0
33,Lesparre-Médoc,Lesparre-Médoc,"42,854",1318.0,33.0,4.0,32.0
33,Libourne,Libourne,"131,643",1283.0,103.0,9.0,129.0
34,Béziers,Béziers,"255,669",2987.0,86.0,19.0,152.0
34,Lodève,Lodève,"49,126",1211.0,41.0,5.0,72.0
34,Montpellier,Montpellier,"591,646",1904.0,311.0,25.0,119.0
35,Fougères,Fougères,"75,380",999.0,75.0,6.0,57.0
35,Redon,Redon,"81,106",1335.0,61.0,7.0,53.0
35,Rennes,Rennes,"569,932",3483.0,164.0,31.0,179.0
35,Saint-Malo,Saint-Malo,"141,115",958.0,147.0,9.0,63.0
36,Le Blanc,Le Blanc,"32,897",1761.0,19.0,6.0,56.0
36,Châteauroux,Châteauroux,"130,115",2524.0,52.0,11.0,82.0
36,La Châtre,La Châtre,"33,275",1323.0,25.0,5.0,58.0
36,Issoudun,Issoudun,"34,852",1182.0,29.0,4.0,51.0
37,Chinon,Chinon,"80,579",1694.0,48.0,7.0,87.0
37,Loches,Loches,"48,773",1803.0,27.0,6.0,67.0
37,Tours,Tours,"424,651",2629.0,162.0,24.0,123.0
38,Grenoble,Grenoble,"696,326",4715.0,148.0,39.0,297.0
38,La Tour-du-Pin,La Tour-du-Pin,"212,987",1479.0,144.0,11.0,137.0
38,Vienne,Vienne,"184,693",1237.0,149.0,8.0,99.0
39,Dole,Dole,"77,078",1180.0,65.0,10.0,130.0
39,Lons-le-Saunier,Lons-le-Saunier,"122,373",2817.0,43.0,19.0,344.0
39,Saint-Claude,Saint-Claude,"51,406",1003.0,51.0,5.0,71.0
40,Dax,Dax,"174,367",3194.0,55.0,13.0,153.0
40,Mont-de-Marsan,Mont-de-Marsan,"152,967",6048.0,25.0,17.0,178.0
41,Blois,Blois,"177,282",2565.0,69.0,14.0,136.0
41,Romorantin-Lanthenay,Romorantin-Lanthenay,"69,672",2059.0,34.0,7.0,48.0
41,Vendôme,Vendôme,"68,014",1719.0,40.0,9.0,107.0
42,Montbrison,Montbrison,"160,289",1959.0,82.0,10.0,138.0
42,Roanne,Roanne,"152,659",1780.0,86.0,11.0,115.0
42,Saint-Étienne,Saint-Étienne,"415,576",1041.0,399.0,19.0,74.0
43,Brioude,Brioude,"41,095",1529.0,27.0,9.0,100.0
43,Le Puy-en-Velay,Le Puy-en-Velay,"96,254",2288.0,42.0,17.0,116.0
43,Yssingeaux,Yssingeaux,"71,764",1160.0,62.0,9.0,44.0
44,Ancenis,Ancenis,"48,720",791.0,62.0,5.0,29.0
44,Châteaubriant,Châteaubriant,"102,392",2148.0,48.0,10.0,53.0
44,Nantes,Nantes,"715,358",2118.0,338.0,29.0,82.0
44,Saint-Nazaire,Saint-Nazaire,"267,796",1758.0,152.0,15.0,57.0
45,Montargis,Montargis,"158,426",2631.0,60.0,12.0,126.0
45,Orléans,Orléans,"402,580",2946.0,137.0,24.0,122.0
45,Pithiviers,Pithiviers,"57,120",1198.0,48.0,5.0,86.0
46,Cahors,Cahors,"69,887",2179.0,32.0,13.0,135.0
46,Figeac,Figeac,"50,095",1550.0,32.0,9.0,120.0
46,Gourdon,Gourdon,"40,215",1487.0,27.0,9.0,85.0
47,Agen,Agen,"105,380",1013.0,104.0,12.0,71.0
47,Marmande,Marmande,"76,169",1388.0,55.0,10.0,98.0
47,Nérac,Nérac,"36,981",1400.0,26.0,7.0,58.0
47,Villeneuve-sur-Lot,Villeneuve-sur-Lot,"86,850",1560.0,56.0,11.0,92.0
48,Florac,Florac,"12,524",1687.0,7.0,7.0,50.0
48,Mende,Mende,"60,985",3479.0,18.0,18.0,135.0
49,Angers,Angers,"367,131",2127.0,173.0,17.0,112.0
49,Cholet,Cholet,"183,478",1646.0,111.0,9.0,78.0
49,Saumur,Saumur,"129,222",2229.0,58.0,10.0,112.0
49,Segré,Segré,"53,111",1164.0,46.0,5.0,61.0
50,Avranches,Avranches,"117,431",1762.0,67.0,16.0,160.0
50,Cherbourg-Octeville,Cherbourg,"190,973",1639.0,116.0,15.0,189.0
50,Coutances,Coutances,"76,861",1301.0,59.0,10.0,130.0
50,Saint-Lô,Saint-Lô,"96,206",1235.0,78.0,11.0,123.0
51,Châlons-en-Champagne,Châlons-en-Champagne,"100,112",1778.0,56.0,8.0,100.0
51,Épernay,Épernay,"91,471",2156.0,42.0,10.0,164.0
51,Reims,Reims,"310,289",1702.0,182.0,17.0,175.0
51,Sainte-Menehould,Sainte-Menehould,"14,313",1021.0,14.0,3.0,67.0
51,Vitry-le-François,Vitry-le-François,"49,044",1504.0,33.0,6.0,113.0
52,Chaumont,Chaumont,"69,223",2476.0,28.0,11.0,160.0
52,Langres,Langres,"46,842",2163.0,22.0,10.0,158.0
52,Saint-Dizier,Saint-Dizier,"78,808",1571.0,50.0,11.0,114.0
53,Château-Gontier,Château-Gontier,"58,152",1270.0,46.0,7.0,71.0
53,Laval,Laval,"140,207",1812.0,77.0,13.0,88.0
53,Mayenne,Mayenne,"86,979",2094.0,42.0,12.0,102.0
54,Briey,Briey,"157,050",1143.0,137.0,10.0,130.0
54,Lunéville,Lunéville,"76,782",1451.0,53.0,9.0,164.0
54,Nancy,Nancy,"415,106",1509.0,275.0,20.0,188.0
54,Toul,Toul,"64,841",1143.0,57.0,5.0,112.0
55,Bar-le-Duc,Bar-le-Duc,"64,400",1451.0,44.0,9.0,109.0
55,Commercy,Commercy,"43,845",1932.0,23.0,7.0,136.0
55,Verdun,Verdun,"83,953",2829.0,30.0,15.0,253.0
56,Lorient,Lorient,"281,621",1489.0,189.0,15.0,60.0
56,Pontivy,Pontivy,"114,237",2399.0,48.0,10.0,78.0
56,Vannes,Vannes,"248,015",2935.0,85.0,17.0,123.0
57,Boulay-Moselle,Boulay-Moselle,"74,628",722.0,103.0,3.0,96.0
57,Château-Salins,Château-Salins,"28,480",974.0,29.0,5.0,128.0
57,Forbach,Forbach,"191,169",561.0,314.0,7.0,73.0
57,Metz,Metz-Campagne,"211,863",1047.0,202.0,9.0,142.0
57,Metz,Metz-Ville,"123,776",42.0,2951.0,4.0,1.0
57,Sarrebourg,Sarrebourg,"62,098",993.0,63.0,5.0,102.0
57,Sarreguemines,Sarreguemines,"84,847",936.0,107.0,6.0,83.0
57,Thionville,Thionville-Est,"127,541",686.0,186.0,6.0,75.0
57,Thionville,Thionville-Ouest,"119,045",255.0,467.0,6.0,30.0
58,Château-Chinon,Château-Chinon (Ville),"28,141",1929.0,15.0,6.0,72.0
58,Clamecy,Clamecy,"26,739",1464.0,18.0,6.0,93.0
58,Cosne-Cours-sur-Loire,Cosne-Cours-sur-Loire,"45,074",1403.0,32.0,7.0,64.0
58,Nevers,Nevers,"125,244",2020.0,62.0,13.0,83.0
59,Avesnes-sur-Helpe,Avesnes-sur-Helpe,"238,466",1408.0,169.0,12.0,151.0
59,Cambrai,Cambrai,"158,845",902.0,176.0,7.0,116.0
59,Douai,Douai,"246,987",477.0,518.0,7.0,64.0
59,Dunkirk,Dunkerque,"379,702",1443.0,263.0,16.0,115.0
59,Lille,Lille,"1,182,026",879.0,1344.0,28.0,124.0
59,Valenciennes,Valenciennes,"348,994",635.0,550.0,9.0,82.0
60,Beauvais,Beauvais,"209,540",2100.0,100.0,14.0,258.0
60,Clermont,Clermont,"120,328",1142.0,105.0,7.0,146.0
60,Compiègne,Compiègne,"173,943",1275.0,136.0,10.0,156.0
60,Senlis,Senlis,"262,630",1344.0,195.0,10.0,133.0
61,Alençon,Alençon,"101,487",1710.0,59.0,11.0,133.0
61,Argentan,Argentan,"119,446",2432.0,49.0,17.0,226.0
61,Mortagne-au-Perche,Mortagne-au-Perche,"71,404",1961.0,36.0,12.0,146.0
62,Arras,Arras,"300,785",2519.0,119.0,17.0,369.0
62,Béthune,Béthune,"279,783",674.0,415.0,14.0,99.0
62,Boulogne-sur-Mer,Boulogne-sur-Mer,"163,159",640.0,255.0,8.0,75.0
62,Calais,Calais,"118,311",310.0,382.0,5.0,28.0
62,Lens,Lens,"326,719",278.0,1174.0,17.0,43.0
62,Montreuil,Montreuil,"99,288",1160.0,86.0,8.0,164.0
62,Saint-Omer,Saint-Omer,"153,523",1090.0,141.0,8.0,116.0
63,Ambert,Ambert,"28,014",1188.0,24.0,8.0,55.0
63,Clermont-Ferrand,Clermont-Ferrand,"352,752",1796.0,196.0,25.0,119.0
63,Issoire,Issoire,"57,549",1820.0,32.0,9.0,116.0
63,Riom,Riom,"109,659",2300.0,48.0,13.0,137.0
63,Thiers,Thiers,"56,292",866.0,65.0,6.0,43.0
64,Bayonne,Bayonne,"248,840",2270.0,110.0,19.0,123.0
64,Oloron-Sainte-Marie,Oloron-Sainte-Marie,"73,117",2885.0,25.0,12.0,155.0
64,Pau,Pau,"278,061",2490.0,112.0,21.0,269.0
65,Argelès-Gazost,Argelès-Gazost,"38,633",1300.0,30.0,6.0,89.0
65,Bagnères-de-Bigorre,Bagnères-de-Bigorre,"44,896",1676.0,27.0,9.0,160.0
65,Tarbes,Tarbes,"138,839",1488.0,93.0,19.0,225.0
66,Céret,Céret,"66,624",954.0,70.0,5.0,40.0
66,Perpignan,Perpignan,"287,272",1317.0,218.0,20.0,86.0
66,Prades,Prades,"38,907",1845.0,21.0,6.0,100.0
67,Haguenau,Haguenau,"120,445",666.0,181.0,3.0,56.0
67,Molsheim,Molsheim,"89,604",745.0,120.0,5.0,69.0
67,Saverne,Saverne,"88,251",1003.0,88.0,6.0,127.0
67,Sélestat,Sélestat-Erstein,"134,907",981.0,138.0,7.0,101.0
67,Strasbourg,Strasbourg-Campagne,"264,424",684.0,386.0,8.0,104.0
67,Strasbourg,Strasbourg-Ville,"264,115",78.0,3375.0,10.0,1.0
67,Wissembourg,Wissembourg,"64,374",598.0,108.0,5.0,68.0
68,Altkirch,Altkirch,"61,242",655.0,93.0,4.0,111.0
68,Colmar,Colmar,"139,255",666.0,209.0,6.0,62.0
68,Guebwiller,Guebwiller,"76,314",584.0,131.0,4.0,47.0
68,Mulhouse,Mulhouse,"304,295",634.0,480.0,9.0,73.0
68,Ribeauvillé,Ribeauvillé,"49,311",462.0,107.0,4.0,32.0
68,Thann,Thann,"77,608",525.0,148.0,4.0,52.0
69,Lyon,Lyon,"1,406,043",1746.0,805.0,43.0,162.0
69,Villefranche-sur-Saône,Villefranche-sur-Saône,"172,826",1503.0,115.0,11.0,131.0
70,Lure,Lure,"106,461",1848.0,58.0,13.0,194.0
70,Vesoul,Vesoul,"123,271",3512.0,35.0,19.0,351.0
71,Autun,Autun,"94,988",1900.0,50.0,11.0,83.0
71,Chalon-sur-Saône,Chalon-sur-Saône,"193,091",1726.0,112.0,15.0,151.0
71,Charolles,Charolles,"102,205",2500.0,41.0,13.0,136.0
71,Louhans,Louhans,"48,520",1248.0,39.0,8.0,79.0
71,Mâcon,Mâcon,"106,089",1200.0,88.0,10.0,124.0
72,La Flèche,La Flèche,"87,199",1588.0,55.0,7.0,71.0
72,Mamers,Mamers,"79,407",1615.0,49.0,10.0,134.0
72,Le Mans,Le Mans,"363,245",3002.0,121.0,23.0,170.0
73,Albertville,Albertville,"101,394",2466.0,41.0,9.0,82.0
73,Chambéry,Chambéry,"230,257",1586.0,145.0,22.0,161.0
73,Saint-Jean-de-Maurienne,Saint-Jean-de-Maurienne,"41,607",1976.0,21.0,6.0,62.0
74,Annecy,Annecy,"229,039",1262.0,182.0,10.0,93.0
74,Bonneville,Bonneville,"161,410",1558.0,104.0,10.0,61.0
74,Saint-Julien-en-Genevois,Saint-Julien-en-Genevois,"130,874",660.0,198.0,7.0,72.0
74,Thonon-les-Bains,Thonon-les-Bains,"110,356",908.0,122.0,7.0,68.0
75,Paris,Paris,"2,125,246",105.0,20164.0,20.0,1.0
76,Dieppe,Dieppe,"227,169",3055.0,74.0,20.0,350.0
76,Le Havre,Le Havre,"403,298",1330.0,303.0,20.0,176.0
76,Rouen,Rouen,"608,671",1893.0,322.0,29.0,219.0
77,Fontainebleau,Fontainebleau,"144,849",1227.0,118.0,6.0,87.0
77,Meaux,Meaux,"258,365",1400.0,185.0,9.0,146.0
77,Melun,Melun,"334,950",1336.0,251.0,11.0,113.0
77,Provins,Provins,"112,020",1651.0,68.0,7.0,125.0
77,Torcy,Torcy,"343,583",302.0,1138.0,10.0,43.0
78,Mantes-la-Jolie,Mantes-la-Jolie,"264,269",825.0,320.0,8.0,117.0
78,Rambouillet,Rambouillet,"214,219",953.0,225.0,5.0,81.0
78,Saint-Germain-en-Laye,Saint-Germain-en-Laye,"528,320",341.0,1551.0,16.0,45.0
78,Versailles,Versailles,"347,496",165.0,2103.0,10.0,19.0
79,Bressuire,Bressuire,"91,673",1623.0,56.0,7.0,62.0
79,Niort,Niort,"190,708",2792.0,68.0,18.0,166.0
79,Parthenay,Parthenay,"62,011",1585.0,39.0,8.0,77.0
80,Abbeville,Abbeville,"125,258",1589.0,79.0,12.0,169.0
80,Amiens,Amiens,"299,776",2465.0,122.0,21.0,313.0
80,Montdidier,Montdidier,"51,644",916.0,56.0,5.0,132.0
80,Péronne,Péronne,"78,873",1200.0,66.0,8.0,169.0
81,Albi,Albi,"164,990",2732.0,60.0,23.0,170.0
81,Castres,Castres,"178,412",3026.0,59.0,23.0,154.0
82,Castelsarrasin,Castelsarrasin,"68,656",1602.0,43.0,12.0,103.0
82,Montauban,Montauban,"137,378",2117.0,65.0,18.0,92.0
83,Brignoles,Brignoles,"107,054",2260.0,47.0,9.0,61.0
83,Draguignan,Draguignan,"264,632",2417.0,110.0,12.0,58.0
83,Toulon,Toulon,"526,755",1296.0,407.0,22.0,34.0
84,Apt,Apt,"116,644",1377.0,85.0,6.0,56.0
84,Avignon,Avignon,"269,828",924.0,292.0,10.0,37.0
84,Carpentras,Carpentras,"113,213",1266.0,89.0,8.0,58.0
85,Fontenay-le-Comte,Fontenay-le-Comte,"119,403",2129.0,56.0,9.0,107.0
85,La Roche-sur-Yon,La Roche-sur-Yon,"230,386",2495.0,92.0,11.0,92.0
85,Les Sables-d'Olonne,Les Sables-d'Olonne,"189,875",2096.0,91.0,11.0,83.0
86,Châtellerault,Châtellerault,"109,202",2065.0,53.0,12.0,96.0
86,Montmorillon,Montmorillon,"74,045",3000.0,25.0,11.0,98.0
86,Poitiers,Poitiers,"215,777",1926.0,112.0,15.0,87.0
87,Bellac,Bellac,"40,120",1780.0,23.0,8.0,63.0
87,Limoges,Limoges,"278,439",2945.0,95.0,28.0,108.0
87,Rochechouart,Rochechouart,"35,334",795.0,44.0,6.0,30.0
88,Épinal,Épinal,"225,898",3098.0,73.0,15.0,251.0
88,Neufchâteau,Neufchâteau,"61,656",1611.0,38.0,7.0,174.0
88,Saint-Dié-des-Vosges,Saint-Dié-des-Vosges,"93,398",1166.0,80.0,9.0,90.0
89,Auxerre,Auxerre,"178,743",3515.0,51.0,22.0,196.0
89,Avallon,Avallon,"50,618",2209.0,23.0,10.0,149.0
89,Sens,Sens,"103,860",1704.0,61.0,10.0,108.0
90,Belfort,Belfort,"137,408",609.0,225.0,15.0,102.0
91,Étampes,Étampes,"125,148",876.0,143.0,6.0,79.0
91,Évry,Évry,"471,435",469.0,1005.0,17.0,52.0
91,Palaiseau,Palaiseau,"537,655",459.0,1171.0,19.0,65.0
92,Antony,Antony,"380,371",49.0,7775.0,12.0,12.0
92,Boulogne-Billancourt,Boulogne-Billancourt,"292,409",46.0,6417.0,9.0,9.0
92,Nanterre,Nanterre,"756,101",81.0,9321.0,24.0,15.0
93,Bobigny,Bobigny,"529,237",66.0,8046.0,17.0,15.0
93,Le Raincy,Le Raincy,"506,374",123.0,4116.0,13.0,16.0
93,Saint-Denis,Saint-Denis,"347,250",47.0,7326.0,10.0,9.0
94,Créteil,Créteil,"625,868",146.0,4272.0,25.0,23.0
94,L'Haÿ-les-Roses,L'Haÿ-les-Roses,"236,803",35.0,6682.0,9.0,10.0
94,Nogent-sur-Marne,Nogent-sur-Marne,"364,579",63.0,5778.0,15.0,14.0
95,Argenteuil,Argenteuil,"209,860",53.0,3925.0,7.0,7.0
95,Pontoise,Pontoise,"467,888",828.0,565.0,17.0,117.0
95,Sarcelles,Sarcelles,"427,716",364.0,1174.0,15.0,61.0
971,Basse-Terre,Basse-Terre,"175,691",854.0,206.0,17.0,18.0
971,Pointe-à-Pitre,Pointe-à-Pitre,"210,875",774.0,272.0,23.0,14.0
972,Fort-de-France,Fort-de-France,"166,139",171.0,972.0,16.0,4.0
972,Le Marin,Le Marin,"106,818",409.0,261.0,13.0,12.0
972,Saint-Pierre,Saint-Pierre,"23,464",210.0,112.0,5.0,8.0
972,La Trinité,La Trinité,"85,006",338.0,252.0,11.0,10.0
973,Cayenne,Cayenne,"119,660",42589.0,3.0,16.0,14.0
973,Saint-Laurent-du-Maroni,Saint-Laurent-du-Maroni,"37,553",40945.0,1.0,3.0,8.0
974,Saint-Benoît,Saint-Benoît,"101,804",736.0,138.0,9.0,6.0
974,Saint-Denis,Saint-Denis,"236,599",423.0,560.0,14.0,5.0
974,Saint-Paul,Saint-Paul,"138,551",467.0,297.0,10.0,5.0
