District,Name,Party,Home city/town,First elected
63.0,Jay Case,Rep,Colebrook,2012.0
64.0,Roberta Willis,Dem,Salisbury,2000.0
65.0,Michelle Cook,Dem,Torrington,2008.0
66.0,Craig Miner,Rep,Litchfield,2000.0
67.0,Cecilia Buck-Taylor,Rep,New Milford,2012.0
68.0,Sean Williams,Rep,Watertown,2003.0
69.0,Arthur O'Neill,Rep,Southbury,1988.0
70.0,Rosa Rebimbas,Rep,Naugatuck,2009.0
71.0,Anthony D'Amelio,Rep,Waterbury,1996.0
72.0,Larry Butler,Dem,Waterbury,2006.0
73.0,Jeffrey Berger,Dem,Waterbury,2000.0
74.0,Selim Noujaim,Rep,Waterbury,2002.0
75.0,Victor Cuevas,Dem,Waterbury,2012.0
76.0,John Piscopo,Rep,Thomaston,1988.0
77.0,Christopher Wright,Dem,Bristol,2008.0
78.0,Whit Betts,Rep,Bristol,2010.0
79.0,"Frank Nicastro, Sr.",Dem,Bristol,2006.0
80.0,Robert Sampson,Rep,Wolcott,2010.0
81.0,David Zoni,Dem,Southington,2012.0
82.0,"Emil ""Buddy"" Altobello",Dem,Meriden,1994.0
83.0,Catherine Abercrombie,Dem,Meriden,2005.0
84.0,Hilda Santiago,Dem,Meriden,2012.0
85.0,Mary Mushinsky,Dem,Wallingford,1980.0
86.0,Vincent Candelora,Rep,North Branford,2006.0
87.0,Dave Yaccarino,Rep,North Haven,2010.0
88.0,J. Brendan Sharkey,Dem,Hamden,2000.0
89.0,Lezlye Zupkus,Rep,Prospect,2012.0
90.0,Mary Fritz,Dem,Yalesville,1986.0
91.0,Mike D'Agostino,Dem,Hamden,2012.0
92.0,Patricia Dillon,Dem,New Haven,1984.0
93.0,Toni Walker,Dem,New Haven,2001.0
94.0,Gary Holder-Winfield,Dem,New Haven,2008.0
95.0,Juan Candelaria,Dem,New Haven,2002.0
96.0,Roland Lemar,Dem,New Haven,2010.0
97.0,Robert Megna,Dem,New Haven,2000.0
98.0,Patricia Widlitz,Dem,Guilford,1994.0
99.0,James Albis,Dem,East Haven,2011.0
100.0,Matt Lesser,Dem,Middletown,2008.0
101.0,Noreen Kokoruda,Rep,Madison,2011.0
102.0,Lonnie Reed,Dem,Branford,1996.0
103.0,Al Adinolfi,Rep,Cheshire,2010.0
104.0,Linda Gentile,Dem,Ansonia,2004.0
105.0,Theresa Conroy,Dem,Seymour,2012.0
106.0,Mitch Bolinsky,Rep,Newtown,2012.0
107.0,David Scribner,Rep,Brookfield,1999.0
108.0,Richard Smith,Rep,New Fairfield,2010.0
109.0,David Arconti,Dem,Danbury,2012.0
110.0,Bob Godfrey,Dem,Danbury,1988.0
111.0,John H. Frey,Rep,Ridgefield,1998.0
112.0,DebraLee Hovey,Rep,Monroe,2002.0
113.0,Jason Perillo,Rep,Shelton,2007.0
114.0,Themis Klarides,Rep,Derby,1998.0
115.0,Stephen Dargan,Dem,West Haven,1990.0
116.0,Louis Esposito,Dem,West Haven,1992.0
117.0,Paul Davis,Dem,Orange,2004.0
118.0,Kim Rose,Dem,Milford,2010.0
119.0,James Maroney,Dem,Milford,2012.0
120.0,Laura Hoydick,Rep,Stratford,2010.0
121.0,Terry Backer,Dem,Stratford,1992.0
122.0,Lawrence Miller,Rep,Stratford,1990.0
123.0,Dave Rutigliano,Rep,Trumbull,2012.0
124.0,Charles Clemons,Dem,Bridgeport,2003.0
125.0,Tom O'Dea,Rep,New Canaan,2012.0
126.0,Charlie Stallworth,Dem,Bridgeport,2011.0
127.0,John Hennessy,Dem,Bridgeport,2004.0
128.0,Christina 'Tita' Ayala,Dem,Bridgeport,2012.0
129.0,Auden Grogins,Dem,Bridgeport,2008.0
130.0,Ezequiel Santiago,Dem,Bridgeport,2008.0
131.0,David Labriola,Rep,Naugatuck,2002.0
132.0,Brenda Kupchick,Rep,Fairfield,2010.0
133.0,Kim Fawcett,Dem,Fairfield,2006.0
134.0,Tony Hwang,Rep,Trumbull,2008.0
135.0,John Shaban,Rep,Redding,2010.0
136.0,Jonathan Steinberg,Dem,Westport,2010.0
137.0,Chris Perone,Dem,Norwalk,2004.0
138.0,Janice Giegler,Rep,Danbury,2002.0
139.0,Kevin Ryan,Dem,Montville,1992.0
140.0,Bruce Morris,Dem,Norwalk,2006.0
141.0,Terrie Wood,Rep,Darien,2008.0
142.0,Lawrence F. Cafero,Rep,Norwalk,1992.0
143.0,Gail Lavielle,Rep,Wilton,2010.0
144.0,Michael Molgano,Rep,Stamford,2010.0
145.0,Patricia Miller,Dem,Stamford,2008.0
146.0,Gerald Fox,Dem,Stamford,2004.0
147.0,William Tong,Dem,Stamford,2006.0
148.0,Daniel J. Fox,Dem,Stamford,2011.0
149.0,Livvy Floren,Rep,Greenwich,2000.0
150.0,Stephen Walko,Rep,Greenwich,2012.0
151.0,Fred Camillo,Rep,Greenwich,2008.0
