District,Incumbent,Party,Elected,Status,2010 Candidates
26.0,Carl W. Rogers,Republican,1994,Re-elected,Carl W. Rogers (R) 71.02% Chad Cobb (D) 28.98%
27.0,Doug Collins,Republican,2006,Re-elected,Doug Collins (R) unopposed
28.0,Michael Harden,Republican,2008,Re-elected,Michael Harden (R) 73.95% Chris Irvin (D) 26.05%
29.0,Alan Powell,Democratic,1990,Re-elected,Alan Powell (D) unopposed
30.0,Tom McCall,Republican,1994,Re-elected,Tom McCall (R) 75.48% Marilyn Bridges (D) 24.52%
31.0,Tommy Benton,Republican,2004,Re-elected,Tommy Benton (R) unopposed
32.0,Judy Manning,Republican,1996,Re-elected,Judy Manning (R) 74.14% Kevin Hagler (D) 25.86%
33.0,Don Wix,Democratic,1998,Defeated in primary; Democratic hold,David Wilkerson (D) unopposed
35.0,Ed Setzler,Republican,2004,Re-elected,Ed Setzler (R) 64.70% Matthew Adams (D) 35.30%
36.0,Earl Ehrhart,Republican,1988,Re-elected,Earl Ehrhart (R) unopposed
37.0,Terry Johnson,Democratic,2000/2004,Re-elected,Terry Johnson (D) 53.32% Jason Shepherd (R) 46.69%
38.0,Pat Dooley,Democratic,2002/2008,Defeated,Sam Teasley (R) 56.83% Pat Dooley (D) 43.18%
39.0,Alisha Thomas Morgan,Democratic,2002,Re-elected,Alisha Thomas Morgan (D) unopposed
40.0,Rob Teilhet,Democratic,2002,Retired; Democratic hold,Stacey Evans (D) 68.51% Scott McDearman (R) 31.49%
41.0,Sharon Cooper,Republican,1996,Re-elected,Sharon Cooper (R) 66.93% Diane Lore (D) 33.07%
42.0,Don Parsons,Republican,1994,Re-elected,Don Parsons (R) unopposed
43.0,Bobby Franklin,Republican,1996,Re-elected,Bobby Franklin (R) unopposed
44.0,Sheila Jones,Democratic,2004,Re-elected,Sheila Jones (D) unopposed
45.0,Matt Dollar,Republican,2002,Re-elected,Matt Dollar (R) 74.83% Ruth Levy (D) 25.17%
46.0,Jan Jones,Republican,2002,Re-elected,Jan Jones (R) 78.09% Paul Kennedy (D) 21.91%
47.0,Chuck Martin,Republican,2002,Re-elected,Chuck Martin (R) unopposed
48.0,Harry Geisinger,Republican,2004,Re-elected,Harry Geisinger (R) unopposed
49.0,Wendell Willard,Republican,2000,Re-elected,Wendell Willard (R) unopposed
50.0,Mark Burkhalter,Republican,1992,Retired; Republican hold,Lynne Riley (R) unopposed
51.0,Tom Rice,Republican,1996,Re-elected,Tom Rice (R) unopposed
52.0,Joe Wilkinson,Republican,2000,Re-elected,Joe Wilkinson (R) unopposed
53.0,Elly Dobbs,Democratic,2008,Re-elected,Elly Dobbs (D) unopposed
54.0,Ed Lindsey,Republican,2004,Re-elected,Ed Lindsey (R) unopposed
55.0,Rashad Taylor,Democratic,2008,Re-elected,Rashad Taylor (D) unopposed
56.0,Kathy Ashe,Democratic,1991,Re-elected,Kathy Ashe (D) unopposed
57.0,Pat Gardner,Democratic,2001,Re-elected,Pat Gardner (D) unopposed
58.0,Simone Bell,Democratic,2009,Re-elected,Simone Bell (D) unopposed
59.0,Margaret Kaiser,Democratic,2006,Re-elected,Margaret Kaiser (D) unopposed
60.0,Georganna Sinkfield,Democratic,1982,Retired; Democratic hold,Gloria Bromell-Tinubu (D) unopposed
61.0,Ralph Long III,Democratic,2008,Re-elected,Ralph Long III (D) unopposed
62.0,Joe Heckstall,Democratic,1994,Re-elected,Joe Heckstall (D) unopposed
63.0,"Tyrone Brooks, Sr.",Democratic,1980,Re-elected,"Tyrone Brooks, Sr. (D) unopposed"
64.0,Roger Bruce,Democratic,2002,Re-elected,Roger Bruce (D) unopposed
65.0,Sharon Beasley-Teague,Democratic,1992,Re-elected,Sharon Beasley-Teague (D) unopposed
66.0,Virgil Fludd,Democratic,2002,Re-elected,Virgil Fludd (D) unopposed
68.0,Tim Bearden,Republican,2004,Re-elected,Tim Bearden (R) unopposed
69.0,Randy Nix,Republican,2006,Re-elected,Randy Nix (R) unopposed
70.0,Lynn Smith,Republican,1996,Re-elected,Lynn Smith (R) unopposed
71.0,Billy Horne,Republican,2004,Re-elected,Billy Horne (R) unopposed
72.0,Matthew Ramsey,Republican,2007,Re-elected,Matt Ramsey (R) unopposed
73.0,John P. Yates,Republican,1988/1992,Re-elected,John Yates (R) 69.96% Rose Carroll (D) 30.04%
74.0,Roberta Abdul-Salaam,Democratic,2004,Re-elected,Roberta Abdul-Salaam (D) unopposed
75.0,Ron Dodson,Democratic,1998/2009,Retired; Democratic hold,Yasmin Neal (D) unopposed
77.0,Darryl Jordan,Democratic,2000,Re-elected,Darryl Jordan (D) 77.75% James Brown (R) 22.25%
78.0,Glenn Baker,Democratic,2008,Re-elected,Glenn Baker (D) unopposed
79.0,Fran Millar,Republican,1998,Retired; Republican hold,Tom Taylor (R) 67.73% Keith Kaylor (D) 32.27%
80.0,Mike Jacobs,Republican,2004,Re-elected,Mike Jacobs (R) 65.96% Sandy Murray (D) 34.04%
81.0,Jill Chambers,Republican,2002,Defeated,Elena Parent (D) 52.24% Jill Chambers (R) 47.77%
82.0,Kevin Levitas,Democratic,2006,Retired; Democratic hold,Scott Holcomb (D) unopposed
83.0,Mary M. Oliver,Democratic,1986/2002,Re-elected,Mary M. Oliver (D) unopposed
84.0,Stacey Abrams,Democratic,2006,Re-elected,Stacey Abrams (D) unopposed
86.0,Karla Drenner,Democratic,2000,Re-elected,Karla Drenner (D) unopposed
87.0,Michele Henson,Democratic,1990,Re-elected,Michele Henson (D) unopposed
88.0,Billy Mitchell,Democratic,2002,Re-elected,Billy Mitchell (D) unopposed
89.0,Coach Williams,Democratic,2002,Re-elected,Coach Williams (D) unopposed
90.0,Howard Mosby,Democratic,2002,Re-elected,Howard Mosby (D) unopposed
91.0,Rahn Mayo,Democratic,2008,Re-elected,Rahn Mayo (D) unopposed
92.0,Pam Stephenson,Democratic,2002,Re-elected,Pam Stephenson (D) unopposed
93.0,Dee Dawkins-Haigler,Democratic,2008,Re-elected,Dee Dawkins-Haigler (D) unopposed
95.0,Toney Collins,Democratic,2008,Defeated in primary; Democratic hold,Pam Dickerson (D) 59.24% Rodney Upton (R) 40.76%
96.0,Pedro R. Marin,Democratic,2002,Re-elected,Pedro R. Marin (D) unopposed
97.0,"Brooks Coleman, Jr.",Republican,1992,Re-elected,"Brooks Coleman, Jr. (R) unopposed"
98.0,Bobby Reese,Republican,1998/2004,Retired; Republican hold,Josh Clark (R) unopposed
99.0,Hugh Floyd,Democratic,2002,Re-elected,Hugh Floyd (D) unopposed
100.0,Brian W. Thomas,Democratic,2004,Re-elected,Brian W. Thomas (D) unopposed
101.0,Mike Coan,Republican,1996,Retired; Republican hold,Buzz Brockway (R) unopposed
102.0,Clay Cox,Republican,2004,Retired; Republican hold,B.J. Pak (R) 68.57% Porter Deal (D) 31.43%
103.0,David Casas,Republican,2002,Re-elected,David Casas (R) 60.81% Allan Burns (D) 39.19%
104.0,Lee Thompson,Democratic,2008,Defeated,Valerie Clark (R) 53.98% Lee Thompson (D) 46.02%
105.0,Donna Sheldon,Republican,2002,Re-elected,Donna Sheldon (R) unopposed
107.0,Len Walker,Republican,1994,Re-elected,Len Walker (R) unopposed
108.0,Terry England,Republican,2004,Re-elected,Terry England (R) 99.81% Kirk Howell (I) .19%
109.0,Steve Davis,Republican,2004,Re-elected,Steve Davis (R) 54.51% Matt Roberts (D) 45.49%
110.0,John Lunsford,Republican,2000,Retired; Republican hold,Andy Welch (R) 66.41% Rudy Cox (D) 33.59%
111.0,Jeff May,Republican,2004,Retired; Republican hold,Bruce Williamson (R) unopposed
112.0,Doug Holt,Republican,2004,Re-elected,Doug Holt (R) unopposed
113.0,Bob Smith,Republican,1998,Retired; Republican hold,Hank Huckaby (R) 72.47% Suzy Compere (D) 27.53%
114.0,Keith Heard,Democratic,1992,Re-elected,Keith Heard (D) unopposed
115.0,Doug McKillip,Democratic,2006,Re-elected,Doug McKillip (D) unopposed
116.0,Mickey Channell,Republican,1992,Re-elected,Mickey Channell (R) unopposed
117.0,Lee Anderson,Republican,2008,Re-elected,Lee Anderson (R) unopposed
118.0,Ben Harbin,Republican,1994,Re-elected,Ben Harbin (R) unopposed
119.0,Barbara Sims,Republican,2006,Re-elected,Barbara Sims (R) unopposed
120.0,Quincy Murphy,Democratic,2002,Re-elected,Quincy Murphy (D) unopposed
121.0,Wayne Howard,Democratic,2006,Re-elected,Wayne Howard (D) unopposed
122.0,Earnie Smith,Democratic,2009,Re-elected,Earnie Smith (D) unopposed
123.0,Gloria Frazier,Democratic,2006,Re-elected,Gloria Frazier (D) unopposed
125.0,Jim Cole,Republican,2004,Retired; Republican hold,Susan Holmes (R) 64.74% David Gault (D) 35.26%
126.0,David Knight,Republican,2004,Re-elected,David Knight (R) unopposed
127.0,Billy Maddox,Republican,2007,Re-elected,Billy Maddox (R) unopposed
128.0,Carl Von Epps,Democratic,1992,Re-elected,Carl Von Epps (D) unopposed
129.0,Kip Smith,Republican,2009,Re-elected,Kip Smith (R) unopposed
130.0,Debbie Buckner,Democratic,2002,Re-elected,Debbie Buckner (D) unopposed
131.0,Richard H. Smith,Republican,2004,Re-elected,Richard H. Smith (R) unopposed
132.0,Calvin Smyre,Democratic,1974,Re-elected,Calvin Smyre (D) unopposed
133.0,Carolyn Hugley,Democratic,1992,Re-elected,Carolyn Hugley (D) unopposed
134.0,Mike Cheokas,Democratic,2004,Re-elected,Mike Cheokas (D) unopposed
135.0,Lynmore James,Democratic,1992,Re-elected,Lynmore James (D) unopposed
136.0,Tony Sellier,Republican,2006,Re-elected,Tony Sellier (R) 69.29% Sharon Howard (D) 30.71%
137.0,Allen Peake,Republican,2006,Re-elected,Allen Peake (R) unopposed
138.0,Nikki Randall,Democratic,1999,Re-elected,Nikki Randall (D) unopposed
139.0,"David Lucas, Sr.",Democratic,1974,Re-elected,"David Lucas, Sr. (D) unopposed"
140.0,Bubber Epps,Democratic,2008,Re-elected,Bubber Epps (D) 55.53% Allen G. Freeman (R) 44.47%
141.0,Rusty Kidd,Independent,2009,Re-elected,Rusty Kidd (I) 57.31% Quentin Howell (D) 42.69%
142.0,Mack Jackson,Democratic,2008,Re-elected,Mack Jackson (D) unopposed
144.0,Jimmy Pruett,Republican,2006,Re-elected,Jimmy Pruett (R) unopposed
145.0,Willie Talton,Republican,2004,Re-elected,Willie Talton (R) 57.53% Fenika Miller (D) 42.47%
146.0,Larry O'Neal,Republican,2001,Re-elected,Larry O'Neal (R) unopposed
147.0,Buddy Harden,Republican,2008,Re-elected,Buddy Harden (R) unopposed
148.0,Bob Hanner,Democratic,1974,Re-elected,Bob Hanner (D) unopposed
149.0,Gerald Greene,Democratic,1982,Re-elected,Gerald Greene (D) unopposed
150.0,Winfred Dukes,Democratic,1996,Re-elected,Winfred Dukes (D) 66.52% Karen Kemp (R) 33.48%
151.0,Carol Fullerton,Democratic,2008,Re-elected,Carol Fullerton (D) unopposed
152.0,Ed Rynders,Republican,2002,Re-elected,Ed Rynders (R) unopposed
153.0,Austin Scott,Republican,1996,Retired; Republican hold,Tony McBrayer (R) 61.78% John Tibbetts (D) 38.22%
154.0,Jay Roberts,Republican,2002,Re-elected,Jay Roberts (R) unopposed
155.0,Greg Morris,Republican,1998,Re-elected,Greg Morris (R) unopposed
156.0,Butch Parrish,Republican,1984,Re-elected,Butch Parrish (R) unopposed
157.0,Jon Burns,Republican,2004,Re-elected,Jon Burns (R) 67.36% Elizabeth Johnson (D) 32.64%
158.0,Bob Lane,Republican,1980,Retired; Republican hold,Jan Tankersley (R) unopposed
159.0,Ann Purcell,Republican,1990/2009,Re-elected,Ann Purcell (R) 71.93% Tawana Garrett (D) 28.08%
160.0,Bob Bryant,Democratic,2004,Re-elected,Bob Bryant (D) 77.70% Joseph Woods (R) 22.30%
161.0,Mickey Stephens,Democratic,2008,Re-elected,Mickey Stephens (D) unopposed
162.0,J. Craig Gordon,Democratic,2006,Re-elected,J. Craig Gordon (D) unopposed
163.0,Burke Day,Republican,1993,Retired; Republican hold,Ben Watson (R) 80.18% Jeremy Scheinbart (D) 19.82%
164.0,Ron Stephens,Republican,1997,Re-elected,Ron Stephens (R) 67.71% Zena McClain (D) 32.29%
165.0,Al Williams,Democratic,2002,Re-elected,Al Williams (D) unopposed
166.0,Terry Barnard,Republican,1994,Retired; Republican hold,Delvis Dutton (R) unopposed
167.0,Roger B. Lane,Republican,2004,Re-elected,Roger B. Lane (R) unopposed
168.0,Tommy Smith,Republican,1978,Re-elected,Tommy Smith (R) unopposed
169.0,Chuck Sims,Republican,1996,Re-elected,Chuck Sims (R) unopposed
170.0,Penny Houston,Republican,1997,Re-elected,Penny Houston (R) unopposed
171.0,Jay Powell,Republican,2008,Re-elected,Jay Powell (R) 60.51% James Timmons (D) 39.49%
172.0,Gene Maddox,Republican,2004,Re-elected,Gene Maddox (R) 58.26% Marjean Boyd (D) 41.74%
173.0,Mike Keown,Republican,2004,Retired; Republican hold,Darlene Taylor (R) 67.73% Haley Shank (D) 32.27%
174.0,Ellis Black,Democratic,2000,Re-elected,Ellis Black (D) unopposed
175.0,Amy Carter,Democratic,2006,Re-elected,Amy Carter (D) unopposed
176.0,Jay Shaw,Democratic,1994,Retired; Republican pickup,Jason Shaw (R) 69.04% Debra Tann (D) 30.96%
177.0,Mark Hatfield,Republican,2004,Re-elected,Mark Hatfield (R) unopposed
178.0,Mark Williams,Republican,2006,Re-elected,Mark Williams (R) unopposed
179.0,Jerry Keen,Republican,2000,Retired; Republican hold,Alex Atwood (R) 61.39% Audrey Stewart (D) 38.61%
