Season,Name,Hometown,Profession,Status,Finish
3.0,Amy Crews,"Memphis , TN",Real estate appraiser,Evicted: Day 27 Evicted: Day 76,4th
3.0,Jason Guy,"Mobile , AL",Videographer,Evicted: Day 78,3rd
3.0,Danielle Reyes,"Fairfield , CA",Media buyer,Finalist: Day 82,Runner-up
3.0,Lisa Donahue,"Los Angeles , CA",Bartender,Finalist: Day 82,Winner
4.0,Scott Weintraub,"Chicago , IL",Waiter,Expelled: Day 8,13th
4.0,Amanda Craig,"Chicago , IL",Bar manager,Evicted: Day 12,12th
4.0,Michelle Maradie,"Boca Raton , FL",Student,Evicted: Day 19,11th
4.0,David Lane,"Deerfield Beach , FL",Former Army Ranger,Evicted: Day 26,10th
4.0,Dana Varela,"Queens , NY",Karate school manager,Evicted: Day 33,9th
4.0,Nathan Marlow,"Edmond , OK",Personal trainer,Evicted: Day 40,8th
4.0,Justin Giovinco,"Pittsburgh , PA",Headhunter,Evicted: Day 47,7th
4.0,"Jack Owens, Jr.","Birmingham , AL",Former FBI agent,Evicted: Day 54,6th
4.0,Jee Choe,"Elmhurst , NY",Bookkeeper,Evicted: Day 61,5th
4.0,Erika Landin,"Los Angeles , CA",Pilates instructor,Evicted: Day 68,4th
4.0,Robert Roman,"Los Angeles , CA",Restaurant manager,Evicted: Day 75,3rd
4.0,Alison Irwin,"Meadville , PA",Retail sales manager,Finalist: Day 82,Runner-up
4.0,Jun Song,"New York City , NY",Investment manager,Finalist: Day 82,Winner
5.0,Mike Lubinski,"Eastpointe , MI",Commercial painter,Evicted: Day 14,14th
5.0,Lori Valenti,"Woburn , MA",Yoga instructor,Evicted: Day 21,13th
5.0,Holly King,"Los Angeles , CA",Model,Evicted: Day 28,12th
5.0,Scott Long,"Pittsburgh , PA",Sales representative,Evicted: Day 35,11th
5.0,Jase Wirey,"Decatur , IL",Volunteer firefighter,Evicted: Day 42,10th
5.0,Will Wikle,"Tupelo , MS",Registered nurse,Evicted: Day 49,9th
5.0,Natalie (Montgomery) Carroll,"Birmingham , AL",Fitness professional,Evicted: Day 56,8th
5.0,Adria (Montgomery) Klein,"Birmingham , AL",Fitness professional,Evicted: Day 63,7th
5.0,Marvin Latimer,"Conway , SC",Mortician,Evicted: Day 64,6th
5.0,Karen Ann (O'Neil) Ganci,"Spring Hill , FL",Portrait artist,Evicted: Day 70,5th
5.0,"Jennifer ""Nakomis"" Dedmon","San Antonio , TX",Restaurant hostess,Evicted: Day 75,4th
5.0,Diane Henry,"Burlington , KY",Cocktail waitress,Evicted: Day 78,3rd
5.0,"Michael ""Cowboy"" Ellis","Durant , OK",Security officer,Finalist: Day 82,Runner-up
5.0,Drew Daniel,"Urbana , OH",College graduate,Finalist: Day 82,Winner
6.0,Ashlea Evans,"Plantation , FL",Fashion design student,Evicted: Day 12,14th
6.0,Michael Donnellan,"Orange County , CA",Artist,Evicted: Day 19,13th
6.0,"Eric ""Cappy"" Littmann","Boston , MA",Firefighter,Evicted: Day 26,12th
6.0,Sarah Hrejsa,"Chicago , IL",Retail manager,Evicted: Day 40,11th
6.0,Kaysar Ridha,"Irvine , CA",Graphic designer,Evicted: Day 33 Evicted: Day 47,10th
6.0,Jennifer Vasquez,"Plano , TX",Arena Football League dancer,Evicted: Day 49,9th
6.0,Rachel Plencner,"Parker , CO",Horse breeder,Evicted: Day 49,8th
6.0,James Rhine,"Atlanta , GA",Loss prevention manager,Evicted: Day 61,7th
6.0,Beau Beasley,"Pembroke Pines , FL",Personal shopper,Evicted: Day 62,6th
6.0,Howie Gordon,"Chicago , IL",Meteorology student,Evicted: Day 68,5th
6.0,April Lewis,"Dallas , TX",Pharmaceutical sales representative,Evicted: Day 73,4th
6.0,Janelle Pierzina,"Miami Beach , FL",VIP cocktail waitress,Evicted: Day 76,3rd
6.0,Ivette Corredero,"Miami Beach , FL",Waitress,Finalist: Day 80,Runner-up
6.0,Maggie Ausburn,"Las Vegas , NV",Emergency room nurse,Finalist: Day 80,Winner
7.0,Alison Irwin,"Meadville , PA",Medical sales,Evicted: Day 11,14th
7.0,"Jennifer ""Nakomis"" Dedmon","San Antonio , TX",Restaurant host,Evicted: Day 18,13th
7.0,Jase Wirey,"Taylorville , IL",Safety director,Evicted: Day 25,12th
7.0,Diane Henry,"Cincinnati , OH",Model / actress,Evicted: Day 32,11th
7.0,Kaysar Ridha,"Irvine , CA",Graphic designer,Evicted: Day 39,10th
7.0,Marcellas Reynolds,"Chicago , IL",Celebrity stylist,Evicted: Day 46,9th
7.0,Howie Gordon,"Chicago , IL",Lightsaber salesman,Evicted: Day 47,8th
7.0,James Rhine,"Miami , FL",Loss prevention manager,Evicted: Day 53,7th
7.0,Danielle Reyes,"Vacaville , CA",Property manager,Evicted: Day 60,6th
7.0,"George ""Chicken"" Boswell","Rockford , IL",Hotel promotions,Evicted: Day 60,5th
7.0,Will Kirby,"Miami , FL",Physician,Evicted: Day 65,4th
7.0,Janelle Pierzina,"Grand Rapids , MN",VIP cocktail waitress,Evicted: Day 67,3rd
7.0,Erika Landin,"Chicago , IL",Pilates instructor,Finalist: Day 72,Runner-up
7.0,"Mike ""Boogie"" Malin","Concord , NH",Restaurateur,Finalist: Day 72,Winner
8.0,Carol Journey,"Lawrence , KS",Student,Evicted: Day 13,14th
8.0,"Joseph ""Joe"" Barber II","Chicago , IL",Receptionist,Evicted: Day 20,13th
8.0,"Michael ""Mike"" Dutz","Three Lakes , WI",Painting contractor,Evicted: Day 27,12th
8.0,"Nicholas ""Nick"" Starcevic","Kimball , MN",Former football player,Evicted: Day 34,11th
8.0,Kail Harbick,"McKenzie Bridge , OR",Business owner,Evicted: Day 41,10th
8.0,Dustin Erikstrup,"Chicago , IL",Shoe salesman,Evicted: Day 48,9th
8.0,"Jennifer ""Jen"" Marie Johnson","Beverly Hills , CA",Nanny,Evicted: Day 55,8th
8.0,Amber M. Siyavus,"Las Vegas , NV",Cocktail waitress,Evicted: Day 62,7th
8.0,Jessica Lynn Hughbanks,"Haysville , KS",College student,Evicted: Day 69,6th
8.0,Eric Scott Stein,"New York City , NY",Talent management assistant,Evicted: Day 69,5th
8.0,Jameka Cameron,"Waldorf , MD",School counselor,Evicted: Day 74,4th
8.0,Zachary Swerdzewski,"Burbank , CA",Graphic designer,Evicted: Day 76,3rd
8.0,Daniele Donato,"Huntington Beach , CA",Waitress,Finalist: Day 81,Runner-up
8.0,Dick Donato,"Los Angeles , CA",Bar manager,Finalist: Day 81,Winner
9.0,Jacob Heald,"Dallas , GA",Electrician,Evicted: Day 3,16th
9.0,Neil Garcia,"Los Angeles , CA",Realtor,Walked: Day 7,15th
9.0,Parker Somerville,"Northridge , CA",Paparazzo,Evicted: Day 14,14th
9.0,Jen Diturno,"Columbus , OH",Bartender,Evicted: Day 14,13th
9.0,Amanda Hansen,"Fridley , MN",Paralegal,Evicted: Day 21,12th
9.0,Alex Coladonato,"Staten Island , NY",DJ company owner,Evicted: Day 21,11th
9.0,Allison Nichols,"Boston , MA",Pharmaceutical sales rep.,Evicted: Day 28,10th
9.0,Matt McDonald,"Charlestown , MA",Roofing foreman,Evicted: Day 42,9th
9.0,Chelsia Hart,"Cedar Falls , IA",College student,Evicted: Day 49,8th
9.0,Joshuah Welch,"Dallas , TX",Advertising media buyer,Evicted: Day 56,7th
9.0,James Zinkand,"Sarasota , FL",Riding bicycle around the world,Evicted: Day 35 Evicted: Day 63,6th
9.0,Natalie Lynn Cunial,"Salem , OR",Bikini barista,Evicted: Day 70,5th
9.0,Sharon Obermueller,"Olathe , KS",Realtor,Evicted: Day 3 Evicted: Day 75,4th
9.0,Sheila Kennedy,"Reseda , CA","Former model , single mother",Evicted: Day 77,3rd
9.0,Ryan Quicksall,"Columbus , OH",College student,Finalist: Day 81,Runner-up
9.0,Adam Jasinski,"Delray Beach , FL",Public relations manager,Finalist: Day 81,Winner
10.0,Brian Hart,"San Francisco , CA",Telecommunications manager,Evicted: Day 9,13th
10.0,Steven Daigle,"Dallas , TX",Rodeo competitor,Evicted: Day 16,12th
10.0,Angie Swindell,"Orlando , FL",Pharmaceutical sales rep.,Evicted: Day 24,11th
10.0,Jessie Godderz,"Huntington Beach , CA",Professional bodybuilder,Evicted: Day 31,10th
10.0,Libra Thompson,"Spring , TX",Human resources rep.,Evicted: Day 38,9th
10.0,April Dowling,"Higley , AZ",Financial manager,Evicted: Day 45,8th
10.0,Michelle Costa,"Cumberland , RI",Real estate agent,Evicted: Day 52,7th
10.0,Bryan Ollie,"Bloomington , MN",Marketing sales rep.,Evicted: Day 52,6th
10.0,"Lorenza ""Renny"" Martyn","New Orleans , LA",Beauty salon owner,Evicted: Day 59,5th
10.0,Keesha Smith,"Burbank , CA",Waitress,Evicted: Day 64,4th
10.0,Jerry MacDonald,"Magnolia , TX",Retired marketing executive,Evicted: Day 66,3rd
10.0,"Robert ""Memphis"" Garrett","Los Angeles , CA",Mixologist,Finalist: Day 71,Runner-up
10.0,Dan Gheesling,"Dearborn , MI",Catholic school teacher,Finalist: Day 71,Winner
11.0,Braden Bacha,"Dana Point , CA",Surfer,Evicted: Day 12,13th
11.0,Laura Crosby,"Atlanta , GA",Bikini model,Evicted: Day 19,12th
11.0,Casey Turner,"Tampa Bay , FL",Teacher / DJ,Evicted: Day 26,11th
11.0,Ronnie Talbott,"Belpre , OH",Gamer,Evicted: Day 33,10th
11.0,Jessie Godderz,"Huntington Beach , CA",Professional bodybuilder,Evicted: Day 40,9th
11.0,Chima Simone,"West Hollywood , CA",Freelance journalist,Expelled: Day 42,8th
11.0,Lydia Tavera,"Torrance , CA",Special effects make-up artist,Evicted: Day 47,7th
11.0,Russell Kairouz,"Walnut Creek , CA",Mixed martial arts fighter,Evicted: Day 54,6th
11.0,Jeff Schroeder,"Chicago , IL",Advertising salesman,Evicted: Day 61,5th
11.0,Michele Noonan,"Pasadena , CA",Neuroscientist,Evicted: Day 66,4th
11.0,Kevin Campbell,"Chula Vista , CA",Graphic designer,Evicted: Day 73,3rd
11.0,Natalie Martinez,"Gilbert , AZ",Tae Kwon Do champion,Finalist: Day 73,Runner-up
11.0,Jordan Lloyd,"Matthews , NC",Waitress,Finalist: Day 73,Winner
12.0,Annie Whittington,"Tampa , FL",Bartender,Evicted: Day 13,13th
12.0,Monet Stunson,"Glen Carbon , IL",Model,Evicted: Day 20,12th
12.0,Andrew Gordon,"Miami Beach , FL",Podiatrist,Evicted: Day 27,11th
12.0,Kristen Bitting,"Philadelphia , PA",Boutique manager,Evicted: Day 34,10th
12.0,Rachel Reilly,"Las Vegas , NV","Graduate student , cocktail waitress",Evicted: Day 41,9th
12.0,Kathy Hillis,"Texarkana , AR","Deputy sheriff , sergeant",Evicted: Day 48,8th
12.0,Matt Hoffman,"Elgin , IL",er Web design,Evicted: Day 55,7th
12.0,Brendon Villegas,"Riverside , CA",High school swim coach,Evicted: Day 55,6th
12.0,Ragan Fox,"West Hollywood , CA",College professor,Evicted: Day 62,5th
12.0,Britney Haynes,"Huntington , AR",Hotel sales manager,Evicted: Day 67,4th
12.0,"Vincenzo ""Enzo"" Palumbo","Bayonne , NJ",Insurance adjuster,Evicted: Day 75,3rd
12.0,Lane Elenburg,"Decatur , TX",Oil rig salesman,Finalist: Day 75,Runner-up
12.0,Hayden Moss,"Tempe , AZ",College student,Finalist: Day 75,Winner
13.0,Dick Donato,"Los Angeles , CA",Website CEO,Walked: Day 6,14th
13.0,Keith Henderson,"Boilingbrook , IL",Human resources manager,Evicted: Day 13,13th
13.0,Cassi Colvin,"Nashville , TN",Model,Evicted: Day 20,12th
13.0,Dominic Briones,"San Mateo , CA","College student, model",Evicted: Day 27,11th
13.0,Lawon Exum,"Inglewood , CA",Legal file clerk,Evicted: Day 41,10th
13.0,Brendon Villegas,"Riverside , CA",High school swim coach,Evicted: Day 34 Evicted: Day 48,9th
13.0,Daniele Donato,"Huntington Beach , CA",College student,Evicted: Day 55,8th
13.0,Jeff Schroder,"Norridge , Il",Advertising salesman,Evicted: Day 55,7th
13.0,Shelly Moore,"Prairieville , LA",Outdoor industry executive,Evicted: Day 62,6th
13.0,Kalia Booker,"Los Angeles , CA",Writer,Evicted: Day 67,5th
13.0,Jordan Lloyd,"Matthews , NC",Waitress,Evicted: Day 69,4th
13.0,Adam Poch,"Hoboken , NJ",Music inventory manager,Evicted: Day 75,3rd
13.0,Porsche Briggs,"Miami Beach , FL",VIP cocktail waitress,Finalist: Day 75,Runner-up
13.0,Rachel Reilly,"Las Vegas , NV",Event hostess,Finalist: Day 75,Winner
14.0,Jodi Rollins,"Calipatria , CA",Restaurant waitress,Evicted: Day 1,16th
14.0,Kara Monaco,"Los Angeles , CA",Model,Evicted: Day 13,15th
14.0,Willie Hantz,"Dayton , TX",Tankerman,Expelled: Day 14,14th
14.0,JoJo Spatafora,"Staten Island , NY",Bartender,Evicted: Day 20,13th
14.0,Janelle Pierzina,"Miami Beach , FL",Stay-at-home mom,Evicted: Day 34,12th
14.0,Wil Heuser,"Louisville , KY",Marketing consultant,Evicted: Day 41,11th
14.0,"Mike ""Boogie"" Malin","Los Angeles , CA",Restaurateur,Evicted: Day 48,10th
14.0,Ashley Iocco,"West Hollywood , CA",Entrepreneur,Evicted: Day 48,9th
14.0,Britney Haynes,"Huntington , AR",Pharmaceutical sales representative,Evicted: Day 55,8th
14.0,Frank Eudy,"Naples , FL",Unemployed,Evicted: Day 62,7th
14.0,Joe Arvin,"Schererville , IN",Chef,Evicted: Day 62,6th
14.0,"Jennifer ""Jenn"" Arroyo","Brooklyn , NY",Musician,Evicted: Day 67,5th
14.0,Shane Meaney,"Bennington , VT",House flipper,Evicted: Day 69,4th
14.0,Danielle Murphree,"Tuscaloosa , AL",Nurse,Evicted: Day 75,3rd
14.0,Dan Gheesling,"Dearborn , MI",Catholic high school teacher,Finalist: Day 75,Runner-up
14.0,Ian Terry,"New Orleans , LA",Engineering student,Finalist: Day 75,Winner
15.0,David Girton,"San Diego , CA",Lifeguard,Evicted: Day 13,16th
15.0,Nick Uhas,"New York , NY",Entrepreneur,Evicted: Day 21,15th
15.0,Jeremy McGuire,"Katy, TX",Boat Shop Associate,Evicted: Day 28,14th
15.0,Kaitlin Barnaby,"Minneapolis , MN",Bartender,Evicted: Day 35,13th
15.0,Howard Overby,"Hattiesburg , MS",Youth Counselor,Evicted: Day 42,12th
15.0,Candice Stewart,"Houston , TX",Pediatric Speech Therapist,Evicted: Day 49,11th
15.0,Jessie Kowalski,"San Antonio , TX",Unemployed,Evicted: Day 56,10th
15.0,Helen Kim,"Chicago , IL",Political Consultant,Evicted: Day 63,9th
15.0,Aaryn Gries,"San Marcos, TX",College student,Evicted: Day 70,8th
15.0,Amanda Zuckerman,"Boynton Beach , FL",Real Estate Agent,Evicted: Day 77,7th
15.0,Elissa Slater,"Kannapolis , NC",Nutritionist,Evicted: Day 77,6th
15.0,Judd Daughtery,"Etowah , TN",Property Appraiser,Evicted: Day 49 Evicted: Day 82,5th
15.0,McCrae Olson,"Oak Grove , MN",Pizza Delivery Boy,Evicted: Day 84,4th
15.0,Spencer Clawson,"Conway , AR",Railroad Conductor,Evicted: Day 90,3rd
15.0,GinaMarie Zimmerman,"Staten Island , NY",Pageant coordinator,Finalist: Day 90,Runner-up
15.0,Andy Herren,"Chicago , IL",Professor,Finalist: Day 90,Winner
