Township,County,Pop. (2010),Land ( sqmi ),Water (sqmi),Latitude,Longitude,GEO ID,ANSI code
Sentinel,Golden Valley,50.0,143.351,0.288,46.886314,-103.718768,3803371740.0,1037078.0
Sergius,Bottineau,51.0,47.757,0.996,48.842975,-101.005336,3800971820.0,1759296.0
Severn,Stutsman,51.0,35.980,0.182,46.689172,-98.765753,3809371860.0,1036444.0
Sharlow,Stutsman,55.0,36.210,0.042,46.676205,-98.906166,3809371900.0,1036446.0
Sharon,Steele,48.0,33.806,0.035,47.644998,-97.919876,3809171980.0,1036676.0
Shealy,Ward,28.0,35.150,0.821,48.146370,-101.846768,3810172075.0,1759691.0
Sheets,Slope,20.0,35.828,0.110,46.326282,-103.359687,3808772100.0,1759644.0
Sheldon,Eddy,22.0,35.748,0.335,47.708983,-98.964920,3802772140.0,1759413.0
Shell,Mountrail,30.0,35.958,0.012,48.065750,-102.108459,3806172220.0,1037019.0
Shell Valley,Rolette,449.0,35.579,0.536,48.768271,-99.840463,3807972260.0,1759627.0
Shenford,Ransom,118.0,53.662,0.072,46.479115,-97.479102,3807372300.0,1036868.0
Shepherd,Walsh,37.0,34.629,1.511,48.332398,-98.222450,3809972380.0,1036532.0
Sherbrooke,Steele,49.0,35.978,0.000,47.455477,-97.665384,3809172420.0,1036666.0
Sheridan,LaMoure,28.0,34.903,0.122,46.580037,-98.337588,3804572460.0,1036912.0
Sherman,Bottineau,68.0,35.910,0.005,48.842786,-101.289039,3800972500.0,1759297.0
Sheyenne,Richland,51.0,35.645,0.015,46.507680,-97.216016,3807772620.0,1036852.0
Short Creek,Burke,37.0,42.775,0.250,48.943720,-102.734535,3801372740.0,1759330.0
Shuman,Sargent,60.0,34.920,0.732,46.159700,-97.436522,3808172780.0,1036800.0
Sibley,Kidder,77.0,31.643,4.017,46.846047,-99.759078,3804372860.0,1759477.0
Sibley Butte,Burleigh,15.0,35.990,0.011,46.945670,-100.370762,3801572900.0,1759346.0
Sibley Trail,Barnes,92.0,33.955,2.209,47.189377,-98.014591,3800372940.0,1036437.0
Sidney,Towner,48.0,43.977,0.383,48.936230,-99.316611,3809572980.0,1759663.0
Sidonia,Mountrail,15.0,34.636,1.362,48.508408,-102.285181,3806173020.0,1037119.0
Sikes,Mountrail,87.0,35.517,0.465,48.150939,-102.386183,3806173060.0,1037042.0
Silver Lake,Wells,21.0,34.826,1.201,47.401106,-99.836299,3810373140.0,1037190.0
Silvesta,Walsh,38.0,35.154,0.766,48.492537,-98.111696,3809973220.0,1036550.0
Sinclair,Stutsman,30.0,34.196,1.709,46.758025,-99.128339,3809373340.0,1036461.0
Sioux,McKenzie,108.0,64.409,5.729,47.913001,-103.871117,3805373380.0,1036968.0
Sioux Trail,Divide,25.0,35.635,0.207,48.684574,-103.733516,3802373420.0,1036921.0
Skandia,Barnes,40.0,35.170,0.720,46.772308,-98.107668,3800373500.0,1036412.0
Smith,Towner,16.0,43.289,0.675,48.942626,-99.188018,3809573660.0,1759664.0
Smoky Butte,Divide,34.0,35.178,0.767,48.673153,-103.596935,3802373700.0,1759396.0
Snow,McLean,80.0,21.476,13.991,47.626616,-101.250968,3805573780.0,1759544.0
Solon,Hettinger,22.0,35.894,0.073,46.408091,-102.118089,3804173860.0,1759461.0
Soo,Burke,24.0,42.681,0.299,48.943339,-102.472522,3801373900.0,1759331.0
Sorenson,Towner,21.0,35.109,0.657,48.664846,-99.295598,3809573940.0,1759665.0
Sorkness,Mountrail,37.0,35.634,0.499,48.410047,-102.683355,3806173980.0,1034093.0
South Cottonwood,Wells,40.0,35.400,0.496,47.534537,-99.578832,3810374080.0,1759710.0
South Dresden,Cavalier,33.0,35.371,0.542,48.852062,-98.533504,3801974100.0,1759380.0
South Fork,Adams,11.0,36.048,0.000,46.075009,-102.060845,3800174140.0,1037252.0
South Meadow,Williams,23.0,35.713,0.290,48.495364,-103.070698,3810574260.0,1037036.0
South Minnewaukan,Ramsey,225.0,29.093,12.431,48.061632,-98.747857,3807174280.0,1759594.0
South Olga,Cavalier,39.0,35.797,0.081,48.773697,-97.990120,3801974300.0,1759381.0
South Valley,Rolette,31.0,35.947,0.016,48.589896,-100.078572,3807974340.0,1759628.0
South Viking,Benson,61.0,35.604,0.225,47.896714,-99.463428,3800574380.0,1759259.0
Southwest,Sargent,18.0,36.011,0.093,45.963131,-97.967970,3808174460.0,1036789.0
Speedwell,Wells,57.0,35.735,0.324,47.456178,-99.585214,3810374540.0,1759711.0
Spencer,Ward,47.0,34.967,0.979,48.582608,-102.158045,3810174580.0,1759692.0
Spiritwood,Stutsman,73.0,35.759,0.335,46.938920,-98.486954,3809374700.0,1036467.0
Spring Coulee,Mountrail,39.0,35.148,0.109,48.072199,-101.999565,3806174860.0,1037020.0
Spring Creek,Barnes,74.0,35.489,0.029,46.683088,-98.114316,3800374900.0,1036403.0
Spring Grove,McHenry,39.0,32.138,1.836,47.892679,-100.390922,3804975020.0,1759515.0
Spring Lake,Ward,29.0,34.713,1.172,47.885298,-101.422432,3810175060.0,1036983.0
Spring Valley,Dickey,28.0,33.271,2.282,46.077524,-98.922221,3802175140.0,1037247.0
Springbrook,Williams,67.0,34.813,0.252,48.243527,-103.427631,3810574820.0,1036988.0
Springer,Ransom,59.0,35.918,0.050,46.498473,-97.847973,3807374940.0,1036874.0
Springfield,Towner,14.0,34.651,1.417,48.407026,-99.428460,3809574980.0,1759666.0
Springvale,Barnes,53.0,35.897,0.000,46.847493,-97.744735,3800375100.0,1036407.0
St. Andrews,Walsh,52.0,36.344,0.470,48.492269,-97.201899,3809969620.0,1036543.0
St. Anna,Wells,18.0,33.290,1.650,47.624269,-99.703726,3810369660.0,1759712.0
St. Croix,Hettinger,34.0,36.658,0.000,46.500535,-102.486896,3804169820.0,1759462.0
St. Joseph,Pembina,94.0,44.879,0.039,48.946973,-97.749046,3806770020.0,1036739.0
St. Mary,McLean,147.0,33.235,1.771,47.625291,-101.493840,3805570060.0,1759543.0
St. Marys,Ward,52.0,34.895,1.236,48.414360,-101.510871,3810170100.0,1759693.0
St. Paul,Stutsman,71.0,32.222,3.761,46.856115,-99.372706,3809370180.0,1036466.0
St. Thomas,Pembina,119.0,71.919,0.009,48.636672,-97.481240,3806770300.0,1036713.0
Stafford,Renville,38.0,43.360,0.105,48.943921,-101.947035,3807575180.0,1759620.0
Stanley,Cass,1218.0,25.265,0.000,46.753385,-96.842128,3801775340.0,1036358.0
Star,Bowman,50.0,30.501,0.110,46.241673,-103.426389,3801175460.0,1759314.0
Starbuck,Bottineau,32.0,39.253,1.239,48.770143,-100.785741,3800975500.0,1759298.0
Stavanger,Traill,110.0,36.201,0.000,47.628462,-97.026861,3809775700.0,1036701.0
Stave,Mountrail,33.0,33.312,2.744,48.415887,-102.038348,3806175740.0,1036985.0
Steiber,Burleigh,25.0,34.170,0.103,47.283629,-100.547906,3801575820.0,1037141.0
Steiner,Hettinger,25.0,35.031,0.040,46.496252,-102.229655,3804175860.0,1759463.0
Sterling,Burleigh,149.0,35.929,0.000,46.851260,-100.267087,3801575940.0,1759347.0
Stevens,Ramsey,67.0,33.729,1.300,48.064296,-98.614459,3807175980.0,1759595.0
Stewart,Barnes,89.0,36.145,0.000,47.023213,-98.149960,3800376020.0,1036429.0
Stewart,Kidder,28.0,33.269,1.374,47.283990,-99.909908,3804376060.0,1037161.0
Stillwater,Bowman,28.0,30.591,0.009,46.244238,-103.178716,3801176140.0,1759315.0
Stirton,Stutsman,70.0,32.891,2.979,46.844756,-99.110856,3809376180.0,1036462.0
Stone Creek,Bottineau,19.0,27.845,0.403,48.681264,-100.733729,3800976260.0,1759299.0
Stoneview,Divide,22.0,35.269,0.502,48.677217,-102.950521,3802376300.0,1759397.0
Stony Creek,Williams,558.0,50.382,12.910,48.081934,-103.526019,3810576340.0,1036987.0
Storlie,Cavalier,21.0,25.095,0.347,48.579867,-98.633664,3801976380.0,1759382.0
Strabane,Grand Forks,98.0,35.548,0.013,48.144065,-97.568357,3803576420.0,1036625.0
Strandahl,Williams,20.0,32.526,0.175,48.422811,-103.978227,3810576460.0,1759734.0
Strassburg,Sheridan,34.0,32.351,3.611,47.811440,-100.514116,3808376540.0,1759637.0
Streeter,Stutsman,55.0,34.798,0.956,46.675077,-99.396456,3809376660.0,1036450.0
Strege,McHenry,40.0,35.266,0.925,47.980053,-100.388593,3804976700.0,1759516.0
Strehlow,Hettinger,29.0,35.883,0.073,46.407370,-102.857648,3804176740.0,1037231.0
Strong,Stutsman,19.0,33.727,1.884,47.090186,-99.286234,3809376780.0,1036494.0
Sullivan,Ramsey,26.0,35.529,0.545,48.420702,-98.778641,3807176860.0,1759596.0
Summit,Richland,217.0,53.361,0.019,46.145643,-96.667743,3807776940.0,1036825.0
Sundre,Ward,970.0,35.716,0.244,48.148714,-101.207121,3810176980.0,1036990.0
Sunny Slope,Bowman,9.0,51.122,0.108,46.160592,-103.956408,3801177060.0,1037164.0
Superior,Eddy,55.0,34.728,0.269,47.629769,-99.068069,3802777140.0,1759414.0
Surrey,Ward,349.0,35.019,0.043,48.241646,-101.066882,3810177220.0,2397878.0
Svea,Barnes,41.0,35.875,0.000,46.761711,-98.248932,3800377300.0,1036414.0
Sverdrup,Griggs,92.0,36.010,0.036,47.377790,-98.065074,3803977340.0,1036630.0
Swede,LaMoure,36.0,35.717,0.063,46.420627,-98.964670,3804577380.0,1036908.0
Sydna,Ransom,194.0,36.327,0.005,46.329653,-97.458880,3807377540.0,1036859.0
Sydney,Stutsman,78.0,36.132,0.123,46.754405,-98.744074,3809377620.0,1036455.0
