Seq.,Name,Background,Party Leadership,Communication Ability,Relations with Congress,Court Appointments,Handling of Economy,Luck,Ability to Compromise,Willing to take Risks,Executive Appointments,Overall Ability,Imagination,Domestic Accomplishments,Integrity,Executive Ability,Foreign Policy Accomplishments,Leadership Ability,Intelligence,Avoid Crucial Mistakes,Experts View,Overall
21,Chester A. Arthur,41.0,31.0,32.0,27.0,28.0,19.0,14.0,21.0,27.0,26.0,30.0,25.0,20.0,32.0,27.0,26.0,28.0,32.0,17.0,26.0,25.0
22/24,Grover Cleveland,19.0,16.0,17.0,15.0,17.0,22.0,20.0,19.0,24.0,18.0,20.0,22.0,17.0,19.0,17.0,21.0,19.0,25.0,14.0,19.0,20.0
23,Benjamin Harrison,39.0,32.0,34.0,28.0,30.0,35.0,29.0,30.0,39.0,36.0,36.0,34.0,32.0,31.0,35.0,28.0,34.0,35.0,23.0,32.0,34.0
25,William McKinley,21.0,14.0,19.0,11.0,23.0,18.0,24.0,20.0,21.0,20.0,21.0,23.0,19.0,22.0,18.0,15.0,18.0,27.0,11.0,20.0,21.0
26,Theodore Roosevelt,6.0,7.0,3.0,5.0,1.0,2.0,2.0,12.0,1.0,4.0,3.0,1.0,2.0,6.0,4.0,4.0,4.0,6.0,3.0,4.0,2.0
27,William Howard Taft,14.0,36.0,29.0,30.0,18.0,20.0,32.0,24.0,36.0,22.0,23.0,30.0,21.0,18.0,25.0,23.0,31.0,18.0,28.0,23.0,24.0
28,Woodrow Wilson,8.0,8.0,9.0,16.0,8.0,8.0,15.0,37.0,9.0,10.0,8.0,5.0,9.0,11.0,10.0,10.0,12.0,4.0,29.0,10.0,8.0
29,Warren G. Harding,43.0,38.0,36.0,34.0,36.0,39.0,37.0,26.0,40.0,43.0,43.0,43.0,40.0,42.0,43.0,37.0,41.0,43.0,39.0,41.0,41.0
30,Calvin Coolidge,25.0,24.0,38.0,21.0,26.0,30.0,12.0,28.0,41.0,30.0,32.0,37.0,31.0,17.0,28.0,32.0,33.0,28.0,19.0,28.0,29.0
31,Herbert Hoover,10.0,26.0,31.0,33.0,19.0,43.0,43.0,40.0,42.0,32.0,26.0,38.0,41.0,13.0,29.0,36.0,37.0,14.0,40.0,38.0,36.0
32,Franklin D. Roosevelt,5.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,3.0,2.0,4.0,3.0,16.0,3.0,1.0,3.0,10.0,4.0,2.0,1.0
33,Harry Truman,35.0,15.0,14.0,20.0,15.0,6.0,11.0,15.0,6.0,7.0,7.0,15.0,7.0,8.0,8.0,6.0,9.0,17.0,8.0,6.0,9.0
34,Dwight D. Eisenhower,12.0,17.0,21.0,10.0,9.0,11.0,8.0,5.0,20.0,17.0,11.0,20.0,13.0,9.0,7.0,9.0,7.0,19.0,5.0,7.0,10.0
35,John F. Kennedy,13.0,19.0,4.0,13.0,12.0,7.0,27.0,6.0,10.0,6.0,14.0,7.0,15.0,35.0,13.0,17.0,11.0,11.0,16.0,14.0,11.0
36,Lyndon B. Johnson,15.0,3.0,16.0,1.0,5.0,10.0,28.0,9.0,12.0,12.0,9.0,12.0,5.0,34.0,12.0,43.0,15.0,21.0,37.0,16.0,16.0
37,Richard Nixon,18.0,20.0,26.0,36.0,38.0,25.0,34.0,33.0,14.0,37.0,22.0,19.0,24.0,43.0,24.0,11.0,29.0,16.0,43.0,37.0,30.0
38,Gerald Ford,27.0,25.0,35.0,17.0,22.0,36.0,31.0,17.0,35.0,23.0,31.0,33.0,30.0,15.0,32.0,27.0,30.0,34.0,26.0,25.0,28.0
39,Jimmy Carter,31.0,39.0,27.0,39.0,20.0,40.0,38.0,31.0,25.0,21.0,29.0,21.0,29.0,7.0,36.0,29.0,35.0,13.0,36.0,30.0,32.0
40,Ronald Reagan,34.0,5.0,5.0,7.0,31.0,21.0,3.0,14.0,11.0,31.0,19.0,18.0,23.0,26.0,20.0,13.0,8.0,36.0,13.0,17.0,18.0
41,George H. W. Bush,11.0,27.0,33.0,23.0,34.0,32.0,26.0,16.0,29.0,27.0,27.0,31.0,28.0,20.0,22.0,14.0,22.0,24.0,18.0,22.0,22.0
42,Bill Clinton,22.0,11.0,8.0,25.0,11.0,3.0,10.0,4.0,18.0,11.0,10.0,10.0,10.0,41.0,15.0,18.0,14.0,9.0,34.0,15.0,13.0
43,George W. Bush,36.0,23.0,42.0,32.0,41.0,42.0,18.0,42.0,19.0,41.0,40.0,40.0,38.0,39.0,39.0,42.0,38.0,42.0,38.0,39.0,39.0
