Manufacturer,Transmission,Engine Capacity,Fuel Type,L/100km Urban (Cold),L/100km Extra-Urban,L/100km Combined,mpg-UK Urban (Cold),mpg-UK Extra-Urban,mpg-UK Combined,mpg-US Urban,mpg-US Extra-Urban,mpg-US Combined,CO 2 g/km,Green Rating
Vauxhall,A5,2405.0,Petrol,14.1,7.7,10.1,20.0,36.7,28.0,16.7,30.6,23.3,249.0,G
Vauxhall,A5,3195.0,Petrol,16.4,8.9,11.6,17.2,31.7,24.4,14.3,26.4,20.3,278.0,G
Vauxhall,M5,1364.0,Petrol,8.0,5.0,6.1,35.3,56.5,46.3,29.4,47.0,38.6,146.0,C
Vauxhall,M5,1598.0,Petrol,8.6,5.4,6.6,32.8,52.3,42.8,27.3,43.5,35.6,158.0,D
Vauxhall,M5,1598.0,Petrol,8.8,5.6,6.8,32.1,50.4,41.5,26.7,42.0,34.6,163.0,D
Vauxhall,MTA,1598.0,Petrol,8.5,5.3,6.5,33.2,53.3,43.5,27.6,44.4,36.2,156.0,D
Vauxhall,MTA,1598.0,Petrol,8.5,5.0,6.3,33.2,56.5,44.8,27.6,47.0,37.3,151.0,D
Vauxhall,M5,1598.0,Petrol,8.7,5.2,6.5,32.5,54.3,43.5,27.1,45.2,36.2,156.0,D
Vauxhall,M6,1598.0,Petrol,10.3,6.2,7.7,27.4,45.6,36.7,22.8,38.0,30.6,185.0,E
Vauxhall,M5,1686.0,Diesel,6.5,4.3,5.1,43.5,65.7,55.4,36.2,54.7,46.1,138.0,C
Vauxhall,M5,1796.0,Petrol,10.6,6.3,7.9,26.6,44.8,35.8,22.1,37.3,29.8,190.0,F
Vauxhall,M5,1796.0,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,23.7,40.6,32.2,175.0,E
Vauxhall,M5,1796.0,Petrol,10.1,6.0,7.5,28.0,47.1,37.7,23.3,39.2,31.4,180.0,E
Vauxhall,A4,1796.0,Petrol,10.4,6.1,7.7,27.2,46.3,36.7,22.6,38.6,30.6,185.0,E
Vauxhall,A4,1796.0,Petrol,10.6,6.3,7.9,26.6,44.8,35.8,22.1,37.3,29.8,190.0,F
Vauxhall,M6,1910.0,Diesel,7.4,4.9,5.8,38.2,57.6,48.7,31.8,48.0,40.6,157.0,D
Vauxhall,A6,1910.0,Diesel,9.6,5.3,6.9,29.4,53.3,40.9,24.5,44.4,34.1,186.0,F
Vauxhall,M6,1998.0,Petrol,12.8,6.8,9.0,22.1,41.5,31.4,18.4,34.6,26.1,216.0,F
Vauxhall,M6,1998.0,Petrol,13.0,7.0,9.2,21.7,40.4,30.7,18.1,33.6,25.6,221.0,F
Vauxhall,M6,1248.0,Diesel,6.2,4.0,4.8,45.6,70.6,58.9,38.0,58.8,49.0,130.0,C
Vauxhall,M5,1686.0,Diesel,6.4,4.2,5.0,44.1,67.3,56.5,36.7,56.0,47.0,135.0,C
Vauxhall,A4,1796.0,Petrol,10.5,6.2,7.8,26.9,45.6,36.2,22.4,38.0,30.1,187.0,F
Vauxhall,A4,1796.0,Petrol,10.7,6.4,8.0,26.4,44.1,35.3,22.0,36.7,29.4,192.0,F
Vauxhall,A6,1910.0,Diesel,9.7,5.4,7.0,29.1,52.3,40.4,24.2,43.5,33.6,189.0,F
Vauxhall,M6,1998.0,Petrol,13.1,7.1,9.3,21.6,39.8,30.4,18.0,33.1,25.3,223.0,F
Vauxhall,M5,1598.0,Petrol,8.7,5.5,6.7,32.5,51.4,42.2,27.1,42.8,35.1,161.0,D
Vauxhall,MTA,1598.0,Petrol,8.6,5.4,6.6,32.8,52.3,42.8,27.3,43.5,35.6,158.0,D
Vauxhall,MTA,1598.0,Petrol,8.6,5.1,6.4,32.8,55.4,44.1,27.3,46.1,36.7,154.0,D
Vauxhall,M5,1598.0,Petrol,8.8,5.3,6.6,32.1,53.3,42.8,26.7,44.4,35.6,158.0,D
Vauxhall,M5,1796.0,Petrol,10.0,5.9,7.4,28.2,47.9,38.2,23.5,39.9,31.8,178.0,E
Vauxhall,M5,1796.0,Petrol,10.2,6.1,7.6,27.7,46.3,37.2,23.1,38.6,31.0,182.0,E
Vauxhall,M6,1910.0,Diesel,7.5,5.0,5.9,37.7,56.5,47.9,31.4,47.0,39.9,159.0,D
Vauxhall,M6,1998.0,Petrol,12.9,6.9,9.1,21.9,40.9,31.0,18.2,34.1,25.8,218.0,F
Vauxhall,M6,1998.0,Petrol,13.2,7.2,9.4,21.4,39.2,30.1,17.8,32.6,25.1,226.0,G
Vauxhall,M5,1364.0,Petrol,8.0,5.0,6.2,35.3,56.5,45.6,29.4,47.0,38.0,146.0,C
Vauxhall,M5,1598.0,Petrol,8.9,5.4,6.7,31.7,52.3,42.2,26.4,43.5,35.1,161.0,D
Vauxhall,M6,1248.0,Diesel,6.5,4.3,5.1,43.5,65.7,55.4,36.2,54.7,46.1,137.0,C
Vauxhall,M5,1598.0,Petrol,9.0,5.5,6.8,31.4,51.5,41.5,26.1,42.9,34.6,163.0,D
Vauxhall,M6,1910.0,Diesel,7.5,5.0,5.9,37.7,56.6,47.9,31.4,47.1,39.9,159.0,D
Vauxhall,M5,1598.0,Petrol,9.1,5.8,7.0,31.0,48.7,40.4,25.8,40.6,33.6,168.0,E
Vauxhall,M5,1796.0,Petrol,10.3,6.2,7.7,27.4,45.6,36.7,22.8,38.0,30.6,185.0,E
Vauxhall,A4,1796.0,Petrol,10.8,6.5,8.1,26.2,43.5,34.9,21.8,36.2,29.1,194.0,F
Vauxhall,M6,1910.0,Diesel,7.6,5.1,6.0,37.2,55.4,47.1,31.0,46.1,39.2,160.0,D
Vauxhall,M6,1998.0,Petrol,13.3,7.3,9.5,21.2,38.7,29.7,17.7,32.2,24.7,228.0,G
Vauxhall,M5,1598.0,Petrol,9.1,5.6,6.9,31.0,50.4,40.9,25.8,42.0,34.1,166.0,E
Vauxhall,M5,1248.0,Diesel,6.2,4.5,5.1,45.6,62.8,55.4,38.0,52.3,46.1,138.0,C
Vauxhall,M5,1686.0,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,35.6,53.5,45.2,140.0,C
Vauxhall,M5,998.0,Petrol,7.3,4.6,5.6,38.7,61.4,50.4,32.2,51.1,42.0,134.0,C
Vauxhall,M5,1229.0,Petrol,8.0,5.0,6.1,35.3,56.5,46.3,29.4,47.0,38.6,146.0,C
Vauxhall,M5,1229.0,Petrol,7.7,4.7,5.8,36.7,60.1,48.7,30.6,50.0,40.6,139.0,C
Vauxhall,MTA5,1229.0,Petrol,7.6,4.6,5.7,37.2,61.4,49.6,31.0,51.1,41.3,137.0,C
Vauxhall,M5,1248.0,Diesel,5.8,3.9,4.6,48.7,72.4,61.4,40.6,60.3,51.1,124.0,C
Vauxhall,M5,1248.0,Diesel,5.7,3.8,4.5,49.6,74.3,62.8,41.3,61.9,52.3,119.0,B
Vauxhall,M6,1248.0,Diesel,5.9,3.8,4.6,47.9,74.3,61.4,39.9,61.9,51.1,124.0,C
Vauxhall,M5,1364.0,Petrol,8.1,5.1,6.2,34.9,55.4,45.6,29.1,46.1,38.0,149.0,C
Vauxhall,M5,1364.0,Petrol,7.8,4.8,5.9,36.2,58.9,47.9,30.1,49.0,39.9,142.0,C
Vauxhall,A4,1364.0,Petrol,8.8,5.8,6.9,32.1,48.7,40.9,26.7,40.6,34.1,166.0,E
Vauxhall,A4,1364.0,Petrol,8.7,5.7,6.8,32.5,49.6,41.5,27.1,41.3,34.6,163.0,D
Vauxhall,M6,1598.0,Petrol,10.5,6.4,7.9,26.9,44.1,35.8,22.4,36.7,29.8,190.0,F
Vauxhall,M6,1686.0,Diesel,6.2,4.0,4.8,45.6,70.6,58.9,38.0,58.8,49.0,130.0,C
Vauxhall,M6,1686.0,Diesel,6.3,4.1,4.9,44.8,68.9,57.6,37.3,57.4,48.0,132.0,C
Vauxhall,MTA,1229.0,Petrol,7.6,4.6,5.7,37.2,61.4,49.6,31.0,51.1,41.3,137.0,C
Vauxhall,M6,1248.0,Diesel,6.3,4.1,4.9,44.8,68.9,57.6,37.3,57.4,48.0,130.0,C
Vauxhall,M6,1598.0,Petrol,10.5,6.4,7.9,26.9,44.1,35.8,22.4,36.7,29.8,189.0,F
Vauxhall,M5,1248.0,Diesel,6.2,4.3,5.0,45.6,65.7,56.5,38.0,54.7,47.0,135.0,C
Vauxhall,M5,1364.0,Petrol,8.3,5.3,6.4,34.0,53.3,44.1,28.3,44.4,36.7,154.0,D
Vauxhall,M5,1598.0,Petrol,8.8,5.5,6.7,32.1,51.4,42.2,26.7,42.8,35.1,161.0,D
Vauxhall,MTA,1598.0,Petrol,8.9,5.4,6.7,31.7,52.3,42.2,26.4,43.5,35.1,161.0,D
Vauxhall,M6,1598.0,Petrol,10.4,6.3,7.8,27.2,44.8,36.2,22.6,37.3,30.1,187.0,F
Vauxhall,MTA,1796.0,Petrol,10.7,6.1,7.8,26.4,46.3,36.2,22.0,38.6,30.1,187.0,F
Vauxhall,M5,1796.0,Petrol,10.9,6.1,7.9,25.9,46.3,35.8,21.6,38.6,29.8,190.0,F
Vauxhall,M6,2464.0,Diesel,10.6,7.7,8.7,26.6,36.7,32.5,22.1,30.6,27.1,230.0,G
Vauxhall,M5,1796.0,Petrol,10.3,5.9,7.5,27.4,47.9,37.7,22.8,39.9,31.4,180.0,E
Vauxhall,M6,1910.0,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,31.0,48.0,39.9,159.0,D
Vauxhall,M6,1910.0,Diesel,7.7,5.0,6.0,36.7,56.5,47.1,30.6,47.0,39.2,162.0,D
Vauxhall,A6,1910.0,Diesel,9.6,5.5,7.0,29.4,51.4,40.4,24.5,42.8,33.6,189.0,F
Vauxhall,A6,1910.0,Diesel,9.7,5.6,7.1,29.1,50.4,39.8,24.2,42.0,33.1,192.0,F
Vauxhall,M6,1998.0,Petrol,12.8,6.6,8.9,22.1,42.8,31.7,18.4,35.6,26.4,214.0,F
Vauxhall,M6,1998.0,Petrol,12.9,6.7,9.0,21.9,42.2,31.4,18.2,35.1,26.1,216.0,F
Vauxhall,M6,2198.0,Petrol,10.9,6.5,8.1,25.9,43.5,34.9,21.6,36.2,29.1,194.0,F
Vauxhall,M6,2198.0,Petrol,11.0,6.6,8.2,25.7,42.8,34.4,21.4,35.6,28.6,197.0,F
Vauxhall,A5,2198.0,Petrol,11.6,6.4,8.3,24.4,44.1,34.0,20.3,36.7,28.3,199.0,F
Vauxhall,A5,2198.0,Petrol,11.7,6.5,8.4,24.1,43.5,33.6,20.1,36.2,28.0,202.0,F
Vauxhall,M6,2792.0,Petrol,15.7,7.6,10.6,18.0,37.2,26.6,15.0,31.0,22.1,254.0,G
Vauxhall,M6,2792.0,Petrol,15.8,7.7,10.7,17.9,36.7,26.4,14.9,30.6,22.0,257.0,G
Vauxhall,A6,2792.0,Petrol,17.4,7.6,11.2,16.2,37.2,25.2,13.5,31.0,21.0,269.0,G
Vauxhall,M6,2959.0,Diesel,9.9,5.3,7.0,28.5,53.3,40.4,23.7,44.4,33.6,189.0,F
Vauxhall,A6,2959.0,Diesel,10.3,5.4,7.2,27.4,52.3,39.2,22.8,43.5,32.6,194.0,F
Vauxhall,MTA,1364.0,Petrol,8.0,4.9,6.0,35.3,57.6,47.1,29.4,48.0,39.2,144.0,C
Vauxhall,M5,1364.0,Petrol,8.1,5.0,6.1,34.9,56.5,46.3,29.1,47.0,38.6,146.0,C
Vauxhall,M5,1796.0,Petrol,10.9,5.8,7.7,25.9,48.7,36.7,21.6,40.6,30.6,185.0,E
Vauxhall,M5,1796.0,Petrol,10.1,5.5,7.2,28.0,51.4,39.2,23.3,42.8,32.6,173.0,E
Vauxhall,M6,1910.0,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,31.8,50.0,41.3,154.0,D
Vauxhall,A6,1910.0,Diesel,9.4,5.3,6.8,30.1,53.3,41.5,25.1,44.4,34.6,184.0,E
Vauxhall,M6,2198.0,Petrol,10.3,5.9,7.5,27.4,47.9,37.7,22.8,39.9,31.4,180.0,E
Vauxhall,A5,2198.0,Petrol,11.3,6.1,8.0,25.0,46.3,35.3,20.8,38.6,29.4,192.0,F
Vauxhall,M5,1796.0,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,22.6,39.2,31.0,182.0,E
Vauxhall,M6,1910.0,Diesel,7.5,4.8,5.8,37.7,58.9,48.7,31.4,49.0,40.6,157.0,D
Vauxhall,M6,1998.0,Petrol,12.7,6.5,8.8,22.2,43.5,32.1,18.5,36.2,26.7,211.0,F
Vauxhall,M6,2198.0,Petrol,10.6,6.2,7.8,26.6,45.6,36.2,22.1,38.0,30.1,187.0,F
Vauxhall,M6,2198.0,Petrol,10.7,6.3,7.9,26.4,44.8,35.8,22.0,37.3,29.8,190.0,F
Vauxhall,A5,2198.0,Petrol,11.5,6.3,8.2,24.6,44.8,34.4,20.5,37.3,28.6,197.0,F
Vauxhall,M6,2792.0,Petrol,15.5,7.4,10.4,18.2,38.2,27.2,15.2,31.8,22.6,250.0,G
Vauxhall,M6,2792.0,Petrol,15.6,7.5,10.5,18.1,37.7,26.9,15.1,31.4,22.4,252.0,G
Vauxhall,M6,2959.0,Diesel,9.8,5.2,6.9,28.8,54.3,40.9,24.0,45.2,34.1,186.0,F
Vauxhall,M5,1796.0,Petrol,10.2,5.6,7.3,27.7,50.4,38.7,23.1,42.0,32.2,175.0,E
Vauxhall,A6,1910.0,Diesel,9.5,5.4,6.9,29.7,52.3,40.9,24.7,43.5,34.1,186.0,F
Vauxhall,M6,1998.0,Petrol,12.5,6.3,8.6,22.6,44.8,32.8,18.8,37.3,27.3,206.0,F
Vauxhall,M6,1998.0,Petrol,12.6,6.4,8.7,22.4,44.1,32.5,18.7,36.7,27.1,209.0,F
Vauxhall,M6,2198.0,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,22.6,39.2,31.0,182.0,E
Vauxhall,A5,2198.0,Petrol,11.4,6.2,8.1,24.8,45.6,34.9,20.7,38.0,29.1,194.0,F
Vauxhall,M6,2792.0,Petrol,15.4,7.3,10.3,18.3,38.7,27.4,15.2,32.2,22.8,247.0,G
Vauxhall,A6,2792.0,Petrol,17.1,7.3,10.9,16.5,38.7,25.9,13.7,32.2,21.6,262.0,G
Vauxhall,A6,2959.0,Diesel,10.2,5.3,7.1,27.7,53.3,39.8,23.1,44.4,33.1,192.0,F
Vauxhall,A6,2792.0,Petrol,17.2,7.4,11.0,16.4,38.2,25.7,13.7,31.8,21.4,264.0,G
Vauxhall,M6,1995.0,Diesel,10.2,7.4,8.4,27.7,38.2,33.6,23.1,31.8,28.0,224.0,F
Vauxhall,M5,1598.0,Petrol,9.4,6.1,7.3,30.1,46.3,38.7,25.1,38.6,32.2,175.0,E
Vauxhall,M5,1796.0,Petrol,10.3,6.4,7.8,27.4,44.1,36.2,22.8,36.7,30.1,187.0,F
Vauxhall,MTA,1796.0,Petrol,10.1,6.2,7.6,28.0,45.6,37.2,23.3,38.0,31.0,182.0,E
Vauxhall,M6,1910.0,Diesel,7.6,5.1,6.0,37.2,55.4,47.1,31.0,46.1,39.2,162.0,D
Vauxhall,A6,1910.0,Diesel,9.8,5.7,7.2,28.8,49.6,39.2,24.0,41.3,32.6,194.0,F
Vauxhall,M6,1910.0,Diesel,7.7,5.2,6.1,36.7,54.3,46.3,30.6,45.2,38.6,165.0,D
Vauxhall,M6,1998.0,Petrol,13.4,7.4,9.6,21.1,38.2,29.4,17.6,31.8,24.5,230.0,G
Vauxhall,M6,2198.0,Petrol,11.3,6.4,8.2,25.0,44.1,34.4,20.8,36.7,28.6,197.0,F
Vauxhall,A4,2198.0,Petrol,11.6,6.7,8.5,24.4,42.2,33.2,20.3,35.1,27.6,204.0,F
Vauxhall,M5,1598.0,Petrol,9.5,6.0,7.3,29.7,47.1,38.7,24.7,39.2,32.2,175.0,E
Volkswagen,M5,1198.0,Petrol,7.6,5.2,6.1,37.2,54.3,46.3,31.0,45.2,38.6,144.0,C
Volkswagen,M5,1390.0,Petrol,8.7,5.6,6.7,32.5,50.4,42.2,27.1,42.0,35.1,159.0,D
Volkswagen,M5,1198.0,Petrol,7.6,4.8,5.8,37.2,58.9,48.7,31.0,49.0,40.6,138.0,C
Volkswagen,M5,1198.0,Petrol,7.7,5.0,6.0,36.7,56.5,47.1,30.6,47.0,39.2,142.0,C
Volkswagen,M5,1390.0,Petrol,8.3,5.2,6.3,34.0,54.3,44.8,28.3,45.2,37.3,150.0,C
Volkswagen,M5,1390.0,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,27.3,42.8,35.6,157.0,D
Volkswagen,A6,1390.0,Petrol,9.7,5.3,6.9,29.1,53.3,40.9,24.2,44.4,34.1,165.0,D
Volkswagen,M6,1390.0,Petrol,8.2,5.2,6.3,34.4,54.3,44.8,28.6,45.2,37.3,149.0,C
Volkswagen,M5,1598.0,Petrol,9.5,5.1,6.7,29.7,5.4,42.2,24.7,4.5,35.1,159.0,D
Volkswagen,M5,1781.0,Petrol,10.8,6.1,7.8,26.2,46.3,36.2,21.8,38.6,30.1,186.0,F
Volkswagen,M5,1422.0,Diesel,5.7,3.9,4.5,49.6,72.4,62.8,41.3,60.3,52.3,119.0,B
Volkswagen,M5,1422.0,Diesel,5.9,4.3,4.9,47.9,65.7,57.6,39.9,54.7,48.0,129.0,C
Volkswagen,M5,1422.0,Diesel,5.5,3.9,4.5,51.4,72.4,62.8,42.8,60.3,52.3,119.0,B
Volkswagen,M5,1422.0,Diesel,4.9,3.2,3.8,57.6,88.3,74.3,48.0,73.5,61.9,99.0,A
Volkswagen,M5,1422.0,Diesel,5.1,3.4,4.0,55.4,83.1,70.6,46.1,69.2,58.8,104.0,B
Volkswagen,M5,1896.0,Diesel,6.3,3.9,4.8,44.8,72.4,58.9,37.3,60.3,49.0,127.0,C
Volkswagen,M5,1390.0,Petrol,9.4,5.5,6.9,30.1,51.4,40.9,25.1,42.8,34.1,164.0,D
Volkswagen,M6,1390.0,Petrol,9.5,5.7,7.1,29.7,49.6,39.8,24.7,41.3,33.1,169.0,E
Volkswagen,D6,1390.0,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,24.2,42.0,33.1,169.0,E
Volkswagen,M6,1390.0,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,23.7,40.6,32.2,174.0,E
Volkswagen,D6,1390.0,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,23.7,40.6,32.2,174.0,E
Volkswagen,M6,1984.0,Petrol,11.0,6.2,8.0,25.7,45.6,35.3,21.4,38.0,29.4,189.0,F
Volkswagen,D6,1984.0,Petrol,10.7,6.2,7.9,26.4,45.6,35.8,22.0,38.0,29.8,188.0,F
Volkswagen,M6,1984.0,Petrol,11.3,6.3,8.2,25.0,44.8,34.4,20.8,37.3,28.6,194.0,F
Volkswagen,QM6,3189.0,Petrol,14.9,8.3,10.7,19.0,34.0,26.4,15.8,28.3,22.0,255.0,G
Volkswagen,D6,3189.0,Petrol,13.1,7.7,9.7,21.6,36.7,29.1,18.0,30.6,24.2,231.0,G
Volkswagen,M5,1896.0,Diesel,6.5,4.3,5.0,43.5,65.7,56.5,36.2,54.7,47.0,132.0,C
Volkswagen,M6,1896.0,Diesel,6.8,4.6,5.4,41.5,61.4,52.3,34.6,51.1,43.5,143.0,C
Volkswagen,D6,1896.0,Diesel,7.5,4.8,5.8,37.7,58.9,48.7,31.4,49.0,40.6,153.0,D
Volkswagen,M5,1896.0,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,40.6,61.9,52.3,119.0,B
Volkswagen,M5,1968.0,Diesel,6.8,4.7,5.4,41.5,60.1,52.3,34.6,50.0,43.5,143.0,C
Volkswagen,M6,1968.0,Diesel,6.9,4.7,5.5,40.9,60.1,51.4,34.1,50.0,42.8,145.0,C
Volkswagen,D6,1968.0,Diesel,7.9,4.9,6.0,35.8,57.6,47.1,29.8,48.0,39.2,159.0,D
Volkswagen,M6,1968.0,Diesel,7.8,4.8,5.9,36.2,58.9,47.9,30.1,49.0,39.9,156.0,D
Volkswagen,D6,1968.0,Diesel,8.1,5.4,6.4,34.9,52.3,44.1,29.1,43.5,36.7,169.0,E
Volkswagen,M5,1390.0,Petrol,9.6,5.7,7.1,29.4,49.6,39.8,24.5,41.3,33.1,169.0,E
Volkswagen,M6,1390.0,Petrol,9.6,5.9,7.2,29.4,47.9,39.2,24.5,39.9,32.6,172.0,E
Volkswagen,D6,1390.0,Petrol,9.8,5.7,7.2,28.8,49.6,39.2,24.0,41.3,32.6,172.0,E
Volkswagen,M6,1598.0,Petrol,9.3,5.9,7.1,30.4,47.9,39.8,25.3,39.9,33.1,169.0,E
Volkswagen,A6,1598.0,Petrol,10.6,6.4,8.0,26.6,44.1,35.3,22.1,36.7,29.4,192.0,F
Volkswagen,M5,1896.0,Diesel,7.0,4.7,5.5,40.4,60.1,51.4,33.6,50.0,42.8,144.0,C
Volkswagen,M5,1896.0,Diesel,6.9,4.6,5.4,40.9,61.4,52.3,34.1,51.1,43.5,146.0,C
Volkswagen,M5,1896.0,Diesel,7.1,4.8,5.6,39.8,58.9,50.4,33.1,49.0,42.0,148.0,C
Volkswagen,D6,1896.0,Diesel,7.7,5.1,6.0,36.7,55.4,47.1,30.6,46.1,39.2,159.0,D
Volkswagen,D6,1896.0,Diesel,8.0,5.2,6.2,35.3,54.3,45.6,29.4,45.2,38.0,164.0,D
Volkswagen,D7,1896.0,Diesel,6.7,4.9,5.5,42.2,57.6,51.4,35.1,48.0,42.8,144.0,C
