County,Obama%,Obama#,McCain%,McCain#,Others%,Others#
Dooly,51.4%,2138.0,47.8%,1991.0,0.8%,32.0
Dougherty,67.2%,26135.0,32.3%,12547.0,0.5%,204.0
Douglas,50.4%,27825.0,48.6%,26812.0,1.0%,560.0
Early,48.7%,2603.0,50.7%,2711.0,0.5%,29.0
Echols,16.9%,201.0,82.6%,981.0,0.5%,6.0
Effingham,24.3%,4936.0,74.9%,15230.0,0.9%,175.0
Elbert,40.4%,3366.0,58.4%,4868.0,1.2%,98.0
Emanuel,37.2%,3068.0,61.9%,5110.0,0.9%,74.0
Evans,35.6%,1374.0,63.8%,2462.0,0.5%,20.0
Fannin,24.5%,2611.0,73.4%,7807.0,2.1%,225.0
Fayette,34.2%,20313.0,64.8%,38501.0,1.1%,627.0
Floyd,31.1%,10691.0,67.4%,23132.0,1.5%,499.0
Forsyth,20.4%,15406.0,78.4%,59166.0,1.2%,931.0
Franklin,23.6%,1914.0,74.9%,6069.0,1.5%,120.0
Fulton,67.1%,272000.0,32.1%,130136.0,0.9%,3489.0
Gilmer,23.4%,2614.0,75.2%,8408.0,1.5%,164.0
Glascock,14.7%,210.0,84.2%,1202.0,1.1%,16.0
Glynn,37.9%,12676.0,61.3%,20479.0,0.7%,248.0
Gordon,24.2%,4268.0,74.3%,13113.0,1.6%,274.0
Grady,37.8%,3539.0,61.6%,5775.0,0.6%,57.0
Greene,42.2%,3339.0,57.2%,4532.0,0.6%,50.0
Gwinnett,44.3%,129025.0,54.6%,158746.0,1.1%,3167.0
Habersham,19.5%,2900.0,79.2%,11766.0,1.3%,193.0
Hall,24.0%,14457.0,74.8%,44962.0,1.2%,711.0
Hancock,81.3%,3535.0,18.3%,795.0,0.4%,18.0
Haralson,20.2%,2248.0,77.8%,8658.0,2.0%,224.0
Harris,28.0%,4184.0,71.2%,10648.0,0.8%,113.0
Hart,33.6%,3365.0,65.2%,6537.0,1.2%,122.0
Heard,24.6%,1042.0,74.0%,3133.0,1.3%,56.0
Henry,45.8%,40527.0,53.3%,47115.0,0.9%,762.0
Houston,39.4%,22094.0,59.6%,33392.0,1.0%,548.0
Irwin,31.2%,1197.0,67.8%,2605.0,1.0%,38.0
Jackson,21.5%,4950.0,77.2%,17776.0,1.3%,290.0
Jasper,32.7%,1935.0,66.2%,3916.0,1.0%,60.0
Jeff Davis,25.7%,1356.0,73.2%,3867.0,1.2%,63.0
Jefferson,57.3%,4149.0,42.3%,3061.0,0.3%,25.0
Jenkins,43.1%,1482.0,56.2%,1936.0,0.7%,24.0
Johnson,32.8%,1198.0,66.5%,2426.0,0.7%,26.0
Jones,36.7%,4572.0,62.5%,7782.0,0.9%,106.0
Lamar,35.7%,2752.0,63.2%,4873.0,1.0%,80.0
Lanier,36.9%,1062.0,62.0%,1787.0,1.1%,31.0
Laurens,38.9%,7769.0,60.4%,12052.0,0.7%,142.0
Lee,23.6%,3100.0,75.7%,9925.0,0.7%,87.0
Liberty,63.9%,10474.0,35.5%,5828.0,0.6%,98.0
Lincoln,37.3%,1650.0,61.7%,2731.0,1.0%,43.0
Long,37.2%,1288.0,61.2%,2119.0,1.5%,53.0
Lowndes,44.8%,17651.0,54.0%,21296.0,1.2%,465.0
Lumpkin,23.3%,2586.0,75.0%,8326.0,1.8%,196.0
McDuffie,42.2%,3989.0,57.1%,5400.0,0.7%,66.0
McIntosh,46.6%,2905.0,52.6%,3282.0,0.8%,49.0
Macon,65.2%,3251.0,34.3%,1712.0,0.4%,21.0
Madison,26.1%,2965.0,72.4%,8226.0,1.5%,174.0
Marion,43.3%,1381.0,55.6%,1772.0,1.1%,35.0
Meriwether,46.9%,4465.0,52.3%,4982.0,0.7%,71.0
Miller,29.9%,818.0,69.3%,1899.0,0.8%,23.0
Mitchell,47.6%,3872.0,51.7%,4201.0,0.7%,59.0
Monroe,33.8%,4106.0,65.3%,7933.0,0.9%,108.0
Montgomery,29.1%,1045.0,70.2%,2521.0,0.8%,27.0
Morgan,33.7%,3091.0,65.3%,5987.0,0.9%,87.0
Murray,26.4%,3026.0,71.5%,8180.0,2.1%,241.0
Muscogee,59.5%,44158.0,39.9%,29568.0,0.6%,436.0
Newton,50.2%,20827.0,49.0%,20337.0,0.8%,318.0
Oconee,28.1%,4825.0,70.6%,12120.0,1.3%,229.0
Oglethorpe,34.5%,2232.0,64.1%,4144.0,1.3%,87.0
Paulding,30.2%,17229.0,68.7%,39192.0,1.1%,655.0
Peach,52.9%,5927.0,46.2%,5173.0,0.9%,96.0
Pickens,20.3%,2595.0,78.1%,10004.0,1.7%,214.0
Pierce,18.4%,1253.0,80.9%,5500.0,0.6%,44.0
Pike,19.2%,1575.0,79.6%,6547.0,1.2%,99.0
Polk,28.6%,4052.0,69.6%,9850.0,1.8%,251.0
Pulaski,34.8%,1377.0,64.4%,2553.0,0.8%,32.0
Putnam,33.9%,3102.0,65.3%,5966.0,0.8%,71.0
Quitman,53.5%,597.0,45.6%,509.0,0.9%,10.0
Rabun,26.2%,2001.0,71.9%,5487.0,1.9%,145.0
Randolph,57.0%,1833.0,42.6%,1370.0,0.4%,14.0
Richmond,65.6%,52100.0,33.8%,26842.0,0.6%,480.0
Rockdale,54.3%,20526.0,44.8%,16921.0,0.9%,337.0
Schley,27.5%,479.0,72.0%,1252.0,0.5%,8.0
Screven,46.6%,3024.0,52.8%,3423.0,0.6%,40.0
Seminole,41.4%,1660.0,57.8%,2315.0,0.8%,32.0
Spalding,40.1%,10141.0,58.8%,14885.0,1.1%,269.0
Stephens,25.6%,2705.0,72.9%,7689.0,1.5%,158.0
Stewart,61.9%,1305.0,37.1%,783.0,1.0%,21.0
Sumter,52.7%,6454.0,46.7%,5717.0,0.7%,84.0
Talbot,64.0%,2369.0,35.2%,1301.0,0.8%,31.0
Taliaferro,64.9%,643.0,34.2%,339.0,0.8%,8.0
Tattnall,28.7%,1932.0,70.3%,4730.0,1.0%,64.0
Taylor,42.8%,1536.0,56.3%,2021.0,0.8%,30.0
Telfair,42.6%,1862.0,56.8%,2486.0,0.6%,28.0
Terrell,56.6%,2501.0,42.8%,1890.0,0.7%,30.0
Thomas,41.7%,7720.0,57.5%,10642.0,0.7%,132.0
Tift,33.3%,4749.0,66.1%,9431.0,0.6%,89.0
Toombs,30.5%,2964.0,68.6%,6658.0,0.8%,82.0
Towns,24.1%,1391.0,74.5%,4292.0,1.4%,81.0
Treutlen,37.5%,1112.0,61.6%,1826.0,0.8%,24.0
Troup,40.1%,10455.0,59.0%,15391.0,0.9%,222.0
Turner,40.1%,1427.0,58.9%,2096.0,0.9%,33.0
Twiggs,53.1%,2402.0,46.2%,2087.0,0.7%,33.0
Union,23.3%,2486.0,75.0%,8013.0,1.8%,191.0
Upson,35.5%,4061.0,63.8%,7291.0,0.7%,82.0
Walker,25.8%,6095.0,72.3%,17110.0,1.9%,449.0
Walton,23.5%,8469.0,75.5%,27253.0,1.0%,357.0
Ware,32.4%,4034.0,66.8%,8311.0,0.7%,91.0
Warren,58.4%,1554.0,40.8%,1087.0,0.8%,21.0
Washington,51.9%,4607.0,47.5%,4216.0,0.6%,55.0
Wayne,27.0%,2858.0,71.9%,7601.0,1.1%,116.0
Webster,46.4%,515.0,52.9%,588.0,0.7%,8.0
Wheeler,35.9%,794.0,63.6%,1408.0,0.5%,12.0
White,20.1%,2174.0,78.4%,8467.0,1.5%,158.0
Whitfield,29.4%,8167.0,69.2%,19230.0,1.4%,394.0
Wilcox,30.9%,978.0,68.2%,2159.0,0.9%,27.0
Wilkes,45.8%,2315.0,53.5%,2705.0,0.8%,40.0
Wilkinson,49.1%,2298.0,50.2%,2349.0,0.7%,31.0
