Draft,Round,Pick,Player,Nationality
1991.0,1,1.0,Eric Lindros Category:Articles with hCards,Canada
1991.0,2,24.0,Rene Corbet Category:Articles with hCards,Canada
1991.0,3,46.0,Rich Brennan Category:Articles with hCards,United States
1991.0,4,68.0,Dave Karpa Category:Articles with hCards,Canada
1991.0,5,90.0,Patrick Labrecque Category:Articles with hCards,Canada
1991.0,5,103.0,Bill Lindsay Category:Articles with hCards,Canada
1991.0,7,134.0,Mikael Johansson Category:Articles with hCards,Sweden
1991.0,8,156.0,Janne Laukkanen Category:Articles with hCards,Finland
1991.0,8,157.0,Aaron Asp Category:Articles with hCards,Canada
1991.0,9,178.0,Adam Bartell Category:Articles with hCards,United States
1991.0,9,188.0,Brent Brekke Category:Articles with hCards,United States
1991.0,10,200.0,Paul Koch Category:Articles with hCards,United States
1991.0,11,222.0,Doug Friedman Category:Articles with hCards,United States
1991.0,12,244.0,Eric Meloche Category:Articles with hCards,Canada
1991.0,S,2.0,Dave Trombley Category:Articles with hCards,United States
1991.0,S,8.0,Chris Hynnes Category:Articles with hCards,Canada
1992.0,1,4.0,Todd Warriner Category:Articles with hCards,Canada
1992.0,2,28.0,Paul Brousseau Category:Articles with hCards,Canada
1992.0,2,29.0,Tuomas Grönman Category:Articles with hCards,Finland
1992.0,3,52.0,Manny Fernandez Category:Articles with hCards,Canada
1992.0,4,76.0,Ian McIntyre Category:Articles with hCards,Canada
1992.0,5,100.0,Charles Wasley Category:Articles with hCards,United States
1992.0,6,124.0,Paxton Schulte Category:Articles with hCards,Canada
1992.0,7,148.0,Martin LePage Category:Articles with hCards,Canada
1992.0,8,172.0,Mike Jickling Category:Articles with hCards,Canada
1992.0,9,196.0,Steve Passmore Category:Articles with hCards,Canada
1992.0,10,220.0,Anson Carter Category:Articles with hCards,Canada
1992.0,11,244.0,Aaron Ellis Category:Articles with hCards,United States
1992.0,S,4.0,Richard Shulmistra Category:Articles with hCards,Canada
1993.0,1,10.0,Jocelyn Thibault Category:Articles with hCards,Canada
1993.0,1,14.0,Adam Deadmarsh Category:Articles with hCards,United States
1993.0,2,49.0,Ashley Buckberger Category:Articles with hCards,Canada
1993.0,3,75.0,Billy Pierce Category:Articles with hCards,United States
1993.0,4,101.0,Ryan Tocher Category:Articles with hCards,Canada
1993.0,5,127.0,Anders Myrvold Category:Articles with hCards,Norway
1993.0,6,137.0,Nick Checco Category:Articles with hCards,United States
1993.0,6,153.0,Christian Matte Category:Articles with hCards,Canada
1993.0,7,179.0,David Ling Category:Articles with hCards,Canada
1993.0,8,205.0,Petr Franěk Category:Articles with hCards,Czech
1993.0,9,231.0,Vincent Auger Category:Articles with hCards,Canada
1993.0,10,257.0,Mark Pivetz Category:Articles with hCards,Canada
1993.0,11,283.0,John Hillman Category:Articles with hCards,United States
1994.0,1,12.0,Wade Belak Category:Articles with hCards,Canada
1994.0,1,22.0,Jeff Kealty Category:Articles with hCards,United States
1994.0,2,35.0,Josef Marha Category:Articles with hCards,Czech
1994.0,3,61.0,Sebastien Bety Category:Articles with hCards,Canada
1994.0,3,72.0,Chris Drury Category:Articles with hCards,United States
1994.0,4,87.0,Milan Hejduk Category:Articles with hCards,Czech
1994.0,5,113.0,Tony Tuzzolino Category:Articles with hCards,United States
1994.0,6,139.0,Nicholas Windsor Category:Articles with hCards,United States
1994.0,7,165.0,Calvin Elfring Category:Articles with hCards,Canada
1994.0,8,191.0,Jay Bertsch Category:Articles with hCards,Canada
1994.0,9,217.0,Tim Thomas Category:Articles with hCards,United States
1994.0,10,243.0,Chris Pittman Category:Articles with hCards,Canada
1994.0,11,285.0,Steven Low Category:Articles with hCards,Canada
1994.0,S,9.0,Reid Simonton Category:Articles with hCards,Canada
