Rank,Family,Abbre­viation,Constellation,Area (sq.deg.),Area (msr),Per­cent­age,Right ascension (hm),Decli­nation (dm),Quad
27.0,Per,Cep,Cepheus,587.787,179.05,1.42%,232.64,+7100.51,NQ4
28.0,Urs,Lyn,Lynx,545.386,166.134,1.32%,759.53,+4728.00,NQ2
29.0,Zod,Lib,Libra,538.052,163.9,1.30%,1511.96,−1514.08,SQ3
30.0,Zod,Gem,Gemini,513.761,156.501,1.25%,704.24,+2236.01,NQ2
31.0,Zod,Cnc,Cancer,505.872,154.097,1.23%,838.96,+1948.35,NQ2
32.0,Wat,Vel,Vela,499.649,152.202,1.21%,934.64,−4710.03,SQ2
33.0,Zod,Sco,Scorpius,496.783,151.329,1.20%,1653.24,−2701.89,SQ3
34.0,Wat,Car,Carina,494.184,150.537,1.20%,841.7,−6313.16,SQ2
35.0,Ori,Mon,Monoceros,481.569,146.694,1.17%,703.63,+0016.93,NQ2
36.0,Lac,Scl,Sculptor,474.764,144.621,1.15%,26.28,−3205.30,SQ1
37.0,Bay,Phe,Phoenix,469.319,142.963,1.14%,55.91,−4834.84,SQ1
38.0,Urs,CVn,Canes Venatici,465.194,141.706,1.13%,1306.96,+4006.11,NQ3
39.0,Zod,Ari,Aries,441.395,134.457,1.07%,238.16,+2047.54,NQ1
40.0,Zod,Cap,Capricornus,413.947,126.095,1.00%,2102.93,−1801.39,SQ4
41.0,Lac,For,Fornax,397.502,121.086,0.96%,247.88,−3138.07,SQ1
42.0,Urs,Com,Coma Berenices,386.475,117.727,0.94%,1247.27,+2318.34,NQ3
43.0,Ori,CMa,Canis Major,380.118,115.791,0.92%,649.74,−2208.42,SQ2
44.0,Bay,Pav,Pavo,377.666,115.044,0.92%,1936.71,−6546.89,SQ4
45.0,Bay,Gru,Grus,365.513,111.342,0.89%,2227.39,−4621.11,SQ4
46.0,Her,Lup,Lupus,333.683,101.646,0.81%,1513.21,−4242.53,SQ3
47.0,Her,Sex,Sextans,313.515,95.502,0.76%,1016.29,−0236.88,SQ2
48.0,Bay,Tuc,Tucana,294.557,89.727,0.71%,2346.64,−6549.80,SQ4
49.0,Bay,Ind,Indus,294.006,89.559,0.71%,2158.33,−5942.40,SQ4
50.0,Lac,Oct,Octans,291.045,88.657,0.71%,2300.0,−8209.12,SQ4
51.0,Ori,Lep,Lepus,290.291,88.428,0.70%,533.95,−1902.78,SQ1
52.0,Her,Lyr,Lyra,286.476,87.266,0.69%,1851.17,+3641.36,NQ4
53.0,Her,Crt,Crater,282.398,86.023,0.68%,1123.75,−1555.74,SQ2
54.0,Wat,Col,Columba,270.184,82.303,0.65%,551.76,−3505.67,SQ1
55.0,Her,Vul,Vulpecula,268.165,81.688,0.65%,2013.88,+2426.56,NQ4
56.0,Urs,UMi,Ursa Minor,255.864,77.941,0.62%,1500.0,+7741.99,NQ3
57.0,Lac,Tel,Telescopium,251.512,76.615,0.61%,1919.54,−5102.21,SQ4
58.0,Lac,Hor,Horologium,248.885,75.815,0.60%,316.56,−5320.18,SQ1
59.0,Lac,Pic,Pictor,246.739,75.161,0.60%,542.46,−5328.45,SQ1
60.0,Wat,PsA,Piscis Austrinus,245.375,74.745,0.59%,2217.07,−3038.53,SQ4
61.0,Bay,Hyi,Hydrus,243.035,74.033,0.59%,220.65,−6957.39,SQ1
62.0,Lac,Ant,Antlia,238.901,72.773,0.58%,1016.43,−3229.01,SQ2
63.0,Her,Ara,Ara,237.057,72.212,0.57%,1722.49,−5635.30,SQ3
64.0,Urs,LMi,Leo Minor,231.956,70.658,0.56%,1014.72,+3208.08,NQ2
65.0,Wat,Pyx,Pyxis,220.833,67.27,0.54%,857.16,−2721.10,SQ2
66.0,Lac,Mic,Microscopium,209.513,63.821,0.51%,2057.88,−3616.49,SQ4
67.0,Bay,Aps,Apus,206.327,62.851,0.50%,1608.65,−7518.00,SQ3
68.0,Per,Lac,Lacerta,200.688,61.133,0.49%,2227.68,+4602.51,NQ4
69.0,Wat,Del,Delphinus,188.549,57.435,0.46%,2041.61,+1140.26,NQ4
70.0,Her,Crv,Corvus,183.801,55.989,0.45%,1226.52,−1826.20,SQ3
71.0,Ori,CMi,Canis Minor,183.367,55.857,0.44%,739.17,+0625.63,NQ2
72.0,Bay,Dor,Dorado,179.173,54.579,0.43%,514.51,−5923.22,SQ1
73.0,Urs,CrB,Corona Borealis,178.71,54.438,0.43%,1550.59,+3237.49,NQ3
74.0,Lac,Nor,Norma,165.29,50.35,0.40%,1554.18,−5121.09,SQ3
75.0,Lac,Men,Mensa,153.484,46.754,0.37%,524.9,−7730.24,SQ1
76.0,Bay,Vol,Volans,141.354,43.059,0.34%,747.73,−6948.07,SQ2
77.0,Bay,Mus,Musca,138.355,42.145,0.34%,1235.28,−7009.66,SQ3
78.0,Per,Tri,Triangulum,131.847,40.163,0.32%,211.07,+3128.56,NQ1
79.0,Bay,Cha,Chamaeleon,131.592,40.085,0.32%,1041.53,−7912.30,SQ2
80.0,Her,CrA,Corona Australis,127.696,38.898,0.31%,1838.79,−4108.85,SQ4
81.0,Lac,Cae,Caelum,124.865,38.036,0.30%,442.27,−3752.90,SQ1
82.0,Lac,Ret,Reticulum,113.936,34.707,0.28%,355.27,−5959.85,SQ1
83.0,Her,TrA,Triangulum Australe,109.978,33.501,0.27%,1604.95,−6523.28,SQ3
84.0,Her,Sct,Scutum,109.114,33.238,0.26%,1840.39,−0953.32,SQ4
85.0,Lac,Cir,Circinus,93.353,28.437,0.23%,1434.54,−6301.82,SQ3
86.0,Her,Sge,Sagitta,79.932,24.349,0.19%,1939.05,+1851.68,NQ4
87.0,Wat,Equ,Equuleus,71.641,21.823,0.17%,2111.26,+0745.49,NQ4
88.0,Her,Cru,Crux,68.447,20.85,0.17%,1226.99,−6011.19,SQ3
