Townland,Area( acres ),Barony,Civil parish,Poor law union
Baurgorm,613.0,West Carbery (W.D.),Kilmocomoge,Bantry
Bawnaknockane,297.0,West Carbery (W.D.),Skull,Skull
Bawnboy,257.0,West Carbery (W.D.),Caheragh,Skibbereen
Bawnishal,365.0,West Carbery (W.D.),Caheragh,Skibbereen
Bawnshanaclogh,194.0,West Carbery (W.D.),Skull,Skull
Beakeen,99.0,West Carbery (W.D.),Skull,Skull
Bird Island,2.0,West Carbery (W.D.),Kilmoe,Skull
Boleagh,252.0,West Carbery (W.D.),Kilcoe,Skull
Boulysallagh,252.0,West Carbery (W.D.),Kilmoe,Skull
Brahalish,782.0,West Carbery (W.D.),Durrus,Bantry
Bunalunn,435.0,West Carbery (W.D.),Caheragh,Skibbereen
Caher,253.0,West Carbery (W.D.),Kilcrohane,Bantry
Caher,465.0,West Carbery (W.D.),Kilmoe,Skull
Caheragh,664.0,West Carbery (W.D.),Caheragh,Skibbereen
Caheravirane,137.0,West Carbery (W.D.),Skull,Skull
Cahergal,121.0,West Carbery (W.D.),Kilcrohane,Bantry
Caherlusky,153.0,West Carbery (W.D.),Skull,Skull
Caher-mountain,221.0,West Carbery (W.D.),Kilcrohane,Bantry
Caherogullane,292.0,West Carbery (W.D.),Kilmocomoge,Bantry
Caherolickane,240.0,West Carbery (W.D.),Skull,Skull
Caherurlagh,30.0,West Carbery (W.D.),Kilcrohane,Bantry
Caherurlagh Mountain North,27.0,West Carbery (W.D.),Kilcrohane,Bantry
Caherurlagh Mountain South,23.0,West Carbery (W.D.),Kilcrohane,Bantry
Calf Island West,62.0,West Carbery (W.D.),Skull,Skull
Callaros Eighter,169.0,West Carbery (W.D.),Kilmoe,Skull
Callaros Oughter,500.0,West Carbery (W.D.),Kilmoe,Skull
Cannawee,113.0,West Carbery (W.D.),Kilmoe,Skull
Cappagh Beg,474.0,West Carbery (W.D.),Skull,Skull
Cappagh More,382.0,West Carbery (W.D.),Skull,Skull
Cappaghglass,426.0,West Carbery (W.D.),Skull,Skull
Cappaghnacallee,228.0,West Carbery (W.D.),Skull,Skull
Carbery Island,26.0,West Carbery (W.D.),Skull,Skull
Carravilleen,242.0,West Carbery (W.D.),Kilcrohane,Bantry
Carrig,97.0,West Carbery (W.D.),Caheragh,Skibbereen
Carrigacat & Milleen,838.0,West Carbery (W.D.),Kilmoe,Skull
Carrigacurriheen,234.0,West Carbery (W.D.),Kilmoe,Skull
Carrigboy,116.0,West Carbery (W.D.),Durrus,Bantry
Carrigeengour,132.0,West Carbery (W.D.),Kilmoe,Skull
Carrigmanus,78.0,West Carbery (W.D.),Kilmoe,Skull
Carthy's Island,7.0,West Carbery (W.D.),Skull,Skull
Cashelfean,1005.0,West Carbery (W.D.),Skull,Skull
Castle Island,121.0,West Carbery (W.D.),Skull,Skull
Castlemehigan,118.0,West Carbery (W.D.),Kilmoe,Skull
Castlepoint,85.0,West Carbery (W.D.),Skull,Skull
Clash,96.0,West Carbery (W.D.),Kilcrohane,Bantry
Clashadoo,746.0,West Carbery (W.D.),Durrus,Bantry
Clashmore,228.0,West Carbery (W.D.),Skull,Skull
Cloghanaculleen,629.0,West Carbery (W.D.),Kilmoe,Skull
Cloghanalehid,113.0,West Carbery (W.D.),Kilmoe,Skull
Cloghane,392.0,West Carbery (W.D.),Kilmoe,Skull
Cloghane Beg,134.0,West Carbery (W.D.),Caheragh,Skibbereen
Cloghane More,132.0,West Carbery (W.D.),Caheragh,Skibbereen
Clogher,33.0,West Carbery (W.D.),Kilmoe,Skull
Clooncugger,758.0,West Carbery (W.D.),Caheragh,Skibbereen
Cloonee,296.0,West Carbery (W.D.),Kilmocomoge,Bantry
Cloonee,467.0,West Carbery (W.D.),Durrus,Bantry
Coarliss,291.0,West Carbery (W.D.),Caheragh,Skibbereen
Colla,206.0,West Carbery (W.D.),Skull,Skull
Coney Island,6.0,West Carbery (W.D.),Skull,Skull
Coolagh Beg,161.0,West Carbery (W.D.),Skull,Skull
Coolagh More,245.0,West Carbery (W.D.),Skull,Skull
Coolbane,520.0,West Carbery (W.D.),Caheragh,Skibbereen
Coolboy,522.0,West Carbery (W.D.),Caheragh,Skibbereen
Coolcaha,257.0,West Carbery (W.D.),Skull,Skull
Coolcoulaghta,1145.0,West Carbery (W.D.),Durrus,Bantry
Coolnaclehy,285.0,West Carbery (W.D.),Caheragh,Skibbereen
Coolnagarrane,285.0,West Carbery (W.D.),Abbeystrowry,Skibbereen
Coomfarna,284.0,West Carbery (W.D.),Skull,Skull
Coomkeen,914.0,West Carbery (W.D.),Durrus,Bantry
Cooradarrigan,283.0,West Carbery (W.D.),Skull,Skull
Cooradowney,163.0,West Carbery (W.D.),Caheragh,Skibbereen
Cooragannive,347.0,West Carbery (W.D.),Caheragh,Skibbereen
Cooragurteen,291.0,West Carbery (W.D.),Skull,Skull
Cooranuller,729.0,West Carbery (W.D.),Inchigeelagh,Skibbereen
Coorlacka,309.0,West Carbery (W.D.),Kilmoe,Skull
Coosane,270.0,West Carbery (W.D.),Skull,Skull
Cooscroneen,121.0,West Carbery (W.D.),Myross,Skibbereen
Coosheen,329.0,West Carbery (W.D.),Skull,Skull
Corran Beg,162.0,West Carbery (W.D.),Kilmoe,Skull
Corran More,172.0,West Carbery (W.D.),Kilmoe,Skull
Corravoley,341.0,West Carbery (W.D.),Kilcoe,Skull
Cove,283.0,West Carbery (W.D.),Skull,Skull
Croagh,167.0,West Carbery (W.D.),Skull,Skull
Crookhaven,252.0,West Carbery (W.D.),Kilmoe,Skull
Crottees,489.0,West Carbery (W.D.),Durrus,Bantry
Cullomane East,755.0,West Carbery (W.D.),Caheragh,Skibbereen
Cullomane West,364.0,West Carbery (W.D.),Caheragh,Skibbereen
Cusovinna,190.0,West Carbery (W.D.),Skull,Skull
Derreenard,294.0,West Carbery (W.D.),Skull,Skull
Derreenavarrihy,282.0,West Carbery (W.D.),Caheragh,Skibbereen
Derreengranagh,273.0,West Carbery (W.D.),Kilmocomoge,Bantry
Derreennalomane,943.0,West Carbery (W.D.),Skull,Skull
Derreennatra,497.0,West Carbery (W.D.),Skull,Skull
Derreeny,306.0,West Carbery (W.D.),Caheragh,Skibbereen
Derrycarhoon,445.0,West Carbery (W.D.),Skull,Skull
Derrycluvane,371.0,West Carbery (W.D.),Kilcrohane,Bantry
Derryconnell,535.0,West Carbery (W.D.),Skull,Skull
Derryfunshion,242.0,West Carbery (W.D.),Skull,Skull
Derryishal,278.0,West Carbery (W.D.),Caheragh,Skibbereen
Derryleary,183.0,West Carbery (W.D.),Skull,Skull
Derryvahalla,554.0,West Carbery (W.D.),Kilmocomoge,Bantry
Dick's Island,2.0,West Carbery (W.D.),Skull,Skull
Dooneen,164.0,West Carbery (W.D.),Kilcrohane,Bantry
Doonoure,240.0,West Carbery (W.D.),Kilcrohane,Bantry
Dough,244.0,West Carbery (W.D.),Kilmoe,Skull
Driminidy North,262.0,West Carbery (W.D.),Drinagh,Skibbereen
Driminidy South,548.0,West Carbery (W.D.),Drinagh,Skibbereen
Drinane,156.0,West Carbery (W.D.),Skull,Skull
Drishane,324.0,West Carbery (W.D.),Skull,Skull
Drishane,77.0,West Carbery (W.D.),Castlehaven,Skibbereen
Drishanemore,300.0,West Carbery (W.D.),Creagh,Skibbereen
Dromataniheen,98.0,West Carbery (W.D.),Durrus,Bantry
Dromcorragh,584.0,West Carbery (W.D.),Caheragh,Skibbereen
Dromdaleague,557.0,West Carbery (W.D.),Dromdaleague,Skibbereen
Dromkeal,171.0,West Carbery (W.D.),Skull,Skull
Dromnagapple,135.0,West Carbery (W.D.),Kilcrohane,Bantry
Dromnea,371.0,West Carbery (W.D.),Kilcrohane,Bantry
Dromore,621.0,West Carbery (W.D.),Caheragh,Skibbereen
Dromourneen,1107.0,West Carbery (W.D.),Caheragh,Skibbereen
Dromreagh,841.0,West Carbery (W.D.),Durrus,Bantry
Dunbeacon,1459.0,West Carbery (W.D.),Skull,Skull
Dunkelly East,290.0,West Carbery (W.D.),Kilmoe,Skull
Dunkelly Middle,124.0,West Carbery (W.D.),Kilmoe,Skull
Dunkelly West,380.0,West Carbery (W.D.),Kilmoe,Skull
Dunlough,319.0,West Carbery (W.D.),Kilmoe,Skull
Dunmanus East,543.0,West Carbery (W.D.),Skull,Skull
Dunmanus West,576.0,West Carbery (W.D.),Skull,Skull
Enaghoughter East,260.0,West Carbery (W.D.),Kilmoe,Skull
Enaghoughter West,166.0,West Carbery (W.D.),Kilmoe,Skull
Eskraha,317.0,West Carbery (W.D.),Kilcrohane,Bantry
Fahane,144.0,West Carbery (W.D.),Kilcrohane,Bantry
Farranamanagh,313.0,West Carbery (W.D.),Kilcrohane,Bantry
Faunmore,262.0,West Carbery (W.D.),Kilcrohane,Bantry
Foilakilly,361.0,West Carbery (W.D.),Kilcrohane,Bantry
Foilnamuck,378.0,West Carbery (W.D.),Skull,Skull
Furze Island,15.0,West Carbery (W.D.),Skull,Skull
Garrane,969.0,West Carbery (W.D.),Caheragh,Skibbereen
Garranes,112.0,West Carbery (W.D.),Skull,Skull
Gearhameen,645.0,West Carbery (W.D.),Durrus,Bantry
Gerahies,325.0,West Carbery (W.D.),Kilcrohane,Bantry
Glan,1046.0,West Carbery (W.D.),Skull,Skull
Glanalin,96.0,West Carbery (W.D.),Kilcrohane,Bantry
Glanaphuca,629.0,West Carbery (W.D.),Caheragh,Skibbereen
Glanatnaw,690.0,West Carbery (W.D.),Caheragh,Skibbereen
Glandarta,471.0,West Carbery (W.D.),Caheragh,Skibbereen
Glanlough,1183.0,West Carbery (W.D.),Kilcrohane,Bantry
Glanlough,341.0,West Carbery (W.D.),Kilmocomoge,Bantry
Glannakilleenagh,286.0,West Carbery (W.D.),Kilcoe,Skull
Glanroon,144.0,West Carbery (W.D.),Kilcrohane,Bantry
Glansallagh,137.0,West Carbery (W.D.),Skull,Skull
Goat Island,24.0,West Carbery (W.D.),Skull,Skull
Goat Island Little,4.0,West Carbery (W.D.),Skull,Skull
Goleen,58.0,West Carbery (W.D.),Kilmoe,Skull
Gortacloona,169.0,West Carbery (W.D.),Kilmocomoge,Bantry
Gortalassa,264.0,West Carbery (W.D.),Kilcrohane,Bantry
Gortavallig,296.0,West Carbery (W.D.),Kilcrohane,Bantry
Gortbrack,105.0,West Carbery (W.D.),Kilmoe,Skull
Gortdromagh,335.0,West Carbery (W.D.),Caheragh,Skibbereen
Gortduff,221.0,West Carbery (W.D.),Kilmoe,Skull
Gorteanish,345.0,West Carbery (W.D.),Kilcrohane,Bantry
Gortnacarriga,273.0,West Carbery (W.D.),Kilmoe,Skull
Gortnagashel,80.0,West Carbery (W.D.),Kilmoe,Skull
Gortnagrough,455.0,West Carbery (W.D.),Skull,Skull
Gortnakilly,478.0,West Carbery (W.D.),Kilcrohane,Bantry
Gortnamona,232.0,West Carbery (W.D.),Skull,Skull
Gortnascreeny,713.0,West Carbery (W.D.),Caheragh,Skibbereen
Gorttyowen,257.0,West Carbery (W.D.),Skull,Skull
Gouladoo,288.0,West Carbery (W.D.),Kilcrohane,Bantry
Greenane,57.0,West Carbery (W.D.),Kilmoe,Skull
Greenmount,355.0,West Carbery (W.D.),Kilcoe,Skull
Gubbeen,828.0,West Carbery (W.D.),Skull,Skull
Gunpoint,135.0,West Carbery (W.D.),Skull,Skull
Gurteennakilla,520.0,West Carbery (W.D.),Skull,Skull
Gurteenroe,234.0,West Carbery (W.D.),Skull,Skull
Gurteenulla,151.0,West Carbery (W.D.),Kilcoe,Skull
Horse Island,154.0,West Carbery (W.D.),Skull,Skull
Illaunriemonia,1.0,West Carbery (W.D.),Skull,Skull
Illaunroe,6.0,West Carbery (W.D.),Skull,Skull
Illaunroemore,15.0,West Carbery (W.D.),Kilcoe,Skull
Inchingerig,390.0,West Carbery (W.D.),Caheragh,Skibbereen
Inchybegga,264.0,West Carbery (W.D.),Caheragh,Skibbereen
Kealanine,779.0,West Carbery (W.D.),Caheragh,Skibbereen
Kealfadda,477.0,West Carbery (W.D.),Kilmoe,Skull
Kealties,614.0,West Carbery (W.D.),Durrus,Bantry
Keilnascarta,317.0,West Carbery (W.D.),Kilmocomoge,Bantry
Kilbarry,79.0,West Carbery (W.D.),Kilmoe,Skull
Kilbronoge,645.0,West Carbery (W.D.),Skull,Skull
Kilbrown,191.0,West Carbery (W.D.),Kilmoe,Skull
Kilcoe,586.0,West Carbery (W.D.),Kilcoe,Skull
Kilcomane,424.0,West Carbery (W.D.),Skull,Skull
Kilcrohane,287.0,West Carbery (W.D.),Kilcrohane,Bantry
Killeane,102.0,West Carbery (W.D.),Kilmoe,Skull
Killeen North,380.0,West Carbery (W.D.),Kilcrohane,Bantry
Killeen South,361.0,West Carbery (W.D.),Kilcrohane,Bantry
Killeenleagh,270.0,West Carbery (W.D.),Caheragh,Skibbereen
Killoveenoge,398.0,West Carbery (W.D.),Durrus,Bantry
Kilnagospagh,346.0,West Carbery (W.D.),Caheragh,Skibbereen
Kilpatrick,123.0,West Carbery (W.D.),Skull,Skull
Knock,135.0,West Carbery (W.D.),Skull,Skull
Knockagallane,118.0,West Carbery (W.D.),Kilmoe,Skull
Knockatassonig,94.0,West Carbery (W.D.),Kilmoe,Skull
Knockeennagearagh,125.0,West Carbery (W.D.),Kilmoe,Skull
Knockeens,225.0,West Carbery (W.D.),Skull,Skull
Knockeens,313.0,West Carbery (W.D.),Kilcrohane,Bantry
Knockgorm,421.0,West Carbery (W.D.),Caheragh,Skibbereen
Knockroe,218.0,West Carbery (W.D.),Kilcrohane,Bantry
Knockroe,433.0,West Carbery (W.D.),Kilcoe,Skull
Lackareagh,326.0,West Carbery (W.D.),Skull,Skull
Lackavaun,222.0,West Carbery (W.D.),Kilmoe,Skull
Lackenafasoge,282.0,West Carbery (W.D.),Caheragh,Skibbereen
Lackenakea,112.0,West Carbery (W.D.),Kilmoe,Skull
Laharan,225.0,West Carbery (W.D.),Skull,Skull
Laharandota,67.0,West Carbery (W.D.),Kilcrohane,Bantry
Laharandota Mountain,33.0,West Carbery (W.D.),Kilcrohane,Bantry
Lassanaroe,374.0,West Carbery (W.D.),Caheragh,Skibbereen
Leamcon,136.0,West Carbery (W.D.),Skull,Skull
Leenane,95.0,West Carbery (W.D.),Kilmoe,Skull
Letter,219.0,West Carbery (W.D.),Kilmoe,Skull
Letter,703.0,West Carbery (W.D.),Skull,Skull
Letter East,259.0,West Carbery (W.D.),Kilcrohane,Bantry
Letter Lower,49.0,West Carbery (W.D.),Kilcrohane,Bantry
Letter West,117.0,West Carbery (W.D.),Kilcrohane,Bantry
Letterlicky East,320.0,West Carbery (W.D.),Kilmocomoge,Bantry
Letterlicky Middle,647.0,West Carbery (W.D.),Kilmocomoge,Bantry
Letterlicky West,525.0,West Carbery (W.D.),Kilmocomoge,Bantry
Letter-mountain,233.0,West Carbery (W.D.),Kilcrohane,Bantry
Lisheenacrehig,196.0,West Carbery (W.D.),Kilcoe,Skull
Lisheennacreagh,656.0,West Carbery (W.D.),Skull,Skull
Lissacaha (North),349.0,West Carbery (W.D.),Skull,Skull
Lissacaha,779.0,West Carbery (W.D.),Skull,Skull
Lissaclarig East,360.0,West Carbery (W.D.),Kilcoe,Skull
Lissaclarig West,392.0,West Carbery (W.D.),Kilcoe,Skull
Lissagriffin,344.0,West Carbery (W.D.),Kilmoe,Skull
Lissangle,443.0,West Carbery (W.D.),Caheragh,Skibbereen
Lissydonnell,223.0,West Carbery (W.D.),Skull,Skull
Lognagappul,383.0,West Carbery (W.D.),Caheragh,Skibbereen
Long Island,341.0,West Carbery (W.D.),Skull,Skull
Lowertown,431.0,West Carbery (W.D.),Skull,Skull
Madore,208.0,West Carbery (W.D.),Caheragh,Skibbereen
Mallavoge,254.0,West Carbery (W.D.),Kilmoe,Skull
Mannin Island,13.0,West Carbery (W.D.),Kilcoe,Skull
Mannions Island Large,3.0,West Carbery (W.D.),Durrus,Bantry
Mannions Island Small,1.0,West Carbery (W.D.),Durrus,Bantry
Mauladinna,319.0,West Carbery (W.D.),Skull,Skull
Maulagallane,155.0,West Carbery (W.D.),Caheragh,Skibbereen
Maulinward,219.0,West Carbery (W.D.),Kilmocomoge,Bantry
Maulnaskehy,535.0,West Carbery (W.D.),Kilcrohane,Bantry
Maune,142.0,West Carbery (W.D.),Caheragh,Skibbereen
Maunvough,230.0,West Carbery (W.D.),Caheragh,Skibbereen
Meenvane,154.0,West Carbery (W.D.),Skull,Skull
Milleen and Carrigacat,838.0,West Carbery (W.D.),Kilmoe,Skull
Milleenahorna,119.0,West Carbery (W.D.),Caheragh,Skibbereen
Mountgabriel,758.0,West Carbery (W.D.),Skull,Skull
Mullaghmore,271.0,West Carbery (W.D.),Caheragh,Skibbereen
Murrahin,138.0,West Carbery (W.D.),Skull,Skull
Murrahin North,214.0,West Carbery (W.D.),Kilcoe,Skull
Murrahin South,162.0,West Carbery (W.D.),Kilcoe,Skull
Murreagh,180.0,West Carbery (W.D.),Durrus,Bantry
Oughtminnee,167.0,West Carbery (W.D.),Kilmoe,Skull
Oughtohig,182.0,West Carbery (W.D.),Kilcoe,Skull
Owen's Island,1.0,West Carbery (W.D.),Kilcrohane,Bantry
Parkana,218.0,West Carbery (W.D.),Kilmocomoge,Bantry
Pointabullage,1.0,West Carbery (W.D.),Kilcrohane,Bantry
Raferigeen,197.0,West Carbery (W.D.),Kilcrohane,Bantry
Raheenroe,242.0,West Carbery (W.D.),Skull,Skull
Rangaroe,197.0,West Carbery (W.D.),Kilmocomoge,Bantry
Rathcool,401.0,West Carbery (W.D.),Skull,Skull
Rathruane Beg,302.0,West Carbery (W.D.),Skull,Skull
Rathruane More,267.0,West Carbery (W.D.),Skull,Skull
Ratooragh,1183.0,West Carbery (W.D.),Skull,Skull
Reagh,221.0,West Carbery (W.D.),Kilcrohane,Bantry
Reenacappul,185.0,West Carbery (W.D.),Kilcrohane,Bantry
Rock Island,61.0,West Carbery (W.D.),Kilmoe,Skull
Rossard,63.0,West Carbery (W.D.),Kilcoe,Skull
Rossbrin,276.0,West Carbery (W.D.),Skull,Skull
Rosskerrig,577.0,West Carbery (W.D.),Kilcrohane,Bantry
Rosskerrig Mountain,283.0,West Carbery (W.D.),Kilcrohane,Bantry
Rossmore,307.0,West Carbery (W.D.),Durrus,Bantry
Rossnacaheragh,846.0,West Carbery (W.D.),Kilcrohane,Bantry
Rusheenaniska,83.0,West Carbery (W.D.),Durrus,Bantry
Scartbaun,240.0,West Carbery (W.D.),Kilmocomoge,Bantry
Scarteenakillin,452.0,West Carbery (W.D.),Skull,Skull
Scrahanyleary,433.0,West Carbery (W.D.),Skull,Skull
Shanavagh,256.0,West Carbery (W.D.),Skull,Skull
Shanavalla,128.0,West Carbery (W.D.),Caheragh,Skibbereen
Shanavally,85.0,West Carbery (W.D.),Kilmoe,Skull
Shantullig North,271.0,West Carbery (W.D.),Skull,Skull
Shantullig South,737.0,West Carbery (W.D.),Skull,Skull
Shronagree,495.0,West Carbery (W.D.),Skull,Skull
Skeagh,483.0,West Carbery (W.D.),Skull,Skull
Skeaghanore East,332.0,West Carbery (W.D.),Kilcoe,Skull
Skeaghanore West,378.0,West Carbery (W.D.),Kilcoe,Skull
Skull,674.0,West Carbery (W.D.),Skull,Skull
Spanishcove,84.0,West Carbery (W.D.),Kilmoe,Skull
Sparrograda,262.0,West Carbery (W.D.),Skull,Skull
Stouke,247.0,West Carbery (W.D.),Skull,Skull
Toor,213.0,West Carbery (W.D.),Kilmoe,Skull
Tooreen,121.0,West Carbery (W.D.),Kilmoe,Skull
Tooreen,319.0,West Carbery (W.D.),Kilcrohane,Bantry
Toormore,601.0,West Carbery (W.D.),Kilmoe,Skull
Town Lands,53.0,West Carbery (W.D.),Ross,Clonakilty
Trawlebane,499.0,West Carbery (W.D.),Caheragh,Skibbereen
Tullig,192.0,West Carbery (W.D.),Durrus,Bantry
Tullig,23.0,West Carbery (W.D.),Kilcrohane,Bantry
