County,Bush #,Bush %,Kerry #,Kerry %,Others #,Others %,Total
"Sherman County, Kansas",2063.0,75.46%,630.0,23.04%,41.0,1.50%,2734.0
"Smith County, Kansas",1780.0,75.58%,538.0,22.85%,37.0,1.57%,2355.0
"Stafford County, Kansas",1636.0,75.29%,506.0,23.29%,31.0,1.43%,2173.0
"Stanton County, Kansas",780.0,82.54%,160.0,16.93%,5.0,0.53%,945.0
"Stevens County, Kansas",1912.0,85.40%,308.0,13.76%,19.0,0.85%,2239.0
"Sumner County, Kansas",6997.0,67.69%,3163.0,30.60%,177.0,1.71%,10337.0
"Thomas County, Kansas",2925.0,77.92%,786.0,20.94%,43.0,1.15%,3754.0
"Trego County, Kansas",1219.0,72.56%,434.0,25.83%,27.0,1.61%,1680.0
"Wabaunsee County, Kansas",2464.0,70.10%,982.0,27.94%,69.0,1.96%,3515.0
"Wallace County, Kansas",741.0,84.78%,112.0,12.81%,21.0,2.40%,874.0
"Washington County, Kansas",2436.0,78.18%,632.0,20.28%,48.0,1.54%,3116.0
"Wichita County, Kansas",861.0,81.69%,183.0,17.36%,10.0,0.95%,1054.0
"Wilson County, Kansas",3204.0,74.27%,1037.0,24.04%,73.0,1.69%,4314.0
"Woodson County, Kansas",1201.0,68.36%,527.0,29.99%,29.0,1.65%,1757.0
