Total tenure rank,Uninterrupted rank,Name,Party affiliation,Total tenure time,Uninterrupted time
63.0,54.0,"Richard Russell, Jr. (S)",Democratic Party,"38 years, 9 days","38 years, 9 days"
64.0,999.0,"John Sherman (H,S,I)",Republican Party,"38 years, 4 days",n/a
65.0,55.0,Russell B. Long (S),Democratic Party,"38 years, 3 days","38 years, 3 days"
66.0,56.0,"Frederick H. Gillett (H,S)",Republican Party,"38 years, 0 days","38 years, 0 days"
67.0,57.0,Wilbur Mills (H),Democratic Party,"38 years, 0 days","38 years, 0 days"
68.0,58.0,Dante Fascell (H),Democratic Party,"38 years, 0 days","38 years, 0 days"
69.0,59.0,Robert H. Michel (H),Republican Party,"38 years, 0 days","38 years, 0 days"
70.0,999.0,"Robert Crosser (H,I)",Democratic Party,"37 years, 305 days",n/a
71.0,999.0,"Robert L. F. Sikes (H,I)",Democratic Party,"37 years, 290 days",n/a
72.0,60.0,"Nathaniel Macon (H,S)",Democratic-Republican Party,"37 years, 255 days","37 years, 255 days"
73.0,61.0,"Henry Cabot Lodge (H,S)",Republican Party,"37 years, 250 days","37 years, 250 days"
74.0,999.0,"Alben W. Barkley (H,S,I)",Democratic Party,"37 years, 74 days",n/a
75.0,62.0,Henry B. Gonzalez (H),Democratic Party,"37 years, 60 days","37 years, 60 days"
76.0,999.0,"Francis E. Warren (S,I)",Republican Party,"37 years, 6 days",n/a
77.0,63.0,"Ed Markey (H,S)",Democratic Party,"37years, 91days","37years, 91days"
78.0,64.0,Orrin Hatch (S),Republican Party,"37years, 29days","37years, 29days"
79.0,65.0,"Barbara Mikulski (H,S)",Democratic Party,"37years, 29days","37years, 29days"
80.0,66.0,Nick Rahall (H),Democratic Party,"37years, 29days","37years, 29days"
81.0,999.0,"James Eastland (S,I)",Democratic Party,"36 years, 83 days",n/a
82.0,67.0,Joe Biden (S),Democratic Party,"36 years, 12 days","36 years, 12 days"
83.0,68.0,John Murtha (H),Democratic Party,"36 years, 3 days","36 years, 3 days"
84.0,69.0,"Henry L. Dawes (H,S)",Republican Party,"36 years, 0 days","36 years, 0 days"
85.0,70.0,Felix Edward Hébert (H),Democratic Party,"36 years, 0 days","36 years, 0 days"
86.0,71.0,Edward Boland (H),Democratic Party,"36 years, 0 days","36 years, 0 days"
87.0,72.0,William Broomfield (H),Republican Party,"36 years, 0 days","36 years, 0 days"
88.0,73.0,Dan Rostenkowski (H),Democratic Party,"36 years, 0 days","36 years, 0 days"
89.0,74.0,Neal Edward Smith (H),Democratic Party,"36 years, 0 days","36 years, 0 days"
90.0,75.0,Claiborne Pell (S),Democratic Party,"36 years, 0 days","36 years, 0 days"
91.0,76.0,Joseph McDade (H),Republican Party,"36 years, 0 days","36 years, 0 days"
92.0,77.0,"Paul Sarbanes (H,S)",Democratic Party,"36 years, 0 days","36 years, 0 days"
93.0,78.0,Pete Domenici (S),Republican Party,"36 years, 0 days","36 years, 0 days"
94.0,79.0,Ralph Regula (H),Republican Party,"36 years, 0 days","36 years, 0 days"
95.0,80.0,"Christopher Dodd (H,S)",Democratic Party,"36 years, 0 days","36 years, 0 days"
96.0,81.0,James Oberstar (H),Democratic Party,"36 years, 0 days","36 years, 0 days"
97.0,82.0,Richard Lugar (S),Republican Party,"36 years, 0 days","36 years, 0 days"
98.0,83.0,"Daniel Akaka (H,S)",Democratic Party,"36 years, 0 days","36 years, 0 days"
99.0,84.0,Norman D. Dicks (H),Democratic Party,"36 years, 0 days","36 years, 0 days"
100.0,85.0,Dale Kildee (H),Democratic Party,"36 years, 0 days","36 years, 0 days"
101.0,999.0,"Shelby M. Cullom (H,S,I)",Republican Party,"36 years, 0 days",n/a
102.0,999.0,"Henry A. Cooper (H,I)",Republican Party,"36 years, 0 days",n/a
