Name,Nationality,Position [A ],Oxford United career [B ],Appearances,Goals
Rodney Smithson Category:Articles with hCards,England,Midfielder,1965–1974,180.0,6.0
Ronnie Steel Category:Articles with hCards,England,Midfielder,1952–1955,130.0,32.0
Paul Tait Category:Articles with hCards,England,Midfielder,1999–2002,105.0,3.0
Les Taylor Category:Articles with hCards,England,Midfielder,1975–1980,239.0,16.0
Andy Thomas Category:Articles with hCards,England,Midfielder,1981–1986,150.0,45.0
Cyril Toulouse Category:Articles with hCards,England,Midfielder,1950–1954,152.0,20.0
John Trewick Category:Articles with hCards,England,Midfielder,1984–1987,142.0,4.0
Billy Turley Category:Articles with hCards,England,Goalkeeper,2005–2010,186.0,0.0
Paul Wanless Category:Articles with hCards,England,Midfielder,1991–1995 2003–2005,109.0,7.0
Mark Watson Category:Articles with hCards,Canada *,Defender,1998–2000,69.0,0.0
Dean Windass Category:Articles with hCards,England,Forward,1998–1999,38.0,18.0
Dean Whitehead Category:Articles with hCards,England,Midfielder,1999–2004,136.0,9.0
Phil Whitehead Category:Articles with hCards,England,Goalkeeper,1993–1998,238.0,0.0
Alan Willey Category:Articles with hCards,England,Forward,1961–1966,128.0,48.0
Andy Woodman Category:Articles with hCards,England,Goalkeeper,2002–2004,112.0,0.0
Jake Wright Category:Articles with hCards,England,Defender,2010–,167.0,0.0
Harry Yates Category:Articles with hCards,England,Midfielder,1952–1955,103.0,54.0
