Urban area (locality),Municipality,Population,Land area (hectares),Density (inh./km²),Code
Beddingestrand,Trelleborg Municipality,678.0,100.95,671.62,3338.0
Benareby,Härryda Municipality,384.0,65.52,586.08,4290.0
Bengtsfors,Bengtsfors Municipality,3080.0,326.90,942.18,4720.0
Bengtsheden,Falun Municipality,530.0,150.49,352.18,6412.0
Bensbyn,Luleå Municipality,448.0,49.90,897.80,8528.0
Berg,Gävle Municipality,213.0,50.45,422.20,7014.0
Berg,Linköping Municipality,1278.0,109.36,1168.62,1016.0
Berg,Åtvidaberg Municipality,311.0,53.56,580.66,1012.0
Berga,Högsby Municipality,724.0,154.10,469.82,2108.0
Bergagård,Falkenberg Municipality,250.0,30.91,808.80,3908.0
Bergby,Gävle Municipality,816.0,188.80,432.20,7016.0
Bergeforsen,Timrå Municipality,1563.0,198.26,788.36,7416.0
Berghem,Mark Municipality,360.0,79.13,454.95,4724.0
Bergkvara,Torsås Municipality,940.0,152.00,618.42,2112.0
Bergnäset,Luleå Municipality,3648.0,309.40,1179.06,8532.0
Bergsbyn,Skellefteå Municipality,1780.0,137.75,1292.20,8116.0
Bergshammar,Nyköping Municipality,790.0,61.73,1279.77,708.0
Bergshamra,Norrtälje Municipality,749.0,159.76,468.83,100.0
Bergsjö,Nordanstig Municipality,1266.0,165.27,766.02,7020.0
Bergströmshusen,Staffanstorp Municipality,209.0,13.22,1580.94,2814.0
Bergsviken,Piteå Municipality,2283.0,264.64,862.68,8536.0
Bergvik,Söderhamn Municipality,834.0,200.40,416.17,7024.0
Bestorp,Linköping Municipality,475.0,53.35,890.35,1020.0
Bettna,Flen Municipality,412.0,99.26,415.07,712.0
Bie,Katrineholm Municipality,528.0,61.52,858.26,716.0
Billdal,Kungsbacka Municipality Gothenburg Municipality,10289.0,1013.85,1014.84,4300.0
Billeberga,Svalöv Municipality,987.0,106.13,929.99,3340.0
Billesholm,Bjuv Municipality,2910.0,290.72,1000.96,3344.0
Billinge,Eslöv Municipality,415.0,58.99,703.51,3348.0
Billingsfors,Bengtsfors Municipality,1134.0,231.51,489.83,4728.0
Billsta,Örnsköldsvik Municipality,361.0,107.10,337.07,7420.0
Bjurholm,Bjurholm Municipality,968.0,171.62,564.04,8120.0
Bjursås,Falun Municipality,1839.0,324.78,566.23,6424.0
Bjuv,Bjuv Municipality,6832.0,544.23,1255.35,3352.0
Bjärnum,Hässleholm Municipality,2674.0,363.80,735.02,2816.0
Bjärred,Lomma Municipality,9542.0,479.10,1991.65,3356.0
Bjärsjölagård,Sjöbo Municipality,324.0,52.22,620.45,3360.0
Bjästa,Örnsköldsvik Municipality,1808.0,204.90,882.38,7424.0
Björbo,Gagnef Municipality,697.0,183.77,379.28,6428.0
Björboholm,Lerum Municipality,963.0,180.93,532.25,4732.0
Björke,Gävle Municipality,349.0,59.93,582.35,7028.0
Björketorp,Mark Municipality,467.0,60.41,773.05,4736.0
Björklinge,Uppsala Municipality,3269.0,270.45,1208.73,512.0
Björkvik,Katrineholm Municipality,492.0,95.75,513.84,720.0
Björkviken,Borgholm Municipality,208.0,10.96,1897.81,2114.0
Björkö,Öckerö Municipality,1427.0,90.84,1570.89,4304.0
Björköby,Vetlanda Municipality,273.0,67.40,405.04,1420.0
Björlanda,Gothenburg Municipality,608.0,88.73,685.22,4302.0
Björna,Örnsköldsvik Municipality,413.0,67.70,610.04,7428.0
Björneborg,Kristinehamn Municipality,1099.0,157.00,700.00,5612.0
Björnlunda,Gnesta Municipality,827.0,85.95,962.19,724.0
Björnänge,Åre Municipality,254.0,39.95,635.79,7810.0
Björnö,Växjö Municipality,215.0,16.42,1309.38,1818.0
Björnömalmen och Klacknäset,Värmdö Municipality,624.0,125.76,496.18,106.0
Björsäter,Åtvidaberg Municipality,443.0,62.53,708.46,1024.0
Blackstalund,Uppsala Municipality,210.0,64.61,325.03,650.0
Bleket,Tjörn Municipality,240.0,41.00,585.37,4308.0
Blentarp,Sjöbo Municipality,1216.0,121.22,1003.13,3364.0
Blidsberg,Ulricehamn Municipality,508.0,86.77,585.46,4740.0
Blikstorp,Hjo Municipality,222.0,45.10,492.24,5212.0
Blombacka,Karlstad Municipality,217.0,99.85,217.33,5616.0
Blomstermåla,Mönsterås Municipality,1527.0,253.19,603.10,2120.0
Blåsmark,Piteå Municipality,339.0,64.17,528.28,8540.0
Blötberget,Ludvika Municipality,428.0,131.87,324.56,6432.0
Bockara,Oskarshamn Municipality,316.0,79.96,395.20,2124.0
Boda,Rättvik Municipality,541.0,210.53,256.97,6436.0
Bodafors,Nässjö Municipality,1886.0,253.96,742.64,1424.0
Boden,Boden Municipality,18277.0,1997.74,914.88,8544.0
Boholmarna,Kalmar Municipality,297.0,46.76,635.16,2130.0
Boliden,Skellefteå Municipality,1566.0,194.43,805.43,8132.0
Bollebygd,Bollebygd Municipality,3566.0,256.74,1388.95,4744.0
Bollnäs,Bollnäs Municipality,12842.0,1287.35,997.55,7036.0
Bollstabruk,Kramfors Municipality,1871.0,443.67,421.71,7432.0
Bonäs,Mora Municipality,457.0,92.36,494.80,6440.0
Boo,Nacka Municipality,24052.0,1625.93,1479.28,104.0
Bor,Värnamo Municipality,1256.0,157.36,798.17,1428.0
Borensberg,Motala Municipality,2886.0,240.25,1201.25,1028.0
Borggård,Finspång Municipality,238.0,42.30,562.65,1032.0
Borgholm,Borgholm Municipality,3071.0,255.76,1200.74,2132.0
Borgstena,Borås Municipality,386.0,68.80,561.05,4748.0
Borlänge,Borlänge Municipality,41734.0,3435.53,1214.78,6444.0
Borrby,Simrishamn Municipality,930.0,88.11,1055.50,2820.0
Borås,Borås Municipality,66273.0,3139.65,2110.84,4752.0
Bosnäs,Borås Municipality,308.0,46.96,655.88,4310.0
Botsmark,Umeå Municipality,201.0,48.68,412.90,8136.0
Bottnaryd,Jönköping Municipality,713.0,83.30,855.94,1432.0
Bovallstrand,Sotenäs Municipality,474.0,81.04,584.90,4312.0
Boxholm,Boxholm Municipality,3194.0,439.43,726.85,1040.0
Brantevik,Simrishamn Municipality,409.0,68.94,593.27,2824.0
Brastad,Lysekil Municipality,1846.0,184.80,998.92,4316.0
Brattås,Kungsbacka Municipality,384.0,57.99,662.18,3910.0
Braås,Växjö Municipality,1547.0,170.95,904.94,1820.0
Bredared,Borås Municipality,227.0,30.61,741.59,4756.0
Bredaryd,Värnamo Municipality,1466.0,198.85,737.24,1436.0
Bredbyn,Örnsköldsvik Municipality,1186.0,234.33,506.12,7444.0
Bredsand,Enköping Municipality,465.0,84.61,549.58,612.0
Bredviken,Kalix Municipality,365.0,43.13,846.28,8556.0
Brevik,Lidingö Municipality,8772.0,396.79,2210.74,108.0
Brevikshalvön,Tyresö Municipality,2018.0,599.66,336.52,110.0
Bro,Upplands-Bro Municipality,7050.0,300.74,2344.22,112.0
Broaryd,Gislaved Municipality,271.0,69.10,392.19,1440.0
Broby,Östra Göinge Municipality,2920.0,368.49,792.42,2828.0
Brokind,Linköping Municipality,502.0,64.38,779.75,1044.0
Bromölla,Bromölla Municipality,7595.0,557.77,1361.67,2832.0
Brottby,Vallentuna Municipality,205.0,17.79,1152.33,116.0
Brunflo,Östersund Municipality,3890.0,284.76,1366.06,7812.0
Brunn,Värmdö Municipality,950.0,96.34,986.09,120.0
Brunna,Upplands-Bro Municipality,3925.0,177.39,2212.64,124.0
Brunnsberg,Älvdalen Municipality,222.0,120.92,183.59,6448.0
Bruzaholm,Eksjö Municipality,250.0,63.82,391.73,1444.0
Bräcke,Bräcke Municipality,1651.0,200.24,824.51,7816.0
Bräkne-Hoby,Ronneby Municipality,1689.0,207.36,814.53,2604.0
Brändön,Luleå Municipality,287.0,57.78,496.71,8558.0
Brännland,Umeå Municipality,220.0,28.21,779.87,8140.0
Brännö,Gothenburg Municipality,708.0,87.06,813.23,4322.0
Brålanda,Vänersborg Municipality,1385.0,152.47,908.38,4760.0
Brösarp,Tomelilla Municipality,680.0,82.25,826.75,2836.0
Bua,Varberg Municipality,1746.0,126.85,1376.43,3912.0
Buerås,Kungsbacka Municipality,708.0,56.74,1247.80,3914.0
Bullmark,Umeå Municipality,319.0,32.39,984.87,8142.0
Bunkeflostrand,Malmö Municipality,10386.0,362.78,2862.89,3372.0
Bureå,Skellefteå Municipality,2360.0,365.27,646.10,8144.0
Burgsvik,Gotland Municipality,338.0,93.67,360.84,2500.0
Burlövs egnahem,Burlöv Municipality,554.0,20.56,2694.55,3374.0
Burseryd,Gislaved Municipality,854.0,155.90,547.79,1452.0
Burträsk,Skellefteå Municipality,1575.0,184.41,854.08,8148.0
Buskhyttan,Nyköping Municipality,225.0,49.13,457.97,728.0
Butbro,Finspång Municipality,261.0,45.71,570.99,1206.0
Bygdeå,Robertsfors Municipality,502.0,73.72,680.95,8152.0
Bygdsiljum,Skellefteå Municipality,357.0,103.52,344.86,8156.0
Byske,Skellefteå Municipality,1728.0,320.52,539.12,8160.0
Bäckaskog,Kristianstad Municipality,293.0,38.01,770.85,2844.0
Bäckebo,Nybro Municipality,219.0,84.38,259.54,2144.0
Bäckefors,Bengtsfors Municipality,673.0,140.00,480.71,4768.0
Bäckhammar,Kristinehamn Municipality,284.0,90.88,312.50,5624.0
Bälgviken,Eskilstuna Municipality,253.0,39.30,643.77,730.0
Bälinge,Luleå Municipality,307.0,46.70,657.39,8564.0
Bälinge,Uppsala Municipality,2437.0,140.03,1740.34,524.0
Bärby,Uppsala Municipality,220.0,23.04,954.86,526.0
Bäsna,Gagnef Municipality,649.0,137.65,471.49,6456.0
Bålsta,Håbo Municipality,14147.0,1072.57,1318.98,520.0
Bårslöv,Helsingborg Municipality,2682.0,120.13,2232.58,3376.0
Båstad,Båstad Municipality,4961.0,626.62,791.71,2840.0
Båtskärsnäs,Kalix Municipality,296.0,95.69,309.33,8560.0
Böle,Piteå Municipality,424.0,94.03,450.92,8568.0
Bönan,Gävle Municipality,316.0,78.94,400.30,7038.0
Charlottenberg,Eda Municipality,2215.0,258.56,856.67,5628.0
Dalarö,Haninge Municipality,1199.0,167.52,715.74,132.0
Dalby,Lund Municipality,5708.0,329.40,1732.85,3380.0
Dals Långed,Bengtsfors Municipality,1520.0,257.48,590.34,4772.0
Dals Rostock,Mellerud Municipality,829.0,140.98,588.03,4776.0
Dalsjöfors,Borås Municipality,3362.0,287.90,1167.77,4780.0
Dalstorp,Tranemo Municipality,776.0,113.65,682.80,4784.0
Dalum,Ulricehamn Municipality,638.0,60.65,1051.94,4788.0
Danholn,Falun Municipality,440.0,76.87,572.39,6472.0
Dannemora,Östhammar Municipality,213.0,65.53,325.04,528.0
Dannike,Borås Municipality,369.0,40.57,909.54,4792.0
Degeberga,Kristianstad Municipality,1291.0,174.68,739.07,2848.0
Degerfors,Degerfors Municipality,7160.0,713.53,1003.46,5916.0
Degerhamn,Mörbylånga Municipality,331.0,103.20,320.74,2152.0
Deje,Forshaga Municipality,2742.0,365.54,750.12,5632.0
Delary,Älmhult Municipality,222.0,56.75,391.19,1828.0
Delsbo,Hudiksvall Municipality,2192.0,284.56,770.31,7040.0
Dingersjö,Sundsvall Municipality,856.0,61.49,1392.10,7446.0
Dingle,Munkedal Municipality,900.0,107.15,839.94,4324.0
Dingtuna,Västerås Municipality,1005.0,94.38,1064.84,6208.0
Diseröd,Kungälv Municipality,1241.0,74.95,1655.77,4328.0
Diö,Älmhult Municipality,910.0,156.64,580.95,1832.0
Djulö kvarn,Katrineholm Municipality,209.0,29.61,705.84,734.0
Djura,Leksand Municipality,364.0,83.19,437.55,6476.0
Djurmo,Gagnef Municipality,711.0,91.71,775.27,6480.0
Djurås,Gagnef Municipality,1278.0,157.40,811.94,6484.0
Djurö,Värmdö Municipality,967.0,92.37,1046.88,136.0
Docksta,Kramfors Municipality,378.0,79.50,475.47,7448.0
Domsten,Helsingborg Municipality,617.0,41.93,1471.50,3384.0
Donsö,Gothenburg Municipality,1407.0,96.99,1450.67,4332.0
Dorotea,Dorotea Municipality,1543.0,233.91,659.66,8168.0
Drag,Kalmar Municipality,274.0,62.24,440.23,2422.0
Drottningholm,Ekerö Municipality,398.0,147.06,270.64,140.0
Drängsmark,Skellefteå Municipality,333.0,53.97,617.01,8340.0
Dunö,Kalmar Municipality,384.0,50.31,763.27,2154.0
Duved,Åre Municipality,663.0,98.85,670.71,7820.0
Duvesjön,Kungälv Municipality,247.0,41.30,598.06,4562.0
Dvärsätt,Krokom Municipality,461.0,41.32,1115.68,7824.0
Dyvelsten,Forshaga Municipality,219.0,43.92,498.63,5634.0
Dösjebro,Kävlinge Municipality,858.0,57.10,1502.63,3388.0
Ed,Dals-Ed Municipality,2932.0,382.01,767.52,4796.0
Eda glasbruk,Eda Municipality,233.0,88.33,263.78,5636.0
Edane,Arvika Municipality,706.0,176.18,400.73,5640.0
Edsbro,Norrtälje Municipality,488.0,82.35,592.59,144.0
Edsbruk,Västervik Municipality,300.0,71.61,418.94,2156.0
Edsbyn,Ovanåker Municipality,3985.0,453.26,879.19,7044.0
Edsvalla,Karlstad Municipality,1016.0,145.54,698.09,5652.0
Eggby,Skara Municipality,231.0,28.10,822.06,5216.0
Ekeby,Bjuv Municipality,3230.0,303.46,1064.39,3392.0
Ekeby,Kumla Municipality,372.0,52.62,706.96,5920.0
Ekeby,Södertälje Municipality,1018.0,57.99,1755.48,148.0
Ekeby,Upplands Väsby Municipality,258.0,28.95,891.19,152.0
Ekeby-Almby,Örebro Municipality,1271.0,144.87,877.34,5924.0
Ekedalen,Tidaholm Municipality,404.0,53.77,751.35,5220.0
Ekenässjön,Vetlanda Municipality,1517.0,222.18,682.78,1456.0
Ekerö sommarstad,Ekerö Municipality,544.0,37.68,1443.74,151.0
Ekerö,Ekerö Municipality,10907.0,541.87,2012.84,150.0
Eket,Örkelljunga Municipality,409.0,74.52,548.85,2856.0
Ekshärad,Hagfors Municipality,1074.0,173.79,617.99,5724.0
Eksjö,Eksjö Municipality,9701.0,833.89,1163.34,1460.0
Eksund,Norrköping Municipality,206.0,22.22,927.09,1046.0
Ekängen,Linköping Municipality,2037.0,139.09,1464.52,1050.0
Eldsberga,Halmstad Municipality,720.0,95.10,757.10,3916.0
Ellös,Orust Municipality,998.0,120.83,825.95,4336.0
Emmaboda,Emmaboda Municipality,4824.0,591.36,815.75,2160.0
Emmaljunga,Hässleholm Municipality,262.0,86.50,302.89,2860.0
Emsfors,Oskarshamn Municipality Mönsterås Municipality,332.0,61.28,541.78,2164.0
Emtunga,Vara Municipality,273.0,30.99,880.93,5224.0
Eneryda,Älmhult Municipality,338.0,72.59,465.63,1840.0
Enhagen-Ekbacken,Västerås Municipality,1012.0,70.71,1431.20,6210.0
Enköping,Enköping Municipality,21121.0,1066.70,1980.03,532.0
Ensjön,Norrköping Municipality,333.0,22.84,1457.97,1054.0
Enstaberga,Nyköping Municipality,430.0,58.86,730.55,736.0
Enviken,Falun Municipality,609.0,124.59,488.80,6496.0
Enånger,Hudiksvall Municipality,642.0,130.98,490.15,7048.0
Eriksmåla,Emmaboda Municipality,231.0,93.86,246.11,2168.0
Eringsboda,Ronneby Municipality,299.0,65.10,459.29,2616.0
Ersmark,Skellefteå Municipality,892.0,147.85,603.31,8368.0
Ersmark,Umeå Municipality,1613.0,120.65,1336.92,8172.0
Ersnäs,Luleå Municipality,292.0,51.65,565.34,8576.0
Eskilsby och Snugga,Härryda Municipality,220.0,67.22,327.28,4334.0
Eskilstuna,Eskilstuna Municipality,64679.0,3104.97,2083.08,740.0
Eslöv,Eslöv Municipality,17748.0,914.02,1941.75,3396.0
Essvik,Sundsvall Municipality,752.0,119.01,631.88,7460.0
Evertsberg,Älvdalen Municipality,267.0,169.52,157.50,6500.0
Everöd,Kristianstad Municipality,885.0,124.28,712.10,2864.0
Fagerhult,Habo Municipality,316.0,76.42,413.50,5228.0
Fagerhult,Högsby Municipality,229.0,77.37,295.98,2172.0
Fagerhult,Uddevalla Municipality,353.0,34.51,1022.89,4338.0
Fagersanna,Tibro Municipality,539.0,81.33,662.73,5232.0
Fagersta,Fagersta Municipality,11130.0,946.86,1175.46,6212.0
Fagerås,Kil Municipality,427.0,76.81,555.92,5656.0
Falerum,Åtvidaberg Municipality,242.0,84.18,287.48,1048.0
Falkenberg,Falkenberg Municipality,20035.0,1484.82,1349.32,3920.0
Falköping,Falköping Municipality,16350.0,853.95,1914.63,5236.0
Falla,Finspång Municipality,467.0,71.42,653.88,1052.0
Falun,Falun Municipality,37291.0,2717.16,1372.43,6504.0
Fanbyn,Sundsvall Municipality,526.0,139.92,375.93,7462.0
Fellingsbro,Lindesberg Municipality,1384.0,230.48,600.49,5928.0
Fengersfors,Åmål Municipality,345.0,96.90,356.04,4800.0
Figeholm,Oskarshamn Municipality,743.0,85.36,870.43,2176.0
Filipstad,Filipstad Municipality,6022.0,650.78,925.35,5660.0
Filsbäck,Lidköping Municipality,615.0,52.69,1167.20,5240.0
Finja,Hässleholm Municipality,535.0,75.76,706.18,2868.0
Finkarby,Nykvarn Municipality,214.0,53.24,401.95,158.0
Finnerödja,Laxå Municipality,604.0,101.33,596.07,5932.0
Finspång,Finspång Municipality,12440.0,818.15,1520.50,1056.0
Finsta,Norrtälje Municipality,244.0,36.16,674.78,164.0
Fiskebäckskil,Lysekil Municipality,379.0,71.91,527.05,4340.0
Fisksätra,Nacka Municipality,7475.0,103.43,7227.11,156.0
Fjugesta,Lekeberg Municipality,2033.0,208.83,973.52,5936.0
Fjälkinge,Kristianstad Municipality,1690.0,134.81,1253.62,2872.0
Fjällbacka,Tanum Municipality,859.0,104.93,818.64,4344.0
Fjärdhundra,Enköping Municipality,951.0,108.35,877.71,536.0
Fjärås kyrkby,Kungsbacka Municipality,2321.0,143.79,1614.16,3928.0
Flen,Flen Municipality,6229.0,444.91,1400.06,744.0
Flisby,Nässjö Municipality,201.0,74.83,268.61,1464.0
Fliseryd,Mönsterås Municipality,677.0,133.84,505.83,2188.0
Floby,Falköping Municipality,1499.0,226.42,662.04,5244.0
Floda,Gagnef Municipality,680.0,196.58,345.92,6460.0
Floda,Lerum Municipality,8021.0,584.89,1371.37,4804.0
Flurkmark,Umeå Municipality,291.0,53.00,549.06,8174.0
Flygsfors,Nybro Municipality,226.0,68.33,330.75,2192.0
Flyinge,Eslöv Municipality,994.0,77.40,1284.24,3400.0
Flädie,Lomma Municipality,251.0,20.31,1235.84,3402.0
Fornåsa,Motala Municipality,433.0,47.21,917.18,1060.0
Fors,Avesta Municipality,827.0,125.67,658.07,6508.0
Forsbacka,Gävle Municipality,1702.0,171.72,991.15,7052.0
Forsby,Gävle Municipality,651.0,87.02,748.10,7050.0
Forserum,Nässjö Municipality,2039.0,195.25,1044.30,1468.0
Forshaga,Forshaga Municipality,6229.0,518.49,1201.37,5664.0
Forsheda,Värnamo Municipality,1459.0,148.52,982.36,1472.0
Forssjö,Katrineholm Municipality,537.0,63.28,848.61,748.0
Forsvik,Karlsborg Municipality,342.0,82.72,413.44,5248.0
Fotö,Öckerö Municipality,620.0,35.40,1751.41,4348.0
Fredrika,Åsele Municipality,215.0,116.67,184.28,8176.0
Fredriksberg,Ludvika Municipality,655.0,176.41,371.29,6512.0
Fredriksdal,Nässjö Municipality,310.0,46.58,665.52,1476.0
Fridafors,Tingsryd Municipality,221.0,82.61,267.52,1844.0
Fridlevstad,Karlskrona Municipality,713.0,93.17,765.27,2620.0
Friggesund,Hudiksvall Municipality,522.0,81.67,639.16,7056.0
Frillesås,Kungsbacka Municipality,2044.0,230.02,888.62,3932.0
Frinnaryd,Aneby Municipality,204.0,50.88,400.94,1480.0
Fristad,Borås Municipality,4924.0,510.96,963.68,4808.0
Fritsla,Mark Municipality,2293.0,326.66,701.95,4812.0
Frufällan,Borås Municipality,917.0,102.72,892.72,4816.0
Främmestad,Essunga Municipality,393.0,50.84,773.01,5250.0
Frändefors,Vänersborg Municipality,613.0,85.72,715.12,4820.0
Fränsta,Ånge Municipality,1256.0,230.12,545.80,7472.0
Frånö,Kramfors Municipality,640.0,247.56,258.52,7468.0
Frödinge,Vimmerby Municipality,383.0,84.85,451.38,2196.0
Frösakull,Halmstad Municipality,1635.0,205.53,795.50,3934.0
Frövi,Lindesberg Municipality,2516.0,365.61,688.16,5940.0
Funäsdalen,Härjedalen Municipality,890.0,175.45,507.27,7828.0
Furuby,Växjö Municipality,372.0,59.86,621.45,1852.0
Furudal,Rättvik Municipality,407.0,110.16,369.46,6516.0
Furulund,Kävlinge Municipality,4180.0,279.68,1494.57,3408.0
Furusjö,Habo Municipality,325.0,48.91,664.49,5252.0
Furuvik,Gävle Municipality,575.0,109.71,524.11,7060.0
Fyllinge,Halmstad Municipality,2927.0,247.29,1183.63,3935.0
Färgelanda,Färgelanda Municipality,1894.0,210.42,900.10,4828.0
Färila,Ljusdal Municipality,1293.0,247.30,522.85,7064.0
Färjestaden,Mörbylånga Municipality,5018.0,463.98,1081.51,2208.0
Färlöv,Kristianstad Municipality,1026.0,91.50,1121.31,2876.0
Färnäs,Mora Municipality,988.0,153.96,641.73,6524.0
Fågelfors,Högsby Municipality,424.0,117.32,361.40,2200.0
Fågelmara,Karlskrona Municipality,374.0,71.37,524.03,2624.0
Fågelsta,Motala Municipality,287.0,55.19,520.02,1064.0
Fågelvikshöjden,Värmdö Municipality,1043.0,48.93,2131.62,166.0
Fårbo,Oskarshamn Municipality,517.0,83.79,617.02,2204.0
Fårösund,Gotland Municipality,816.0,289.20,282.16,2504.0
Föllinge,Krokom Municipality,485.0,150.38,322.52,7836.0
Förslöv,Båstad Municipality,2085.0,184.00,1133.15,2880.0
Gagnef,Gagnef Municipality,1049.0,240.04,437.01,6528.0
Gamleby,Västervik Municipality,2775.0,317.87,873.00,2212.0
Gammelgården,Kalix Municipality,297.0,52.86,561.86,8578.0
Gammelstaden,Luleå Municipality,4960.0,619.93,800.09,8580.0
Gantofta,Helsingborg Municipality,1338.0,91.22,1466.78,3412.0
Garpenberg,Hedemora Municipality,518.0,153.25,338.01,6532.0
Garphyttan,Örebro Municipality,1619.0,172.14,940.51,5944.0
Geijersholm,Hagfors Municipality,222.0,28.96,766.57,5668.0
Gemla,Växjö Municipality,1342.0,241.23,556.32,1856.0
Genarp,Lund Municipality,2892.0,170.23,1698.88,3416.0
Genevad,Laholm Municipality,565.0,62.08,910.12,3936.0
Gessie villastad,Vellinge Municipality,497.0,44.35,1120.63,3438.0
Gesunda,Mora Municipality,229.0,81.33,281.57,6540.0
Getinge,Halmstad Municipality,1843.0,217.69,846.62,3940.0
Gideå,Örnsköldsvik Municipality,266.0,53.69,495.44,7476.0
Gimmersta,Tyresö Municipality,354.0,31.74,1115.31,170.0
Gimo,Östhammar Municipality,2688.0,313.25,858.10,540.0
Gimåt,Örnsköldsvik Municipality,903.0,62.78,1438.36,7480.0
