Name,Home or representative town or province,Age,Season,Total days in PBB House,Duration,Status
Reg Pineda,Quezon City,19.0,Unlimited,22.0,Day 15-36,Forcibly evicted as punishment
Casey Austria,"Legazpi , Albay",19.0,Unlimited,29.0,Day 8-36,Evicted
Lyn Elimanco,Surigao,25.0,Unlimited,36.0,Day 8-43,Left due to mother's death
Mark Luz,Quezon City,23.0,Unlimited,36.0,Day 8-43,Forcbly evicted as punishment
Erika Arlante,Bacolod,31.0,Unlimited,43.0,Day 8-50,Evicted
Seth Cox,"California , USA",32.0,Unlimited,26.0,Day 25-50,Evicted
Luz McClinton,Muntinlupa,33.0,Unlimited,71.0,Day 1-71,Evicted
Anatoly Chua,Surigao,33.0,Unlimited,64.0,Day 8-71,Evicted
Kigoy Abarico,"Ormoc , Leyte",32.0,Unlimited,71.0,Day 1-71,Evicted
Kim de Guzman,Olongapo City,19.0,Unlimited,71.0,Day 1-71,Forcibly evicted due to lack of desire to stay
Steph Enage,Leyte,23.0,Unlimited,71.0,Day 8-78,Evicted
Jerico Redrico,Pampanga,24.0,Unlimited,71.0,Day 8-78,Evicted
Ryan Tomas,"Colorado , USA",19.0,Unlimited,56.0,Day 23-78,Evicted
Roy Gamboa,Pangasinan,29.0,Unlimited,78.0,Day 1-78,Evicted
Unad Hernandez,Batangas,24.0,Unlimited,71.0,Day 8-78,Evicted
Naprey Almario,Davao,23.0,Unlimited,71.0,Day 8-78,Evicted
Joya Genzola,Negros Occidental,24.0,Unlimited,85.0,Day 8-92,Evicted
Jessica Connelly,Taguig,19.0,Unlimited,86.0,Day 8-93,Forcibly evicted due to emotional stress
Wendy Tabusalla,Muntinlupa,22.0,Unlimited,92.0,Day 8-99,Evicted
Eting Busarang,Cebu,27.0,Unlimited,106.0,Day 8-113,Evicted
Deniesse Joaquin,"Sampaloc, Manila",22.0,Unlimited,106.0,Day 15-120,Forcibly evicted as punishment
Seichang Ushimi,"Tokyo , Japan",22.0,Unlimited,127.0,Day 1-127,Evicted
Kevin Fowler,"California , USA",18.0,Unlimited,134.0,Day 1-134,Evicted
Carlo Romero,"Chicago , USA",25.0,Unlimited,141.0,Day 1-141,Evicted
Tin Patrimonio,"Cainta , Rizal",19.0,Unlimited,148.0,Day 1-148,Evicted
Divine Maitland-Smith,Cebu City,20.0,Unlimited,152.0,Day 1-152,Evicted
Paco Evangelista,General Santos City,26.0,Unlimited,155.0,Day 1-155,"4th place, evicted initially"
Joseph Biggel,Marinduque,19.0,Unlimited,155.0,Day 1-155,3rd place
Pamu Pamorada,"Lipa City , Batangas",19.0,Unlimited,155.0,Day 1-155,2nd place
