Name,Nationality,Position [F ],Date from [G ],Date to [H ],Appearances,Goals,Club source [I ]
Bryan Robson Category:Articles with hCards,England England,Forward,1974 1979 1983,1976 1980 1984,182.0,68.0,121 [ dead link ]
Tony Towers Category:Articles with hCards,England England,Forward,1974,1977,124.0,22.0,122 [ dead link ]
Jeff Clarke Category:Articles with hCards,England England,Defender,1975,1982,218.0,6.0,123 [ dead link ]
Bob Lee Category:Articles with hCards,England England,Forward,1976,1979,122.0,33.0,124 [ dead link ]
Barry Siddall Category:Articles with hCards,England England,Goalkeeper,1976,1982,192.0,0.0,125 [ dead link ]
Kevin Arnott Category:Articles with hCards,England England,Midfielder,1977,1982,152.0,18.0,126 [ dead link ]
Shaun Elliott Category:Articles with hCards,England England,Defender,1977,1986,368.0,11.0,127 [ dead link ]
Mick Buckley Category:Articles with hCards,England England,Midfielder,1978,1983,135.0,8.0,128 [ dead link ]
Rob Hindmarch Category:Articles with hCards,England England,Defender,1978,1984,128.0,3.0,129 [ dead link ]
Gordon Chisholm Category:Articles with hCards,Scotland Scotland,Defender,1978,1985,235.0,16.0,130 [ dead link ]
Chris Turner Category:Articles with hCards,England England,Goalkeeper,1978,1986,224.0,1.0,131 [ dead link ]
Stan Cummins Category:Articles with hCards,England England,Midfielder,1979,1985,165.0,32.0,132 [ dead link ]
Colin West Category:Articles with hCards,England England,Forward,1981,1985,122.0,28.0,133 [ dead link ]
Nick Pickering Category:Articles with hCards,England England,Midfielder,1981,1986,209.0,18.0,134 [ dead link ]
Barry Venison Category:Articles with hCards,England England,Defender,1981,1986,205.0,3.0,135 [ dead link ]
Paul Bracewell Category:Articles with hCards,England England,Midfielder,1983 1989 1995,1984 1992 1997,270.0,6.0,136 [ dead link ]
Mark Proctor Category:Articles with hCards,England England,Midfielder,1983,1987,138.0,23.0,137 [ dead link ]
Eric Gates Category:Articles with hCards,England England,Forward,1984,1990,219.0,55.0,138 [ dead link ]
Paul Lemon Category:Articles with hCards,England England,Midfielder,1984,1990,126.0,19.0,139 [ dead link ]
Gary Bennett Category:Articles with hCards,England England,Defender,1984,1995,443.0,25.0,140 [ dead link ]
Frank Gray Category:Articles with hCards,Scotland Scotland,Defender,1985,1989,169.0,8.0,141 [ dead link ]
Reuben Agboola Category:Articles with hCards,Nigeria Nigeria,Defender,1985,1991,170.0,0.0,142 [ dead link ]
Gordon Armstrong Category:Articles with hCards,England England,Midfielder,1985,1995,416.0,61.0,143 [ dead link ]
Steve Doyle Category:Articles with hCards,Wales Wales,Midfielder,1986,1988,115.0,2.0,144 [ dead link ]
Iain Hesford Category:Articles with hCards,England England,Goalkeeper,1986,1989,112.0,0.0,145 [ dead link ]
John MacPhail Category:Articles with hCards,England England,Defender,1987,1990,153.0,22.0,146 [ dead link ]
Marco Gabbiadini Category:Articles with hCards,England England,Forward,1987,1991,185.0,87.0,147 [ dead link ]
John Kay Category:Articles with hCards,England England,Defender,1987,1993,239.0,0.0,148 [ dead link ]
Gary Owers Category:Articles with hCards,England England,Midfielder,1987,1994,320.0,27.0,149 [ dead link ]
Richard Ord Category:Articles with hCards,England England,Defender,1987,1998,284.0,8.0,150 [ dead link ]
Colin Pascoe Category:Articles with hCards,Wales Wales,Midfielder,1988,1992,149.0,25.0,151 [ dead link ]
Tony Norman Category:Articles with hCards,Wales Wales,Goalkeeper,1988,1995,227.0,0.0,152 [ dead link ]
Thomas Hauser Category:Articles with hCards,Germany Germany,Forward,1989,1991,65.0,11.0,153
Paul Hardyman Category:Articles with hCards,England England,Defender,1989,1992,129.0,12.0,154 [ dead link ]
Brian Atkinson Category:Articles with hCards,England England,Midfielder,1989,1995,169.0,6.0,155 [ dead link ]
Kevin Ball Category:Articles with hCards,England England,Defender,1990,1999,388.0,27.0,156 [ dead link ]
Don Goodman Category:Articles with hCards,England England,Forward,1991,1994,132.0,47.0,157 [ dead link ]
Craig Russell Category:Articles with hCards,England England,Forward,1991,1997,175.0,34.0,158 [ dead link ]
Michael Gray Category:Articles with hCards,England England,Defender,1992,2004,410.0,17.0,159 [ dead link ]
Alec Chamberlain Category:Articles with hCards,England England,Goalkeeper,1993,1996,108.0,0.0,160 [ dead link ]
Phil Gray Category:Articles with hCards,Northern Ireland Northern Ireland,Forward,1993,1996,134.0,41.0,161 [ dead link ]
Andy Melville Category:Articles with hCards,Wales Wales,Defender,1993,1999,236.0,14.0,162 [ dead link ]
Martin Smith Category:Articles with hCards,England England,Midfielder,1993,1999,145.0,28.0,163 [ dead link ]
Dariusz Kubicki Category:Articles with hCards,Poland Poland,Defender,1994,1997,150.0,0.0,164 [ dead link ]
Martin Scott Category:Articles with hCards,England England,Defender,1994,1999,126.0,11.0,165 [ dead link ]
Michael Bridges Category:Articles with hCards,England England,Forward,1996 2004 2004,1999 2004 2005,113.0,23.0,166 [ dead link ]
Alex Rae Category:Articles with hCards,Scotland Scotland,Midfielder,1996,2001,136.0,15.0,167 [ dead link ]
Niall Quinn Category:Articles with hCards,Ireland Ireland,Forward,1996,2002,220.0,69.0,168 [ dead link ]
Allan Johnston Category:Articles with hCards,Scotland Scotland,Midfielder,1997,1999,101.0,20.0,169 [ dead link ]
Nicky Summerbee Category:Articles with hCards,England England,Midfielder,1997,2000,108.0,8.0,170 [ dead link ]
Chris Makin Category:Articles with hCards,England England,Defender,1997,2001,142.0,1.0,171 [ dead link ]
Jody Craddock Category:Articles with hCards,England England,Defender,1997,2003,168.0,2.0,172 [ dead link ]
Kevin Phillips Category:Articles with hCards,England England,Forward,1997,2004,235.0,130.0,173 [ dead link ]
Darren Williams Category:Articles with hCards,England England,Defender,1997,2004,238.0,6.0,174 [ dead link ]
Thomas Sørensen Category:Articles with hCards,Denmark Denmark,Goalkeeper,1998,2003,197.0,0.0,178 [ dead link ]
Gavin McCann Category:Articles with hCards,England England,Midfielder,1998,2003,135.0,13.0,179 [ dead link ]
George McCartney Category:Articles with hCards,Northern Ireland Northern Ireland,Defender,1998 2008,2006 -,203.0,0.0,180 [ dead link ]
Kevin Kilbane Category:Articles with hCards,Ireland Ireland,Midfielder,1999,2003,123.0,9.0,181 [ dead link ]
Julio Arca Category:Articles with hCards,Argentina Argentina,Defender,2000,2006,177.0,23.0,182 [ dead link ]
Kevin Kyle Category:Articles with hCards,Scotland Scotland,Forward,2001,2006,109.0,19.0,183 [ dead link ]
Marcus Stewart Category:Articles with hCards,England England,Forward,2002,2005,119.0,39.0,184 [ dead link ]
Gary Breen Category:Articles with hCards,Ireland Ireland,Defender,2003,2006,115.0,7.0,185 [ dead link ]
Grant Leadbitter Category:Articles with hCards,England England,Midfielder,2003,2009,113.0,11.0,186 [ dead link ]
Danny Collins Category:Articles with hCards,Wales Wales,Defender,2004,2009,163.0,3.0,187 [ dead link ]
Dean Whitehead Category:Articles with hCards,England England,Midfielder,2004,2009,200.0,14.0,188 [ dead link ]
Craig Gordon Category:Articles with hCards,Scotland Scotland,Goalkeeper,2007,2012,95.0,0.0,189
Kenwyne Jones Category:Articles with hCards,Trinidad & Tobago Trinidad and Tobago,Forward,2007,2010,101.0,28.0,190 [ dead link ]
Kieran Richardson Category:Articles with hCards,England England,Midfielder,2007,2012,149.0,15.0,191
Phil Bardsley Category:Articles with hCards,Scotland Scotland,Midfielder,2008,–,146.0,6.0,192
Steed Malbranque Category:Articles with hCards,France France,Defender,2008,2011,112.0,2.0,193
Darren Bent Category:Articles with hCards,England England,Forward,2009,2011,60.0,35.0,194
Asamoah Gyan Category:Articles with hCards,Ghana Ghana,Forward,2010,2012,37.0,11.0,195
