Year,Film name,Music director,Lyricist,Language
1976.0,Chadi Jawani Budhe Nu,Ravindra Jain,S. P. Bakshi,Punjabi
1975.0,Geet Gata Chal,Ravindra Jain,Ravindra Jain,Hindi
1975.0,Salaakhen,Ravindra Jain,Ravindra Jain,Hindi
1975.0,Tapasya,Ravindra Jain,M G Hashmat,Hindi
1974.0,Raakh Aur Chingari,Ravindra Jain,Ravindra Jain,Hindi
1973.0,Kuchche Dhaage,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1973.0,Bhima Mera Haathi,Vedpal Verma,Vedpal Verma,Hindi
1973.0,Kora Badan,Vedpal Verma,Babu Singh Maan,Hindi
1973.0,Ganga,N. Dutta,Aziz Kashmiri,Hindi
1973.0,Hum Sab Chor Hain,Usha Khanna,Asad Bhopali,Hindi
1973.0,Seetaram Radheshyam,N. Dutta,Madan,Hindi
1972.0,Shri Krishna Bhakti,Kamal Kant,Pujari,Hindi
1972.0,Hari Darshan,Kalyanji-Anandji,Pradeep,Hindi
1972.0,Bachche Mere Saathi,M. S. Vishavanathan,Vedpal Verma,Hindi
1972.0,Anokhi Pehchan,Kalyanji-Anandji,Anand Bakshi,Hindi
1972.0,Parivartan,Chand Pardesi,Neeraj,Hindi
1972.0,Pasand Apani Apani,Vishnu Khanna,Amar,Hindi
1972.0,Pasand Apani Apani,Vishnu Khanna,Shiv Kumar Saroj,Hindi
1972.0,Kaanch Aur Heera,Ravindra Jain,Ravindra Jain,Hindi
1971.0,Aap Aye Bahaar Ayee,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1971.0,Mehboob Ki Mehndi,Laxmikant-Pyarelal,Anand Bakshi,Hindi
1971.0,Gehra Raaz,Salil Chowdhury,Asad Bhopali,Hindi
1971.0,Gehra Raaz,Salil Chowdhury,Akhtar Romani,Hindi
1971.0,Chhoti Bahu,Kalyanji-Anandji,Indeevar,Hindi
1971.0,Ladki Pasand Hai,Sonik Omi,G. L. Rawal,Hindi
1971.0,Narad Leela,N. Dutta,Madan,Hindi
1971.0,Achha Bura,Raj Kamal,Asad Bhopali,Hindi
1971.0,Shan-E-Khuda,Iqbal Qureshi,Kaifi Azmi,Hindi
1971.0,Dost Aur Dushman,Raj Kamal,Asad Bhopali,Hindi
1971.0,Irada,Mohammed D Shafi,Qafil Azar,Hindi
1971.0,Darar,Sudhir Phadke,Mahendra Dehlvi,Hindi
