Debut year,Player,Games,Goals,Years at club
1936.0,Bob McLellan,12.0,2.0,1936–1937
1936.0,Jack McConchie,22.0,45.0,1936–1937
1936.0,Leo Monaghan,52.0,20.0,"1936, 1938, 1941–1944, 1947–1948"
1936.0,Bill Warne,6.0,3.0,1936–1937
1936.0,Peter Connell,7.0,4.0,1936
1936.0,Terry MacKin,13.0,4.0,1936
1936.0,John Cadusch,7.0,0.0,1936
1936.0,Eric Clark,34.0,1.0,1936–1939
1936.0,Ken Read,4.0,5.0,1936
1936.0,Charlie O'Leary,7.0,0.0,1936–1937
1936.0,Jim O'Meara,10.0,6.0,1936–1937
1936.0,Les Ames,5.0,5.0,1936
1936.0,Bob Fitzsimmons,7.0,1.0,1936–1937
1936.0,Jock McKenzie,48.0,57.0,1936–1939
1936.0,Arthur Edwards,36.0,22.0,"1936–1940, 1944–1945"
1936.0,Bruce Calverley,89.0,22.0,1936–1945
1936.0,Tom Re,3.0,0.0,1936–1937
1936.0,Allan White,31.0,33.0,"1936–1939, 1943"
1937.0,Les Hughson,15.0,12.0,1937
1937.0,Lawrie Morgan,34.0,14.0,1937–1939
1937.0,Bernie Treweek,57.0,0.0,1937–1940
1937.0,Tommy Laskey,4.0,2.0,1937
1937.0,Bill Bunworth,18.0,4.0,1937–1938
1937.0,Wally Mutimer,27.0,10.0,1937–1938
1937.0,Audley Gillespie-Jones,49.0,5.0,"1937–1942, 1945–1946"
1937.0,Mick Hughson,95.0,17.0,"1937–1942, 1945–1946"
1937.0,Bill Lowenthal,13.0,1.0,1937
1937.0,Vic Carroll,12.0,2.0,1937
1937.0,Dick Noble,4.0,0.0,1937
1937.0,Charlie Bartling,2.0,0.0,1937
1937.0,Tom Butherway,1.0,0.0,1937
1937.0,Len Smith,76.0,52.0,"1937–1943, 1945"
1937.0,Reg Trigg,4.0,8.0,1937–1938
1937.0,Charlie Young,2.0,0.0,1937
1937.0,Allen Nilan,1.0,0.0,1937
1938.0,Neil Boyd,4.0,0.0,1938
1938.0,Geoff Dalley,6.0,6.0,1938
1938.0,Fred Backway,1.0,0.0,1938
1938.0,Arch Knott,37.0,11.0,"1938–1941, 1944"
1938.0,Clen Denning,159.0,59.0,1938–1947
1938.0,Bert Minney,18.0,0.0,1938–1939
1938.0,Jack Norman,1.0,1.0,1938
1938.0,Fred Hughson,164.0,95.0,1938–1947
1938.0,Gordon Dennis,9.0,4.0,1938–1939
1938.0,Peter Reville,22.0,27.0,1938–1939
1938.0,Bob Sayers,4.0,0.0,1938–1939
1938.0,Harry Jacobs,4.0,0.0,1938–1939
1938.0,Jack Wegner,1.0,0.0,1938
1938.0,Arthur Hart,38.0,37.0,1938–1941
1938.0,Len Catton,4.0,0.0,1938–1939
1938.0,Alf Hurley,16.0,24.0,1938–1939
1938.0,Ingy Norman,1.0,0.0,1938
1939.0,Noel Price,104.0,98.0,"1939–1942, 1944–1947"
1939.0,Claude Curtin,93.0,269.0,"1939–1942, 1944, 1946–1947, 1949"
1939.0,Jim Tagell,9.0,7.0,1939–1940
1939.0,Keith Stackpole,84.0,203.0,1939–1944
1939.0,Allan Fields,57.0,27.0,"1939–1940, 1944, 1946–1947"
1939.0,Norm Hillard,94.0,12.0,1939–1946
1939.0,Ted Besford,2.0,0.0,"1939, 1941"
1939.0,Llew Martin,2.0,0.0,1939
1939.0,Mick Keighery,1.0,0.0,1939
