Debut year,Player,Games,Goals,Years at club
1987.0,Michael Roberts,2.0,1.0,1987
1987.0,Darren Handley,10.0,7.0,1987–1988
1987.0,Allan Sidebottom,1.0,0.0,1987
1987.0,Tony Carafa,16.0,8.0,1987–1988
1987.0,Paul McLean,1.0,0.0,1987
1987.0,Jamie Shaw,2.0,5.0,1987–1988
1987.0,Christopher Taylor,1.0,0.0,1987
1987.0,Robert Bolzon,5.0,3.0,1987–1988
1987.0,David Strooper,43.0,28.0,1987–1991
1988.0,Terry Board,15.0,1.0,"1988, 1990–1991"
1988.0,John Ironmonger,43.0,8.0,"1988, 1990–1991"
1988.0,Alastair Lynch,120.0,173.0,1988–1993
1988.0,Darren Louttit,2.0,0.0,1988
1988.0,Andrew Brockhurst,38.0,0.0,1988–1990
1988.0,Paul Broderick,93.0,80.0,1988–1993
1988.0,Steven Newman,1.0,0.0,1988
1989.0,Carl Dilena,23.0,15.0,1989–1990
1989.0,Brad Edwards,6.0,1.0,1989
1989.0,Wally Matera,32.0,39.0,1989–1990
1989.0,Brendan McCormack,44.0,27.0,1989–1992
1989.0,Kevin Caton,9.0,8.0,1989
1989.0,Tony Woods,13.0,4.0,1989–1990
1989.0,Peter Bourke,22.0,3.0,1989–1991
1989.0,Darren Wheildon,70.0,160.0,1989–1994
1989.0,Jason Baldwin,125.0,36.0,1989–1996
1989.0,Dean Lupson,6.0,0.0,1989–1990
