Driver,AAA (1902–1955),USAC (1956–1995),CART (1979–2003),Champ Car World Series (2004–2007),IZOD IndyCar Series (1996–present),Combined Total
Alex Zanardi Category:Articles with hCards,0.0,0.0,15.0,0.0,0.0,15.0
Louis Chevrolet Category:Articles with hCards,14.0,0.0,0.0,0.0,0.0,14.0
Tom Sneva Category:Articles with hCards,0.0,4.0,9.0,0.0,0.0,13.0
Gil de Ferran Category:Articles with hCards,0.0,0.0,7.0,0.0,5.0,12.0
Cristiano da Matta Category:Articles with hCards,0.0,0.0,11.0,1.0,0.0,12.0
Eddie Hearne Category:Articles with hCards,11.0,0.0,0.0,0.0,0.0,11.0
Adrian Fernández Category:Articles with hCards,0.0,0.0,8.0,0.0,3.0,11.0
Johnnie Parsons Category:Articles with hCards,11.0,0.0,0.0,0.0,0.0,11.0
Juan Pablo Montoya Category:Articles with hCards,0.0,0.0,10.0,0.0,1.0,11.0
Ryan Hunter-Reay Category:Articles with hCards,0.0,0.0,1.0,1.0,9.0,11.0
Jimmy Vasser Category:Articles with hCards,0.0,0.0,10.0,0.0,0.0,10.0
Pete DePaolo Category:Articles with hCards,10.0,0.0,0.0,0.0,0.0,10.0
Dario Resta Category:Articles with hCards,10.0,0.0,0.0,0.0,0.0,10.0
Kenny Bräck Category:Articles with hCards,0.0,0.0,5.0,0.0,4.0,9.0
Scott Sharp Category:Articles with hCards,0.0,0.0,0.0,0.0,9.0,9.0
Frank Lockhart Category:Articles with hCards,9.0,0.0,0.0,0.0,0.0,9.0
Bruno Junqueira Category:Articles with hCards,0.0,0.0,5.0,3.0,0.0,8.0
Rex Mays Category:Articles with hCards,8.0,0.0,0.0,0.0,0.0,8.0
Buddy Lazier Category:Articles with hCards,0.0,0.0,0.0,0.0,8.0,8.0
Eddie Sachs Category:Articles with hCards,0.0,8.0,0.0,0.0,0.0,8.0
Louis Meyer Category:Articles with hCards,8.0,0.0,0.0,0.0,0.0,8.0
Johnny Aitken Category:Articles with hCards,8.0,0.0,0.0,0.0,0.0,8.0
Arie Luyendyk Category:Articles with hCards,0.0,1.0,2.0,0.0,4.0,7.0
Dan Gurney Category:Articles with hCards,0.0,7.0,0.0,0.0,0.0,7.0
Lloyd Ruby Category:Articles with hCards,0.0,7.0,0.0,0.0,0.0,7.0
Johnny Thomson Category:Articles with hCards,1.0,6.0,0.0,0.0,0.0,7.0
Harry Hartz Category:Articles with hCards,7.0,0.0,0.0,0.0,0.0,7.0
Eddie Rickenbacker Category:Articles with hCards,7.0,0.0,0.0,0.0,0.0,7.0
Justin Wilson Category:Articles with hCards,0.0,0.0,0.0,4.0,3.0,7.0
Ryan Briscoe Category:Articles with hCards,0.0,0.0,0.0,0.0,7.0,7.0
Don Branson Category:Articles with hCards,0.0,6.0,0.0,0.0,0.0,6.0
Parnelli Jones Category:Articles with hCards,0.0,6.0,0.0,0.0,0.0,6.0
Joe Leonard Category:Articles with hCards,0.0,6.0,0.0,0.0,0.0,6.0
Danny Ongais Category:Articles with hCards,0.0,6.0,0.0,0.0,0.0,6.0
Roscoe Sarles Category:Articles with hCards,6.0,0.0,0.0,0.0,0.0,6.0
Bob Burman Category:Articles with hCards,6.0,0.0,0.0,0.0,0.0,6.0
Wilbur Shaw Category:Articles with hCards,6.0,0.0,0.0,0.0,0.0,6.0
Bill Cummings Category:Articles with hCards,6.0,0.0,0.0,0.0,0.0,6.0
Mauri Rose Category:Articles with hCards,6.0,0.0,0.0,0.0,0.0,6.0
Gary Bettenhausen Category:Articles with hCards,0.0,6.0,0.0,0.0,0.0,6.0
Ted Horn Category:Articles with hCards,5.0,0.0,0.0,0.0,0.0,5.0
Patrick Carpentier Category:Articles with hCards,0.0,0.0,4.0,1.0,0.0,5.0
Scott Goodyear Category:Articles with hCards,0.0,0.0,2.0,0.0,3.0,5.0
Greg Ray Category:Articles with hCards,0.0,0.0,0.0,0.0,5.0,5.0
A. J. Allmendinger Category:Articles with hCards,0.0,0.0,0.0,5.0,0.0,5.0
Nigel Mansell Category:Articles with hCards,0.0,0.0,5.0,0.0,0.0,5.0
Teo Fabi Category:Articles with hCards,0.0,0.0,5.0,0.0,0.0,5.0
Eddie Cheever Category:Articles with hCards,0.0,0.0,0.0,0.0,5.0,5.0
Jacques Villeneuve Category:Articles with hCards,0.0,1.0,4.0,0.0,0.0,5.0
Greg Moore Category:Articles with hCards,0.0,0.0,5.0,0.0,0.0,5.0
Jim McElreath Category:Articles with hCards,0.0,5.0,0.0,0.0,0.0,5.0
Jud Larson Category:Articles with hCards,0.0,5.0,0.0,0.0,0.0,5.0
Roger McCluskey Category:Articles with hCards,0.0,5.0,0.0,0.0,0.0,5.0
Mike Mosley Category:Articles with hCards,0.0,4.0,1.0,0.0,0.0,5.0
Dave Lewis Category:Articles with hCards,5.0,0.0,0.0,0.0,0.0,5.0
Bennett Hill Category:Articles with hCards,5.0,0.0,0.0,0.0,0.0,5.0
Frank Elliott Category:Articles with hCards,5.0,0.0,0.0,0.0,0.0,5.0
Eddie Pullen Category:Articles with hCards,5.0,0.0,0.0,0.0,0.0,5.0
Ray Keech Category:Articles with hCards,5.0,0.0,0.0,0.0,0.0,5.0
Bryan Herta Category:Articles with hCards,0.0,0.0,2.0,0.0,2.0,4.0
Jim Hurtubise Category:Articles with hCards,0.0,4.0,0.0,0.0,0.0,4.0
Jack McGrath Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Sam Hanks Category:Articles with hCards,3.0,1.0,0.0,0.0,0.0,4.0
Bob Sweikert Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Chuck Stevenson Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Hughie Hughes Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Myron Fohr Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Ray Harroun Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Leon Duray Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Shorty Cantlon Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Louis Disbrow Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Al Rogers Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Billy Winn Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Bill Vukovich Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
Kelly Petillo Category:Articles with hCards,4.0,0.0,0.0,0.0,0.0,4.0
James Hinchcliffe Category:Articles with hCards,0.0,0.0,0.0,0.0,3.0,3.0
Buddy Rice Category:Articles with hCards,0.0,0.0,0.0,0.0,3.0,3.0
Tony Stewart Category:Articles with hCards,0.0,0.0,0.0,0.0,3.0,3.0
André Ribeiro Category:Articles with hCards,0.0,0.0,3.0,0.0,0.0,3.0
Max Papis Category:Articles with hCards,0.0,0.0,3.0,0.0,0.0,3.0
Mark Blundell Category:Articles with hCards,0.0,0.0,3.0,0.0,0.0,3.0
George Amick Category:Articles with hCards,0.0,3.0,0.0,0.0,0.0,3.0
Len Sutton Category:Articles with hCards,0.0,3.0,0.0,0.0,0.0,3.0
Mark Donohue Category:Articles with hCards,0.0,3.0,0.0,0.0,0.0,3.0
Jim Rathmann Category:Articles with hCards,0.0,3.0,0.0,0.0,0.0,3.0
Pat Flaherty Category:Articles with hCards,1.0,2.0,0.0,0.0,0.0,3.0
Joe Boyer Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Gil Andersen Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Gaston Chevrolet Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Bill Holland Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Bert Dingley Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Eddie O'Donnell Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Charlie Merz Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Howdy Wilcox Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Walt Faulkner Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Cliff Durant Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Jimmy Davies Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Teddy Tetzlaff Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Billy Arnold Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Bill Endicott Category:Articles with hCards,3.0,0.0,0.0,0.0,0.0,3.0
Robert Doornbos Category:Articles with hCards,0.0,0.0,0.0,2.0,0.0,2.0
Robbie Buhl Category:Articles with hCards,0.0,0.0,0.0,0.0,2.0,2.0
Tomas Scheckter Category:Articles with hCards,0.0,0.0,0.0,0.0,2.0,2.0
Scott Pruett Category:Articles with hCards,0.0,0.0,2.0,0.0,0.0,2.0
Roberto Guerrero Category:Articles with hCards,0.0,0.0,2.0,0.0,0.0,2.0
Alex Barron Category:Articles with hCards,0.0,0.0,0.0,0.0,2.0,2.0
Marco Andretti Category:Articles with hCards,0.0,0.0,0.0,0.0,2.0,2.0
Mike Conway Category:Articles with hCards,0.0,0.0,0.0,0.0,2.0,2.0
Simon Pagenaud Category:Articles with hCards,0.0,0.0,0.0,0.0,2.0,2.0
"John Paul, Jr. Category:Articles with hCards",0.0,0.0,1.0,0.0,1.0,2.0
Roberto Moreno Category:Articles with hCards,0.0,0.0,2.0,0.0,0.0,2.0
Christian Fittipaldi Category:Articles with hCards,0.0,0.0,2.0,0.0,0.0,2.0
"Michel Jourdain, Jr. Category:Articles with hCards",0.0,0.0,2.0,0.0,0.0,2.0
Robby Gordon Category:Articles with hCards,0.0,0.0,2.0,0.0,0.0,2.0
Mario Domínguez Category:Articles with hCards,0.0,0.0,2.0,0.0,0.0,2.0
Art Pollard Category:Articles with hCards,0.0,2.0,0.0,0.0,0.0,2.0
Pat O'Connor Category:Articles with hCards,0.0,2.0,0.0,0.0,0.0,2.0
Jim Clark Category:Articles with hCards,0.0,2.0,0.0,0.0,0.0,2.0
Paul Russo Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Manny Ayulo Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Tom Alley Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Joe Dawson Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Bob McDonogh Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Joe Thomas Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
I. P. Fetterman Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Louis Unser Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Cliff Woodbury Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Lou Moore Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Babe Stapp Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Lee Wallard Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Harry Grant Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Barney Oldfield Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
George Robertson Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Tom Kincaid Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Mel Hansen Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Bob Carey Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Harlan Fengler Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Pietro Bordino Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Harvey Herrick Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Troy Ruttman Category:Articles with hCards,2.0,0.0,0.0,0.0,0.0,2.0
Ed Carpenter Category:Articles with hCards,0.0,0.0,0.0,0.0,2.0,2.0
Jeff Ward Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Billy Boat Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Felipe Giaffone Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Mark Dismore Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Eliseo Salazar Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Sam Schmidt Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Buzz Calkins Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Airton Dare Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Jaques Lazier Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Richie Hearn Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Jim Guthrie Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Graham Rahal Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Danica Patrick Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Takuma Sato Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Charlie Kimball Category:Articles with hCards,0.0,0.0,0.0,0.0,1.0,1.0
Oriol Servià Category:Articles with hCards,0.0,0.0,0.0,1.0,0.0,1.0
Alex Tagliani Category:Articles with hCards,0.0,0.0,0.0,1.0,0.0,1.0
Nelson Philippe Category:Articles with hCards,0.0,0.0,0.0,1.0,0.0,1.0
Mauricio Gugelmin Category:Articles with hCards,0.0,0.0,1.0,0.0,0.0,1.0
Kevin Cogan Category:Articles with hCards,0.0,0.0,1.0,0.0,0.0,1.0
Pancho Carter Category:Articles with hCards,0.0,0.0,1.0,0.0,0.0,1.0
Hector Rebaque Category:Articles with hCards,0.0,0.0,1.0,0.0,0.0,1.0
John Andretti Category:Articles with hCards,0.0,0.0,1.0,0.0,0.0,1.0
Bill Vukovich II Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Bobby Marshman Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Swede Savage Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Keith Kauffman Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Graham Hill Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Van Johnson Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
George Snider Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Bud Tingelstad Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Elmer George Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Wes Vandervoort Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Bobby Grim Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Peter Revson Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Rich Vogler Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Dick Atkins Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Jim Packard Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Larry Rice Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Ronnie Bucknum Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Art Bisch Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Bobby Olivero Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
George Follmer Category:Articles with hCards,0.0,1.0,0.0,0.0,0.0,1.0
Emil Andres Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Henry Banks Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Bill Schindler Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Louis Nikrent Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Mike Nazaruk Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Ira Vail Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Fred Comer Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
William Carlson Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Fred Frame Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Spencer Wishart Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Duke Dinsmore Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Earl Devore Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Al Livingstone Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Joe Nikrent Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Don Herr Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Erwin Bergdoll Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Jimmy Snyder Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Herbert Lytle Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Walt Brown Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Glover Ruckstell Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
John Jenkins Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Harris Hanshue Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Charles Van Acker Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Norman Batten Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Jimmy Gleason Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Leigh Lynch Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Webb Jay Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
George Robson Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Pete Henderson Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Stubby Stubblefield Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
George Connor Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Mortimer Roberts Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Lewis Strang Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Rene Thomas Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Keith Andrews Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Len Zengel Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Arthur See Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Bobby Ball Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Floyd Roberts Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Willie Knipper Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Jack Fleming Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Walt Ader Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
David L. Bruce-Brown Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
George Hill Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
William Taylor Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Phil Shafer Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Bob Finney Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Jules Goux Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Johnny Mantz Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Louis Schneider Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Armour Ferguson Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
George Souders Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Guy Vaughn Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Bruce Keen Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Fred Agabashian Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
George Hammond Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Floyd Davis Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Joe Matson Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Charlie Arnold Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
William Sharp Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Lora L. Corum Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Dave Buck Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
George Joerimann Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Charles Bigelow Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Frank Gelnaw Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Tazio Nuvolari Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Howard Covey Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Eaton McMillan Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Bernd Rosemeyer Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
Frank Lescault Category:Articles with hCards,1.0,0.0,0.0,0.0,0.0,1.0
