County,Kerry%,Kerry#,Bush%,Bush#,Others%,Others#
Perry,45.8%,4770.0,53.6%,5589.0,0.6%,66.0
Piatt,36.4%,3124.0,62.8%,5392.0,0.8%,70.0
Pike,35.7%,2849.0,63.1%,5032.0,1.2%,99.0
Pope,37.7%,918.0,61.6%,1500.0,0.7%,18.0
Pulaski,44.1%,1372.0,55.3%,1720.0,0.5%,16.0
Putnam,50.8%,1704.0,48.4%,1623.0,0.7%,25.0
Randolph,45.3%,6771.0,54.0%,8076.0,0.7%,109.0
Richland,32.6%,2529.0,66.5%,5153.0,0.9%,67.0
Rock Island,57.0%,39880.0,42.4%,29663.0,0.6%,429.0
St. Clair,55.1%,62410.0,44.4%,50203.0,0.5%,576.0
Saline,39.8%,4697.0,59.7%,7057.0,0.5%,60.0
Sangamon,40.5%,38630.0,58.6%,55904.0,0.9%,841.0
Schuyler,39.5%,1594.0,59.6%,2403.0,0.8%,34.0
Scott,35.2%,927.0,64.3%,1696.0,0.5%,13.0
Shelby,35.4%,3744.0,63.8%,6753.0,0.8%,80.0
Stark,38.8%,1189.0,60.1%,1841.0,1.0%,31.0
Stephenson,41.8%,8913.0,57.3%,12212.0,0.9%,195.0
Tazewell,41.4%,25814.0,57.8%,36058.0,0.7%,466.0
Union,41.0%,3735.0,58.5%,5333.0,0.6%,51.0
Vermilion,43.7%,14726.0,55.6%,18731.0,0.8%,257.0
Wabash,29.2%,1752.0,70.1%,4212.0,0.7%,42.0
Warren,46.6%,3938.0,52.9%,4474.0,0.5%,45.0
Washington,36.8%,2986.0,62.6%,5072.0,0.6%,46.0
Wayne,25.8%,2139.0,73.6%,6102.0,0.6%,46.0
White,37.0%,3071.0,62.4%,5180.0,0.6%,50.0
Whiteside,51.1%,13723.0,48.2%,12959.0,0.7%,191.0
Will,46.9%,115625.0,52.4%,129098.0,0.7%,1686.0
Williamson,39.0%,11685.0,60.4%,18086.0,0.6%,189.0
Winnebago,49.2%,59740.0,50.1%,60782.0,0.7%,903.0
Woodford,31.9%,6005.0,67.5%,12698.0,0.5%,99.0
