Outcome,Date,Tournament,Surface,Partner,Opponent in the final,Score in the final
Winner,1996.0,"Rotterdam , Netherlands",Carpet,Marius Barnard,Hendrik Jan Davids Cyril Suk,"6–3, 5–7, 7–6"
Runner-up,1996.0,"Sankt Pölten , Austria",Clay,Menno Oosting,Ctislav Doseděl Pavel Vízner,"7–6, 4–6, 3–6"
Runner-up,1996.0,"Kitzbühel , Austria",Clay,Menno Oosting,Libor Pimek Byron Talbot,"6–7, 3–6"
Runner-up,1996.0,"Bucharest , Romania",Clay,Menno Oosting,David Ekerot Jeff Tarango,"6–7, 6–7"
Runner-up,1996.0,"Basel , Switzerland",Hard (i),Menno Oosting,Yevgeny Kafelnikov Daniel Vacek,"3–6, 4–6"
Winner,1997.0,"Antwerp , Belgium",Hard (i),Olivier Delaître,Sandon Stolle Cyril Suk,"3–6, 6–2, 6–1"
Runner-up,1997.0,"Milan , Italy",Carpet,Andrei Olhovskiy,Pablo Albano Peter Nyborg,"4–6, 6–7"
Runner-up,1997.0,"Halle , Germany",Grass,Marius Barnard,Karsten Braasch Michael Stich,"6–7, 3–6"
Runner-up,1997.0,"Moscow , Russia",Carpet,Fabrice Santoro,Martin Damm Cyril Suk,"4–6, 3–6"
Runner-up,1998.0,"Hamburg , Germany",Clay,Brett Steven,Donald Johnson Francisco Montana,"2–6, 5–7"
Runner-up,1998.0,"Sankt Pölten , Austria",Clay,Wayne Black,Jim Grabb David Macpherson,"4–6, 4–6"
Runner-up,1998.0,"Vienna , Austria",Carpet,John-Laffnie de Jager,Yevgeny Kafelnikov Daniel Vacek,"5–7, 3–6"
Runner-up,1998.0,"Ostrava , Czech Republic",Carpet,Pavel Vízner,Nicolas Kiefer David Prinosil,"4–6, 3–6"
Runner-up,1999.0,"Marseille , France",Hard (i),Pavel Vízner,Max Mirnyi Andrei Olhovskiy,"5–7, 6–7 (7–9)"
Runner-up,1999.0,"Dubai , UAE",Hard,John-Laffnie de Jager,Wayne Black Sandon Stolle,"6–4, 1–6, 4–6"
Winner,1999.0,"Rotterdam , Netherlands",Carpet,John-Laffnie de Jager,Neil Broad Peter Tramacchi,"6–7, 6–3, 6–4"
Runner-up,1999.0,"Rome , Italy",Clay,John-Laffnie de Jager,Ellis Ferreira Rick Leach,"7–6, 1–6, 2–6"
Winner,1999.0,"Båstad , Sweden",Clay,Jeff Tarango,Nicklas Kulti Mikael Tillström,"7–6 (8–6) , 6–4"
Runner-up,1999.0,"Washington, D.C. , U.S.",Hard,John-Laffnie de Jager,Justin Gimelstob Sébastien Lareau,"5–7, 7–6 (7–2) , 3–6"
Winner,1999.0,"Bournemouth , England",Clay,Jeff Tarango,Michael Kohlmann Nicklas Kulti,"6–3, 6–7 (5–7) , 7–6 (7–5)"
Runner-up,1999.0,"Toulouse , France",Hard (i),John-Laffnie de Jager,Olivier Delaître Jeff Tarango,"6–3, 6–7 (2–7) , 4–6"
Runner-up,1999.0,"Stuttgart Indoor , Germany",Hard (i),John-Laffnie de Jager,Jonas Björkman Byron Black,"7–6 (8–6) , 6–7 (2–7) , 0–6"
Winner,2000.0,"Rotterdam , Netherlands",Hard (i),John-Laffnie de Jager,Tim Henman Yevgeny Kafelnikov,"5–7, 6–2, 6–3"
Winner,2000.0,"London, England",Hard (i),John-Laffnie de Jager,Jan-Michael Gambill Scott Humphries,"6–3, 6–7 (7–9) , 7–6 (13–11)"
Runner-up,2000.0,"Estoril , Portugal",Clay,Joshua Eagle,Donald Johnson Piet Norval,"4–6, 5–7"
Winner,2000.0,"Munich , Germany",Clay,John-Laffnie de Jager,Max Mirnyi Nenad Zimonjić,"6–4, 6–4"
Runner-up,2001.0,"Auckland , New Zealand",Hard,Martín García,Marius Barnard Jim Thomas,"6–7 (10–12) , 4–6"
Runner-up,2001.0,"Acapulco , Mexico",Clay,Martín García,Donald Johnson Gustavo Kuerten,"3–6, 6–7 (5–7)"
Runner-up,2002.0,"Delray Beach , U.S.",Hard,Ben Ellwood,Martin Damm Cyril Suk,"4–6, 7–6 (7–5) , [5–10]"
Runner-up,2002.0,"Stuttgart , Germany",Clay,Gastón Etlis,Joshua Eagle David Rikl,"3–6, 4–6"
Winner,2002.0,"Tashkent , Uzbekistan",Hard,Robbie Koenig,Raemon Sluiter Martin Verkerk,"6–2, 7–5"
Winner,2002.0,"St. Petersburg , Russia",Hard (i),Jared Palmer,Irakli Labadze Marat Safin,"7–6 (10–8) , 6–3"
Winner,2003.0,"Auckland , New Zealand",Hard,Robbie Koenig,Tomáš Cibulec Leoš Friedl,"7–6 (7–5) , 3–6, 6–3"
