Townland,s Acre,Barony,Civil parish,Poor law union
Ballymount,315.0,Narragh and Reban East,Usk,Naas
Ballynabarna,240.0,Narragh and Reban West,Narraghmore,Athy
Ballynaboley,216.0,Clane,Clane,Naas
Ballynacarrick Lower,465.0,Kilkea and Moone,Killelan,Baltinglass
Ballynacarrick Upper,187.0,Kilkea and Moone,Killelan,Baltinglass
Ballynadrumny,263.0,Carbury,Ballynadrumny,Edenderry
Ballynafagh,1154.0,Clane,Ballynafagh,Naas
Ballynagalliagh (or Mayfield),303.0,Offaly West,Duneany,Athy
Ballynagappagh,716.0,Clane,Clane,Naas
Ballynagussaun,203.0,Narragh and Reban East,Fontstown,Athy
Ballynakill,590.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Ballynakill,735.0,Carbury,Ballynadrumny,Edenderry
Ballynakill Lower,338.0,Carbury,Kilpatrick,Edenderry
Ballynakill Upper,542.0,Carbury,Kilpatrick,Edenderry
Ballynamony,141.0,Kilkea and Moone,Kilkea,Athy
Ballynamullagh,611.0,Carbury,Mylerstown,Edenderry
Ballynasculloge,80.0,Narragh and Reban West,Churchtown,Athy
Ballyneage (or Hybla),641.0,Offaly West,Duneany,Athy
Ballyonan,603.0,Carbury,Ballynadrumny,Edenderry
Ballyoulster,73.0,South Salt,Donaghcumper,Celbridge
Ballyraggan,714.0,Kilkea and Moone,Graney,Baltinglass
Ballyroe,427.0,Narragh and Reban West,Churchtown,Athy
Ballyroe,356.0,Kilkea and Moone,Tankardstown,Athy
Ballysax Great,772.0,Offaly East,Ballysax,Naas
Ballysax Little,271.0,Offaly East,Ballysax,Naas
Ballysaxhills,446.0,Offaly East,Ballysax,Naas
Ballysaxplain,383.0,Offaly East,Ballysax,Naas
Ballyshannon,227.0,Offaly West,Ballyshannon,Athy
Ballyshannon,141.0,Carbury,Ardkill,Edenderry
Ballyshannon Demesne,161.0,Offaly West,Ballyshannon,Athy
Ballysize,206.0,Clane,Brideschurch,Naas
Ballysooghan,600.0,Offaly East,Rathangan,Edenderry
Ballysooghan,177.0,Offaly East,Rathangan,Edenderry
Ballyteige,162.0,Ikeathy and Oughterany,Scullogestown,Celbridge
Ballyteige North,876.0,Connell,Kilmeage,Naas
Ballyteige South,543.0,Connell,Kilmeage,Naas
Ballyvannan,50.0,Kilkea and Moone,Castledermot,Athy
Ballyvarney,197.0,Offaly West,Walterstown,Athy
Ballyvass,765.0,Kilkea and Moone,Castledermot,Athy
Ballyvoneen,612.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Balrinnet,402.0,Carbury,Nurney,Edenderry
Balscott,117.0,South Salt,Stacumny,Celbridge
Baltracey,707.0,Ikeathy and Oughterany,Balraheen,Celbridge
Baltracey,175.0,Naas North,Tipper,Naas
Barberstown,139.0,North Salt,Straffan,Celbridge
Barberstown Lower,199.0,North Salt,Straffan,Celbridge
Barberstown Upper,152.0,North Salt,Straffan,Celbridge
Barkersford,128.0,Narragh and Reban West,Kilberry,Athy
Barnacrow,342.0,Connell,Rathernan,Naas
Barnaran,174.0,Offaly East,Cloncurry,Edenderry
Barnhall,224.0,North Salt,Leixlip,Celbridge
Barnhill,99.0,Kilkea and Moone,Graney,Athy
Barnhill East,119.0,Kilkea and Moone,Castledermot,Athy
Barnhill West,213.0,Kilkea and Moone,Castledermot,Athy
Baronrath,372.0,Naas North,Whitechurch,Naas
Baronsland,201.0,Kilcullen,Kilcullen,Naas
Baronstown East,435.0,Connell,Rathernan,Naas
Baronstown West,354.0,Connell,Rathernan,Naas
Barraderra,190.0,Offaly West,Monasterevin,Athy
Barreen,295.0,Ikeathy and Oughterany,Balraheen,Celbridge
Barretstown,509.0,Naas South,Tipperkevin,Naas
Barrettstown,366.0,Clane,Brideschurch,Naas
Barrettstown,1145.0,Connell,Oldconnell,Naas
Barrogstown,155.0,North Salt,Laraghbryan,Celbridge
Barrogstown East,89.0,North Salt,Donaghmore,Celbridge
Barrogstown West,119.0,North Salt,Donaghmore,Celbridge
Barrowford,105.0,Narragh and Reban West,Kilberry,Athy
Battlemount,781.0,Narragh and Reban East,Narraghmore,Athy
Bawn,127.0,Offaly West,Harristown,Athy
Bawnoge,263.0,Naas South,Tipperkevin,Naas
Bawnoges,230.0,North Salt,Straffan,Celbridge
Baybush,196.0,North Salt,Straffan,Celbridge
Baybush,70.0,North Salt,Taghadoe,Celbridge
Baysland,71.0,South Salt,Haynestown,Naas
Beaconstown,522.0,Kilkea and Moone,Kilkea,Athy
Belan,1197.0,Kilkea and Moone,Belan,Athy
Belgard,287.0,Ikeathy and Oughterany,Clonshanbo,Celbridge
Belview,99.0,Narragh and Reban West,Kilberry,Athy
Bennetsbridge,416.0,Narragh and Reban West,St. John's,Athy
Bert Demesne,192.0,Narragh and Reban West,Kilberry,Athy
Betaghstown,621.0,Clane,Clane,Naas
Bigbog,228.0,Kilkea and Moone,Castledermot,Athy
Bishopscourt Lower,249.0,South Salt,Oughterard,Naas
Bishopscourt Upper,409.0,South Salt,Oughterard,Naas
Bishopshill Commons,58.0,Naas South,Ballymore Eustace,Naas
Bishopsland,561.0,Naas South,Ballymore Eustace,Naas
Bishopsland,115.0,Offaly East,Kildare,Naas
Bishopslane,87.0,Naas South,Ballymore Eustace,Naas
Blackcastle,173.0,Kilkea and Moone,Dunmanoge,Athy
Blackchurch,229.0,South Salt,Kilteel,Naas
Blackditch,344.0,Offaly West,Nurney,Athy
Blackdown,151.0,South Salt,Kilteel,Naas
Blackford,197.0,Narragh and Reban West,Churchtown,Athy
Blackhall,396.0,Narragh and Reban East,Davidstown,Athy
Blackhall,614.0,Naas North,Bodenstown,Naas
Blackhall,345.0,Naas North,Rathmore,Naas
Blackhill,175.0,South Salt,Oughterard,Naas
Blackmillershill,114.0,Offaly East,Dunmurry,Naas
Blackparks,51.0,Narragh and Reban West,St. John's,Athy
Blackrath,1156.0,Narragh and Reban East,Narraghmore,Athy
Blackrath and Athgarvan,617.0,Connell,Greatconnell,Naas
Blacktrench,334.0,Connell,Oldconnell,Naas
Blackwood,661.0,Narragh and Reban West,Kilberry,Athy
Blackwood,44.0,Clane,Downings,Naas
Blackwood,421.0,Clane,Timahoe,Naas
Blakestown,206.0,North Salt,Laraghbryan,Celbridge
Blakestown,39.0,Offaly East,Feighcullen,Edenderry
Blakestown,118.0,Connell,Feighcullen,Naas
Bleach,90.0,Narragh and Reban West,St. John's,Athy
Bluebell,135.0,Naas North,Naas,Naas
Bodenstown,380.0,Naas North,Bodenstown,Naas
Boghall,344.0,Offaly West,Harristown,Athy
Boherbaun Lower,462.0,Offaly West,Harristown,Athy
Boherbaun Upper (or Monapheeby),374.0,Offaly West,Harristown,Athy
Bohergoy Lower,361.0,Offaly East,Ballysax,Naas
Bohergoy Upper,236.0,Offaly East,Ballysax,Naas
Boherhole,465.0,Ikeathy and Oughterany,Mainham,Celbridge
Boherkill,431.0,Offaly East,Rathangan,Naas
Boherphilip,74.0,South Salt,Kill,Naas
Boley Great,434.0,Narragh and Reban East,Fontstown,Athy
Boley Little,251.0,Narragh and Reban East,Fontstown,Athy
Boleybeg,90.0,Offaly West,Fontstown,Athy
Boleybeg,521.0,Narragh and Reban East,Narraghmore,Athy
Boleybeg,593.0,Naas South,Jago,Naas
Bolton,438.0,Kilkea and Moone,Killelan,Baltinglass
Bonaghmore,149.0,Offaly East,Rathangan,Edenderry
Borough,172.0,Offaly West,Kilrush,Athy
Boston,488.0,South Salt,Oughterard,Naas
Bostoncommon,32.0,Offaly East,Cloncurry,Edenderry
Bostoncommon,24.0,Offaly East,Feighcullen,Edenderry
Boycetown,592.0,Ikeathy and Oughterany,Kilcock,Celbridge
Brackagh,319.0,Carbury,Carrick,Edenderry
Brackney,308.0,Narragh and Reban West,Churchtown,Athy
Brallistown,242.0,Offaly East,Kildare,Naas
Brallistown Commons,5.0,Offaly East,Kildare,Naas
Brallistown Little,4.0,Offaly East,Kildare,Naas
Branganstown,281.0,Ikeathy and Oughterany,Kilcock,Celbridge
Brannockstown,137.0,Naas South,Brannockstown,Naas
Brannockstown,114.0,Naas South,Gilltown,Naas
Bray Lower,326.0,Kilkea and Moone,St. Michaels,Athy
Bray Upper,240.0,Kilkea and Moone,St. Michaels,Athy
Brewel East (or Merville),418.0,Narragh and Reban East,Usk,Naas
Brewel West,301.0,Narragh and Reban East,Usk,Naas
Briencan,217.0,Naas South,Ballymore Eustace,Naas
Broadfield,401.0,Naas North,Naas,Naas
Broadleas Commons,465.0,Naas South,Ballymore Eustace,Naas
Broadstown,265.0,Kilkea and Moone,Graney,Baltinglass
Brockagh,514.0,Clane,Timahoe,Naas
Broguestown,122.0,South Salt,Kill,Naas
Brownstown,137.0,Narragh and Reban West,Churchtown,Athy
Brownstown,379.0,Naas South,Carnalway,Naas
Brownstown Great,376.0,Offaly East,Ballysax,Naas
Brownstown Little,78.0,Offaly East,Ballysax,Naas
Brownstown Lower,283.0,Offaly East,Carn,Naas
Brownstown Upper,238.0,Offaly East,Carn,Naas
Brumlin,54.0,Naas South,Ballymore Eustace,Naas
Bryanstown,198.0,North Salt,Taghadoe,Celbridge
Bullhill,272.0,Narragh and Reban East,Davidstown,Athy
Bullockpark,40.0,Naas North,Tipper,Naas
Burntfurze,131.0,South Salt,Haynestown,Naas
Burtonhall Demesne,318.0,Kilkea and Moone,Castledermot,Carlow
Burtown Big,783.0,Kilkea and Moone,Moone,Athy
Burtown Little,438.0,Kilkea and Moone,Moone,Athy
Bushypark,278.0,Offaly West,Kilrush,Athy
Butterstream Commons,1.0,Clane,Clane,Naas
Cadamstown,1154.0,Carbury,Cadamstown,Edenderry
Calf Field,102.0,Carbury,Ballynadrumny,Edenderry
Calfstown,272.0,Carbury,Mylerstown,Edenderry
Calverstown,786.0,Narragh and Reban East,Davidstown,Athy
Calverstown Demesne,223.0,Narragh and Reban East,Davidstown,Athy
Calverstown Little,407.0,Narragh and Reban East,Davidstown,Athy
Cannonstown,210.0,Connell,Feighcullen,Naas
Capdoo,122.0,Clane,Clane,Naas
Capdoo Commons,113.0,Clane,Clane,Naas
Cappagh,886.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Cappanargid,1450.0,Offaly East,Cloncurry,Edenderry
Carbury,671.0,Carbury,Carbury,Edenderry
Cardington,85.0,Narragh and Reban West,Churchtown,Athy
Cardington Demesne,96.0,Narragh and Reban West,Churchtown,Athy
Carn,276.0,Offaly East,Carn,Naas
Carnalway,752.0,Naas South,Carnalway,Naas
Carragh,457.0,Clane,Carragh,Naas
Carrick,689.0,Carbury,Carrick,Edenderry
Carrick,359.0,Connell,Rathernan,Naas
Carrickanearla,1778.0,Offaly East,Dunmurry,Naas
Carrigeen,105.0,Clane,Clane,Naas
Carrigeen North,440.0,Kilkea and Moone,Kineagh,Baltinglass
Carrigeen South,397.0,Kilkea and Moone,Kineagh,Baltinglass
Carrigeenhill,211.0,Kilkea and Moone,Kineagh,Baltinglass
Carrighill Lower,149.0,Offaly West,Ballyshannon,Athy
Carrighill Upper,161.0,Offaly West,Ballyshannon,Athy
Cartersbog,13.0,Kilcullen,Kilcullen,Naas
Carton Demesne,963.0,North Salt,Laraghbryan,Celbridge
Castlebrown (or Clongowes),704.0,Ikeathy and Oughterany,Mainham,Celbridge
Castledeely,637.0,Clane,Brideschurch,Naas
Castledermot,120.0,Kilkea and Moone,Castledermot,Athy
Castledillon Lower,163.0,South Salt,Castledillon,Celbridge
Castledillon Upper,358.0,South Salt,Castledillon,Celbridge
Castlefarm,139.0,Narragh and Reban East,Fontstown,Athy
Castlefarm,166.0,Offaly West,Kilrush,Athy
Castlefish,210.0,Kilcullen,Kilcullen,Naas
Castlemartin,442.0,Kilcullen,Kilcullen,Naas
Castlemitchell North,723.0,Narragh and Reban West,Churchtown,Athy
Castlemitchell South,327.0,Narragh and Reban West,Churchtown,Athy
Castlereban North,696.0,Narragh and Reban West,Churchtown,Athy
Castlereban South,221.0,Narragh and Reban West,Churchtown,Athy
Castleroe East,295.0,Kilkea and Moone,Dunmanoge,Athy
Castleroe West,512.0,Kilkea and Moone,Dunmanoge,Athy
Castlesize,218.0,Naas North,Bodenstown,Naas
Castletown,647.0,North Salt,Kildrought,Celbridge
Castlewarden North,467.0,South Salt,Oughterard,Naas
Castlewarden South,112.0,South Salt,Oughterard,Naas
Catherinestown,114.0,North Salt,Laraghbryan,Celbridge
Caureen,110.0,Naas North,Rathmore,Naas
Celbridge,2112.0,North Salt,Kildrought,Celbridge
Celbridge Abbey,13.0,South Salt,Donaghcumper,Celbridge
Celbridgeabbey,119.0,North Salt,Kildrought,Celbridge
Chanterlands,70.0,Narragh and Reban West,St. Michaels,Athy
Chapelfarm,192.0,Offaly West,Kilrush,Athy
Cherrymills,158.0,Offaly West,Harristown,Athy
Cherryville,472.0,Offaly West,Lackagh,Athy
Christianstown,507.0,Connell,Feighcullen,Naas
Churchland East,68.0,Offaly East,Carn,Naas
Churchland South,24.0,Offaly East,Carn,Naas
Churchland West,9.0,Offaly East,Carn,Naas
Churchtown North,197.0,Narragh and Reban West,Churchtown,Athy
Churchtown South,95.0,Narragh and Reban West,Churchtown,Athy
Clane,736.0,Clane,Clane,Naas
Clarey,448.0,Offaly West,Harristown,Athy
Clogheen,386.0,Offaly West,Lackagh,Athy
Clogheen,525.0,Offaly West,Monasterevin,Athy
Cloghgarret Glebe,62.0,Offaly East,Kildare,Naas
Clogorrow,358.0,Narragh and Reban West,Kilberry,Athy
Clonagh,251.0,North Salt,Taghadoe,Celbridge
Clonagh,694.0,Carbury,Cadamstown,Edenderry
Clonagh,461.0,Carbury,Dunfierth,Edenderry
Clonaghlis,444.0,South Salt,Clonaghlis,Celbridge
Clonard New,63.0,Carbury,Kilrainy,Edenderry
Cloncarlin (or Globeisland),359.0,Offaly West,Monasterevin,Athy
Cloncumber,466.0,Connell,Kilmeage,Naas
Cloncurry,183.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Cloncurry,182.0,Offaly East,Cloncurry,Edenderry
Clondown,158.0,Offaly West,Lackagh,Athy
Clonduff,206.0,Ikeathy and Oughterany,Balraheen,Celbridge
Clonegath,596.0,Offaly West,Monasterevin,Athy
Cloney,1518.0,Narragh and Reban West,Kilberry,Athy
Cloneybeg,527.0,Offaly West,Harristown,Athy
Clonfert North,212.0,Ikeathy and Oughterany,Balraheen,Celbridge
Clonfert South,238.0,Ikeathy and Oughterany,Balraheen,Celbridge
Clongorey,516.0,Connell,Feighcullen,Naas
Clongowes (or Castlebrown),704.0,Ikeathy and Oughterany,Mainham,Celbridge
Clongownagh,158.0,Connell,Feighcullen,Naas
Clonkeen,1759.0,Carbury,Carbury,Edenderry
Clonkeeran,577.0,Carbury,Mylerstown,Edenderry
Clonmayle,263.0,Offaly East,Rathangan,Edenderry
Clonmoyle West,572.0,Offaly East,Rathangan,Edenderry
Clonmullin,11.0,Narragh and Reban West,St. John's,Athy
Clonmullin,55.0,Narragh and Reban West,St. Michaels,Athy
Clonsast,265.0,Ikeathy and Oughterany,Kilcock,Celbridge
Clonshanbo,444.0,Ikeathy and Oughterany,Clonshanbo,Celbridge
Clonuff,553.0,Carbury,Mylerstown,Edenderry
Clownings,619.0,Connell,Greatconnell,Naas
Clownings,409.0,Naas North,Whitechurch,Naas
Coghlandtown,367.0,Naas South,Ballymore Eustace,Naas
Coghlanstown,1137.0,Naas South,Coghlanstown,Naas
Colbinstown,251.0,Narragh and Reban East,Davidstown,Athy
Coldwells,299.0,Naas South,Ballybought,Naas
Collaghknock Glebe,143.0,Offaly East,Kildare,Naas
Collegeland,136.0,North Salt,Laraghbryan,Celbridge
Collin,265.0,Kilkea and Moone,Killelan,Baltinglass
Collinstown,197.0,North Salt,Leixlip,Celbridge
Collinstown,505.0,Carbury,Ardkill,Edenderry
Coltstown,98.0,Kilkea and Moone,Castledermot,Athy
Coltstown,354.0,Kilkea and Moone,Graney,Baltinglass
Common,4.0,Ikeathy and Oughterany,Mainham,Celbridge
Common,26.0,Kilcullen,Kilcullen,Naas
Common,110.0,Connell,Morristownbiller,Naas
Common (or Kingsbog),663.0,Offaly East,Kildare,Naas
Common North,112.0,Offaly East,Carn,Naas
Commons,93.0,South Salt,Donaghcumper,Celbridge
Commons,14.0,Naas South,Tipperkevin,Naas
Commons East,16.0,Ikeathy and Oughterany,Kilcock,Celbridge
Commons Lower,115.0,South Salt,Lyons,Celbridge
Commons South,48.0,Ikeathy and Oughterany,Kilcock,Celbridge
Commons South,4.0,Offaly East,Carn,Naas
Commons Upper,243.0,South Salt,Lyons,Celbridge
Commons West,41.0,Ikeathy and Oughterany,Kilcock,Celbridge
Commonstown,586.0,Kilkea and Moone,Killelan,Baltinglass
Concealment,350.0,Offaly West,Lackagh,Athy
Coneyburrow,9.0,Narragh and Reban West,St. John's,Athy
Coneyburrow,85.0,Narragh and Reban West,St. Michaels,Athy
Coneyburrow,79.0,South Salt,Donaghcumper,Celbridge
Confey,947.0,North Salt,Confey,Celbridge
Conlanstown,262.0,Offaly East,Cloncurry,Naas
Coolagh,267.0,Offaly West,Harristown,Athy
Coolaght,584.0,Connell,Rathernan,Naas
Coolahocka,119.0,South Salt,Kilteel,Naas
Coolane,240.0,Kilkea and Moone,Kilkea,Athy
Coolatogher,180.0,Offaly West,Lackagh,Athy
Coolavacoose,187.0,Carbury,Kilmore,Edenderry
Coolcarriga,1737.0,Clane,Timahoe,Naas
Coolcor,353.0,Carbury,Carbury,Edenderry
Coolearagh East,300.0,Clane,Timahoe,Naas
Coolearagh West,608.0,Clane,Timahoe,Naas
Coolellan,289.0,Offaly East,Rathangan,Edenderry
Coolfitch,70.0,South Salt,Donaghcumper,Celbridge
Coolier,24.0,Offaly West,Lackagh,Athy
Coolnafearagh,629.0,Offaly West,Monasterevin,Athy
Coologmartin,661.0,Clane,Timahoe,Naas
Coolrake,299.0,Kilkea and Moone,Killelan,Baltinglass
Coolreagh,151.0,Connell,Oldconnell,Naas
Coolree,341.0,Carbury,Dunfierth,Edenderry
Coolree,387.0,Clane,Downings,Naas
Coolroe,198.0,Narragh and Reban West,Churchtown,Athy
Coolsickin (or Quinsborough),617.0,Offaly West,Lackagh,Athy
Cooltrim North,157.0,Ikeathy and Oughterany,Donadea,Celbridge
Cooltrim South,313.0,Ikeathy and Oughterany,Donadea,Celbridge
Coolyphullagh,328.0,Offaly West,Kilrush,Athy
Coonagh,397.0,Carbury,Ardkill,Edenderry
Corballis,373.0,Kilkea and Moone,Kineagh,Baltinglass
Corbally,176.0,North Salt,Taghadoe,Celbridge
Corbally,458.0,Connell,Kildare,Naas
Corcoranstown,441.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Corduff,920.0,Clane,Timahoe,Naas
Corkeragh,199.0,Clane,Ballynafagh,Naas
Cormickstown,254.0,North Salt,Laraghbryan,Celbridge
Cornamucklagh,435.0,Carbury,Kilrainy,Edenderry
Cornelscourt,233.0,Connell,Morristownbiller,Naas
Corwig,210.0,Carbury,Carrick,Edenderry
Cott,212.0,Clane,Killybegs,Naas
Courtown Great,233.0,Ikeathy and Oughterany,Kilcock,Celbridge
Courtown Little,124.0,Ikeathy and Oughterany,Kilcock,Celbridge
Courttown East,192.0,Narragh and Reban West,Churchtown,Athy
Courttown West,124.0,Narragh and Reban West,Churchtown,Athy
Cowanstown,179.0,North Salt,Taghadoe,Celbridge
Cowpasture,179.0,Offaly West,Monasterevin,Athy
Cradockstown Demesne,379.0,Naas North,Tipper,Naas
Cradockstown East,157.0,Naas North,Tipper,Naas
Cradockstown North,121.0,Naas North,Tipper,Naas
Cradockstown West,320.0,Naas North,Tipper,Naas
Cramersvalley,35.0,Naas South,Brannockstown,Naas
Crawnglass,240.0,Offaly West,Ballyshannon,Athy
Crewhill,215.0,North Salt,Laraghbryan,Celbridge
Crinstown,226.0,North Salt,Laraghbryan,Celbridge
Crippaun,146.0,North Salt,Killadoon,Celbridge
Crockanure Glebe,59.0,Offaly East,Kildare,Naas
Crockaun,331.0,Offaly West,Ballyshannon,Athy
Crockaun Commons,42.0,Clane,Clane,Naas
Crodaun,78.0,North Salt,Kildrought,Celbridge
Crohanree,295.0,Narragh and Reban West,Churchtown,Athy
Cromwellstown,443.0,South Salt,Kilteel,Naas
Cromwellstownhill,320.0,South Salt,Kilteel,Naas
Crooket,289.0,Kilkea and Moone,Killelan,Athy
Crookstown East,40.0,Narragh and Reban East,Narraghmore,Baltinglass
Crookstown Lower,296.0,Narragh and Reban East,Narraghmore,Athy
Crookstown Upper,994.0,Narragh and Reban East,Narraghmore,Baltinglass
Crophill,151.0,Kilkea and Moone,Castledermot,Athy
Crosscoolharbour,110.0,Naas North,Rathmore,Naas
Crossmorris,168.0,Offaly West,Lackagh,Athy
Crotanstown,150.0,Connell,Morristownbiller,Naas
Cullaghreeva,32.0,North Salt,Confey,Celbridge
Cupidstown,240.0,South Salt,Kilteel,Naas
Cupidstownhill,301.0,South Salt,Kilteel,Naas
Curragh,2141.0,Offaly East,Ballysax,Naas
Curragh,2744.0,Offaly East,Kildare,Naas
Curraghfarm,206.0,Offaly East,Kildare,Naas
Curryhills,817.0,Clane,Killybegs,Naas
Cush,172.0,Offaly West,Ballybrackan,Athy
Cushaling,843.0,Offaly East,Rathangan,Edenderry
Daars North,242.0,Naas North,Bodenstown,Naas
Daars South,426.0,Naas North,Bodenstown,Naas
Dairyfarm,85.0,Kilkea and Moone,Castledermot,Athy
Dalkinstown,256.0,Kilcullen,Kilcullen,Naas
Dangan,171.0,South Salt,Lyons,Celbridge
Danielstown,136.0,Ikeathy and Oughterany,Mainham,Celbridge
Davidstown,267.0,Narragh and Reban East,Davidstown,Athy
Davidstown,223.0,Kilkea and Moone,Killelan,Baltinglass
Davidstown (or Pilsworth),367.0,Kilkea and Moone,Graney,Baltinglass
Davidstown Demesne,279.0,Kilkea and Moone,Killelan,Baltinglass
Davidstown Lower,271.0,Kilkea and Moone,Graney,Athy
Davidstown Upper,295.0,Kilkea and Moone,Graney,Athy
Deerpark,158.0,Kilkea and Moone,Castledermot,Carlow
Delamain,171.0,Naas South,Carnalway,Naas
Demesne,79.0,Carbury,Ardkill,Edenderry
Demesne,360.0,Carbury,Carbury,Edenderry
Derreens,426.0,Clane,Carragh,Naas
Derrinstown,133.0,North Salt,Taghadoe,Celbridge
Derrinturn,340.0,Carbury,Ardkill,Edenderry
Derryart,43.0,Carbury,Nurney,Edenderry
Derrybrennan,273.0,Carbury,Kilpatrick,Edenderry
Derrycrib,624.0,Clane,Ballynafagh,Naas
Derrylea,1205.0,Offaly West,Lackagh,Athy
Derrymullen,533.0,Connell,Kilmeage,Naas
Derrynine,263.0,Offaly West,Fontstown,Athy
Derryoughter East,600.0,Offaly West,Ballybrackan,Athy
