Draft,Round,Pick,Player,Nationality
1981.0,10,207.0,Jeff Baikie,Canada
1982.0,2,27.0,Mike Heidt,Canada
1982.0,3,48.0,Steve Seguin,Canada
1982.0,4,64.0,Dave Gans,Canada
1982.0,4,82.0,Dave Ross,Canada
1982.0,5,90.0,Darcy Roy,Canada
1982.0,5,95.0,Ulf Isaksson,Sweden
1982.0,7,132.0,Victor Nechayev,USSR
1982.0,8,153.0,Hans Helander,Sweden
1982.0,9,174.0,Dave Chartier,Canada
1982.0,10,195.0,John Franzosa,USA
1982.0,11,216.0,Ray Shero,USA
1982.0,12,237.0,Mats Ulander,Sweden
1983.0,3,47.0,Bruce Shoebottom,Canada
1983.0,4,67.0,Guy Benoit,Canada
1983.0,5,87.0,Bob Laforest,Canada
1983.0,5,100.0,Garry Galley,Canada
1983.0,6,107.0,Dave Lundmark,USA
1983.0,6,108.0,Kevin Stevens,USA
1983.0,7,127.0,Tim Burgess,Canada
1983.0,8,147.0,Ken Hammond,Canada
1983.0,9,167.0,Bruce Fishback,USA
1983.0,10,187.0,Thomas Ahlen,Sweden
1983.0,11,207.0,Jan Blaha,Czechoslovakia
1983.0,12,227.0,Chad Johnson,USA
1984.0,1,6.0,Craig Redmond,Canada
1984.0,2,24.0,Brian Wilks,Canada
1984.0,3,48.0,John English,Canada
1984.0,4,69.0,Tom Glavine,USA
1984.0,5,87.0,David Grannis,USA
1984.0,6,108.0,Greg Strome,Canada
1984.0,7,129.0,Tim Hanley,USA
1984.0,8,150.0,Shannon Deegan,Canada
1984.0,9,171.0,Luc Robitaille †,Canada
1984.0,10,191.0,Jeff Crossman,Canada
1984.0,11,212.0,Paul Kenny,Canada
1984.0,12,232.0,Brian Martin,Canada
1985.0,1,9.0,Craig Duncanson,Canada
1985.0,1,10.0,Dan Gratton,Canada
1985.0,2,30.0,Par Edlund,Sweden
1985.0,4,72.0,Perry Florio,USA
1985.0,5,93.0,Petr Prajsler,Czechoslovakia
1985.0,7,135.0,Tim Flanagan,Canada
1985.0,8,156.0,John Hyduke,USA
1985.0,9,177.0,Steve Horner,Canada
1985.0,11,219.0,Trent Ciprick,Canada
1985.0,12,240.0,Marian Horvath,Czechoslovakia
1986.0,1,2.0,Jimmy Carson,USA
1986.0,3,44.0,Denis Larocque,Canada
1986.0,4,65.0,Sylvain Couturier,Canada
1986.0,5,86.0,Brian Ferreira,USA
1986.0,6,107.0,Robb Stauber,USA
1986.0,7,128.0,Sean Krakiwsky,Canada
1986.0,8,149.0,Rene Chapdelaine,Canada
1986.0,9,170.0,Trevor Pochipinski,Canada
1986.0,10,191.0,Paul Kelly,Canada
1986.0,11,212.0,Russ Mann,USA
1986.0,12,233.0,Brian Hayton,Canada
1986.0,S,9.0,Bob Kudelski,USA
1986.0,S,10.0,Grant Paranica,Canada
1987.0,1,4.0,Wayne McBean,Canada
1987.0,2,27.0,Mark Fitzpatrick,Canada
1987.0,3,43.0,Ross Wilson,Canada
1987.0,5,90.0,Michael Vukonich,USA
1987.0,6,111.0,Greg Batters,Canada
1987.0,7,132.0,Kyosti Karjalainen,Sweden
1987.0,9,174.0,Jeff Gawlicki,Canada
1987.0,10,195.0,John Preston,USA
1987.0,11,216.0,Rostislav Vlach,Czechoslovakia
1987.0,12,237.0,Mikael Lindholm,Sweden
1987.0,S,7.0,Chris Panek,USA
1988.0,1,7.0,Martin Gelinas,Canada
1988.0,2,28.0,Paul Holden,Canada
1988.0,3,49.0,John Van Kessel,Canada
1988.0,4,70.0,Rob Blake,Canada
1988.0,5,91.0,Jeff Robison,USA
1988.0,6,109.0,Micah Aivazoff,Canada
1988.0,6,112.0,Robert Larsson,Sweden
1988.0,7,133.0,Jeffrey Kruesel,USA
1988.0,8,154.0,Timo Peltomaa,Finland
1988.0,9,175.0,James Larkin,USA
1988.0,10,196.0,Brad Hyatt,Canada
1988.0,11,217.0,Douglas Laprade,Canada
1988.0,12,238.0,Joseph Flanagan,USA
1988.0,S,12.0,Sean Fitzgerald,USA
1989.0,2,39.0,Brent Thompson,Canada
1989.0,4,81.0,Jim Maher,USA
1989.0,5,102.0,Eric Ricard,Canada
1989.0,5,103.0,Thomas Newman,USA
1989.0,6,123.0,Daniel Rydmark,Sweden
1989.0,7,144.0,Ted Kramer,USA
1989.0,8,165.0,Sean Whyte,Canada
1989.0,9,182.0,Jim Giacin,USA
1989.0,9,186.0,Martin Maskarinec,Czechoslovakia
1989.0,10,207.0,Jim Hiller,Canada
1989.0,11,228.0,Steve Jacques,Canada
1989.0,12,249.0,Kevin Sneddon,Canada
1989.0,S,23.0,Carl Repp,Canada
1990.0,1,7.0,Darryl Sydor,Canada
1990.0,2,28.0,Thomas Semchuk,Canada
1990.0,3,49.0,Robert Berg,Canada
1990.0,5,91.0,David Goverde,Canada
1990.0,6,112.0,Erik Andersson,Sweden
1990.0,7,133.0,Robert Lang,Czechoslovakia
1990.0,8,154.0,Dean Hulett,USA
1990.0,9,175.0,Denis Leblanc,Canada
1990.0,10,196.0,Patrik Ross,Sweden
1990.0,11,217.0,Kevin White,Canada
1990.0,12,238.0,Troy Mohns,Canada
1990.0,S,11.0,Peter Sentner,USA
1991.0,2,42.0,Guy Leveque,Canada
1991.0,4,79.0,Keith Redmond,Canada
1991.0,4,81.0,Alexei Zhitnik,USSR
1991.0,5,180.0,Pauli Jaks,Switzerland
1991.0,6,130.0,Brett Seguin,Canada
1991.0,7,152.0,Kelly Fairchild,United States
1991.0,9,196.0,Craig Brown,Canada
1991.0,10,218.0,Mattias Olsson,Sweden
1991.0,11,240.0,Andre Boulianne,Canada
1991.0,12,262.0,Michael Gaul,Canada
1991.0,S,26.0,Brendan Creagh,USA
1992.0,2,39.0,Justin Hocking,Canada
1992.0,3,63.0,Sandy Allan,Bahamas
1992.0,4,87.0,Kevin Brown,United Kingdom
1992.0,5,111.0,Jeff Shevalier,Canada
1992.0,6,135.0,Rem Murray,Canada
1992.0,9,207.0,Magnus Wernblom,Sweden
1992.0,10,231.0,Ryan Pisiak,Canada
1992.0,11,255.0,Jukka Tiilikainen,Finland
1993.0,2,42.0,Shayne Toporowski,Canada
1993.0,3,68.0,Jeff Mitchell,USA
1993.0,4,94.0,Bob Wren,Canada
1993.0,5,105.0,Frederik Beaubien,Canada
1993.0,5,117.0,Jason Saal,USA
1993.0,5,120.0,Tomas Vlasak,Czech Republic
1993.0,6,146.0,Jere Karalahti,Finland
1993.0,7,172.0,Justin Martin,USA
1993.0,8,198.0,Travis Dillabough,Canada
1993.0,9,224.0,Martin Strbak,Slovakia
1993.0,10,250.0,Kimmo Timonen,Finland
1993.0,11,276.0,Patrick Howald,Switzerland
1994.0,1,7.0,Jamie Storr,Canada
1994.0,2,33.0,Matt Johnson,Canada
1994.0,3,59.0,Vitali Yachmenev,Russia
1994.0,5,111.0,Chris Schmidt,Canada
1994.0,7,163.0,Luc Gagne,Canada
1994.0,8,189.0,Andrew Dale,Canada
1994.0,9,215.0,Jan Nemecek,Czech Republic
1994.0,10,241.0,Sergei Shalamai,Russia
1994.0,S,7.0,Quinn Fair,Canada
1995.0,1,3.0,Aki Berg,Finland
1995.0,2,33.0,Donald MacLean,Canada
1995.0,2,50.0,Pavel Rosa,Czech Republic
1995.0,3,59.0,Vladimir Tsyplakov,Russia
1995.0,5,118.0,Jason Morgan,Canada
1995.0,6,137.0,Igor Melyakov,Russia
1995.0,7,157.0,Benoit Larose,Canada
1995.0,7,163.0,Juha Vuorivirta,Finland
1995.0,9,215.0,Brian Stewart,Canada
1996.0,2,30.0,Josh Green,Canada
1996.0,2,37.0,Marian Cisar,Slovakia
1996.0,3,57.0,Greg Phillips,Canada
1996.0,4,84.0,Mikael Simons,Sweden
1996.0,4,96.0,Eric Belanger,Canada
1996.0,5,120.0,Jesse Black,Canada
1996.0,5,123.0,Peter Hogan,Canada
1996.0,8,190.0,Steve Valiquette,Canada
1996.0,8,193.0,Kai Nurminen,Finland
1996.0,9,219.0,Sebastien Simard,Canada
1997.0,1,3.0,Olli Jokinen,Finland
1997.0,1,15.0,Matt Zultek,Canada
1997.0,2,29.0,Scott Barney,Canada
1997.0,4,83.0,Joe Corvo,USA
1997.0,4,99.0,Sean Blanchard,Canada
1997.0,6,137.0,Richard Seeley,Canada
1997.0,6,150.0,Jeff Katcher,Canada
1997.0,8,193.0,Jay Kopischke,USA
1997.0,9,220.0,Konrad Brand Category:Articles with hCards,Canada
1998.0,1,21.0,Mathieu Biron,Canada
1998.0,2,46.0,Justin Papineau,Canada
1998.0,3,76.0,Alexei Volkov,Russia
1998.0,4,103.0,Kip Brennan,Canada
1998.0,5,133.0,Joe Rullier,Canada
1998.0,6,163.0,Tomas Zizka,Czech Republic
1998.0,7,190.0,Tommi Hannus,Finland
1998.0,8,217.0,Jim Henkel,USA
1998.0,9,248.0,Matthew Yeats,Canada
1999.0,2,43.0,Andrei Shefer,Russia
1999.0,3,74.0,Jason Crain,USA
1999.0,3,76.0,Frantisek Kaberle,Czech Republic
1999.0,3,92.0,Cory Campbell,Canada
1999.0,4,104.0,Brian McGrattan,Canada
1999.0,4,125.0,Daniel Johansson,Sweden
1999.0,5,133.0,Jean-Francois Nogues,Canada
1999.0,7,193.0,Kevin Baker,Canada
1999.0,8,222.0,George Parros,USA
1999.0,9,250.0,Noah Clarke,USA
2000.0,1,20.0,Alexander Frolov,Russia
2000.0,2,54.0,Andreas Lilja,Sweden
2000.0,3,86.0,Yanick Lehoux,Canada
2000.0,4,118.0,Lubomir Visnovsky,Slovakia
2000.0,5,165.0,Nathan Marsters,Canada
2000.0,7,201.0,Evgeny Fedorov,Russia
2000.0,7,206.0,Tim Eriksson,Sweden
2000.0,7,218.0,Craig Olynick,Canada
2000.0,8,245.0,Dan Welch,USA
2000.0,8,250.0,Flavien Conne,Switzerland
2000.0,9,282.0,Carl Grahn,Finland
2001.0,1,18.0,Jens Karlsson,Sweden
2001.0,1,30.0,David Steckel,USA
2001.0,2,49.0,Mike Cammalleri,Canada
2001.0,2,51.0,Jaroslav Bednar,Czech Republic
2001.0,3,83.0,Henrik Juntunen,Sweden
2001.0,4,116.0,Richard Petiot,Canada
2001.0,5,152.0,Terry Denike,Canada
2001.0,5,153.0,Tuukka Mantyla,Finland
2001.0,7,214.0,Cristobal Huet,France
2001.0,8,237.0,Mike Gabinet,Canada
2001.0,9,277.0,Sebastien Laplante,Canada
2002.0,1,18.0,Denis Grebeshkov,Russia
2002.0,2,50.0,Sergei Anshakov,Russia
2002.0,3,66.0,Petr Kanko,Czech Republic
2002.0,4,104.0,Aaron Rome,Canada
2002.0,4,115.0,Mark Rooneem,Canada
2002.0,5,152.0,Greg Hogeboom,Canada
2002.0,5,157.0,Joel Andresen,Canada
2002.0,6,185.0,Ryan Murphy,USA
2002.0,7,215.0,Mikhail Lyubushin,Russia
2002.0,8,248.0,Tuukka Pulliainen,Finland
2002.0,9,279.0,Connor James,Canada
2003.0,1,13.0,Dustin Brown,USA
2003.0,1,26.0,Brian Boyle,USA
2003.0,1,27.0,Jeff Tambellini,Canada
2003.0,2,44.0,Konstantin Pushkarev,Kazakhstan
2003.0,3,82.0,Ryan Munce,Canada
2003.0,5,152.0,Brady Murray,Canada
2003.0,6,174.0,Esa Pirnes,Finland
2003.0,8,231.0,Matt Zaba,Canada
2003.0,8,244.0,Mike Sullivan,Canada
2003.0,9,274.0,Martin Guerin,USA
2004.0,1,11.0,Lauri Tukonen,Finland
2004.0,3,95.0,Paul Baier,USA
2004.0,4,110.0,Ned Lukacevic,Serbia
2004.0,5,143.0,Eric Neilson,Canada
2004.0,6,174.0,Scott Parse,USA
2004.0,7,205.0,Mike Curry,USA
2004.0,7,221.0,Daniel Taylor,Great Britain
2004.0,8,238.0,Yutaka Fukufuji,Japan
2004.0,9,264.0,Valtteri Tenkanen,Finland
2005.0,1,11.0,Anze Kopitar,Slovenia
2005.0,2,50.0,Dany Roussin,Canada
2005.0,2,60.0,T.J. Fast,Canada
2005.0,3,72.0,Jonathan Quick,USA
2005.0,5,139.0,Patrik Hersley,Sweden
2005.0,6,184.0,Ryan McGinnis,USA
2005.0,7,206.0,Josh Meyers,USA
2005.0,7,226.0,John Seymour,Canada
2006.0,1,11.0,Jonathan Bernier,Canada
2006.0,1,17.0,Trevor Lewis,USA
2006.0,2,48.0,Joey Ryan,USA
2006.0,3,74.0,Jeff Zatkoff,USA
2006.0,3,86.0,Bud Holloway,Canada
2006.0,4,114.0,Niclas Andersen,Sweden
2006.0,5,134.0,David Meckler,USA
2006.0,5,144.0,Martin Nolet,Canada
2006.0,6,164.0,Constantin Braun,Germany
2007.0,1,4.0,Thomas Hickey,Canada
2007.0,2,52.0,Oscar Moller,Sweden
2007.0,2,61.0,Wayne Simmonds,Canada
2007.0,3,82.0,Bryan Cameron,Canada
2007.0,4,95.0,Alec Martinez,USA
2007.0,4,109.0,Dwight King,Canada
2007.0,5,124.0,Linden Rowat,Canada
2007.0,5,137.0,Joshua Turnbull,USA
2007.0,7,184.0,Josh Kidd,Canada
2007.0,7,188.0,Matt Fillier,Canada
2008.0,1,2.0,Drew Doughty,Canada
2008.0,1,13.0,Colten Teubert,Canada
2008.0,2,32.0,Vyacheslav Voynov,Russia
2008.0,3,63.0,Robbie Czarnik,USA
2008.0,3,74.0,Andrew Campbell,Canada
2008.0,3,88.0,Geordie Wudrick,Canada
2008.0,5,123.0,Andrei Loktionov,Russia
2008.0,6,153.0,Justin Azevedo,Canada
2008.0,7,183.0,Garrett Roe Category:Articles with hCards,USA
2009.0,1,5.0,Brayden Schenn,Canada
2009.0,2,35.0,Kyle Clifford,Canada
2009.0,3,84.0,Nicolas Deslauriers,Canada
2009.0,4,95.0,Jean-Francois Berube Category:Articles with hCards,Canada
2009.0,4,96.0,Linden Vey,Canada
2009.0,5,126.0,David Kolomatis,USA
2009.0,6,156.0,Michael Pelech,Canada
2009.0,6,179.0,Brandon Kozun,Canada
2009.0,7,186.0,Jordan Nolan,Canada
2009.0,7,198.0,Nic Dowd,USA
2010.0,1,15.0,Derek Forbort,USA
2010.0,2,47.0,Tyler Toffoli,Canada
2010.0,3,70.0,Jordan Weal,Canada
2010.0,5,148.0,Kevin Gravel,USA
2010.0,6,158.0,Maxim Kitsyn,Russia
2011.0,2,49.0,Christopher Gibson,Finland
2011.0,3,80.0,Andy Andreoff,Canada
2011.0,3,82.0,Nick Shore,USA
2011.0,4,110.0,Michael Mersch,USA
2011.0,5,140.0,Joel Lowry,Canada
2011.0,7,200.0,Michael Schumacher,Sweden
2012.0,1,30.0,Tanner Pearson,Canada
2012.0,4,121.0,Nikolai Prokhorkin,Russia
2012.0,5,151.0,Colin Miller,Canada
2012.0,6,171.0,Tomas Hyka,Czech Republic
2012.0,6,181.0,Paul LaDue,USA
2012.0,7,211.0,Nick Ebert,USA
2013.0,2,37.0,Valentin Zykov,Russia
2013.0,4,103.0,Justin Auger,Canada
2013.0,4,118.0,Hudson Fasching,USA
2013.0,5,146.0,Patrik Bartosak,Czech Republic
2013.0,5,148.0,Jonny Brodzinski,USA
2013.0,6,178.0,Zachary Leslie,Canada
2013.0,7,191.0,Dominik Kubalik,Czech Republic
